Orthogroup	Species	Prat	Orthologs
OG0000000	Praf	Prat.g_00680, Prat.g_01191	Praf.g_00815, Praf.g_00814
OG0000000	Prah	Prat.g_00680, Prat.g_01191	Prah.g_01346, Prah.g_01347
OG0000000	Prbj	Prat.g_00680, Prat.g_01191	Prbj.g_00166, Prbj.g_00165
OG0000000	Prbk	Prat.g_00680, Prat.g_01191	Prbk.g_00167, Prbk.g_00166
OG0000000	Prbl	Prat.g_00680, Prat.g_01191	Prbl.g_00118, Prbl.g_00117
OG0000000	Syab	Prat.g_00680, Prat.g_01191	Syab.g_01226
OG0000000	Syal	Prat.g_00680, Prat.g_01191	Syal.g_01111, Syal.g_01832
OG0000000	Pral	Prat.g_00680, Prat.g_01191	Pral.g_01331
OG0000000	Praj	Prat.g_00680, Prat.g_01191	Praj.g_00419, Praj.g_01356, Praj.g_01076, Praj.g_01201, Praj.g_01271, Praj.g_01308
OG0000000	Prbb	Prat.g_00680, Prat.g_01191	Prbb.g_00433, Prbb.g_01318, Prbb.g_01353, Prbb.g_01119, Prbb.g_01243, Prbb.g_01400
OG0000000	Prbm	Prat.g_00680, Prat.g_01191	Prbm.g_01408, Prbm.g_01115, Prbm.g_00437, Prbm.g_01228, Prbm.g_01312, Prbm.g_01381
OG0000000	Prbc	Prat.g_00680, Prat.g_01191	Prbc.g_02163, Prbc.g_00103
OG0000000	Pram	Prat.g_00680, Prat.g_01191	Pram.g_01561
OG0000000	Prbh	Prat.g_00680, Prat.g_01191	Prbh.g_01853
OG0000000	Prai	Prat.g_00680, Prat.g_01191	Prai.g_00905, Prai.g_01772
OG0000000	Prab	Prat.g_00680, Prat.g_01191	Prab.g_00915, Prab.g_01617
OG0000000	Pran	Prat.g_00680, Prat.g_01191	Pran.g_00582
OG0000000	Prac	Prat.g_00680, Prat.g_01191	Prac.g_00159
OG0000000	Praq	Prat.g_00680, Prat.g_01191	Praq.g_00117
OG0000000	Prar	Prat.g_00680, Prat.g_01191	Prar.g_00971
OG0000000	Praa	Prat.g_00680, Prat.g_01191	Praa.g_01300
OG0000000	Prao	Prat.g_00680, Prat.g_01191	Prao.g_01294
OG0000000	Pras	Prat.g_00680, Prat.g_01191	Pras.g_00184
OG0000000	Prau	Prat.g_00680, Prat.g_01191	Prau.g_01352
OG0000000	Prax	Prat.g_00680, Prat.g_01191	Prax.g_01917
OG0000000	Pray	Prat.g_00680, Prat.g_01191	Pray.g_01888
OG0000000	Praz	Prat.g_00680, Prat.g_01191	Praz.g_01198
OG0000000	Prba	Prat.g_00680, Prat.g_01191	Prba.g_01174
OG0000000	Prbd	Prat.g_00680, Prat.g_01191	Prbd.g_01833
OG0000000	Prbi	Prat.g_00680, Prat.g_01191	Prbi.g_01373
OG0000000	Prae	Prat.g_00680, Prat.g_01191	Prae.g_01310
OG0000000	Prag	Prat.g_00680, Prat.g_01191	Prag.g_01647, Prag.g_00719, Prag.g_01335
OG0000000	Praw	Prat.g_00680, Prat.g_01191	Praw.g_00493, Praw.g_01782, Praw.g_00961
OG0000000	Prad	Prat.g_00680, Prat.g_01191	Prad.g_00352
OG0000000	Prav	Prat.g_00680, Prat.g_01191	Prav.g_01736, Prav.g_01415
OG0000000	Prbb	Prat.g_01190	Prbb.g_01144, Prbb.g_01792, Prbb.g_00429, Prbb.g_01246, Prbb.g_01321, Prbb.g_01356
OG0000000	Prbm	Prat.g_01190	Prbm.g_01140, Prbm.g_01814, Prbm.g_01313, Prbm.g_00433, Prbm.g_01231, Prbm.g_01384
OG0000000	Praj	Prat.g_01190	Praj.g_01099, Praj.g_01737, Praj.g_00415, Praj.g_01204, Praj.g_01274, Praj.g_01311
OG0000000	Prbc	Prat.g_01190	Prbc.g_00609, Prbc.g_00812
OG0000000	Pral	Prat.g_01190	Pral.g_00040
OG0000000	Pram	Prat.g_01190	Pram.g_01513
OG0000000	Prbh	Prat.g_01190	Prbh.g_01901
OG0000000	Prak	Prat.g_01190	Prak.g_01210
OG0000000	Prap	Prat.g_01190	Prap.g_00494
OG0000000	Prbe	Prat.g_01190	Prbe.g_01587
OG0000000	Prbf	Prat.g_01190	Prbf.g_00880
OG0000000	Prbg	Prat.g_01190	Prbg.g_01524
OG0000000	Prbn	Prat.g_01190	Prbn.g_01151
OG0000000	Pral	Prat.g_01549	Pral.g_00037
OG0000000	Prak	Prat.g_01549	Prak.g_01562
OG0000000	Prap	Prat.g_01549	Prap.g_01862
OG0000000	Prbe	Prat.g_01549	Prbe.g_01119
OG0000000	Prbf	Prat.g_01549	Prbf.g_00776
OG0000000	Prbg	Prat.g_01549	Prbg.g_01567
OG0000000	Prbn	Prat.g_01549	Prbn.g_01662
OG0000000	Pram	Prat.g_01549	Pram.g_01511
OG0000000	Prbh	Prat.g_01549	Prbh.g_01903
OG0000000	Prac	Prat.g_01549	Prac.g_00292
OG0000000	Praq	Prat.g_01549	Praq.g_00026
OG0000000	Prar	Prat.g_01549	Prar.g_00729
OG0000000	Prab	Prat.g_01549	Prab.g_00760, Prab.g_01630, Prab.g_01598
OG0000000	Pran	Prat.g_01549	Pran.g_01423, Pran.g_00931, Pran.g_00601
OG0000000	Prag	Prat.g_01549	Prag.g_00721, Prag.g_01648, Prag.g_01608, Prag.g_01230, Prag.g_01348
OG0000000	Praw	Prat.g_01549	Praw.g_01780, Praw.g_00494, Praw.g_00455, Praw.g_00893, Praw.g_00974
OG0000000	Praa	Prat.g_01549	Praa.g_01598, Praa.g_01244
OG0000000	Pras	Prat.g_01549	Pras.g_00470
OG0000000	Prau	Prat.g_01549	Prau.g_01648
OG0000000	Prad	Prat.g_01549	Prad.g_00392
OG0000000	Prbd	Prat.g_01549	Prbd.g_01568
OG0000000	Prae	Prat.g_01549	Prae.g_01580
OG0000000	Prbi	Prat.g_01549	Prbi.g_01709
OG0000000	Pray	Prat.g_01549	Pray.g_01603
OG0000000	Praz	Prat.g_01549	Praz.g_00921
OG0000000	Prba	Prat.g_01549	Prba.g_00269
OG0000000	Prax	Prat.g_01549	Prax.g_01608, Prax.g_00496
OG0000000	Prai	Prat.g_01549	Prai.g_01592
OG0000000	Prao	Prat.g_01549	Prao.g_01515
OG0000000	Prav	Prat.g_01549	Prav.g_01695, Prav.g_00973
OG0000000	Praj	Prat.g_01549	Praj.g_01272, Praj.g_01309, Praj.g_01078, Praj.g_00417, Praj.g_01202
OG0000000	Prbb	Prat.g_01549	Prbb.g_00431, Prbb.g_01121, Prbb.g_01319, Prbb.g_01244
OG0000000	Prbc	Prat.g_01549	Prbc.g_02165
OG0000000	Prbm	Prat.g_01549	Prbm.g_01117, Prbm.g_01229, Prbm.g_01382, Prbm.g_01407, Prbm.g_00436
OG0000000	Praf	Prat.g_01549	Praf.g_00813
OG0000000	Prah	Prat.g_01549	Prah.g_01348
OG0000000	Prbj	Prat.g_01549	Prbj.g_00164
OG0000000	Prbk	Prat.g_01549	Prbk.g_00165
OG0000000	Prbl	Prat.g_01549	Prbl.g_00116
OG0000000	Praa	Prat.g_01510, Prat.g_01189, Prat.g_01547	Praa.g_01597
OG0000000	Prad	Prat.g_01510, Prat.g_01189, Prat.g_01547	Prad.g_01297
OG0000000	Prak	Prat.g_01189	Prak.g_01578
OG0000000	Prap	Prat.g_01189	Prap.g_01846
OG0000000	Prbe	Prat.g_01189	Prbe.g_01052
OG0000000	Prbf	Prat.g_01189	Prbf.g_00760
OG0000000	Prbg	Prat.g_01189	Prbg.g_01583
OG0000000	Prbn	Prat.g_01189	Prbn.g_01678
OG0000000	Pram	Prat.g_01189	Pram.g_01556
OG0000000	Prbh	Prat.g_01189	Prbh.g_01858
OG0000000	Praj	Prat.g_01189	Praj.g_01100
OG0000000	Prbc	Prat.g_01189	Prbc.g_00608
OG0000000	Prbb	Prat.g_01189	Prbb.g_01145
OG0000000	Prbm	Prat.g_01189	Prbm.g_01141
OG0000000	Praj	Prat.g_01547	Praj.g_01080
OG0000000	Prbc	Prat.g_01547	Prbc.g_00808
OG0000001	Prax	Prat.g_01285, Prat.g_01286	Prax.g_01878
OG0000001	Prbi	Prat.g_01285, Prat.g_01286	Prbi.g_01424
OG0000001	Prao	Prat.g_01285, Prat.g_01286	Prao.g_01254
OG0000001	Prav	Prat.g_01285, Prat.g_01286	Prav.g_01458
OG0000001	Prag	Prat.g_01285, Prat.g_01286	Prag.g_01374
OG0000001	Praw	Prat.g_01285, Prat.g_01286	Praw.g_01000
OG0000001	Prad	Prat.g_01285, Prat.g_01286	Prad.g_00609
OG0000001	Prac	Prat.g_01285, Prat.g_01286	Prac.g_00202
