Orthogroup	Species	Syal	Orthologs
OG0000000	Praf	Syal.g_01111, Syal.g_01832	Praf.g_00815, Praf.g_00814
OG0000000	Prah	Syal.g_01111, Syal.g_01832	Prah.g_01346, Prah.g_01347
OG0000000	Prbj	Syal.g_01111, Syal.g_01832	Prbj.g_00166, Prbj.g_00165
OG0000000	Prbk	Syal.g_01111, Syal.g_01832	Prbk.g_00167, Prbk.g_00166
OG0000000	Prbl	Syal.g_01111, Syal.g_01832	Prbl.g_00118, Prbl.g_00117
OG0000000	Praj	Syal.g_01111, Syal.g_01832	Praj.g_00419, Praj.g_01356, Praj.g_01076, Praj.g_01201, Praj.g_01271, Praj.g_01308
OG0000000	Prbb	Syal.g_01111, Syal.g_01832	Prbb.g_00433, Prbb.g_01318, Prbb.g_01353, Prbb.g_01119, Prbb.g_01243, Prbb.g_01400
OG0000000	Prbm	Syal.g_01111, Syal.g_01832	Prbm.g_01408, Prbm.g_01115, Prbm.g_00437, Prbm.g_01228, Prbm.g_01312, Prbm.g_01381
OG0000000	Prbc	Syal.g_01111, Syal.g_01832	Prbc.g_02163, Prbc.g_00103
OG0000000	Pram	Syal.g_01111, Syal.g_01832	Pram.g_01561
OG0000000	Prbh	Syal.g_01111, Syal.g_01832	Prbh.g_01853
OG0000000	Prai	Syal.g_01111, Syal.g_01832	Prai.g_00905, Prai.g_01772
OG0000000	Prab	Syal.g_01111, Syal.g_01832	Prab.g_00915, Prab.g_01617
OG0000000	Pran	Syal.g_01111, Syal.g_01832	Pran.g_00582
OG0000000	Prac	Syal.g_01111, Syal.g_01832	Prac.g_00159
OG0000000	Praq	Syal.g_01111, Syal.g_01832	Praq.g_00117
OG0000000	Prar	Syal.g_01111, Syal.g_01832	Prar.g_00971
OG0000000	Praa	Syal.g_01111, Syal.g_01832	Praa.g_01300
OG0000000	Prao	Syal.g_01111, Syal.g_01832	Prao.g_01294
OG0000000	Pras	Syal.g_01111, Syal.g_01832	Pras.g_00184
OG0000000	Prau	Syal.g_01111, Syal.g_01832	Prau.g_01352
OG0000000	Prax	Syal.g_01111, Syal.g_01832	Prax.g_01917
OG0000000	Pray	Syal.g_01111, Syal.g_01832	Pray.g_01888
OG0000000	Praz	Syal.g_01111, Syal.g_01832	Praz.g_01198
OG0000000	Prba	Syal.g_01111, Syal.g_01832	Prba.g_01174
OG0000000	Prbd	Syal.g_01111, Syal.g_01832	Prbd.g_01833
OG0000000	Prbi	Syal.g_01111, Syal.g_01832	Prbi.g_01373
OG0000000	Prae	Syal.g_01111, Syal.g_01832	Prae.g_01310
OG0000000	Prag	Syal.g_01111, Syal.g_01832	Prag.g_01647, Prag.g_00719, Prag.g_01335
OG0000000	Praw	Syal.g_01111, Syal.g_01832	Praw.g_00493, Praw.g_01782, Praw.g_00961
OG0000000	Prad	Syal.g_01111, Syal.g_01832	Prad.g_00352
OG0000000	Prav	Syal.g_01111, Syal.g_01832	Prav.g_01736, Prav.g_01415
OG0000000	Prat	Syal.g_01111, Syal.g_01832	Prat.g_00680, Prat.g_01191
OG0000000	Pral	Syal.g_01111, Syal.g_01832	Pral.g_01331
OG0000000	Syab	Syal.g_01111, Syal.g_01832	Syab.g_01226
OG0000001	Prax	Syal.g_02193, Syal.g_02215, Syal.g_00874, Syal.g_01184	Prax.g_01878
OG0000001	Prbi	Syal.g_02193, Syal.g_02215, Syal.g_00874, Syal.g_01184	Prbi.g_01424
OG0000001	Prao	Syal.g_02193, Syal.g_02215, Syal.g_00874, Syal.g_01184	Prao.g_01254
OG0000001	Prav	Syal.g_02193, Syal.g_02215, Syal.g_00874, Syal.g_01184	Prav.g_01458
OG0000001	Prag	Syal.g_02193, Syal.g_02215, Syal.g_00874, Syal.g_01184	Prag.g_01374
OG0000001	Praw	Syal.g_02193, Syal.g_02215, Syal.g_00874, Syal.g_01184	Praw.g_01000
OG0000001	Prad	Syal.g_02193, Syal.g_02215, Syal.g_00874, Syal.g_01184	Prad.g_00609
OG0000001	Prac	Syal.g_02193, Syal.g_02215, Syal.g_00874, Syal.g_01184	Prac.g_00202
OG0000001	Praq	Syal.g_02193, Syal.g_02215, Syal.g_00874, Syal.g_01184	Praq.g_00160
OG0000001	Prar	Syal.g_02193, Syal.g_02215, Syal.g_00874, Syal.g_01184	Prar.g_00926
OG0000001	Prbd	Syal.g_02193, Syal.g_02215, Syal.g_00874, Syal.g_01184	Prbd.g_01779
OG0000001	Prae	Syal.g_02193, Syal.g_02215, Syal.g_00874, Syal.g_01184	Prae.g_01353
OG0000001	Praa	Syal.g_02193, Syal.g_02215, Syal.g_00874, Syal.g_01184	Praa.g_01351
OG0000001	Pray	Syal.g_02193, Syal.g_02215, Syal.g_00874, Syal.g_01184	Pray.g_01844
OG0000001	Praz	Syal.g_02193, Syal.g_02215, Syal.g_00874, Syal.g_01184	Praz.g_01154
OG0000001	Prba	Syal.g_02193, Syal.g_02215, Syal.g_00874, Syal.g_01184	Prba.g_00211
OG0000001	Prai	Syal.g_02193, Syal.g_02215, Syal.g_00874, Syal.g_01184	Prai.g_01235, Prai.g_01356
OG0000001	Prau	Syal.g_02193, Syal.g_02215, Syal.g_00874, Syal.g_01184	Prau.g_01394
OG0000001	Pras	Syal.g_02193, Syal.g_02215, Syal.g_00874, Syal.g_01184	Pras.g_00235
OG0000001	Prbb	Syal.g_02193, Syal.g_02215, Syal.g_00874, Syal.g_01184	Prbb.g_01611
OG0000001	Prbc	Syal.g_02193, Syal.g_02215, Syal.g_00874, Syal.g_01184	Prbc.g_00588
OG0000001	Praj	Syal.g_02193, Syal.g_02215, Syal.g_00874, Syal.g_01184	Praj.g_01549
OG0000001	Prbm	Syal.g_02193, Syal.g_02215, Syal.g_00874, Syal.g_01184	Prbm.g_01633
OG0000001	Pral	Syal.g_02193, Syal.g_02215, Syal.g_00874, Syal.g_01184	Pral.g_01236
OG0000001	Prat	Syal.g_02193, Syal.g_02215, Syal.g_00874, Syal.g_01184	Prat.g_01285, Prat.g_01286
OG0000001	Prak	Syal.g_02193, Syal.g_02215, Syal.g_00874, Syal.g_01184	Prak.g_01302
