Orthogroup	Species	Syac	Orthologs
OG0000001	Prax	Syac.g_02154, Syac.g_00341, Syac.g_00340, Syac.g_02169	Prax.g_01878
OG0000001	Prbi	Syac.g_02154, Syac.g_00341, Syac.g_00340, Syac.g_02169	Prbi.g_01424
OG0000001	Prao	Syac.g_02154, Syac.g_00341, Syac.g_00340, Syac.g_02169	Prao.g_01254
OG0000001	Prav	Syac.g_02154, Syac.g_00341, Syac.g_00340, Syac.g_02169	Prav.g_01458
OG0000001	Prag	Syac.g_02154, Syac.g_00341, Syac.g_00340, Syac.g_02169	Prag.g_01374
OG0000001	Praw	Syac.g_02154, Syac.g_00341, Syac.g_00340, Syac.g_02169	Praw.g_01000
OG0000001	Prad	Syac.g_02154, Syac.g_00341, Syac.g_00340, Syac.g_02169	Prad.g_00609
OG0000001	Prac	Syac.g_02154, Syac.g_00341, Syac.g_00340, Syac.g_02169	Prac.g_00202
OG0000001	Praq	Syac.g_02154, Syac.g_00341, Syac.g_00340, Syac.g_02169	Praq.g_00160
OG0000001	Prar	Syac.g_02154, Syac.g_00341, Syac.g_00340, Syac.g_02169	Prar.g_00926
OG0000001	Prbd	Syac.g_02154, Syac.g_00341, Syac.g_00340, Syac.g_02169	Prbd.g_01779
OG0000001	Prae	Syac.g_02154, Syac.g_00341, Syac.g_00340, Syac.g_02169	Prae.g_01353
OG0000001	Praa	Syac.g_02154, Syac.g_00341, Syac.g_00340, Syac.g_02169	Praa.g_01351
OG0000001	Pray	Syac.g_02154, Syac.g_00341, Syac.g_00340, Syac.g_02169	Pray.g_01844
OG0000001	Praz	Syac.g_02154, Syac.g_00341, Syac.g_00340, Syac.g_02169	Praz.g_01154
OG0000001	Prba	Syac.g_02154, Syac.g_00341, Syac.g_00340, Syac.g_02169	Prba.g_00211
OG0000001	Prai	Syac.g_02154, Syac.g_00341, Syac.g_00340, Syac.g_02169	Prai.g_01235, Prai.g_01356
OG0000001	Prau	Syac.g_02154, Syac.g_00341, Syac.g_00340, Syac.g_02169	Prau.g_01394
OG0000001	Pras	Syac.g_02154, Syac.g_00341, Syac.g_00340, Syac.g_02169	Pras.g_00235
OG0000001	Prbb	Syac.g_02154, Syac.g_00341, Syac.g_00340, Syac.g_02169	Prbb.g_01611
OG0000001	Prbc	Syac.g_02154, Syac.g_00341, Syac.g_00340, Syac.g_02169	Prbc.g_00588
OG0000001	Praj	Syac.g_02154, Syac.g_00341, Syac.g_00340, Syac.g_02169	Praj.g_01549
OG0000001	Prbm	Syac.g_02154, Syac.g_00341, Syac.g_00340, Syac.g_02169	Prbm.g_01633
OG0000001	Pral	Syac.g_02154, Syac.g_00341, Syac.g_00340, Syac.g_02169	Pral.g_01236
OG0000001	Prat	Syac.g_02154, Syac.g_00341, Syac.g_00340, Syac.g_02169	Prat.g_01285, Prat.g_01286
OG0000001	Prak	Syac.g_02154, Syac.g_00341, Syac.g_00340, Syac.g_02169	Prak.g_01302
OG0000001	Prbg	Syac.g_02154, Syac.g_00341, Syac.g_00340, Syac.g_02169	Prbg.g_00502
OG0000001	Prap	Syac.g_02154, Syac.g_00341, Syac.g_00340, Syac.g_02169	Prap.g_01925
OG0000001	Prbe	Syac.g_02154, Syac.g_00341, Syac.g_00340, Syac.g_02169	Prbe.g_00400
OG0000001	Prbf	Syac.g_02154, Syac.g_00341, Syac.g_00340, Syac.g_02169	Prbf.g_00068
OG0000001	Prbn	Syac.g_02154, Syac.g_00341, Syac.g_00340, Syac.g_02169	Prbn.g_01213
OG0000001	Prbh	Syac.g_02154, Syac.g_00341, Syac.g_00340, Syac.g_02169	Prbh.g_00001
OG0000001	Pram	Syac.g_02154, Syac.g_00341, Syac.g_00340, Syac.g_02169	Pram.g_01954, Pram.g_01953
OG0000001	Syam	Syac.g_02154	Syam.g_00946
OG0000001	Syaf	Syac.g_02154	Syaf.g_01640
OG0000001	Syai	Syac.g_02154	Syai.g_01716
OG0000001	Syad	Syac.g_02154	Syad.g_00628
OG0000001	Syaj	Syac.g_02154	Syaj.g_02674
OG0000001	Syae	Syac.g_02154	Syae.g_02061
OG0000001	Syah	Syac.g_02154	Syah.g_00726
OG0000001	Syap	Syac.g_00341, Syac.g_00340	Syap.g_00785, Syap.g_02195, Syap.g_02194, Syap.g_02201, Syap.g_02615
OG0000001	Syas	Syac.g_00341, Syac.g_00340	Syas.g_00966, Syas.g_00967, Syas.g_00093, Syas.g_02373
OG0000001	Syao	Syac.g_00341, Syac.g_00340	Syao.g_02557, Syao.g_02556, Syao.g_01317, Syao.g_02558
OG0000001	Syan	Syac.g_00341, Syac.g_00340	Syan.g_02266
OG0000001	Syar	Syac.g_00341, Syac.g_00340	Syar.g_00070
OG0000001	Syat	Syac.g_00341, Syac.g_00340	Syat.g_02908, Syat.g_02909
OG0000001	Syag	Syac.g_00341, Syac.g_00340	Syag.g_01943
OG0000001	Syaq	Syac.g_00341, Syac.g_00340	Syaq.g_01434
OG0000001	Syak	Syac.g_00341, Syac.g_00340	Syak.g_02138
OG0000001	Syab	Syac.g_00341, Syac.g_00340	Syab.g_02553, Syab.g_02555
OG0000001	Syal	Syac.g_00341, Syac.g_00340	Syal.g_00874, Syal.g_01184
OG0000001	Prah	Syac.g_00341, Syac.g_00340	Prah.g_02270
OG0000001	Praf	Syac.g_00341, Syac.g_00340	Praf.g_02422
OG0000001	Prbj	Syac.g_00341, Syac.g_00340	Prbj.g_01549, Prbj.g_02662
OG0000001	Prbk	Syac.g_00341, Syac.g_00340	Prbk.g_00561, Prbk.g_02701
OG0000001	Prbl	Syac.g_00341, Syac.g_00340	Prbl.g_00808, Prbl.g_02598
OG0000001	Syad	Syac.g_00341, Syac.g_00340	Syad.g_02865
OG0000001	Syaj	Syac.g_00341, Syac.g_00340	Syaj.g_01950
OG0000001	Syae	Syac.g_00341, Syac.g_00340	Syae.g_01417
OG0000001	Syah	Syac.g_00341	Syah.g_00040
OG0000001	Syaf	Syac.g_00341	Syaf.g_00845
OG0000001	Syai	Syac.g_00341	Syai.g_02595
OG0000001	Syah	Syac.g_00340	Syah.g_00041
OG0000001	Syab	Syac.g_02169	Syab.g_01509, Syab.g_01510
OG0000001	Syag	Syac.g_02169	Syag.g_00520
OG0000001	Syak	Syac.g_02169	Syak.g_00275, Syak.g_00579
OG0000001	Syaq	Syac.g_02169	Syaq.g_02178, Syaq.g_02413
OG0000001	Syan	Syac.g_02169	Syan.g_01149
OG0000001	Syat	Syac.g_02169	Syat.g_01540
OG0000001	Syaj	Syac.g_02169	Syaj.g_02660
OG0000001	Syad	Syac.g_02169	Syad.g_01238, Syad.g_00611
OG0000001	Syaf	Syac.g_02169	Syaf.g_01634
OG0000001	Syai	Syac.g_02169	Syai.g_01729
OG0000001	Syam	Syac.g_02169	Syam.g_00929
OG0000001	Syaa	Syac.g_02169	Syaa.g_02329
OG0000001	Syae	Syac.g_02169	Syae.g_02055
OG0000001	Syah	Syac.g_02169	Syah.g_00710
OG0000002	Prbj	Syac.g_01084	Prbj.g_02517, Prbj.g_00030
OG0000002	Prbk	Syac.g_01084	Prbk.g_02574, Prbk.g_01649
OG0000002	Prbl	Syac.g_01084	Prbl.g_01582, Prbl.g_01092
OG0000002	Praf	Syac.g_01084	Praf.g_01631, Praf.g_00948
OG0000002	Prah	Syac.g_01084	Prah.g_00562, Prah.g_01226
OG0000002	Praj	Syac.g_01084	Praj.g_00832, Praj.g_01489, Praj.g_01488, Praj.g_01493, Praj.g_01487, Praj.g_01492, Praj.g_00670
OG0000002	Prbc	Syac.g_01084	Prbc.g_01920, Prbc.g_01475, Prbc.g_01474, Prbc.g_01479, Prbc.g_01473, Prbc.g_01478, Prbc.g_01759
OG0000002	Prbb	Syac.g_01084	Prbb.g_00844, Prbb.g_01546, Prbb.g_01545, Prbb.g_01550, Prbb.g_01544, Prbb.g_01549, Prbb.g_00683
OG0000002	Prbm	Syac.g_01084	Prbm.g_00874, Prbm.g_01578, Prbm.g_01577, Prbm.g_01582, Prbm.g_01576, Prbm.g_01581, Prbm.g_00712
OG0000002	Prak	Syac.g_01084	Prak.g_00908, Prak.g_00913, Prak.g_01202, Prak.g_01323, Prak.g_01200, Prak.g_01207, Prak.g_01494, Prak.g_00805
OG0000002	Prap	Syac.g_01084	Prap.g_00720, Prap.g_00715, Prap.g_00486, Prap.g_01946, Prap.g_00484, Prap.g_00491, Prap.g_00224, Prap.g_00823
OG0000002	Prbe	Syac.g_01084	Prbe.g_01285, Prbe.g_01290, Prbe.g_01579, Prbe.g_00379, Prbe.g_01577, Prbe.g_01584, Prbe.g_00208, Prbe.g_00452
OG0000002	Prbf	Syac.g_01084	Prbf.g_01182, Prbf.g_01177, Prbf.g_00888, Prbf.g_00089, Prbf.g_00890, Prbf.g_00883, Prbf.g_00260, Prbf.g_01285
OG0000002	Prbg	Syac.g_01084	Prbg.g_01222, Prbg.g_01227, Prbg.g_01516, Prbg.g_00523, Prbg.g_01514, Prbg.g_01521, Prbg.g_00694, Prbg.g_01119
OG0000002	Prbn	Syac.g_01084	Prbn.g_01483, Prbn.g_01478, Prbn.g_01159, Prbn.g_01234, Prbn.g_01161, Prbn.g_01154, Prbn.g_00879, Prbn.g_01586
OG0000002	Pram	Syac.g_01084	Pram.g_00873, Pram.g_00879, Pram.g_01170, Pram.g_01471, Pram.g_01168, Pram.g_01174, Pram.g_01278, Pram.g_00768
OG0000002	Prbh	Syac.g_01084	Prbh.g_01016, Prbh.g_01022, Prbh.g_01313, Prbh.g_00006, Prbh.g_01311, Prbh.g_01317, Prbh.g_00199, Prbh.g_00912
OG0000002	Pral	Syac.g_01084	Pral.g_01549, Pral.g_01554, Pral.g_01340, Pral.g_00430, Pral.g_01342, Pral.g_01337, Pral.g_01052, Pral.g_01764
OG0000002	Prat	Syac.g_01084	Prat.g_00977, Prat.g_01184, Prat.g_01487, Prat.g_01182, Prat.g_01187, Prat.g_01462, Prat.g_00751
OG0000002	Prav	Syac.g_01084	Prav.g_01466, Prav.g_01276
OG0000002	Prag	Syac.g_01084	Prag.g_01382, Prag.g_00656
OG0000002	Praw	Syac.g_01084	Praw.g_01009, Praw.g_01844
OG0000002	Prad	Syac.g_01084	Prad.g_00601, Prad.g_01252
OG0000002	Prai	Syac.g_01084	Prai.g_01363, Prai.g_00707
OG0000002	Pras	Syac.g_01084	Pras.g_00243, Pras.g_01554
OG0000002	Prau	Syac.g_01084	Prau.g_01402, Prau.g_00718
OG0000002	Prax	Syac.g_01084	Prax.g_01870, Prax.g_00964
OG0000002	Prbd	Syac.g_01084	Prbd.g_01771, Prbd.g_00566
OG0000002	Pray	Syac.g_01084	Pray.g_01836, Pray.g_01085
OG0000002	Praz	Syac.g_01084	Praz.g_01146, Praz.g_01652
OG0000002	Prba	Syac.g_01084	Prba.g_00203, Prba.g_01639
OG0000002	Prbi	Syac.g_01084	Prbi.g_01432, Prbi.g_00681
OG0000002	Prac	Syac.g_01084	Prac.g_00210, Prac.g_00693
OG0000002	Praq	Syac.g_01084	Praq.g_00168, Praq.g_00807
OG0000002	Prar	Syac.g_01084	Prar.g_00918, Prar.g_01508
OG0000002	Prae	Syac.g_01084	Prae.g_01361, Prae.g_00652
OG0000002	Praa	Syac.g_01084	Praa.g_01359, Praa.g_00678
OG0000002	Prao	Syac.g_01084	Prao.g_01246, Prao.g_00116
OG0000002	Prab	Syac.g_01084	Prab.g_00683
OG0000002	Pran	Syac.g_01084	Pran.g_01500
OG0000002	Syai	Syac.g_01084	Syai.g_01728
OG0000002	Syam	Syac.g_01084	Syam.g_00931
