Orthogroup	Prbf	Prae
OG0000000	Prbf.g_00776	Prae.g_01580
OG0000001	Prbf.g_00068	Prae.g_01353
OG0000002	Prbf.g_01182, Prbf.g_01177	Prae.g_01361
OG0000002	Prbf.g_00888, Prbf.g_00089, Prbf.g_00890, Prbf.g_00883, Prbf.g_00260, Prbf.g_01285	Prae.g_00652
OG0000004	Prbf.g_01264	Prae.g_00669
OG0000004	Prbf.g_01570	Prae.g_00235
OG0000005	Prbf.g_00240	Prae.g_01535
OG0000006	Prbf.g_01580	Prae.g_00244
OG0000007	Prbf.g_01780	Prae.g_00471
OG0000007	Prbf.g_00693	Prae.g_01623
OG0000009	Prbf.g_00252	Prae.g_01270
OG0000010	Prbf.g_01757	Prae.g_00448
OG0000010	Prbf.g_00847, Prbf.g_01056	Prae.g_01048
OG0000011	Prbf.g_00347	Prae.g_00398
OG0000012	Prbf.g_01905, Prbf.g_00272	Prae.g_00597
OG0000013	Prbf.g_01665	Prae.g_00328
OG0000014	Prbf.g_01647	Prae.g_00307
OG0000015	Prbf.g_00754, Prbf.g_00708	Prae.g_00769, Prae.g_01235
OG0000017	Prbf.g_01880, Prbf.g_01887	Prae.g_00572
OG0000018	Prbf.g_01217	Prae.g_00833
OG0000018	Prbf.g_00896	Prae.g_01144
OG0000019	Prbf.g_01588	Prae.g_00252
OG0000019	Prbf.g_00894	Prae.g_00786
OG0000021	Prbf.g_00265, Prbf.g_01259	Prae.g_01600, Prae.g_00364
OG0000022	Prbf.g_00248	Prae.g_00764
OG0000023	Prbf.g_00287	Prae.g_00359
OG0000024	Prbf.g_01052	Prae.g_00748
OG0000024	Prbf.g_01288	Prae.g_00649
OG0000025	Prbf.g_01209	Prae.g_00332, Prae.g_00840
OG0000026	Prbf.g_01354	Prae.g_00031, Prae.g_01056
OG0000027	Prbf.g_00817, Prbf.g_00774	Prae.g_00444, Prae.g_01311
OG0000029	Prbf.g_00804, Prbf.g_00762	Prae.g_00755
OG0000029	Prbf.g_00603	Prae.g_00375
OG0000030	Prbf.g_00484	Prae.g_01825
OG0000031	Prbf.g_00116	Prae.g_01402, Prae.g_01391
OG0000033	Prbf.g_00123	Prae.g_01396
OG0000034	Prbf.g_00015	Prae.g_01339
OG0000035	Prbf.g_00157	Prae.g_01459
OG0000037	Prbf.g_01437	Prae.g_00108
OG0000038	Prbf.g_00445	Prae.g_01865
OG0000039	Prbf.g_01276	Prae.g_00660
OG0000041	Prbf.g_00646	Prae.g_01669
OG0000042	Prbf.g_00487	Prae.g_01822
OG0000043	Prbf.g_00897	Prae.g_00876
OG0000048	Prbf.g_00039, Prbf.g_01611	Prae.g_00374
OG0000052	Prbf.g_00135	Prae.g_01416
OG0000053	Prbf.g_00178, Prbf.g_00748	Prae.g_01479
OG0000054	Prbf.g_01889	Prae.g_00580
OG0000055	Prbf.g_00869, Prbf.g_00719	Prae.g_00787
OG0000057	Prbf.g_01261	Prae.g_00672
OG0000058	Prbf.g_00117	Prae.g_01417, Prae.g_01406
OG0000059	Prbf.g_00606	Prae.g_01710
OG0000061	Prbf.g_00918	Prae.g_01163
OG0000062	Prbf.g_00242	Prae.g_01537
OG0000065	Prbf.g_01435	Prae.g_00106
OG0000066	Prbf.g_01820, Prbf.g_00781	Prae.g_00514
OG0000067	Prbf.g_01245	Prae.g_00806
OG0000068	Prbf.g_00095	Prae.g_01368
OG0000069	Prbf.g_01738	Prae.g_01573
OG0000070	Prbf.g_01734	Prae.g_00424
OG0000071	Prbf.g_00026	Prae.g_01329
OG0000072	Prbf.g_01505	Prae.g_00174
OG0000073	Prbf.g_01783	Prae.g_00473
OG0000074	Prbf.g_01281, Prbf.g_00836, Prbf.g_00295	Prae.g_00656
OG0000075	Prbf.g_00522	Prae.g_01791
OG0000076	Prbf.g_00496	Prae.g_01815
OG0000077	Prbf.g_01405	Prae.g_00078
OG0000078	Prbf.g_01578	Prae.g_00242
OG0000079	Prbf.g_01591	Prae.g_00255
OG0000081	Prbf.g_01812	Prae.g_00505
OG0000082	Prbf.g_01867, Prbf.g_00704	Prae.g_00559
OG0000084	Prbf.g_00154	Prae.g_01455
OG0000085	Prbf.g_00822, Prbf.g_00701	Prae.g_01616
OG0000086	Prbf.g_01414	Prae.g_00088
OG0000087	Prbf.g_01469	Prae.g_00139
OG0000088	Prbf.g_01500	Prae.g_00169
OG0000089	Prbf.g_01701	Prae.g_00355
OG0000090	Prbf.g_01814	Prae.g_00508
OG0000091	Prbf.g_00990	Prae.g_00616
OG0000092	Prbf.g_01315	Prae.g_00913
OG0000093	Prbf.g_01019	Prae.g_00933
OG0000094	Prbf.g_01068	Prae.g_01021
OG0000095	Prbf.g_01170	Prae.g_01040
OG0000096	Prbf.g_00306	Prae.g_01110, Prae.g_01283
OG0000097	Prbf.g_00964	Prae.g_01204
OG0000098	Prbf.g_00071	Prae.g_01350
OG0000099	Prbf.g_00118	Prae.g_01390
OG0000100	Prbf.g_00236	Prae.g_01533
OG0000101	Prbf.g_00558	Prae.g_01758
OG0000102	Prbf.g_00491	Prae.g_01820
OG0000103	Prbf.g_00406	Prae.g_01899
OG0000104	Prbf.g_00397	Prae.g_01907
OG0000105	Prbf.g_01614	Prae.g_01440
OG0000106	Prbf.g_00320	Prae.g_00370
OG0000107	Prbf.g_00629	Prae.g_00385
OG0000108	Prbf.g_01763	Prae.g_00454
OG0000109	Prbf.g_01777	Prae.g_00468
OG0000110	Prbf.g_01856	Prae.g_00549
OG0000111	Prbf.g_01260	Prae.g_00673
OG0000112	Prbf.g_01929	Prae.g_00770
OG0000113	Prbf.g_01222	Prae.g_00828
OG0000114	Prbf.g_01320	Prae.g_00908
OG0000115	Prbf.g_00062	Prae.g_01102
OG0000116	Prbf.g_00907	Prae.g_01153
OG0000117	Prbf.g_00945	Prae.g_01263
OG0000118	Prbf.g_00013	Prae.g_01341
OG0000119	Prbf.g_00864, Prbf.g_00254	Prae.g_01364
OG0000120	Prbf.g_00115	Prae.g_01389
OG0000121	Prbf.g_00159	Prae.g_01461
OG0000122	Prbf.g_00055, Prbf.g_00200	Prae.g_01499
OG0000123	Prbf.g_00551	Prae.g_01766
OG0000124	Prbf.g_00478	Prae.g_01831
OG0000125	Prbf.g_00443	Prae.g_01867
OG0000126	Prbf.g_00398	Prae.g_01906
OG0000128	Prbf.g_00382	Prae.g_00011
OG0000129	Prbf.g_01367	Prae.g_00046
OG0000130	Prbf.g_01396	Prae.g_00069
OG0000131	Prbf.g_01478	Prae.g_00148
OG0000132	Prbf.g_01498	Prae.g_00167
OG0000133	Prbf.g_01661	Prae.g_00323
OG0000134	Prbf.g_01703	Prae.g_00356
OG0000135	Prbf.g_00044	Prae.g_00382
OG0000136	Prbf.g_01725	Prae.g_00415
OG0000137	Prbf.g_01758	Prae.g_00449
OG0000138	Prbf.g_01778	Prae.g_00469
OG0000139	Prbf.g_01818	Prae.g_00512
OG0000140	Prbf.g_01819	Prae.g_00513
OG0000141	Prbf.g_01890	Prae.g_00581
OG0000142	Prbf.g_00982	Prae.g_00609
OG0000143	Prbf.g_00986	Prae.g_00613
OG0000144	Prbf.g_01000	Prae.g_00626
OG0000145	Prbf.g_00042	Prae.g_00766
OG0000146	Prbf.g_01928	Prae.g_00771
OG0000147	Prbf.g_01927	Prae.g_00772
OG0000148	Prbf.g_01228	Prae.g_00822
OG0000149	Prbf.g_01196	Prae.g_00852
OG0000150	Prbf.g_01186	Prae.g_00860
OG0000151	Prbf.g_01310	Prae.g_00918
OG0000152	Prbf.g_01117	Prae.g_00964
OG0000153	Prbf.g_01098	Prae.g_00983
OG0000154	Prbf.g_01078	Prae.g_01014
OG0000155	Prbf.g_00939	Prae.g_01183
OG0000156	Prbf.g_00037	Prae.g_01317
OG0000157	Prbf.g_00036	Prae.g_01318
OG0000158	Prbf.g_00514	Prae.g_01426
OG0000160	Prbf.g_00158	Prae.g_01460
OG0000161	Prbf.g_00164	Prae.g_01466
OG0000162	Prbf.g_00170	Prae.g_01472
OG0000163	Prbf.g_00209	Prae.g_01506
OG0000164	Prbf.g_00669	Prae.g_01647
OG0000165	Prbf.g_00662	Prae.g_01654
OG0000166	Prbf.g_00595	Prae.g_01722
OG0000167	Prbf.g_00524	Prae.g_01789
OG0000168	Prbf.g_00513	Prae.g_01799
OG0000169	Prbf.g_00503	Prae.g_01809
OG0000170	Prbf.g_00500	Prae.g_01811
OG0000171	Prbf.g_00479	Prae.g_01830
OG0000172	Prbf.g_00472	Prae.g_01838
OG0000173	Prbf.g_00457	Prae.g_01853
OG0000174	Prbf.g_00428	Prae.g_01881
OG0000175	Prbf.g_00415	Prae.g_01891
OG0000176	Prbf.g_00389	Prae.g_00004
OG0000177	Prbf.g_00388	Prae.g_00005
