Orthogroup	Prbf	Prat
OG0000000	Prbf.g_00880	Prat.g_01190
OG0000000	Prbf.g_00776	Prat.g_01549
OG0000000	Prbf.g_00760	Prat.g_01189
OG0000001	Prbf.g_00068	Prat.g_01285, Prat.g_01286
OG0000001	Prbf.g_00831	Prat.g_00851
OG0000002	Prbf.g_01182	Prat.g_00977
OG0000002	Prbf.g_00888	Prat.g_01184
OG0000002	Prbf.g_00089	Prat.g_01487
OG0000002	Prbf.g_00890	Prat.g_01182
OG0000002	Prbf.g_00883	Prat.g_01187
OG0000002	Prbf.g_00260	Prat.g_01462
OG0000002	Prbf.g_01285	Prat.g_00751
OG0000004	Prbf.g_01264	Prat.g_00772
OG0000004	Prbf.g_01570	Prat.g_00236
OG0000005	Prbf.g_00240	Prat.g_01440
OG0000006	Prbf.g_01580	Prat.g_00248
OG0000007	Prbf.g_01780	Prat.g_00458
OG0000007	Prbf.g_00693	Prat.g_01592
OG0000008	Prbf.g_00793	Prat.g_00376
OG0000008	Prbf.g_00792	Prat.g_00377
OG0000009	Prbf.g_00252	Prat.g_01451
OG0000010	Prbf.g_01757	Prat.g_00433
OG0000010	Prbf.g_00847	Prat.g_00682
OG0000010	Prbf.g_01056	Prat.g_00662
OG0000012	Prbf.g_01905	Prat.g_00586
OG0000013	Prbf.g_01665	Prat.g_00334
OG0000014	Prbf.g_01647	Prat.g_00314
OG0000015	Prbf.g_00754, Prbf.g_00708	Prat.g_00701
OG0000016	Prbf.g_00860	Prat.g_01219
OG0000017	Prbf.g_01880	Prat.g_00560
OG0000017	Prbf.g_01887	Prat.g_00567
OG0000018	Prbf.g_01217	Prat.g_01009
OG0000018	Prbf.g_00896	Prat.g_01177
OG0000019	Prbf.g_01588	Prat.g_00255
OG0000019	Prbf.g_00894	Prat.g_01180
OG0000020	Prbf.g_00811	Prat.g_00648
OG0000021	Prbf.g_00265	Prat.g_00854
OG0000021	Prbf.g_01259	Prat.g_00461
OG0000022	Prbf.g_00248	Prat.g_01192
OG0000023	Prbf.g_00287	Prat.g_00834
OG0000024	Prbf.g_01052	Prat.g_00622
OG0000024	Prbf.g_01288	Prat.g_00749
OG0000025	Prbf.g_01209	Prat.g_01003
OG0000026	Prbf.g_01354	Prat.g_00033
OG0000027	Prbf.g_00774	Prat.g_01548
OG0000028	Prbf.g_00794	Prat.g_00380
OG0000030	Prbf.g_00484	Prat.g_01799
OG0000031	Prbf.g_00116	Prat.g_01266
OG0000032	Prbf.g_00196	Prat.g_01394
OG0000033	Prbf.g_01503	Prat.g_00170
OG0000033	Prbf.g_00123	Prat.g_01265
OG0000034	Prbf.g_00015	Prat.g_01259
OG0000035	Prbf.g_00157	Prat.g_01353, Prat.g_01352
OG0000037	Prbf.g_01437	Prat.g_00106
OG0000038	Prbf.g_00445	Prat.g_01839
OG0000039	Prbf.g_01276	Prat.g_00760
OG0000041	Prbf.g_00646	Prat.g_01640
OG0000042	Prbf.g_00487	Prat.g_01796
OG0000043	Prbf.g_00897	Prat.g_01176
OG0000045	Prbf.g_00874	Prat.g_01203
OG0000046	Prbf.g_01666	Prat.g_00335
OG0000047	Prbf.g_01707	Prat.g_00374
OG0000048	Prbf.g_00039, Prbf.g_01611	Prat.g_00278
OG0000050	Prbf.g_00845	Prat.g_00685
OG0000052	Prbf.g_01380	Prat.g_00058
OG0000054	Prbf.g_01889	Prat.g_00569
OG0000055	Prbf.g_00869	Prat.g_00852
OG0000057	Prbf.g_01261	Prat.g_00775
OG0000058	Prbf.g_00117	Prat.g_01311
OG0000059	Prbf.g_00606	Prat.g_01679
OG0000061	Prbf.g_00918	Prat.g_01156
OG0000062	Prbf.g_00242	Prat.g_01442
OG0000063	Prbf.g_00808	Prat.g_01516
OG0000064	Prbf.g_01394	Prat.g_00064
OG0000065	Prbf.g_01435	Prat.g_00104
OG0000066	Prbf.g_00781	Prat.g_01499
OG0000067	Prbf.g_01245	Prat.g_01037
OG0000068	Prbf.g_00095	Prat.g_01291
OG0000069	Prbf.g_01738	Prat.g_01400
OG0000070	Prbf.g_01734	Prat.g_00412
OG0000071	Prbf.g_00026	Prat.g_01249
OG0000072	Prbf.g_01505	Prat.g_00172
OG0000073	Prbf.g_01783	Prat.g_00462
OG0000074	Prbf.g_01281	Prat.g_00755
OG0000074	Prbf.g_00836	Prat.g_00696
