Orthogroup	Prbf	Prax
OG0000000	Prbf.g_00776	Prax.g_01608, Prax.g_00496
OG0000001	Prbf.g_00068	Prax.g_01878
OG0000002	Prbf.g_01182, Prbf.g_01177	Prax.g_01870
OG0000002	Prbf.g_00888, Prbf.g_00089, Prbf.g_00890, Prbf.g_00883, Prbf.g_00260, Prbf.g_01285	Prax.g_00964
OG0000004	Prbf.g_01264	Prax.g_00947
OG0000004	Prbf.g_01570	Prax.g_00986
OG0000005	Prbf.g_00240	Prax.g_01652
OG0000006	Prbf.g_01580	Prax.g_01972
OG0000007	Prbf.g_01780	Prax.g_00704
OG0000007	Prbf.g_00693	Prax.g_01559
OG0000009	Prbf.g_00252	Prax.g_01950
OG0000010	Prbf.g_01757	Prax.g_00728
OG0000010	Prbf.g_00847, Prbf.g_01056	Prax.g_01212
OG0000011	Prbf.g_00347	Prax.g_00776
OG0000012	Prbf.g_01905, Prbf.g_00272	Prax.g_00082
OG0000013	Prbf.g_01665	Prax.g_00846
OG0000014	Prbf.g_01647	Prax.g_00869
OG0000015	Prbf.g_00754, Prbf.g_00708	Prax.g_00523, Prax.g_00410
OG0000017	Prbf.g_01880, Prbf.g_01887	Prax.g_00057
OG0000018	Prbf.g_01217	Prax.g_00346
OG0000018	Prbf.g_00896	Prax.g_00181
OG0000019	Prbf.g_01588	Prax.g_00926
OG0000019	Prbf.g_00894	Prax.g_00393
OG0000021	Prbf.g_00265, Prbf.g_01259	Prax.g_01587, Prax.g_00808
OG0000022	Prbf.g_00248	Prax.g_00415
OG0000023	Prbf.g_00287	Prax.g_00813
OG0000024	Prbf.g_01052	Prax.g_00432
OG0000024	Prbf.g_01288	Prax.g_00967
OG0000025	Prbf.g_01209	Prax.g_00842, Prax.g_00338
OG0000026	Prbf.g_01354	Prax.g_00458, Prax.g_00282, Prax.g_01220
OG0000027	Prbf.g_00817, Prbf.g_00774	Prax.g_01916
OG0000029	Prbf.g_00804, Prbf.g_00762	Prax.g_00425
OG0000029	Prbf.g_00603	Prax.g_00798
OG0000030	Prbf.g_00484	Prax.g_01404
OG0000031	Prbf.g_00116	Prax.g_01831
OG0000034	Prbf.g_00015	Prax.g_01889
OG0000035	Prbf.g_00157	Prax.g_01728, Prax.g_01733
OG0000037	Prbf.g_01437	Prax.g_01110
OG0000038	Prbf.g_00445	Prax.g_01445
OG0000039	Prbf.g_01276	Prax.g_00956
OG0000041	Prbf.g_00646	Prax.g_01512
OG0000042	Prbf.g_00487	Prax.g_01401
OG0000043	Prbf.g_00897	Prax.g_01955, Prax.g_00301, Prax.g_00501, Prax.g_00530
OG0000048	Prbf.g_00039, Prbf.g_01611	Prax.g_00173, Prax.g_00512, Prax.g_00799
OG0000050	Prbf.g_00845	Prax.g_00448, Prax.g_00508
OG0000053	Prbf.g_00178, Prbf.g_00748	Prax.g_01708
