Orthogroup	Prbf	Prab
OG0000000	Prbf.g_00776	Prab.g_00760, Prab.g_01630, Prab.g_01598
OG0000002	Prbf.g_00888, Prbf.g_00089, Prbf.g_00890, Prbf.g_00883, Prbf.g_00260, Prbf.g_01285	Prab.g_00683
OG0000004	Prbf.g_01264	Prab.g_00700
OG0000004	Prbf.g_01570	Prab.g_00223
OG0000005	Prbf.g_00240	Prab.g_01542
OG0000006	Prbf.g_01580	Prab.g_00231
OG0000007	Prbf.g_01780	Prab.g_00501
OG0000007	Prbf.g_00693	Prab.g_01669
OG0000009	Prbf.g_00252	Prab.g_01584
OG0000010	Prbf.g_01757	Prab.g_00478
OG0000010	Prbf.g_00847, Prbf.g_01056	Prab.g_01104
OG0000012	Prbf.g_01905, Prbf.g_00272	Prab.g_00627
OG0000013	Prbf.g_01665	Prab.g_00315
OG0000014	Prbf.g_01647	Prab.g_00294
OG0000015	Prbf.g_00754, Prbf.g_00708	Prab.g_00789
OG0000016	Prbf.g_00860	Prab.g_01579
OG0000017	Prbf.g_01880, Prbf.g_01887	Prab.g_00602
OG0000018	Prbf.g_01217	Prab.g_00867
OG0000018	Prbf.g_00896	Prab.g_01201
OG0000019	Prbf.g_01588	Prab.g_00239
OG0000019	Prbf.g_00894	Prab.g_00820
OG0000020	Prbf.g_00811	Prab.g_00379
OG0000021	Prbf.g_00265, Prbf.g_01259	Prab.g_00354
OG0000022	Prbf.g_00248	Prab.g_00782
OG0000023	Prbf.g_00287	Prab.g_00348
OG0000024	Prbf.g_01052	Prab.g_00763
OG0000024	Prbf.g_01288	Prab.g_00680
OG0000025	Prbf.g_01209	Prab.g_00319, Prab.g_00874
OG0000026	Prbf.g_01354	Prab.g_01629, Prab.g_00031, Prab.g_01111
OG0000027	Prbf.g_00817, Prbf.g_00774	Prab.g_00914, Prab.g_01616
OG0000029	Prbf.g_00804, Prbf.g_00762	Prab.g_00773
OG0000030	Prbf.g_00484	Prab.g_01867
OG0000031	Prbf.g_00116	Prab.g_01446
OG0000033	Prbf.g_00123	Prab.g_01400
OG0000034	Prbf.g_00015	Prab.g_01336
OG0000035	Prbf.g_00157	Prab.g_01466
OG0000037	Prbf.g_01437	Prab.g_00100
OG0000038	Prbf.g_00445	Prab.g_01908
OG0000039	Prbf.g_01276	Prab.g_00691
OG0000041	Prbf.g_00646	Prab.g_01715
OG0000042	Prbf.g_00487	Prab.g_01864
OG0000043	Prbf.g_00897	Prab.g_01100
OG0000048	Prbf.g_00039, Prbf.g_01611	Prab.g_00411, Prab.g_00363
OG0000050	Prbf.g_00845	Prab.g_00394, Prab.g_01635, Prab.g_01645
OG0000052	Prbf.g_00135	Prab.g_01423
OG0000053	Prbf.g_00178, Prbf.g_00748	Prab.g_01486
OG0000054	Prbf.g_01889	Prab.g_00610
OG0000055	Prbf.g_00869, Prbf.g_00719	Prab.g_00821
OG0000057	Prbf.g_01261	Prab.g_00703
OG0000058	Prbf.g_00117	Prab.g_01393
OG0000059	Prbf.g_00606	Prab.g_01754
OG0000061	Prbf.g_00918	Prab.g_01219
OG0000062	Prbf.g_00242	Prab.g_01544
OG0000065	Prbf.g_01435	Prab.g_00098
OG0000066	Prbf.g_01820, Prbf.g_00781	Prab.g_00543
OG0000067	Prbf.g_01245	Prab.g_00840
OG0000068	Prbf.g_00095	Prab.g_01360
OG0000069	Prbf.g_01738	Prab.g_01585
OG0000070	Prbf.g_01734	Prab.g_00456
OG0000071	Prbf.g_00026	Prab.g_01637, Prab.g_01326
OG0000072	Prbf.g_01505	Prab.g_00162
OG0000073	Prbf.g_01783	Prab.g_00503
OG0000074	Prbf.g_01281, Prbf.g_00836, Prbf.g_00295	Prab.g_00687
OG0000075	Prbf.g_00522	Prab.g_01834
OG0000076	Prbf.g_00496	Prab.g_01857
OG0000077	Prbf.g_01405	Prab.g_00070
OG0000078	Prbf.g_01578	Prab.g_00229
OG0000079	Prbf.g_01591	Prab.g_00242
OG0000080	Prbf.g_00129	Prab.g_01404
OG0000080	Prbf.g_00131	Prab.g_01406
OG0000081	Prbf.g_01812	Prab.g_00535
OG0000082	Prbf.g_01867, Prbf.g_00704	Prab.g_00589
OG0000084	Prbf.g_00154	Prab.g_01462
OG0000085	Prbf.g_00822, Prbf.g_00701	Prab.g_01662
OG0000086	Prbf.g_01414	Prab.g_00080
OG0000087	Prbf.g_01469	Prab.g_00129
OG0000088	Prbf.g_01500	Prab.g_00157
OG0000089	Prbf.g_01701	Prab.g_00343
OG0000090	Prbf.g_01814	Prab.g_00537
OG0000091	Prbf.g_00990	Prab.g_00647
OG0000092	Prbf.g_01315	Prab.g_01063
OG0000093	Prbf.g_01019	Prab.g_01042
OG0000094	Prbf.g_01068	Prab.g_00948
OG0000095	Prbf.g_01170	Prab.g_01299
OG0000096	Prbf.g_00306	Prab.g_01596, Prab.g_01165
OG0000097	Prbf.g_00964	Prab.g_01260
OG0000098	Prbf.g_00071	Prab.g_01346
OG0000099	Prbf.g_00118	Prab.g_01394
OG0000100	Prbf.g_00236	Prab.g_01540
OG0000101	Prbf.g_00558	Prab.g_01802
OG0000102	Prbf.g_00491	Prab.g_01862
OG0000103	Prbf.g_00406	Prab.g_01942
OG0000104	Prbf.g_00397	Prab.g_01951
OG0000105	Prbf.g_01614	Prab.g_00262
OG0000106	Prbf.g_00320	Prab.g_00359
OG0000107	Prbf.g_00629	Prab.g_00375
OG0000108	Prbf.g_01763	Prab.g_00484
OG0000109	Prbf.g_01777	Prab.g_00498
OG0000110	Prbf.g_01856	Prab.g_00579
OG0000111	Prbf.g_01260	Prab.g_00704
OG0000112	Prbf.g_01929	Prab.g_00804
OG0000113	Prbf.g_01222	Prab.g_00862
OG0000114	Prbf.g_01320	Prab.g_01068
OG0000115	Prbf.g_00062	Prab.g_01156
OG0000116	Prbf.g_00907	Prab.g_01209
OG0000117	Prbf.g_00945	Prab.g_00717
OG0000118	Prbf.g_00013	Prab.g_01338
OG0000119	Prbf.g_00864, Prbf.g_00254	Prab.g_01356
OG0000120	Prbf.g_00115	Prab.g_01447
OG0000121	Prbf.g_00159	Prab.g_01468
OG0000122	Prbf.g_00055, Prbf.g_00200	Prab.g_01506
OG0000123	Prbf.g_00551	Prab.g_01809
OG0000124	Prbf.g_00478	Prab.g_01873
OG0000125	Prbf.g_00443	Prab.g_01910
OG0000126	Prbf.g_00398	Prab.g_01950
OG0000128	Prbf.g_00382	Prab.g_00011
OG0000129	Prbf.g_01367	Prab.g_00043
OG0000130	Prbf.g_01396	Prab.g_00061
OG0000131	Prbf.g_01478	Prab.g_00136
OG0000132	Prbf.g_01498	Prab.g_00155
OG0000133	Prbf.g_01661	Prab.g_00310
OG0000134	Prbf.g_01703	Prab.g_00344
OG0000135	Prbf.g_00044	Prab.g_00371
OG0000136	Prbf.g_01725	Prab.g_00444
OG0000137	Prbf.g_01758	Prab.g_00479
OG0000138	Prbf.g_01778	Prab.g_00499
OG0000139	Prbf.g_01818	Prab.g_00541
OG0000140	Prbf.g_01819	Prab.g_00542
OG0000141	Prbf.g_01890	Prab.g_00611
OG0000142	Prbf.g_00982	Prab.g_00640
OG0000143	Prbf.g_00986	Prab.g_00644
OG0000144	Prbf.g_01000	Prab.g_00657
OG0000145	Prbf.g_00042	Prab.g_00783
OG0000146	Prbf.g_01928	Prab.g_00805
OG0000147	Prbf.g_01927	Prab.g_00806
OG0000148	Prbf.g_01228	Prab.g_00856
OG0000149	Prbf.g_01196	Prab.g_00886
OG0000150	Prbf.g_01186	Prab.g_00894
OG0000151	Prbf.g_01310	Prab.g_01058
OG0000152	Prbf.g_01117	Prab.g_01010
OG0000153	Prbf.g_01098	Prab.g_00991
OG0000154	Prbf.g_01078	Prab.g_00955
OG0000155	Prbf.g_00939	Prab.g_01239
OG0000156	Prbf.g_00037	Prab.g_01315
OG0000157	Prbf.g_00036	Prab.g_01316
OG0000158	Prbf.g_00514	Prab.g_01379
OG0000160	Prbf.g_00158	Prab.g_01467
OG0000161	Prbf.g_00164	Prab.g_01473
OG0000162	Prbf.g_00170	Prab.g_01479
OG0000163	Prbf.g_00209	Prab.g_01513
OG0000164	Prbf.g_00669	Prab.g_01693
OG0000165	Prbf.g_00662	Prab.g_01700
OG0000166	Prbf.g_00595	Prab.g_01766
OG0000167	Prbf.g_00524	Prab.g_01832
OG0000168	Prbf.g_00513	Prab.g_01841
OG0000169	Prbf.g_00503	Prab.g_01851
OG0000170	Prbf.g_00500	Prab.g_01853
OG0000171	Prbf.g_00479	Prab.g_01872
OG0000172	Prbf.g_00472	Prab.g_01881
OG0000173	Prbf.g_00457	Prab.g_01896
OG0000174	Prbf.g_00428	Prab.g_01924
OG0000175	Prbf.g_00415	Prab.g_01934
OG0000176	Prbf.g_00389	Prab.g_00004
OG0000177	Prbf.g_00388	Prab.g_00005
OG0000178	Prbf.g_00387	Prab.g_00006
OG0000179	Prbf.g_01338	Prab.g_00016
OG0000180	Prbf.g_01339	Prab.g_00017
OG0000181	Prbf.g_01340	Prab.g_00018
OG0000182	Prbf.g_01341	Prab.g_00019
OG0000183	Prbf.g_01345	Prab.g_00023
OG0000184	Prbf.g_01371	Prab.g_00045
OG0000185	Prbf.g_01374	Prab.g_00048
OG0000186	Prbf.g_01390	Prab.g_00056
OG0000187	Prbf.g_01391	Prab.g_00057
OG0000188	Prbf.g_01408	Prab.g_00074
OG0000189	Prbf.g_01422	Prab.g_00087
OG0000190	Prbf.g_01424	Prab.g_00088
OG0000191	Prbf.g_01447	Prab.g_00108
OG0000192	Prbf.g_01452	Prab.g_00112
OG0000193	Prbf.g_01479	Prab.g_00137
OG0000194	Prbf.g_01482	Prab.g_00140
OG0000195	Prbf.g_01484	Prab.g_00142
OG0000196	Prbf.g_01495	Prab.g_00152
OG0000197	Prbf.g_01496	Prab.g_00153
OG0000198	Prbf.g_01497	Prab.g_00154
OG0000199	Prbf.g_01504	Prab.g_00161
OG0000200	Prbf.g_01518	Prab.g_00175
OG0000201	Prbf.g_01527	Prab.g_00183
OG0000202	Prbf.g_01528	Prab.g_00184
OG0000203	Prbf.g_01529	Prab.g_00185
OG0000204	Prbf.g_01530	Prab.g_00186
