Orthogroup	Prbf	Prbc
OG0000000	Prbf.g_00880	Prbc.g_00609, Prbc.g_00812
OG0000000	Prbf.g_00776	Prbc.g_00104, Prbc.g_02164, Prbc.g_00806, Prbc.g_02165
OG0000000	Prbf.g_00775	Prbc.g_00618
OG0000000	Prbf.g_00881	Prbc.g_00618
OG0000000	Prbf.g_00775	Prbc.g_02167
OG0000000	Prbf.g_00881	Prbc.g_02167
OG0000000	Prbf.g_00760	Prbc.g_00608
OG0000001	Prbf.g_00068	Prbc.g_00588
OG0000001	Prbf.g_00831	Prbc.g_01530, Prbc.g_00925
OG0000002	Prbf.g_01182	Prbc.g_01920
OG0000002	Prbf.g_00888	Prbc.g_01475
OG0000002	Prbf.g_00089, Prbf.g_00890	Prbc.g_01474
OG0000002	Prbf.g_00883	Prbc.g_01479, Prbc.g_01473
OG0000002	Prbf.g_00260	Prbc.g_01478
OG0000002	Prbf.g_01285	Prbc.g_01759
OG0000004	Prbf.g_01264	Prbc.g_01381
OG0000004	Prbf.g_01570	Prbc.g_00339
OG0000005	Prbf.g_00240	Prbc.g_00788
OG0000006	Prbf.g_01580	Prbc.g_02202
OG0000007	Prbf.g_01780	Prbc.g_01556
OG0000007	Prbf.g_00693	Prbc.g_00832
OG0000008	Prbf.g_00793	Prbc.g_00893
OG0000008	Prbf.g_00792	Prbc.g_00894
OG0000009	Prbf.g_00252	Prbc.g_01344
OG0000010	Prbf.g_01757	Prbc.g_01533
OG0000010	Prbf.g_00847, Prbf.g_01056	Prbc.g_02115
OG0000011	Prbf.g_00347	Prbc.g_00066
OG0000012	Prbf.g_00272	Prbc.g_02155
OG0000013	Prbf.g_01665	Prbc.g_01219
OG0000014	Prbf.g_01647	Prbc.g_01198
OG0000015	Prbf.g_00754, Prbf.g_00708	Prbc.g_00599
OG0000016	Prbf.g_00860	Prbc.g_00929
OG0000018	Prbf.g_01217	Prbc.g_01887
OG0000018	Prbf.g_00896	Prbc.g_01468
OG0000019	Prbf.g_00894	Prbc.g_01836
OG0000020	Prbf.g_00811	Prbc.g_00116
OG0000021	Prbf.g_00265	Prbc.g_00924
OG0000021	Prbf.g_01259	Prbc.g_02189
OG0000022	Prbf.g_00248	Prbc.g_00166
OG0000023	Prbf.g_00287	Prbc.g_00006, Prbc.g_00047, Prbc.g_00071
OG0000024	Prbf.g_01052	Prbc.g_00598
OG0000024	Prbf.g_01288	Prbc.g_01755
OG0000025	Prbf.g_01209	Prbc.g_01115, Prbc.g_00528, Prbc.g_01894
OG0000026	Prbf.g_01354	Prbc.g_01101
OG0000027	Prbf.g_00817, Prbf.g_00774	Prbc.g_00072
OG0000028	Prbf.g_00794	Prbc.g_00653
OG0000030	Prbf.g_00484	Prbc.g_00199
OG0000031	Prbf.g_00116	Prbc.g_01228
OG0000032	Prbf.g_00196	Prbc.g_00746
OG0000033	Prbf.g_01503, Prbf.g_00123	Prbc.g_00402
OG0000034	Prbf.g_00015	Prbc.g_00575
OG0000035	Prbf.g_00157	Prbc.g_00709
OG0000037	Prbf.g_01437	Prbc.g_00464
OG0000038	Prbf.g_00445	Prbc.g_00995
OG0000039	Prbf.g_01276	Prbc.g_01768
OG0000041	Prbf.g_00646	Prbc.g_00877
OG0000042	Prbf.g_00487	Prbc.g_00203
OG0000043	Prbf.g_00897	Prbc.g_00135, Prbc.g_01953
OG0000045	Prbf.g_00874	Prbc.g_02137
OG0000046	Prbf.g_01666	Prbc.g_01220
OG0000047	Prbf.g_01707	Prbc.g_01273
OG0000048	Prbf.g_00039	Prbc.g_01165
OG0000051	Prbf.g_00340	Prbc.g_00088
OG0000052	Prbf.g_01380	Prbc.g_00518, Prbc.g_00517
OG0000053	Prbf.g_00178, Prbf.g_00748	Prbc.g_00728
OG0000054	Prbf.g_01889	Prbc.g_01683
OG0000055	Prbf.g_00719	Prbc.g_00907
OG0000057	Prbf.g_01261	Prbc.g_00055, Prbc.g_01780
OG0000058	Prbf.g_00117	Prbc.g_01928
OG0000059	Prbf.g_00606	Prbc.g_00958
OG0000061	Prbf.g_00918	Prbc.g_01446
OG0000062	Prbf.g_00242	Prbc.g_00790
OG0000063	Prbf.g_00808	Prbc.g_00932
OG0000065	Prbf.g_01435	Prbc.g_00466
OG0000066	Prbf.g_01820, Prbf.g_00781	Prbc.g_01618
OG0000067	Prbf.g_01245	Prbc.g_01858
OG0000068	Prbf.g_00095	Prbc.g_00657
OG0000069	Prbf.g_01738	Prbc.g_00752
OG0000070	Prbf.g_01734	Prbc.g_01511
OG0000071	Prbf.g_00026	Prbc.g_00566
OG0000072	Prbf.g_01505	Prbc.g_00400
OG0000073	Prbf.g_01783	Prbc.g_01579
OG0000074	Prbf.g_00836	Prbc.g_01960
OG0000074	Prbf.g_00295	Prbc.g_02148
OG0000075	Prbf.g_00522	Prbc.g_00236
OG0000076	Prbf.g_00496	Prbc.g_00211
OG0000077	Prbf.g_01405	Prbc.g_00495
OG0000078	Prbf.g_01578	Prbc.g_00330
OG0000079	Prbf.g_01591	Prbc.g_01148
OG0000080	Prbf.g_00129, Prbf.g_00131	Prbc.g_00679
OG0000081	Prbf.g_01812	Prbc.g_01610
OG0000082	Prbf.g_00704	Prbc.g_00891
OG0000084	Prbf.g_00154	Prbc.g_00705
OG0000085	Prbf.g_00822, Prbf.g_00701	Prbc.g_00826
OG0000086	Prbf.g_01414	Prbc.g_00485
OG0000087	Prbf.g_01469	Prbc.g_00432
OG0000088	Prbf.g_01500	Prbc.g_00405
OG0000089	Prbf.g_01701	Prbc.g_01268
OG0000090	Prbf.g_01814	Prbc.g_01612
OG0000091	Prbf.g_00990	Prbc.g_01719
OG0000093	Prbf.g_01019	Prbc.g_01843
OG0000094	Prbf.g_01068	Prbc.g_01935
OG0000095	Prbf.g_01170	Prbc.g_02113
OG0000096	Prbf.g_00306	Prbc.g_01323
OG0000097	Prbf.g_00964	Prbc.g_01400
OG0000098	Prbf.g_00071	Prbc.g_00585
OG0000099	Prbf.g_00118	Prbc.g_01229
OG0000100	Prbf.g_00236	Prbc.g_00785
OG0000101	Prbf.g_00558	Prbc.g_00284
OG0000102	Prbf.g_00491	Prbc.g_00206
OG0000103	Prbf.g_00406	Prbc.g_01053
OG0000104	Prbf.g_00397	Prbc.g_01065
OG0000105	Prbf.g_01614	Prbc.g_01167
OG0000106	Prbf.g_00320	Prbc.g_00134, Prbc.g_00641
OG0000107	Prbf.g_00629	Prbc.g_00934
OG0000108	Prbf.g_01763	Prbc.g_01540
OG0000109	Prbf.g_01777	Prbc.g_01553
OG0000110	Prbf.g_01856	Prbc.g_01654
OG0000111	Prbf.g_01260	Prbc.g_01781
OG0000112	Prbf.g_01929	Prbc.g_02028
OG0000113	Prbf.g_01222	Prbc.g_00153
OG0000114	Prbf.g_01320	Prbc.g_01977
OG0000115	Prbf.g_00062	Prbc.g_00801
OG0000116	Prbf.g_00907	Prbc.g_01457
OG0000117	Prbf.g_00945	Prbc.g_00102
OG0000118	Prbf.g_00013	Prbc.g_00577
OG0000119	Prbf.g_00864, Prbf.g_00254	Prbc.g_00650
OG0000120	Prbf.g_00115	Prbc.g_01753
OG0000121	Prbf.g_00159	Prbc.g_00711
OG0000122	Prbf.g_00200	Prbc.g_00750
OG0000123	Prbf.g_00551	Prbc.g_00277
OG0000124	Prbf.g_00478	Prbc.g_00193
OG0000125	Prbf.g_00443	Prbc.g_00997
OG0000126	Prbf.g_00398	Prbc.g_01063
OG0000128	Prbf.g_00382	Prbc.g_01081
OG0000129	Prbf.g_01367	Prbc.g_01122
OG0000130	Prbf.g_01396	Prbc.g_00504
OG0000131	Prbf.g_01478	Prbc.g_00426
OG0000132	Prbf.g_01498	Prbc.g_00407
OG0000133	Prbf.g_01661	Prbc.g_01214
OG0000134	Prbf.g_01703	Prbc.g_01270
OG0000135	Prbf.g_00044	Prbc.g_02198, Prbc.g_02183
OG0000136	Prbf.g_01725	Prbc.g_01502
OG0000137	Prbf.g_01758	Prbc.g_01534
OG0000138	Prbf.g_01778	Prbc.g_01554
OG0000139	Prbf.g_01818	Prbc.g_01616
OG0000140	Prbf.g_01819	Prbc.g_01617
OG0000141	Prbf.g_01890	Prbc.g_01684
OG0000142	Prbf.g_00982	Prbc.g_01712
OG0000143	Prbf.g_00986	Prbc.g_01716
OG0000144	Prbf.g_01000	Prbc.g_01729
OG0000145	Prbf.g_00042	Prbc.g_02142
OG0000146	Prbf.g_01928	Prbc.g_02027
OG0000147	Prbf.g_01927	Prbc.g_02026
OG0000148	Prbf.g_01228	Prbc.g_01876
OG0000149	Prbf.g_01196	Prbc.g_01908
OG0000150	Prbf.g_01186	Prbc.g_01916
OG0000151	Prbf.g_01310	Prbc.g_01988
OG0000152	Prbf.g_01117	Prbc.g_02036
OG0000153	Prbf.g_01098	Prbc.g_02054
OG0000154	Prbf.g_01078	Prbc.g_02083
OG0000155	Prbf.g_00939	Prbc.g_01424
OG0000156	Prbf.g_00037	Prbc.g_00555
