Orthogroup	Prbf	Prak
OG0000000	Prbf.g_00880	Prak.g_01210
OG0000000	Prbf.g_00776	Prak.g_01562
OG0000000	Prbf.g_00775	Prak.g_01209
OG0000000	Prbf.g_00881	Prak.g_01209
OG0000000	Prbf.g_00775	Prak.g_01563
OG0000000	Prbf.g_00881	Prak.g_01563
OG0000000	Prbf.g_00760	Prak.g_01578
OG0000001	Prbf.g_00068	Prak.g_01302
OG0000001	Prbf.g_00831	Prak.g_00755
OG0000002	Prbf.g_01182	Prak.g_00908
OG0000002	Prbf.g_01177	Prak.g_00913
OG0000002	Prbf.g_00888	Prak.g_01202
OG0000002	Prbf.g_00089	Prak.g_01323
OG0000002	Prbf.g_00890	Prak.g_01200
OG0000002	Prbf.g_00883	Prak.g_01207
OG0000002	Prbf.g_00260	Prak.g_01494
OG0000002	Prbf.g_01285	Prak.g_00805
OG0000004	Prbf.g_01264	Prak.g_00826
OG0000004	Prbf.g_01570	Prak.g_00248
OG0000005	Prbf.g_00240	Prak.g_01474
OG0000006	Prbf.g_01580	Prak.g_00258
OG0000007	Prbf.g_01780	Prak.g_00458
OG0000007	Prbf.g_00693	Prak.g_01645
OG0000008	Prbf.g_00793	Prak.g_01544
OG0000008	Prbf.g_00792	Prak.g_01545, Prak.g_01546
OG0000009	Prbf.g_00252	Prak.g_01486
OG0000010	Prbf.g_01757	Prak.g_00435
OG0000010	Prbf.g_00847	Prak.g_00739
OG0000010	Prbf.g_01056	Prak.g_01034
OG0000011	Prbf.g_00347	Prak.g_00660
OG0000012	Prbf.g_01905	Prak.g_00584
OG0000012	Prbf.g_00272	Prak.g_01506
OG0000013	Prbf.g_01665	Prak.g_00343
OG0000014	Prbf.g_01647	Prak.g_00325
OG0000015	Prbf.g_00754	Prak.g_01584
OG0000015	Prbf.g_00708	Prak.g_01630
OG0000016	Prbf.g_00860	Prak.g_01230
OG0000017	Prbf.g_01880	Prak.g_00559
OG0000017	Prbf.g_01887	Prak.g_00566
OG0000018	Prbf.g_01217	Prak.g_00873
OG0000018	Prbf.g_00896	Prak.g_01194
OG0000019	Prbf.g_01588	Prak.g_00266
OG0000019	Prbf.g_00894	Prak.g_01196
OG0000020	Prbf.g_00264	Prak.g_01498
OG0000020	Prbf.g_00811	Prak.g_01527
OG0000021	Prbf.g_00265	Prak.g_01499
OG0000021	Prbf.g_01259	Prak.g_00831
OG0000022	Prbf.g_00248	Prak.g_01482
OG0000023	Prbf.g_00287	Prak.g_00721
OG0000024	Prbf.g_01052	Prak.g_01038
OG0000024	Prbf.g_01288	Prak.g_00802
OG0000025	Prbf.g_01209	Prak.g_00881
OG0000026	Prbf.g_01354	Prak.g_00032
OG0000027	Prbf.g_00817	Prak.g_01521
OG0000027	Prbf.g_00774	Prak.g_01564
OG0000028	Prbf.g_00794	Prak.g_01543
OG0000029	Prbf.g_00804	Prak.g_01534
OG0000029	Prbf.g_00762	Prak.g_01576
OG0000029	Prbf.g_00603	Prak.g_01735
OG0000030	Prbf.g_00484	Prak.g_01853
