Orthogroup	Prbf	Praq
OG0000000	Prbf.g_00776	Praq.g_01956, Praq.g_00026
OG0000001	Prbf.g_00068	Praq.g_00160
OG0000002	Prbf.g_01182, Prbf.g_01177	Praq.g_00168
OG0000002	Prbf.g_00888, Prbf.g_00089, Prbf.g_00890, Prbf.g_00883, Prbf.g_00260, Prbf.g_01285	Praq.g_00807
OG0000004	Prbf.g_01264	Praq.g_00824
OG0000004	Prbf.g_01570	Praq.g_01770
OG0000005	Prbf.g_00240	Praq.g_00370
OG0000006	Prbf.g_01580	Praq.g_01761
OG0000007	Prbf.g_01780	Praq.g_01105
OG0000007	Prbf.g_00693	Praq.g_00497
OG0000008	Prbf.g_00793	Praq.g_00071
OG0000010	Prbf.g_01757	Praq.g_00525
OG0000010	Prbf.g_00847, Prbf.g_01056	Praq.g_00552, Praq.g_01626
OG0000012	Prbf.g_01905, Prbf.g_00272	Praq.g_00979
OG0000013	Prbf.g_01665	Praq.g_01675
OG0000014	Prbf.g_01647	Praq.g_01696
OG0000015	Prbf.g_00754, Prbf.g_00708	Praq.g_00065
OG0000017	Prbf.g_01880, Prbf.g_01887	Praq.g_01004
OG0000018	Prbf.g_01217	Praq.g_01425
OG0000018	Prbf.g_00896	Praq.g_01314
OG0000019	Prbf.g_01588	Praq.g_01753
OG0000019	Prbf.g_00894	Praq.g_00649
OG0000020	Prbf.g_00811	Praq.g_00041, Praq.g_00080, Praq.g_00547
OG0000021	Prbf.g_00265, Prbf.g_01259	Praq.g_01179
OG0000022	Prbf.g_00248	Praq.g_00635
OG0000023	Prbf.g_00287	Praq.g_01184
OG0000024	Prbf.g_01052	Praq.g_00618
OG0000024	Prbf.g_01288	Praq.g_00804
OG0000025	Prbf.g_01209	Praq.g_01671, Praq.g_01432
OG0000026	Prbf.g_01354	Praq.g_01234, Praq.g_01633
OG0000027	Prbf.g_00817, Prbf.g_00774	Praq.g_00521
OG0000028	Prbf.g_00794	Praq.g_00103
