Orthogroup	Prbf	Prbh
OG0000000	Prbf.g_01182	Prbh.g_01016
OG0000000	Prbf.g_01177	Prbh.g_01022
OG0000000	Prbf.g_01285	Prbh.g_00912
OG0000000	Prbf.g_00260	Prbh.g_00199
OG0000000	Prbf.g_00888	Prbh.g_01313
OG0000000	Prbf.g_00089	Prbh.g_00006
OG0000000	Prbf.g_00890	Prbh.g_01311
OG0000000	Prbf.g_00883	Prbh.g_01317
OG0000001	Prbf.g_00775	Prbh.g_01902
OG0000002	Prbf.g_00831	Prbh.g_00001, Prbh.g_00863
OG0000003	Prbf.g_00880	Prbh.g_01319
OG0000004	Prbf.g_00052	Prbh.g_01350
OG0000005	Prbf.g_00776	Prbh.g_01903
OG0000006	Prbf.g_01780	Prbh.g_00334
OG0000006	Prbf.g_00693	Prbh.g_01782
OG0000007	Prbf.g_00793	Prbh.g_01406
OG0000007	Prbf.g_00792	Prbh.g_01405
OG0000009	Prbf.g_00894	Prbh.g_01307
OG0000009	Prbf.g_01588	Prbh.g_00530
OG0000010	Prbf.g_00306	Prbh.g_01909, Prbh.g_01948
OG0000011	Prbf.g_01707	Prbh.g_00408
OG0000012	Prbf.g_01887	Prbh.g_00225
OG0000012	Prbf.g_01880	Prbh.g_00232
OG0000013	Prbf.g_00754	Prbh.g_01869
OG0000013	Prbf.g_00708	Prbh.g_00840
OG0000015	Prbf.g_00765, Prbf.g_00732	Prbh.g_00806
OG0000016	Prbf.g_00864	Prbh.g_01333
OG0000016	Prbf.g_00254	Prbh.g_00194
OG0000017	Prbf.g_00748	Prbh.g_01834
OG0000017	Prbf.g_00178	Prbh.g_00120
OG0000018	Prbf.g_01580	Prbh.g_00538
OG0000019	Prbf.g_01259	Prbh.g_00938
OG0000020	Prbf.g_00039, Prbf.g_01611	Prbh.g_00508
OG0000021	Prbf.g_00711	Prbh.g_00788
OG0000023	Prbf.g_00252	Prbh.g_00377
OG0000024	Prbf.g_01647	Prbh.g_00472
OG0000025	Prbf.g_00845	Prbh.g_00850
OG0000026	Prbf.g_00808	Prbh.g_01401
OG0000028	Prbf.g_00157	Prbh.g_00096, Prbh.g_00099
OG0000029	Prbf.g_01738	Prbh.g_00376
OG0000032	Prbf.g_00116	Prbh.g_00064
OG0000033	Prbf.g_00860	Prbh.g_01336
OG0000034	Prbf.g_01380	Prbh.g_00727
OG0000035	Prbf.g_00299	Prbh.g_00825
OG0000036	Prbf.g_00704	Prbh.g_01855
OG0000037	Prbf.g_01905, Prbf.g_00272	Prbh.g_01460
OG0000038	Prbf.g_00248	Prbh.g_00190
OG0000039	Prbf.g_01500	Prbh.g_00616
OG0000040	Prbf.g_00287	Prbh.g_00833
OG0000041	Prbf.g_00729, Prbf.g_00735	Prbh.g_01827
OG0000042	Prbf.g_01253	Prbh.g_00945
OG0000043	Prbf.g_01153	Prbh.g_01048
OG0000044	Prbf.g_00918	Prbh.g_01283
OG0000045	Prbf.g_00117	Prbh.g_00030
OG0000046	Prbf.g_00822	Prbh.g_01408
OG0000047	Prbf.g_00496	Prbh.g_01581
OG0000048	Prbf.g_00487	Prbh.g_01573
OG0000050	Prbf.g_01354	Prbh.g_00749
OG0000051	Prbf.g_01491	Prbh.g_00625
OG0000052	Prbf.g_00320	Prbh.g_00821
OG0000053	Prbf.g_00781	Prbh.g_01856
OG0000054	Prbf.g_01922	Prbh.g_01897
OG0000055	Prbf.g_01222	Prbh.g_00976
OG0000056	Prbf.g_00862	Prbh.g_01334
OG0000057	Prbf.g_01575	Prbh.g_00543
OG0000058	Prbf.g_01758	Prbh.g_00356
OG0000059	Prbf.g_01261	Prbh.g_00936
OG0000062	Prbf.g_00788	Prbh.g_01868
OG0000063	Prbf.g_00945	Prbh.g_01255
OG0000065	Prbf.g_00026	Prbh.g_01373
OG0000066	Prbf.g_00115	Prbh.g_00031
OG0000067	Prbf.g_00347	Prbh.g_01835
OG0000068	Prbf.g_00558	Prbh.g_01644
OG0000069	Prbf.g_00196	Prbh.g_00138
OG0000071	Prbf.g_00382	Prbh.g_01953
OG0000072	Prbf.g_01661	Prbh.g_00457
OG0000073	Prbf.g_01018	Prbh.g_01182
OG0000074	Prbf.g_01271	Prbh.g_00926
OG0000075	Prbf.g_01238	Prbh.g_00960
OG0000076	Prbf.g_01170	Prbh.g_01031
OG0000077	Prbf.g_00777	Prbh.g_01904
OG0000078	Prbf.g_00118	Prbh.g_00032
OG0000079	Prbf.g_00242	Prbh.g_00184
OG0000080	Prbf.g_00346	Prbh.g_01860
OG0000081	Prbf.g_00524	Prbh.g_01609
OG0000082	Prbf.g_00351	Prbh.g_01516
OG0000083	Prbf.g_00390	Prbh.g_01473
OG0000084	Prbf.g_00387	Prbh.g_01470
OG0000085	Prbf.g_01345	Prbh.g_00757
OG0000087	Prbf.g_01374	Prbh.g_00731
OG0000088	Prbf.g_01443	Prbh.g_00668
OG0000089	Prbf.g_01452	Prbh.g_00659
OG0000090	Prbf.g_01469	Prbh.g_00642
OG0000091	Prbf.g_01503	Prbh.g_00613
OG0000092	Prbf.g_01504	Prbh.g_00612
OG0000093	Prbf.g_01518	Prbh.g_00599
OG0000094	Prbf.g_01537	Prbh.g_00580
OG0000095	Prbf.g_01542	Prbh.g_00575
OG0000096	Prbf.g_01590	Prbh.g_00528
OG0000097	Prbf.g_01614	Prbh.g_00505
OG0000098	Prbf.g_01625	Prbh.g_00494
OG0000099	Prbf.g_01635	Prbh.g_00484
OG0000100	Prbf.g_01638	Prbh.g_00481
OG0000101	Prbf.g_01703	Prbh.g_00413
OG0000102	Prbf.g_00044	Prbh.g_01825
OG0000103	Prbf.g_01759	Prbh.g_00355
OG0000104	Prbf.g_01763	Prbh.g_00351
OG0000105	Prbf.g_01783	Prbh.g_00330
OG0000106	Prbf.g_01813	Prbh.g_00297
OG0000107	Prbf.g_01814	Prbh.g_00296
OG0000108	Prbf.g_01824	Prbh.g_00287
OG0000109	Prbf.g_01833	Prbh.g_00278
OG0000110	Prbf.g_01850	Prbh.g_00260
OG0000111	Prbf.g_00999	Prbh.g_01202
OG0000112	Prbf.g_01000	Prbh.g_01201
OG0000113	Prbf.g_01050	Prbh.g_01149
OG0000114	Prbf.g_01247	Prbh.g_00951
OG0000115	Prbf.g_01117	Prbh.g_01086
OG0000116	Prbf.g_01113	Prbh.g_01090
OG0000117	Prbf.g_01167	Prbh.g_01034
OG0000118	Prbf.g_00873	Prbh.g_01328
OG0000119	Prbf.g_00785	Prbh.g_01865
OG0000120	Prbf.g_00924	Prbh.g_01276
OG0000121	Prbf.g_00947	Prbh.g_01253
OG0000122	Prbf.g_00967	Prbh.g_01233
OG0000123	Prbf.g_01915	Prbh.g_01450
OG0000124	Prbf.g_00253	Prbh.g_01397
OG0000125	Prbf.g_00013	Prbh.g_01385
OG0000126	Prbf.g_00095	Prbh.g_00009
OG0000127	Prbf.g_00145	Prbh.g_00084
OG0000128	Prbf.g_00158	Prbh.g_00100
OG0000129	Prbf.g_00194	Prbh.g_00136
OG0000130	Prbf.g_00696	Prbh.g_01785
OG0000131	Prbf.g_00657	Prbh.g_01745
OG0000132	Prbf.g_00654	Prbh.g_01742
OG0000133	Prbf.g_00600	Prbh.g_01686
OG0000134	Prbf.g_00564	Prbh.g_01650
OG0000135	Prbf.g_00562	Prbh.g_01648
OG0000136	Prbf.g_00512	Prbh.g_01597
OG0000137	Prbf.g_00477	Prbh.g_01563
OG0000138	Prbf.g_00443	Prbh.g_01528
OG0000139	Prbf.g_00412	Prbh.g_01497
OG0000140	Prbf.g_00392	Prbh.g_01475
OG0000141	Prbf.g_00391	Prbh.g_01474
OG0000142	Prbf.g_00389	Prbh.g_01472
OG0000143	Prbf.g_00388	Prbh.g_01471
OG0000144	Prbf.g_00386	Prbh.g_01469
OG0000145	Prbf.g_00385	Prbh.g_01468
OG0000146	Prbf.g_00384	Prbh.g_01467
OG0000147	Prbf.g_00383	Prbh.g_01466
OG0000148	Prbf.g_00381	Prbh.g_01952
OG0000149	Prbf.g_01336	Prbh.g_00766
OG0000150	Prbf.g_01337	Prbh.g_00765
OG0000151	Prbf.g_01338	Prbh.g_00764
OG0000152	Prbf.g_01339	Prbh.g_00763
OG0000153	Prbf.g_01340	Prbh.g_00762
OG0000154	Prbf.g_01341	Prbh.g_00761
OG0000155	Prbf.g_01342	Prbh.g_00760
OG0000156	Prbf.g_01343	Prbh.g_00759
OG0000157	Prbf.g_01344	Prbh.g_00758
OG0000158	Prbf.g_01346	Prbh.g_00756
OG0000159	Prbf.g_01347	Prbh.g_00755
OG0000160	Prbf.g_01348	Prbh.g_00754
OG0000161	Prbf.g_01349	Prbh.g_00753
OG0000162	Prbf.g_01350	Prbh.g_00752
OG0000163	Prbf.g_01352	Prbh.g_00751
OG0000164	Prbf.g_01355	Prbh.g_00748
OG0000165	Prbf.g_01358	Prbh.g_00746
OG0000166	Prbf.g_01359	Prbh.g_00745
OG0000167	Prbf.g_01360	Prbh.g_00744
OG0000168	Prbf.g_01362	Prbh.g_00743
