Orthogroup	Prbf	Prbd
OG0000000	Prbf.g_01182, Prbf.g_01177	Prbd.g_01771
OG0000000	Prbf.g_01285, Prbf.g_00260, Prbf.g_00888, Prbf.g_00089, Prbf.g_00890, Prbf.g_00883	Prbd.g_00566
OG0000002	Prbf.g_00068	Prbd.g_01779
OG0000002	Prbf.g_00831	Prbd.g_01930
OG0000003	Prbf.g_00880	Prbd.g_01835, Prbd.g_01567
OG0000004	Prbf.g_00052	Prbd.g_00038
OG0000005	Prbf.g_00776	Prbd.g_01568, Prbd.g_01914
OG0000006	Prbf.g_01780	Prbd.g_00745
OG0000006	Prbf.g_00693	Prbd.g_01525
OG0000009	Prbf.g_00894	Prbd.g_00082
OG0000009	Prbf.g_01588	Prbd.g_00990
OG0000010	Prbf.g_00306	Prbd.g_01840, Prbd.g_00409, Prbd.g_01870
OG0000012	Prbf.g_01887, Prbf.g_01880	Prbd.g_00646
OG0000013	Prbf.g_00754, Prbf.g_00708	Prbd.g_00065, Prbd.g_00826
OG0000014	Prbf.g_00774, Prbf.g_00817	Prbd.g_01832, Prbd.g_00772
OG0000015	Prbf.g_00765, Prbf.g_00732	Prbd.g_00856
OG0000016	Prbf.g_00864, Prbf.g_00254	Prbd.g_01768
OG0000018	Prbf.g_01580	Prbd.g_00998
OG0000019	Prbf.g_01259	Prbd.g_01546, Prbd.g_00874
OG0000020	Prbf.g_00039	Prbd.g_00439
OG0000020	Prbf.g_01611	Prbd.g_00864
OG0000021	Prbf.g_00711	Prbd.g_00084
OG0000023	Prbf.g_00252	Prbd.g_01887
OG0000024	Prbf.g_01647	Prbd.g_00933
OG0000028	Prbf.g_00157	Prbd.g_01689
OG0000029	Prbf.g_01738	Prbd.g_01575
OG0000031	Prbf.g_00340	Prbd.g_01544
OG0000035	Prbf.g_00299	Prbd.g_00192
OG0000036	Prbf.g_01867, Prbf.g_00704	Prbd.g_00658
OG0000037	Prbf.g_01905, Prbf.g_00272	Prbd.g_00621
OG0000038	Prbf.g_00248	Prbd.g_00061
OG0000039	Prbf.g_01500	Prbd.g_01074
OG0000040	Prbf.g_00287	Prbd.g_00879
