Orthogroup	Praf	Syas
OG0000001	Praf.g_02422	Syas.g_00966, Syas.g_00967, Syas.g_00093, Syas.g_02373
OG0000003	Praf.g_01162, Praf.g_00199	Syas.g_00054
OG0000004	Praf.g_01121	Syas.g_00176
OG0000004	Praf.g_00743	Syas.g_00509, Syas.g_00174, Syas.g_00311, Syas.g_00072
OG0000005	Praf.g_00503	Syas.g_02704
OG0000006	Praf.g_00396, Praf.g_01719	Syas.g_00720, Syas.g_00942, Syas.g_01684, Syas.g_02565
OG0000007	Praf.g_00614	Syas.g_01232
OG0000007	Praf.g_00480	Syas.g_02681
OG0000008	Praf.g_01223	Syas.g_00886
OG0000008	Praf.g_01224	Syas.g_00887
OG0000009	Praf.g_01768, Praf.g_00246	Syas.g_01450
OG0000010	Praf.g_01908	Syas.g_01334
OG0000013	Praf.g_02073	Syas.g_00158, Syas.g_01552, Syas.g_01555, Syas.g_01557
OG0000014	Praf.g_02319	Syas.g_01816
OG0000015	Praf.g_01030, Praf.g_01033, Praf.g_01618	Syas.g_02007, Syas.g_00968
OG0000016	Praf.g_00014	Syas.g_02048
OG0000016	Praf.g_00906	Syas.g_01086
OG0000017	Praf.g_00760	Syas.g_00856
OG0000018	Praf.g_01832	Syas.g_01290
OG0000019	Praf.g_02214	Syas.g_01696
OG0000022	Praf.g_00965	Syas.g_02758
OG0000025	Praf.g_01591	Syas.g_00231
OG0000026	Praf.g_00037	Syas.g_02070
OG0000028	Praf.g_02333	Syas.g_01793
OG0000030	Praf.g_00160	Syas.g_01644
OG0000030	Praf.g_00159	Syas.g_01645
OG0000031	Praf.g_02400	Syas.g_01827
OG0000033	Praf.g_02457	Syas.g_02328
OG0000034	Praf.g_00783	Syas.g_02371, Syas.g_02838
OG0000035	Praf.g_01794	Syas.g_02814, Syas.g_02818
OG0000037	Praf.g_00240	Syas.g_01479, Syas.g_00147, Syas.g_01928
OG0000038	Praf.g_02660	Syas.g_01885
OG0000038	Praf.g_02662	Syas.g_01887
OG0000039	Praf.g_00406	Syas.g_02795
OG0000041	Praf.g_00426	Syas.g_00996
OG0000042	Praf.g_00164, Praf.g_00920	Syas.g_01121, Syas.g_02147
OG0000044	Praf.g_00356, Praf.g_01078	Syas.g_00894, Syas.g_02453
OG0000046	Praf.g_02072	Syas.g_01553, Syas.g_01556, Syas.g_01558
OG0000048	Praf.g_02267	Syas.g_01734
OG0000051	Praf.g_01022, Praf.g_01479	Syas.g_01445
OG0000053	Praf.g_01828	Syas.g_01287
OG0000054	Praf.g_00763	Syas.g_00961, Syas.g_00957
OG0000055	Praf.g_01257	Syas.g_00203
OG0000057	Praf.g_01125	Syas.g_01055, Syas.g_01038
OG0000059	Praf.g_02172	Syas.g_01639
OG0000061	Praf.g_00854	Syas.g_01184
OG0000062	Praf.g_01047	Syas.g_00070
OG0000062	Praf.g_00501	Syas.g_02702
OG0000063	Praf.g_00041	Syas.g_02074
OG0000065	Praf.g_00244	Syas.g_02420
OG0000066	Praf.g_00672	Syas.g_00094
OG0000068	Praf.g_00585, Praf.g_00583	Syas.g_00969, Syas.g_01261
OG0000070	Praf.g_01962	Syas.g_00173
OG0000071	Praf.g_00796	Syas.g_02854
OG0000072	Praf.g_02469	Syas.g_01524
OG0000073	Praf.g_00616	Syas.g_01230
OG0000075	Praf.g_02384	Syas.g_01921, Syas.g_02194
OG0000076	Praf.g_00178	Syas.g_02156
OG0000078	Praf.g_00391	Syas.g_02561
OG0000079	Praf.g_02234, Praf.g_02218, Praf.g_02225	Syas.g_01699
OG0000081	Praf.g_01131	Syas.g_00391
OG0000082	Praf.g_00731	Syas.g_00837
OG0000085	Praf.g_00491	Syas.g_02695
OG0000086	Praf.g_00297	Syas.g_02470
OG0000087	Praf.g_02420	Syas.g_02374
OG0000089	Praf.g_02015	Syas.g_01512
OG0000090	Praf.g_00660	Syas.g_00062
OG0000091	Praf.g_01700	Syas.g_00907, Syas.g_00146
OG0000094	Praf.g_02685	Syas.g_00208, Syas.g_01716
OG0000095	Praf.g_01274	Syas.g_01021
OG0000098	Praf.g_01886	Syas.g_00091
OG0000099	Praf.g_02342	Syas.g_01826
OG0000100	Praf.g_00370, Praf.g_01561	Syas.g_00567
OG0000102	Praf.g_00173	Syas.g_02152, Syas.g_01395
OG0000103	Praf.g_02765	Syas.g_02009
OG0000104	Praf.g_02779	Syas.g_02027, Syas.g_02026
OG0000105	Praf.g_02271	Syas.g_01739
OG0000106	Praf.g_00496	Syas.g_01451
OG0000107	Praf.g_02201	Syas.g_01669
OG0000108	Praf.g_00595	Syas.g_01253
OG0000109	Praf.g_00611	Syas.g_01236
OG0000110	Praf.g_00718	Syas.g_00359, Syas.g_00818
OG0000111	Praf.g_01126	Syas.g_01037
OG0000112	Praf.g_01400	Syas.g_00452
OG0000113	Praf.g_01556	Syas.g_00571
OG0000114	Praf.g_01461	Syas.g_00252, Syas.g_00674
OG0000115	Praf.g_01825	Syas.g_02548, Syas.g_01285
OG0000116	Praf.g_00825	Syas.g_01198, Syas.g_00317
OG0000117	Praf.g_00919	Syas.g_01122
OG0000118	Praf.g_00779	Syas.g_02835
OG0000120	Praf.g_02343	Syas.g_01828
