Orthogroup	Praf	Syat
OG0000001	Praf.g_01031	Syat.g_02910, Syat.g_02911
OG0000001	Praf.g_02422	Syat.g_02908, Syat.g_02909
OG0000001	Praf.g_01293	Syat.g_00878
OG0000005	Praf.g_00503	Syat.g_03105
OG0000006	Praf.g_00396, Praf.g_01719	Syat.g_00371, Syat.g_01439, Syat.g_01865
OG0000007	Praf.g_00614	Syat.g_03191
OG0000007	Praf.g_00480	Syat.g_03124
OG0000008	Praf.g_01223	Syat.g_02626
OG0000008	Praf.g_01224	Syat.g_02627
OG0000009	Praf.g_01768, Praf.g_00246	Syat.g_01567
OG0000010	Praf.g_01908	Syat.g_01372
OG0000013	Praf.g_02073	Syat.g_01625, Syat.g_01016, Syat.g_01027
OG0000014	Praf.g_02319	Syat.g_02104
OG0000014	Praf.g_00112	Syat.g_02250
OG0000015	Praf.g_01030, Praf.g_01033, Praf.g_01618	Syat.g_00775, Syat.g_01677
OG0000016	Praf.g_00014	Syat.g_02329
OG0000016	Praf.g_00906	Syat.g_00909
OG0000018	Praf.g_01832	Syat.g_01334
OG0000019	Praf.g_02214	Syat.g_01876
OG0000021	Praf.g_00946, Praf.g_01089, Praf.g_00746	Syat.g_00964
OG0000022	Praf.g_00965	Syat.g_00210
OG0000024	Praf.g_01139	Syat.g_03394
OG0000025	Praf.g_01591	Syat.g_00719
OG0000026	Praf.g_00037	Syat.g_02306
OG0000028	Praf.g_02333	Syat.g_02126
OG0000030	Praf.g_00160	Syat.g_00307
OG0000030	Praf.g_00159	Syat.g_00308
OG0000031	Praf.g_02400	Syat.g_02131
OG0000031	Praf.g_00101	Syat.g_03199, Syat.g_02243
OG0000032	Praf.g_01851	Syat.g_01354
OG0000032	Praf.g_02346	Syat.g_02237
OG0000033	Praf.g_02457	Syat.g_02858
OG0000034	Praf.g_00783	Syat.g_01165, Syat.g_02902
OG0000035	Praf.g_01794	Syat.g_01227, Syat.g_01226
OG0000037	Praf.g_00240	Syat.g_01575, Syat.g_00849, Syat.g_00187
OG0000038	Praf.g_02660	Syat.g_02688
OG0000038	Praf.g_02662	Syat.g_02686
OG0000039	Praf.g_00406, Praf.g_02541	Syat.g_01278
OG0000041	Praf.g_00426	Syat.g_00785
OG0000042	Praf.g_00164, Praf.g_00920	Syat.g_00223, Syat.g_02222
OG0000044	Praf.g_00356, Praf.g_01078	Syat.g_00933, Syat.g_01910, Syat.g_00146, Syat.g_03333
OG0000045	Praf.g_00322	Syat.g_00935
OG0000046	Praf.g_02072	Syat.g_01626, Syat.g_01026
OG0000048	Praf.g_02267	Syat.g_02046
OG0000052	Praf.g_02366	Syat.g_02140
OG0000053	Praf.g_01828	Syat.g_01330
OG0000054	Praf.g_00763	Syat.g_00987, Syat.g_03390
OG0000055	Praf.g_01257	Syat.g_00693
OG0000057	Praf.g_01125	Syat.g_00817, Syat.g_02055
OG0000058	Praf.g_02345	Syat.g_02133, Syat.g_02238
OG0000059	Praf.g_02172	Syat.g_01832
OG0000060	Praf.g_00592	Syat.g_01384
OG0000061	Praf.g_00854	Syat.g_03260
OG0000062	Praf.g_00501	Syat.g_03107
OG0000063	Praf.g_00041	Syat.g_02303
OG0000065	Praf.g_00244	Syat.g_01571
OG0000066	Praf.g_00672	Syat.g_03283
OG0000068	Praf.g_00585, Praf.g_00583	Syat.g_00085, Syat.g_01295
OG0000070	Praf.g_01962	Syat.g_01032, Syat.g_01040
OG0000071	Praf.g_00796	Syat.g_01153
OG0000072	Praf.g_02469	Syat.g_01597
OG0000073	Praf.g_00616	Syat.g_03201
OG0000075	Praf.g_02384	Syat.g_02497, Syat.g_01713, Syat.g_02154
OG0000076	Praf.g_00178	Syat.g_02206
OG0000078	Praf.g_00391	Syat.g_00184
OG0000079	Praf.g_02234, Praf.g_02218, Praf.g_02225	Syat.g_01879
OG0000081	Praf.g_01131	Syat.g_00980
OG0000082	Praf.g_00731	Syat.g_00035
OG0000085	Praf.g_00491	Syat.g_03113
OG0000086	Praf.g_00297	Syat.g_01531, Syat.g_00798, Syat.g_00635
OG0000087	Praf.g_02420	Syat.g_02912
OG0000088	Praf.g_01239	Syat.g_02862
OG0000089	Praf.g_02015	Syat.g_02953
OG0000090	Praf.g_00660	Syat.g_03270
OG0000091	Praf.g_01700	Syat.g_00939, Syat.g_00862
OG0000094	Praf.g_02685	Syat.g_00698, Syat.g_01034
OG0000095	Praf.g_01274	Syat.g_00808
OG0000098	Praf.g_01886	Syat.g_03281
OG0000099	Praf.g_02342	Syat.g_02130
OG0000100	Praf.g_00370, Praf.g_01561	Syat.g_00517
OG0000102	Praf.g_00173	Syat.g_00974
OG0000103	Praf.g_02765	Syat.g_02399
OG0000104	Praf.g_02779	Syat.g_02385
OG0000105	Praf.g_02271	Syat.g_02052
OG0000106	Praf.g_00496	Syat.g_00957
OG0000107	Praf.g_02201	Syat.g_01862
OG0000108	Praf.g_00595	Syat.g_03170
OG0000109	Praf.g_00611	Syat.g_03187
OG0000110	Praf.g_00718	Syat.g_00049
OG0000111	Praf.g_01126	Syat.g_00816
OG0000112	Praf.g_01400	Syat.g_00593
OG0000113	Praf.g_01556	Syat.g_00509
OG0000114	Praf.g_01461	Syat.g_00426
OG0000115	Praf.g_01825	Syat.g_01328
OG0000116	Praf.g_00825	Syat.g_02641
OG0000117	Praf.g_00919	Syat.g_00224
OG0000118	Praf.g_00779	Syat.g_01168
OG0000119	Praf.g_01108, Praf.g_01143	Syat.g_00309
OG0000120	Praf.g_02343	Syat.g_02132
OG0000121	Praf.g_01796	Syat.g_01223
OG0000123	Praf.g_02108	Syat.g_01653
OG0000124	Praf.g_00153	Syat.g_02231
OG0000125	Praf.g_02664	Syat.g_02684
OG0000126	Praf.g_02777	Syat.g_00976
OG0000127	Praf.g_00338	Syat.g_00175
OG0000128	Praf.g_00012	Syat.g_02331
OG0000129	Praf.g_02652	Syat.g_02693, Syat.g_02694
OG0000130	Praf.g_00321	Syat.g_01469
OG0000131	Praf.g_02432	Syat.g_02898
OG0000132	Praf.g_02452	Syat.g_02864
OG0000133	Praf.g_02336	Syat.g_00588
OG0000134	Praf.g_02012	Syat.g_02956
OG0000135	Praf.g_02715	Syat.g_02501
OG0000136	Praf.g_01984	Syat.g_01292
OG0000137	Praf.g_01907	Syat.g_01371
OG0000138	Praf.g_00612	Syat.g_03188
OG0000139	Praf.g_00666	Syat.g_03276
OG0000140	Praf.g_00670	Syat.g_03280
OG0000141	Praf.g_00764	Syat.g_03398
OG0000142	Praf.g_01692	Syat.g_00117
OG0000143	Praf.g_01696	Syat.g_00130
OG0000144	Praf.g_01721	Syat.g_00369
OG0000145	Praf.g_00617	Syat.g_03202
OG0000146	Praf.g_01401	Syat.g_00594
OG0000147	Praf.g_01402	Syat.g_00595
OG0000148	Praf.g_01548	Syat.g_00503
OG0000149	Praf.g_01604	Syat.g_00747
OG0000150	Praf.g_01625	Syat.g_03399
OG0000151	Praf.g_01478	Syat.g_00801, Syat.g_00440
OG0000152	Praf.g_01392	Syat.g_00578
OG0000153	Praf.g_01362	Syat.g_00542
OG0000154	Praf.g_01337	Syat.g_00708
OG0000155	Praf.g_00886	Syat.g_00287
OG0000156	Praf.g_00810	Syat.g_03228
OG0000157	Praf.g_00809	Syat.g_02012, Syat.g_03227
OG0000158	Praf.g_02394	Syat.g_02163
OG0000160	Praf.g_01795	Syat.g_01224
OG0000161	Praf.g_01805	Syat.g_01180
OG0000162	Praf.g_01817	Syat.g_01281
OG0000163	Praf.g_00538	Syat.g_02979
OG0000164	Praf.g_00453	Syat.g_03040
OG0000165	Praf.g_00444	Syat.g_03033
OG0000166	Praf.g_02157	Syat.g_01822
OG0000167	Praf.g_02382, Praf.g_02378, Praf.g_02380	Syat.g_02148
OG0000168	Praf.g_02395	Syat.g_02164
OG0000169	Praf.g_00191	Syat.g_02192
OG0000170	Praf.g_00183	Syat.g_02201
OG0000171	Praf.g_00154	Syat.g_02230
OG0000172	Praf.g_00087	Syat.g_02260
OG0000173	Praf.g_00062	Syat.g_02284
OG0000174	Praf.g_02717	Syat.g_02504
OG0000175	Praf.g_02754	Syat.g_02416
OG0000176	Praf.g_00004	Syat.g_02372
OG0000177	Praf.g_00005	Syat.g_02338
OG0000178	Praf.g_00006	Syat.g_02337
OG0000179	Praf.g_00021	Syat.g_02322
OG0000180	Praf.g_00022	Syat.g_02321
OG0000181	Praf.g_00023	Syat.g_02320
OG0000182	Praf.g_00024	Syat.g_02319
OG0000183	Praf.g_00028	Syat.g_02315
OG0000184	Praf.g_02611	Syat.g_02704
OG0000185	Praf.g_00333	Syat.g_02719
OG0000186	Praf.g_00328	Syat.g_01463
OG0000187	Praf.g_00326	Syat.g_01467
OG0000188	Praf.g_00303	Syat.g_01489
OG0000189	Praf.g_00257	Syat.g_00386, Syat.g_01557
OG0000190	Praf.g_00255	Syat.g_00330
OG0000191	Praf.g_00218	Syat.g_03344, Syat.g_02939
OG0000192	Praf.g_00212	Syat.g_02933
OG0000193	Praf.g_02433	Syat.g_02897
OG0000194	Praf.g_02436	Syat.g_02894
OG0000195	Praf.g_02438	Syat.g_02892
OG0000196	Praf.g_02449	Syat.g_02867
OG0000197	Praf.g_02450	Syat.g_02866
OG0000198	Praf.g_02451	Syat.g_02865
OG0000199	Praf.g_02468	Syat.g_02857
OG0000200	Praf.g_02492	Syat.g_02840
OG0000201	Praf.g_02511	Syat.g_02821
OG0000202	Praf.g_02512	Syat.g_02820
OG0000203	Praf.g_02513	Syat.g_02819
OG0000204	Praf.g_02514	Syat.g_02818
OG0000205	Praf.g_02521	Syat.g_02809
OG0000206	Praf.g_02532	Syat.g_02785
OG0000207	Praf.g_02582	Syat.g_02778
OG0000208	Praf.g_02581	Syat.g_02777
OG0000209	Praf.g_02557	Syat.g_02735
OG0000210	Praf.g_02556	Syat.g_02734
OG0000211	Praf.g_00378	Syat.g_01452
OG0000212	Praf.g_00392	Syat.g_01442
OG0000213	Praf.g_02245	Syat.g_01889
OG0000214	Praf.g_02263	Syat.g_02042
