Orthogroup	Praf	Syae
OG0000001	Praf.g_01031	Syae.g_01416
OG0000001	Praf.g_02422	Syae.g_01417
OG0000004	Praf.g_01121	Syae.g_00779
OG0000004	Praf.g_00743	Syae.g_00042, Syae.g_02231
OG0000005	Praf.g_00503	Syae.g_01143
OG0000006	Praf.g_00396, Praf.g_01719	Syae.g_00096, Syae.g_02030, Syae.g_02248
OG0000007	Praf.g_00614	Syae.g_02328
OG0000007	Praf.g_00480	Syae.g_01163
OG0000008	Praf.g_01223	Syae.g_00753
OG0000008	Praf.g_01224	Syae.g_00752
OG0000009	Praf.g_01768, Praf.g_00246	Syae.g_00100, Syae.g_01361
OG0000010	Praf.g_01908	Syae.g_02529
OG0000011	Praf.g_01188, Praf.g_01190	Syae.g_00268
OG0000012	Praf.g_01668	Syae.g_00049
OG0000013	Praf.g_02073	Syae.g_02160, Syae.g_02169, Syae.g_02155
OG0000014	Praf.g_02319	Syae.g_01930
OG0000014	Praf.g_00112	Syae.g_01850
OG0000015	Praf.g_01030, Praf.g_01033, Praf.g_01618	Syae.g_01693, Syae.g_00590
OG0000016	Praf.g_00014	Syae.g_01726
OG0000016	Praf.g_00906	Syae.g_00681
OG0000017	Praf.g_00752	Syae.g_02462
OG0000017	Praf.g_00760	Syae.g_02469
OG0000018	Praf.g_01832	Syae.g_02625
OG0000019	Praf.g_02214	Syae.g_02015
OG0000021	Praf.g_00946, Praf.g_01089, Praf.g_00746	Syae.g_00481
OG0000022	Praf.g_00965	Syae.g_00144
OG0000025	Praf.g_01591	Syae.g_00833
OG0000026	Praf.g_00037	Syae.g_01748
OG0000028	Praf.g_02333	Syae.g_01916
OG0000029	Praf.g_02091, Praf.g_02647	Syae.g_00136
OG0000030	Praf.g_00160	Syae.g_01817
OG0000030	Praf.g_00159	Syae.g_01816
OG0000031	Praf.g_02400	Syae.g_01911
OG0000032	Praf.g_01851	Syae.g_02607
OG0000033	Praf.g_02457	Syae.g_01453
OG0000034	Praf.g_00783	Syae.g_00975, Syae.g_01424
OG0000035	Praf.g_01794	Syae.g_02653
OG0000037	Praf.g_00240	Syae.g_01367
OG0000038	Praf.g_02660	Syae.g_01571
OG0000039	Praf.g_02541	Syae.g_02495
OG0000041	Praf.g_00426	Syae.g_01042, Syae.g_00802
OG0000042	Praf.g_00164, Praf.g_00920	Syae.g_01821
OG0000044	Praf.g_00356, Praf.g_01078	Syae.g_00098
OG0000045	Praf.g_00322	Syae.g_00732
OG0000046	Praf.g_02072	Syae.g_02161, Syae.g_02168, Syae.g_02154
OG0000047	Praf.g_01864, Praf.g_01898	Syae.g_02184
OG0000048	Praf.g_02267	Syae.g_01982
OG0000050	Praf.g_01105	Syae.g_01023
OG0000052	Praf.g_02366	Syae.g_01886
OG0000053	Praf.g_01828	Syae.g_02629
OG0000054	Praf.g_00763	Syae.g_00014, Syae.g_00221
OG0000055	Praf.g_01257	Syae.g_00817
OG0000057	Praf.g_01125	Syae.g_00782
OG0000058	Praf.g_02345	Syae.g_01905, Syae.g_01227
OG0000059	Praf.g_02172	Syae.g_02074
OG0000060	Praf.g_00592	Syae.g_02306
OG0000061	Praf.g_00854	Syae.g_00921
OG0000062	Praf.g_00501	Syae.g_01145
OG0000063	Praf.g_00041	Syae.g_01752
OG0000066	Praf.g_00672	Syae.g_02386
OG0000067	Praf.g_01530	Syae.g_00521
OG0000068	Praf.g_00585, Praf.g_00583	Syae.g_02299
OG0000070	Praf.g_01962	Syae.g_00979
OG0000071	Praf.g_00796	Syae.g_00961
OG0000073	Praf.g_00616	Syae.g_02330
OG0000075	Praf.g_02384	Syae.g_01871
OG0000076	Praf.g_00178	Syae.g_01829
OG0000077	Praf.g_00309	Syae.g_01297
OG0000078	Praf.g_00391	Syae.g_02243
OG0000079	Praf.g_02225	Syae.g_02011
OG0000081	Praf.g_01131	Syae.g_02261
OG0000082	Praf.g_00731	Syae.g_02447
OG0000084	Praf.g_01790	Syae.g_00857, Syae.g_02656
OG0000085	Praf.g_00491	Syae.g_01152
OG0000086	Praf.g_00297	Syae.g_01333
