Orthogroup	Praf	Syai
OG0000001	Praf.g_01031	Syai.g_01197, Syai.g_02594
OG0000001	Praf.g_02422	Syai.g_02595
OG0000002	Praf.g_01631, Praf.g_00948	Syai.g_01728
OG0000004	Praf.g_01121	Syai.g_01994
OG0000004	Praf.g_00743	Syai.g_01062, Syai.g_00530
OG0000005	Praf.g_00503	Syai.g_02356
OG0000006	Praf.g_00396, Praf.g_01719	Syai.g_01126, Syai.g_00317, Syai.g_00547
OG0000007	Praf.g_00614	Syai.g_00657
OG0000007	Praf.g_00480	Syai.g_02378
OG0000008	Praf.g_01223	Syai.g_01956
OG0000008	Praf.g_01224	Syai.g_01955
OG0000009	Praf.g_01768, Praf.g_00246	Syai.g_02541
OG0000010	Praf.g_01908	Syai.g_00864
OG0000011	Praf.g_01188, Praf.g_01190	Syai.g_01894, Syai.g_00582
OG0000012	Praf.g_01668	Syai.g_01068
OG0000013	Praf.g_02073	Syai.g_00442, Syai.g_00450, Syai.g_00436
OG0000014	Praf.g_02319	Syai.g_00220
OG0000015	Praf.g_01030, Praf.g_01033, Praf.g_01618	Syai.g_01246, Syai.g_01245
OG0000016	Praf.g_00014	Syai.g_00014
OG0000016	Praf.g_00906	Syai.g_01785
OG0000017	Praf.g_00752	Syai.g_00801
OG0000017	Praf.g_00760	Syai.g_00808
OG0000018	Praf.g_01832	Syai.g_00915
OG0000019	Praf.g_00943, Praf.g_02214	Syai.g_00304
OG0000020	Praf.g_01095	Syai.g_00476
OG0000021	Praf.g_00946, Praf.g_01089, Praf.g_00746	Syai.g_00556
OG0000022	Praf.g_00965	Syai.g_01159
OG0000024	Praf.g_01139	Syai.g_01951
OG0000025	Praf.g_01591	Syai.g_02044
OG0000026	Praf.g_00037	Syai.g_00038
OG0000028	Praf.g_02333	Syai.g_00205
OG0000029	Praf.g_02091, Praf.g_02647	Syai.g_01035, Syai.g_01584
OG0000030	Praf.g_00160	Syai.g_00096
OG0000030	Praf.g_00159	Syai.g_00095
OG0000031	Praf.g_02400	Syai.g_00197
OG0000032	Praf.g_01851	Syai.g_00895
OG0000033	Praf.g_02457	Syai.g_02634
OG0000034	Praf.g_00783	Syai.g_02192, Syai.g_02604
OG0000035	Praf.g_01794	Syai.g_00955
OG0000037	Praf.g_00240	Syai.g_02544, Syai.g_02815
OG0000038	Praf.g_02660	Syai.g_02780
OG0000041	Praf.g_00426	Syai.g_02265, Syai.g_02016
OG0000042	Praf.g_00164, Praf.g_00920	Syai.g_00099
OG0000046	Praf.g_02072	Syai.g_00443, Syai.g_00449, Syai.g_00435
OG0000047	Praf.g_01864, Praf.g_01898	Syai.g_00462
OG0000048	Praf.g_02267	Syai.g_00272
OG0000050	Praf.g_01105	Syai.g_01332
OG0000052	Praf.g_02366	Syai.g_00176
OG0000053	Praf.g_01828	Syai.g_00930
OG0000054	Praf.g_00763	Syai.g_01040
OG0000055	Praf.g_01257	Syai.g_02029
OG0000057	Praf.g_01125	Syai.g_01997
OG0000058	Praf.g_02345	Syai.g_00195
OG0000059	Praf.g_02172	Syai.g_00351
OG0000060	Praf.g_00592	Syai.g_00635
OG0000061	Praf.g_00854	Syai.g_02144
OG0000062	Praf.g_00501	Syai.g_02358
OG0000063	Praf.g_00041	Syai.g_00042
OG0000066	Praf.g_00672	Syai.g_01709, Syai.g_00719
OG0000067	Praf.g_01530	Syai.g_01321
OG0000068	Praf.g_00585, Praf.g_00583	Syai.g_00628
OG0000070	Praf.g_01962	Syai.g_02196
OG0000071	Praf.g_00796	Syai.g_02179
OG0000073	Praf.g_00616	Syai.g_00659
OG0000075	Praf.g_02384	Syai.g_00161
OG0000076	Praf.g_00178	Syai.g_00111
OG0000078	Praf.g_00391	Syai.g_00543
OG0000079	Praf.g_02225	Syai.g_00300
OG0000081	Praf.g_01131	Syai.g_00553, Syai.g_02292
OG0000082	Praf.g_00731	Syai.g_00781
OG0000084	Praf.g_01790	Syai.g_01196, Syai.g_00958
OG0000085	Praf.g_00491	Syai.g_02365
OG0000086	Praf.g_00297	Syai.g_02507
OG0000087	Praf.g_02420	Syai.g_02592
OG0000088	Praf.g_02454, Praf.g_01239	Syai.g_02630
OG0000089	Praf.g_02015	Syai.g_00517
OG0000090	Praf.g_00660	Syai.g_00707
OG0000091	Praf.g_01700	Syai.g_01112
OG0000093	Praf.g_01503	Syai.g_01306
OG0000094	Praf.g_02685	Syai.g_01424
OG0000095	Praf.g_01274	Syai.g_02007
OG0000097	Praf.g_00905	Syai.g_01787
OG0000098	Praf.g_01886	Syai.g_01718
OG0000099	Praf.g_02342	Syai.g_00199
OG0000100	Praf.g_00370, Praf.g_01561	Syai.g_01372
OG0000101	Praf.g_02119	Syai.g_00404
