Orthogroup	Praf	Prau
OG0000000	Praf.g_00815, Praf.g_00814	Prau.g_01352
OG0000000	Praf.g_00813	Prau.g_01648
OG0000001	Praf.g_01895, Praf.g_00818, Praf.g_01896, Praf.g_01031, Praf.g_02422, Praf.g_01293	Prau.g_01394
OG0000002	Praf.g_01631	Prau.g_01402
OG0000002	Praf.g_00948	Prau.g_00718
OG0000004	Praf.g_01121	Prau.g_00735
OG0000004	Praf.g_00743	Prau.g_00233
OG0000005	Praf.g_00503	Prau.g_01607
OG0000006	Praf.g_00396, Praf.g_01719	Prau.g_01316
OG0000007	Praf.g_00614	Prau.g_00538
OG0000007	Praf.g_00480	Prau.g_01732
OG0000008	Praf.g_01223	Prau.g_00781
OG0000009	Praf.g_01768, Praf.g_00246	Prau.g_00106
OG0000010	Praf.g_01908	Prau.g_01698, Prau.g_01096
OG0000011	Praf.g_01188, Praf.g_01190	Prau.g_00441
OG0000012	Praf.g_01668	Prau.g_00663
OG0000013	Praf.g_02073	Prau.g_00329
OG0000014	Praf.g_02319	Prau.g_00308
OG0000014	Praf.g_00112	Prau.g_01470
OG0000015	Praf.g_01030, Praf.g_01033, Praf.g_01618	Prau.g_00817
OG0000016	Praf.g_00014	Prau.g_00013
OG0000017	Praf.g_00752, Praf.g_00760	Prau.g_00636
OG0000018	Praf.g_01832	Prau.g_01188
OG0000019	Praf.g_00943, Praf.g_02214	Prau.g_00251, Prau.g_00834
OG0000020	Praf.g_01095	Prau.g_01704
OG0000021	Praf.g_00946, Praf.g_01089, Praf.g_00746	Prau.g_01680, Prau.g_00367
OG0000022	Praf.g_00965	Prau.g_01170
OG0000022	Praf.g_00201	Prau.g_00814
OG0000024	Praf.g_01139	Prau.g_00796, Prau.g_00715
OG0000025	Praf.g_01591	Prau.g_00333, Prau.g_00888
OG0000026	Praf.g_00037	Prau.g_00030, Prau.g_01103
OG0000028	Praf.g_02333	Prau.g_00322
OG0000029	Praf.g_02091	Prau.g_00804
OG0000029	Praf.g_02647	Prau.g_00378
OG0000030	Praf.g_00160, Praf.g_00159	Prau.g_01935
OG0000031	Praf.g_00113	Prau.g_01469
OG0000032	Praf.g_02346	Prau.g_01475, Prau.g_01446
OG0000033	Praf.g_02457	Prau.g_01465
OG0000034	Praf.g_00783	Prau.g_01381
OG0000035	Praf.g_01794	Prau.g_01531, Prau.g_01528
OG0000037	Praf.g_00240	Prau.g_00110
OG0000038	Praf.g_02660, Praf.g_02662	Prau.g_01976
OG0000039	Praf.g_00406, Praf.g_02541	Prau.g_00726
OG0000041	Praf.g_00426	Prau.g_01778
OG0000042	Praf.g_00164, Praf.g_00920	Prau.g_01932
OG0000045	Praf.g_00322	Prau.g_01682
OG0000047	Praf.g_01864	Prau.g_00332
OG0000047	Praf.g_01898	Prau.g_00414
OG0000048	Praf.g_02267	Prau.g_00377
OG0000050	Praf.g_01105	Prau.g_01123
OG0000053	Praf.g_01828	Prau.g_00040, Prau.g_01551
OG0000054	Praf.g_00763	Prau.g_00644
OG0000055	Praf.g_01257	Prau.g_00835
OG0000057	Praf.g_01125	Prau.g_00738
OG0000059	Praf.g_02172	Prau.g_01818
OG0000061	Praf.g_00854	Prau.g_01206
OG0000062	Praf.g_00501	Prau.g_01609
OG0000063	Praf.g_00041	Prau.g_00032, Prau.g_01295
OG0000065	Praf.g_00244	Prau.g_00108
OG0000066	Praf.g_00672	Prau.g_00579
