Orthogroup	Praf	Prav
OG0000000	Praf.g_00815, Praf.g_00814	Prav.g_01736, Prav.g_01415
OG0000000	Praf.g_00813	Prav.g_01695, Prav.g_00973
OG0000000	Praf.g_01039, Praf.g_01042	Prav.g_01730, Prav.g_01715
OG0000001	Praf.g_01895, Praf.g_00818, Praf.g_01896, Praf.g_01031, Praf.g_02422, Praf.g_01293	Prav.g_01458
OG0000002	Praf.g_01631	Prav.g_01466
OG0000002	Praf.g_00948	Prav.g_01276
OG0000004	Praf.g_01121	Prav.g_01293
OG0000004	Praf.g_00743	Prav.g_00806
OG0000005	Praf.g_00503	Prav.g_01654
OG0000006	Praf.g_00396, Praf.g_01719	Prav.g_02001
OG0000007	Praf.g_00614	Prav.g_01095
OG0000007	Praf.g_00480	Prav.g_01761
OG0000008	Praf.g_01223	Prav.g_01749
OG0000008	Praf.g_01224	Prav.g_01750
OG0000009	Praf.g_01768, Praf.g_00246	Prav.g_00170
OG0000010	Praf.g_01908	Prav.g_00218
OG0000011	Praf.g_01188, Praf.g_01190	Prav.g_01014, Prav.g_01407
OG0000012	Praf.g_01668	Prav.g_01221
OG0000013	Praf.g_02073	Prav.g_01973
OG0000014	Praf.g_02319	Prav.g_01952
OG0000015	Praf.g_01030, Praf.g_01033, Praf.g_01618	Prav.g_00363, Prav.g_00961
OG0000016	Praf.g_00014	Prav.g_00081
OG0000017	Praf.g_00752, Praf.g_00760	Prav.g_01194
OG0000018	Praf.g_01832	Prav.g_00046
OG0000019	Praf.g_00943, Praf.g_02214	Prav.g_01896, Prav.g_00375
OG0000020	Praf.g_01095	Prav.g_01386
OG0000021	Praf.g_00946, Praf.g_01089, Praf.g_00746	Prav.g_00984
OG0000022	Praf.g_00965	Prav.g_00029
OG0000022	Praf.g_00201	Prav.g_00360
OG0000024	Praf.g_01139	Prav.g_00343, Prav.g_01273
OG0000025	Praf.g_01591	Prav.g_01977, Prav.g_00431
OG0000026	Praf.g_00037	Prav.g_01324, Prav.g_00099, Prav.g_00226
OG0000028	Praf.g_02333	Prav.g_01966
OG0000029	Praf.g_02091	Prav.g_00350
OG0000030	Praf.g_00160, Praf.g_00159	Prav.g_00699
OG0000032	Praf.g_02346	Prav.g_01499
OG0000034	Praf.g_00783	Prav.g_01448
OG0000035	Praf.g_01794	Prav.g_01578
OG0000037	Praf.g_00240	Prav.g_00174
OG0000038	Praf.g_02660, Praf.g_02662	Prav.g_00739
OG0000039	Praf.g_00406, Praf.g_02541	Prav.g_01284
OG0000041	Praf.g_00426	Prav.g_01808
OG0000042	Praf.g_00164, Praf.g_00920	Prav.g_00696
OG0000047	Praf.g_01864	Prav.g_01976
OG0000048	Praf.g_02267	Prav.g_00993
OG0000050	Praf.g_01105	Prav.g_00247
OG0000053	Praf.g_01828	Prav.g_01598
OG0000054	Praf.g_00763	Prav.g_01202
OG0000055	Praf.g_01257	Prav.g_00376
OG0000056	Praf.g_01648, Praf.g_01880, Praf.g_02641, Praf.g_01879, Praf.g_01191, Praf.g_02639, Praf.g_02620, Praf.g_02084, Praf.g_01964, Praf.g_01881	Prav.g_00106, Prav.g_00107, Prav.g_01421
OG0000057	Praf.g_01125	Prav.g_01296
OG0000059	Praf.g_02172	Prav.g_00292
OG0000060	Praf.g_00592	Prav.g_00964
OG0000061	Praf.g_00854	Prav.g_00065
OG0000062	Praf.g_01047	Prav.g_01338
OG0000062	Praf.g_00501	Prav.g_01656
OG0000063	Praf.g_00041	Prav.g_00101
OG0000065	Praf.g_00244	Prav.g_00172
OG0000066	Praf.g_00672	Prav.g_01137
OG0000067	Praf.g_01530	Prav.g_00397
OG0000068	Praf.g_00585, Praf.g_00583	Prav.g_01473
OG0000070	Praf.g_01962	Prav.g_01049
OG0000071	Praf.g_00796	Prav.g_01438
OG0000072	Praf.g_02469	Prav.g_00867
OG0000073	Praf.g_00616	Prav.g_01097
OG0000075	Praf.g_02384	Prav.g_00665
OG0000076	Praf.g_00178	Prav.g_00689
OG0000077	Praf.g_00309	Prav.g_00143
OG0000078	Praf.g_00391	Prav.g_00799
OG0000079	Praf.g_02234, Praf.g_02218, Praf.g_02225	Prav.g_01899
OG0000081	Praf.g_01131	Prav.g_01129
OG0000082	Praf.g_00731	Prav.g_01182
OG0000084	Praf.g_01790	Prav.g_01574
OG0000085	Praf.g_00491	Prav.g_01754
OG0000086	Praf.g_00297	Prav.g_00153
OG0000087	Praf.g_02420	Prav.g_00204
OG0000088	Praf.g_02454, Praf.g_01239	Prav.g_00872
OG0000089	Praf.g_02015	Prav.g_00975
OG0000090	Praf.g_00660	Prav.g_01131
OG0000091	Praf.g_01700	Prav.g_01240
OG0000093	Praf.g_01503	Prav.g_00525
OG0000094	Praf.g_02685	Prav.g_00914
OG0000095	Praf.g_01274	Prav.g_00933
OG0000097	Praf.g_00905	Prav.g_01840
OG0000098	Praf.g_01886	Prav.g_01455
OG0000099	Praf.g_02342	Prav.g_01514
OG0000100	Praf.g_00370, Praf.g_01561	Prav.g_01652
OG0000101	Praf.g_02119	Prav.g_00632
OG0000102	Praf.g_00173	Prav.g_00694
OG0000103	Praf.g_02765	Prav.g_00773
OG0000104	Praf.g_02779	Prav.g_00782
OG0000105	Praf.g_02271	Prav.g_01920
OG0000106	Praf.g_00496	Prav.g_00989
OG0000107	Praf.g_02201	Prav.g_01001
OG0000108	Praf.g_00595	Prav.g_01078
OG0000109	Praf.g_00611	Prav.g_01092
OG0000110	Praf.g_00718	Prav.g_01172
OG0000111	Praf.g_01126	Prav.g_01297
OG0000112	Praf.g_01400	Prav.g_00364
OG0000113	Praf.g_01556	Prav.g_00419
OG0000114	Praf.g_01461	Prav.g_00499
OG0000115	Praf.g_01825	Prav.g_00010
OG0000116	Praf.g_00825	Prav.g_00055
OG0000117	Praf.g_00919	Prav.g_01390
OG0000118	Praf.g_00779	Prav.g_01450
OG0000119	Praf.g_01108, Praf.g_01143	Prav.g_01469
OG0000120	Praf.g_02343	Prav.g_01513
OG0000121	Praf.g_01796	Prav.g_01580
OG0000122	Praf.g_00976	Prav.g_01618
OG0000123	Praf.g_02108	Prav.g_00639
OG0000124	Praf.g_00153	Prav.g_00705
OG0000125	Praf.g_02664	Prav.g_00741
OG0000126	Praf.g_02777	Prav.g_00781
OG0000128	Praf.g_00012	Prav.g_00079
OG0000129	Praf.g_02652	Prav.g_00115
OG0000130	Praf.g_00321	Prav.g_00134
OG0000131	Praf.g_02432	Prav.g_00212
OG0000132	Praf.g_02452	Prav.g_00874
OG0000133	Praf.g_02336	Prav.g_01968
OG0000134	Praf.g_02012	Prav.g_00976
OG0000135	Praf.g_02705, Praf.g_02715	Prav.g_00999
OG0000136	Praf.g_01984	Prav.g_01040
OG0000137	Praf.g_01907	Prav.g_01073
OG0000138	Praf.g_00612	Prav.g_01093
OG0000139	Praf.g_00666	Prav.g_01135
OG0000140	Praf.g_00670	Prav.g_01136
OG0000141	Praf.g_00764	Prav.g_01203
OG0000142	Praf.g_01692	Prav.g_01233
OG0000143	Praf.g_01696	Prav.g_01237
OG0000144	Praf.g_01721	Prav.g_01250
OG0000145	Praf.g_00617	Prav.g_00362
OG0000146	Praf.g_01401	Prav.g_00365
OG0000147	Praf.g_01402	Prav.g_00366
OG0000148	Praf.g_01548	Prav.g_00413
OG0000149	Praf.g_01604	Prav.g_00443
OG0000150	Praf.g_01625	Prav.g_00451
OG0000151	Praf.g_01478	Prav.g_00509
OG0000152	Praf.g_01392	Prav.g_00556
OG0000153	Praf.g_01362	Prav.g_00575
OG0000154	Praf.g_01337	Prav.g_00907
OG0000155	Praf.g_00886	Prav.g_01861
OG0000156	Praf.g_00810	Prav.g_01427
OG0000157	Praf.g_00809	Prav.g_01428
OG0000158	Praf.g_02394	Prav.g_01505
OG0000160	Praf.g_01795	Prav.g_01579
OG0000161	Praf.g_01805	Prav.g_01585
OG0000162	Praf.g_01817	Prav.g_01591
OG0000163	Praf.g_00538	Prav.g_01625
OG0000164	Praf.g_00453	Prav.g_01785
OG0000165	Praf.g_00444	Prav.g_01792
OG0000166	Praf.g_02157	Prav.g_00596
OG0000167	Praf.g_02382, Praf.g_02378, Praf.g_02380	Prav.g_00663
OG0000168	Praf.g_02395	Prav.g_00673
OG0000169	Praf.g_00191	Prav.g_00683
OG0000170	Praf.g_00183	Prav.g_00685
OG0000171	Praf.g_00154	Prav.g_00704
OG0000172	Praf.g_00087	Prav.g_00712
OG0000173	Praf.g_00062	Prav.g_00727
OG0000174	Praf.g_02717	Prav.g_00755
OG0000175	Praf.g_02754	Prav.g_00765
OG0000176	Praf.g_00004	Prav.g_00790
OG0000177	Praf.g_00005	Prav.g_00791
OG0000178	Praf.g_00006	Prav.g_00792
OG0000179	Praf.g_00021	Prav.g_00084
OG0000180	Praf.g_00022	Prav.g_00085
OG0000181	Praf.g_00023	Prav.g_00086
OG0000182	Praf.g_00024	Prav.g_00087
OG0000183	Praf.g_00028	Prav.g_00091
OG0000184	Praf.g_02611	Prav.g_00117
OG0000185	Praf.g_00333, Praf.g_02602	Prav.g_00120
OG0000186	Praf.g_00328	Prav.g_00129
OG0000187	Praf.g_00326	Prav.g_00130
OG0000188	Praf.g_00303	Prav.g_00147
OG0000189	Praf.g_00257	Prav.g_00161
OG0000190	Praf.g_00255	Prav.g_00162
OG0000191	Praf.g_00218	Prav.g_00182
OG0000192	Praf.g_00212	Prav.g_00186
OG0000193	Praf.g_02433	Prav.g_00213
OG0000194	Praf.g_02436	Prav.g_00216
OG0000195	Praf.g_02438	Prav.g_00887
OG0000196	Praf.g_02449	Prav.g_00877
OG0000197	Praf.g_02450	Prav.g_00876
OG0000198	Praf.g_02451	Prav.g_00875
