Orthogroup	Praf	Prbd
OG0000000	Praf.g_00815, Praf.g_00814	Prbd.g_01833
OG0000000	Praf.g_00813	Prbd.g_01568
OG0000000	Praf.g_01039, Praf.g_01042	Prbd.g_01836
OG0000001	Praf.g_01895, Praf.g_00818, Praf.g_01896, Praf.g_01031, Praf.g_02422, Praf.g_01293	Prbd.g_01779
OG0000002	Praf.g_01631	Prbd.g_01771
OG0000002	Praf.g_00948	Prbd.g_00566
OG0000004	Praf.g_01121	Prbd.g_00549
OG0000004	Praf.g_00743	Prbd.g_01007
OG0000005	Praf.g_00503	Prbd.g_01612
OG0000006	Praf.g_00396, Praf.g_01719	Prbd.g_00998
OG0000007	Praf.g_00614	Prbd.g_00745
OG0000007	Praf.g_00480	Prbd.g_01525
OG0000009	Praf.g_01768, Praf.g_00246	Prbd.g_01139
OG0000010	Praf.g_01908	Prbd.g_00348
OG0000011	Praf.g_01188, Praf.g_01190	Prbd.g_01859
OG0000012	Praf.g_01668	Prbd.g_00621
OG0000013	Praf.g_02073	Prbd.g_00912
OG0000014	Praf.g_02319	Prbd.g_00933
OG0000015	Praf.g_01030, Praf.g_01033, Praf.g_01618	Prbd.g_00065, Prbd.g_00826
OG0000016	Praf.g_00014	Prbd.g_01224
OG0000017	Praf.g_00752, Praf.g_00760	Prbd.g_00646
OG0000018	Praf.g_01832	Prbd.g_00449
OG0000019	Praf.g_00943, Praf.g_02214	Prbd.g_00990, Prbd.g_00082
OG0000021	Praf.g_00946, Praf.g_01089, Praf.g_00746	Prbd.g_01546, Prbd.g_00874
OG0000022	Praf.g_00965	Prbd.g_00423
OG0000022	Praf.g_00201	Prbd.g_00061
OG0000024	Praf.g_01139	Prbd.g_00045, Prbd.g_00569
OG0000025	Praf.g_01591	Prbd.g_00908, Prbd.g_00137
OG0000026	Praf.g_00037	Prbd.g_01206, Prbd.g_00355
OG0000028	Praf.g_02333	Prbd.g_00919
OG0000029	Praf.g_02091	Prbd.g_00052
OG0000029	Praf.g_02647	Prbd.g_00863
OG0000030	Praf.g_00160, Praf.g_00159	Prbd.g_01325
OG0000032	Praf.g_02346	Prbd.g_01730
OG0000034	Praf.g_00783	Prbd.g_01791
OG0000035	Praf.g_01794	Prbd.g_01689
OG0000037	Praf.g_00240	Prbd.g_01135
OG0000038	Praf.g_02660, Praf.g_02662	Prbd.g_01283
OG0000039	Praf.g_00406, Praf.g_02541	Prbd.g_00558
OG0000041	Praf.g_00426	Prbd.g_01478
OG0000042	Praf.g_00164, Praf.g_00920	Prbd.g_01328
OG0000047	Praf.g_01864	Prbd.g_00909
OG0000048	Praf.g_02267	Prbd.g_00439, Prbd.g_00864
OG0000050	Praf.g_01105	Prbd.g_00375
OG0000053	Praf.g_01828	Prbd.g_01669
OG0000054	Praf.g_00763	Prbd.g_00638
OG0000055	Praf.g_01257	Prbd.g_00083
OG0000057	Praf.g_01125	Prbd.g_00546
OG0000059	Praf.g_02172	Prbd.g_01439
OG0000060	Praf.g_00592	Prbd.g_00824
OG0000061	Praf.g_00854	Prbd.g_00468
OG0000062	Praf.g_00501	Prbd.g_01610
OG0000063	Praf.g_00041	Prbd.g_01204
OG0000065	Praf.g_00244	Prbd.g_01137
OG0000066	Praf.g_00672	Prbd.g_00703
OG0000067	Praf.g_01530	Prbd.g_00102
OG0000068	Praf.g_00585, Praf.g_00583	Prbd.g_01764
OG0000070	Praf.g_01962	Prbd.g_00792
OG0000071	Praf.g_00796	Prbd.g_01801
OG0000072	Praf.g_02469	Prbd.g_01069
OG0000073	Praf.g_00616	Prbd.g_00743
OG0000075	Praf.g_02384	Prbd.g_01359
OG0000076	Praf.g_00178	Prbd.g_01335
OG0000077	Praf.g_00309	Prbd.g_01166
OG0000078	Praf.g_00391	Prbd.g_01000
OG0000079	Praf.g_02234, Praf.g_02218, Praf.g_02225	Prbd.g_00987
OG0000081	Praf.g_01131	Prbd.g_00711
OG0000082	Praf.g_00731	Prbd.g_00658
OG0000084	Praf.g_01790	Prbd.g_01693
OG0000085	Praf.g_00491	Prbd.g_01532
OG0000086	Praf.g_00297	Prbd.g_01156
OG0000087	Praf.g_02420	Prbd.g_01104, Prbd.g_01103
OG0000088	Praf.g_02454, Praf.g_01239	Prbd.g_01074
OG0000089	Praf.g_02015	Prbd.g_00883
OG0000090	Praf.g_00660	Prbd.g_00709
OG0000091	Praf.g_01700	Prbd.g_00602
OG0000093	Praf.g_01503	Prbd.g_00232
OG0000094	Praf.g_02685	Prbd.g_00321
OG0000095	Praf.g_01274	Prbd.g_00340
OG0000097	Praf.g_00905	Prbd.g_00509
OG0000098	Praf.g_01886	Prbd.g_01782
OG0000099	Praf.g_02342	Prbd.g_01734
OG0000100	Praf.g_00370, Praf.g_01561	Prbd.g_01614
OG0000101	Praf.g_02119	Prbd.g_01391
OG0000102	Praf.g_00173	Prbd.g_01330
OG0000103	Praf.g_02765	Prbd.g_01250
OG0000104	Praf.g_02779	Prbd.g_01241
OG0000105	Praf.g_02271	Prbd.g_00965
OG0000106	Praf.g_00496	Prbd.g_00868
OG0000107	Praf.g_02201	Prbd.g_00852
OG0000108	Praf.g_00595	Prbd.g_00762
OG0000109	Praf.g_00611	Prbd.g_00748
OG0000110	Praf.g_00718	Prbd.g_00668
OG0000111	Praf.g_01126	Prbd.g_00545
OG0000112	Praf.g_01400	Prbd.g_00066
OG0000113	Praf.g_01556	Prbd.g_00124
OG0000114	Praf.g_01461	Prbd.g_00206
OG0000115	Praf.g_01825	Prbd.g_00401
OG0000116	Praf.g_00825	Prbd.g_00458
OG0000117	Praf.g_00919	Prbd.g_01895
OG0000118	Praf.g_00779	Prbd.g_01789
OG0000119	Praf.g_01108, Praf.g_01143	Prbd.g_01768
OG0000120	Praf.g_02343	Prbd.g_01737
OG0000121	Praf.g_01796	Prbd.g_01687
OG0000122	Praf.g_00976	Prbd.g_01649
OG0000123	Praf.g_02108	Prbd.g_01384
OG0000124	Praf.g_00153	Prbd.g_01318
OG0000125	Praf.g_02664	Prbd.g_01281
OG0000126	Praf.g_02777	Prbd.g_01242
OG0000128	Praf.g_00012	Prbd.g_01226
OG0000129	Praf.g_02652	Prbd.g_01194
OG0000130	Praf.g_00321	Prbd.g_01175
OG0000131	Praf.g_02432	Prbd.g_01095
OG0000132	Praf.g_02452	Prbd.g_01076
OG0000133	Praf.g_02336	Prbd.g_00917
OG0000134	Praf.g_02012	Prbd.g_00882
OG0000135	Praf.g_02705, Praf.g_02715	Prbd.g_00855
OG0000136	Praf.g_01984	Prbd.g_01722, Prbd.g_00801
OG0000137	Praf.g_01907	Prbd.g_00767
OG0000138	Praf.g_00612	Prbd.g_00747
OG0000139	Praf.g_00666	Prbd.g_00705
OG0000140	Praf.g_00670	Prbd.g_00704
OG0000141	Praf.g_00764	Prbd.g_00637
OG0000142	Praf.g_01692	Prbd.g_00609
OG0000143	Praf.g_01696	Prbd.g_00605
OG0000144	Praf.g_01721	Prbd.g_00592
OG0000145	Praf.g_00617	Prbd.g_00062
OG0000146	Praf.g_01401	Prbd.g_00067
OG0000147	Praf.g_01402	Prbd.g_00068
OG0000148	Praf.g_01548	Prbd.g_00118
OG0000149	Praf.g_01604	Prbd.g_00149
OG0000150	Praf.g_01625	Prbd.g_00157
OG0000151	Praf.g_01478	Prbd.g_00216
OG0000152	Praf.g_01392	Prbd.g_00264
OG0000153	Praf.g_01362	Prbd.g_00283
OG0000154	Praf.g_01337	Prbd.g_00314
OG0000155	Praf.g_00886	Prbd.g_00488
OG0000156	Praf.g_00810	Prbd.g_01812
OG0000157	Praf.g_00809	Prbd.g_01811
OG0000158	Praf.g_02394	Prbd.g_01736
OG0000160	Praf.g_01795	Prbd.g_01688
OG0000161	Praf.g_01805	Prbd.g_01682
OG0000162	Praf.g_01817	Prbd.g_01676
OG0000163	Praf.g_00538	Prbd.g_01642
OG0000164	Praf.g_00453	Prbd.g_01501
OG0000165	Praf.g_00444	Prbd.g_01494
OG0000166	Praf.g_02157	Prbd.g_01427
OG0000167	Praf.g_02382, Praf.g_02378, Praf.g_02380	Prbd.g_01361
OG0000168	Praf.g_02395	Prbd.g_01351
OG0000169	Praf.g_00191	Prbd.g_01341
OG0000170	Praf.g_00183	Prbd.g_01339
OG0000171	Praf.g_00154	Prbd.g_01319
OG0000172	Praf.g_00087	Prbd.g_01310
OG0000173	Praf.g_00062	Prbd.g_01295
OG0000174	Praf.g_02717	Prbd.g_01268
OG0000175	Praf.g_02754	Prbd.g_01258
OG0000176	Praf.g_00004	Prbd.g_01233
OG0000177	Praf.g_00005	Prbd.g_01232
OG0000178	Praf.g_00006	Prbd.g_01231
OG0000179	Praf.g_00021	Prbd.g_01221
OG0000180	Praf.g_00022	Prbd.g_01220
OG0000181	Praf.g_00023	Prbd.g_01219
OG0000182	Praf.g_00024	Prbd.g_01218
OG0000183	Praf.g_00028	Prbd.g_01214
OG0000184	Praf.g_02611	Prbd.g_01191
OG0000185	Praf.g_00333, Praf.g_02602	Prbd.g_01188
OG0000186	Praf.g_00328	Prbd.g_01180
OG0000187	Praf.g_00326	Prbd.g_01179
OG0000188	Praf.g_00303	Prbd.g_01162
OG0000189	Praf.g_00257	Prbd.g_01148
OG0000190	Praf.g_00255	Prbd.g_01147
OG0000191	Praf.g_00218	Prbd.g_01126
OG0000192	Praf.g_00212	Prbd.g_01122
OG0000193	Praf.g_02433	Prbd.g_01094
OG0000194	Praf.g_02436	Prbd.g_01091
OG0000195	Praf.g_02438	Prbd.g_01089
OG0000196	Praf.g_02449	Prbd.g_01079
OG0000197	Praf.g_02450	Prbd.g_01078
OG0000198	Praf.g_02451	Prbd.g_01077
OG0000199	Praf.g_02468	Prbd.g_01070
OG0000200	Praf.g_02711, Praf.g_02492	Prbd.g_01056
