Orthogroup	Praf	Prbe
OG0000000	Praf.g_00813	Prbe.g_01119
OG0000001	Praf.g_01895, Praf.g_00818, Praf.g_01896, Praf.g_01031, Praf.g_02422, Praf.g_01293	Prbe.g_00400
OG0000002	Praf.g_01631	Prbe.g_01285, Prbe.g_01290
OG0000002	Praf.g_00948	Prbe.g_01579, Prbe.g_00379, Prbe.g_01577, Prbe.g_01584, Prbe.g_00208, Prbe.g_00452
OG0000004	Praf.g_01121	Prbe.g_01203
OG0000004	Praf.g_00743	Prbe.g_01784
OG0000005	Praf.g_00503	Prbe.g_00228
OG0000006	Praf.g_00396, Praf.g_01719	Prbe.g_01794
OG0000007	Praf.g_00614	Prbe.g_00636
OG0000007	Praf.g_00480	Prbe.g_00985
OG0000008	Praf.g_01223	Prbe.g_00036
OG0000008	Praf.g_01224	Prbe.g_00037
OG0000010	Praf.g_01908	Prbe.g_00096, Prbe.g_01411
OG0000012	Praf.g_01668	Prbe.g_00511
OG0000013	Praf.g_02073	Prbe.g_01879
OG0000014	Praf.g_02319	Prbe.g_01861
OG0000015	Praf.g_01030, Praf.g_01033, Praf.g_01618	Prbe.g_01046, Prbe.g_01000
OG0000016	Praf.g_00906	Prbe.g_01607
OG0000017	Praf.g_00752	Prbe.g_00536
OG0000017	Praf.g_00760	Prbe.g_00529
OG0000018	Praf.g_01832	Prbe.g_01571
OG0000019	Praf.g_00943, Praf.g_02214	Prbe.g_01802, Prbe.g_01573
OG0000020	Praf.g_01095	Prbe.g_00018
OG0000021	Praf.g_00946, Praf.g_01089	Prbe.g_00203
OG0000021	Praf.g_00746	Prbe.g_01208
OG0000022	Praf.g_00201	Prbe.g_00220
OG0000024	Praf.g_01139	Prbe.g_01415, Prbe.g_00449
OG0000025	Praf.g_01591	Prbe.g_01258
OG0000026	Praf.g_00037	Prbe.g_00132
OG0000029	Praf.g_02091	Prbe.g_00025, Prbe.g_01054, Prbe.g_01133
OG0000029	Praf.g_02647	Prbe.g_01091
OG0000030	Praf.g_00160, Praf.g_00159	Prbe.g_00763
OG0000031	Praf.g_02400, Praf.g_00101, Praf.g_00113	Prbe.g_00352
OG0000032	Praf.g_01851	Prbe.g_00272
OG0000033	Praf.g_02457	Prbe.g_00345
OG0000034	Praf.g_00783	Prbe.g_00882
OG0000035	Praf.g_01794	Prbe.g_00311
OG0000037	Praf.g_00240	Prbe.g_01651
OG0000038	Praf.g_02660, Praf.g_02662	Prbe.g_01156
OG0000039	Praf.g_00406, Praf.g_02541	Prbe.g_00461
OG0000041	Praf.g_00426	Prbe.g_00938
OG0000042	Praf.g_00164, Praf.g_00920	Prbe.g_00766
OG0000045	Praf.g_00322	Prbe.g_01593
OG0000046	Praf.g_02072	Prbe.g_01880
OG0000047	Praf.g_01898	Prbe.g_01921
OG0000048	Praf.g_02267	Prbe.g_00906
OG0000051	Praf.g_01022	Prbe.g_00720
OG0000052	Praf.g_02366	Prbe.g_00158
OG0000053	Praf.g_01828	Prbe.g_00290, Prbe.g_01040
OG0000054	Praf.g_00763	Prbe.g_00527
OG0000055	Praf.g_01257	Prbe.g_01598, Prbe.g_01011
OG0000057	Praf.g_01125	Prbe.g_01206
OG0000058	Praf.g_02345	Prbe.g_00351
OG0000059	Praf.g_02172	Prbe.g_01094
OG0000061	Praf.g_00854	Prbe.g_01549
OG0000062	Praf.g_00501	Prbe.g_00226
OG0000063	Praf.g_00041	Prbe.g_00021
OG0000065	Praf.g_00244	Prbe.g_01649
OG0000066	Praf.g_00672	Prbe.g_00596, Prbe.g_01114
OG0000067	Praf.g_01530	Prbe.g_01222
OG0000068	Praf.g_00585, Praf.g_00583	Prbe.g_00373
OG0000070	Praf.g_01962	Prbe.g_01948
OG0000071	Praf.g_00796	Prbe.g_00893
OG0000072	Praf.g_02469	Prbe.g_01719
OG0000073	Praf.g_00616	Prbe.g_00633
OG0000075	Praf.g_02384	Prbe.g_00800
OG0000076	Praf.g_00178	Prbe.g_00774
OG0000077	Praf.g_00309	Prbe.g_00183
OG0000078	Praf.g_00391	Prbe.g_01792
OG0000079	Praf.g_02234, Praf.g_02218, Praf.g_02225	Prbe.g_01805
OG0000081	Praf.g_01131	Prbe.g_00604
OG0000082	Praf.g_00731	Prbe.g_00549, Prbe.g_00996
OG0000084	Praf.g_01790	Prbe.g_00314
OG0000085	Praf.g_00491	Prbe.g_00007, Prbe.g_00993
OG0000086	Praf.g_00297	Prbe.g_00192
OG0000087	Praf.g_02420	Prbe.g_01683
OG0000088	Praf.g_02454, Praf.g_01239	Prbe.g_01714
OG0000089	Praf.g_02015	Prbe.g_01915
OG0000090	Praf.g_00660	Prbe.g_00602
OG0000091	Praf.g_01700	Prbe.g_01477
OG0000093	Praf.g_01503	Prbe.g_01448
OG0000094	Praf.g_02685	Prbe.g_01399
OG0000095	Praf.g_01274	Prbe.g_01297
OG0000097	Praf.g_00905	Prbe.g_01503
OG0000098	Praf.g_01886	Prbe.g_00397
OG0000099	Praf.g_02342	Prbe.g_00350
OG0000100	Praf.g_00370, Praf.g_01561	Prbe.g_00232
OG0000101	Praf.g_02119	Prbe.g_00836
OG0000102	Praf.g_00173	Prbe.g_00769
OG0000103	Praf.g_02765	Prbe.g_01195
OG0000104	Praf.g_02779	Prbe.g_01061
OG0000105	Praf.g_02271	Prbe.g_01828
OG0000106	Praf.g_00496	Prbe.g_00740
OG0000107	Praf.g_02201	Prbe.g_00921
OG0000108	Praf.g_00595	Prbe.g_00653
OG0000109	Praf.g_00611	Prbe.g_00639
OG0000110	Praf.g_00718	Prbe.g_00560
OG0000111	Praf.g_01126	Prbe.g_01207
OG0000112	Praf.g_01400	Prbe.g_00487
OG0000113	Praf.g_01556	Prbe.g_01245
OG0000114	Praf.g_01461	Prbe.g_00417
OG0000115	Praf.g_01825	Prbe.g_01618
OG0000116	Praf.g_00825	Prbe.g_01560
OG0000117	Praf.g_00919	Prbe.g_01522
OG0000118	Praf.g_00779	Prbe.g_00880
OG0000119	Praf.g_01108	Prbe.g_01603
OG0000119	Praf.g_01143	Prbe.g_00214
OG0000120	Praf.g_02343	Prbe.g_00353
OG0000121	Praf.g_01796	Prbe.g_00309
OG0000122	Praf.g_00976	Prbe.g_00268
OG0000123	Praf.g_02108	Prbe.g_00829
OG0000124	Praf.g_00153	Prbe.g_00745
OG0000125	Praf.g_02664	Prbe.g_01158
OG0000126	Praf.g_02777	Prbe.g_01060
OG0000128	Praf.g_00012	Prbe.g_01076
OG0000129	Praf.g_02652	Prbe.g_00145
OG0000130	Praf.g_00321	Prbe.g_00174
OG0000131	Praf.g_02432	Prbe.g_01692
OG0000132	Praf.g_02452	Prbe.g_01712
OG0000133	Praf.g_02336	Prbe.g_01875
