Orthogroup	Praf	Pram
OG0000000	Praf.g_00815, Praf.g_00814	Pram.g_01561
OG0000000	Praf.g_00813	Pram.g_01511
OG0000001	Praf.g_01895, Praf.g_00818, Praf.g_01896, Praf.g_01031, Praf.g_02422, Praf.g_01293	Pram.g_01954, Pram.g_01953
OG0000002	Praf.g_01631	Pram.g_00873, Pram.g_00879
OG0000002	Praf.g_00948	Pram.g_01170, Pram.g_01471, Pram.g_01168, Pram.g_01174, Pram.g_01278, Pram.g_00768
OG0000004	Praf.g_01121	Pram.g_00789
OG0000004	Praf.g_00743	Pram.g_00219
OG0000005	Praf.g_00503	Pram.g_01295
OG0000006	Praf.g_00396, Praf.g_01719	Pram.g_00229
OG0000007	Praf.g_00614	Pram.g_00433
OG0000007	Praf.g_00480	Pram.g_01632
OG0000008	Praf.g_01223	Pram.g_01263
OG0000008	Praf.g_01224	Pram.g_01262
OG0000010	Praf.g_01908	Pram.g_00704, Pram.g_01000
OG0000012	Praf.g_01668	Pram.g_00561
OG0000013	Praf.g_02073	Pram.g_00315
OG0000014	Praf.g_02319	Pram.g_00295
OG0000015	Praf.g_01030, Praf.g_01033, Praf.g_01618	Pram.g_00696, Pram.g_01545
OG0000016	Praf.g_00906	Pram.g_01193
OG0000017	Praf.g_00752	Pram.g_00535
OG0000017	Praf.g_00760	Pram.g_00542
OG0000018	Praf.g_01832	Pram.g_01162
OG0000019	Praf.g_00943, Praf.g_02214	Pram.g_00237, Pram.g_01164
OG0000020	Praf.g_01095	Pram.g_01516
OG0000021	Praf.g_00946, Praf.g_01089	Pram.g_01274
OG0000021	Praf.g_00746	Pram.g_00794
OG0000022	Praf.g_00201	Pram.g_01287
OG0000024	Praf.g_01139	Pram.g_01004, Pram.g_00765
OG0000025	Praf.g_01591	Pram.g_00844
OG0000026	Praf.g_00037	Pram.g_00018
OG0000028	Praf.g_02333	Pram.g_00308
OG0000029	Praf.g_02091	Pram.g_01529
OG0000029	Praf.g_02647	Pram.g_01723
