Orthogroup	Praf	Praj
OG0000000	Praf.g_00815, Praf.g_00814	Praj.g_00419, Praj.g_01356, Praj.g_01076, Praj.g_01201, Praj.g_01271, Praj.g_01308
OG0000000	Praf.g_00813	Praj.g_01272, Praj.g_01309, Praj.g_01078, Praj.g_00417, Praj.g_01202
OG0000000	Praf.g_01039, Praf.g_01042	Praj.g_01267
OG0000001	Praf.g_01895, Praf.g_00818, Praf.g_01896, Praf.g_01031, Praf.g_02422, Praf.g_01293	Praj.g_01549
OG0000002	Praf.g_01631	Praj.g_00832
OG0000002	Praf.g_00948	Praj.g_01489, Praj.g_01488, Praj.g_01493, Praj.g_01487, Praj.g_01492, Praj.g_00670
OG0000004	Praf.g_01121	Praj.g_01396
OG0000004	Praf.g_00743	Praj.g_00271
OG0000005	Praf.g_00503	Praj.g_01712
OG0000006	Praf.g_00396, Praf.g_01719	Praj.g_00282, Praj.g_01281, Praj.g_01505
OG0000007	Praf.g_00614	Praj.g_00489
OG0000007	Praf.g_00480	Praj.g_01768
OG0000008	Praf.g_01223	Praj.g_01829
OG0000008	Praf.g_01224	Praj.g_01830
OG0000010	Praf.g_01908	Praj.g_01026
OG0000011	Praf.g_01188, Praf.g_01190	Praj.g_01187
OG0000013	Praf.g_02073	Praj.g_00362
OG0000014	Praf.g_02319	Praj.g_00341
OG0000014	Praf.g_00112	Praj.g_01609
OG0000015	Praf.g_01030, Praf.g_01033, Praf.g_01618	Praj.g_01113
OG0000016	Praf.g_00014	Praj.g_00013
OG0000016	Praf.g_00906	Praj.g_01865
OG0000018	Praf.g_01832	Praj.g_01482
OG0000019	Praf.g_00943, Praf.g_02214	Praj.g_00747
OG0000020	Praf.g_01095	Praj.g_01139
OG0000021	Praf.g_00946, Praf.g_01089	Praj.g_01859
OG0000021	Praf.g_00746	Praj.g_00084
OG0000022	Praf.g_00965	Praj.g_01216
OG0000022	Praf.g_00201	Praj.g_01189
OG0000024	Praf.g_01139	Praj.g_01134, Praj.g_00666
OG0000025	Praf.g_01591	Praj.g_00805
OG0000026	Praf.g_00037	Praj.g_00031
OG0000029	Praf.g_02091	Praj.g_01745
OG0000030	Praf.g_00160, Praf.g_00159	Praj.g_02024
OG0000031	Praf.g_02400, Praf.g_00101, Praf.g_00113	Praj.g_00371
OG0000032	Praf.g_01851	Praj.g_01669
OG0000033	Praf.g_02707, Praf.g_00098, Praf.g_00117, Praf.g_02457	Praj.g_00209
OG0000034	Praf.g_00783	Praj.g_01538
OG0000035	Praf.g_01794	Praj.g_01632
OG0000037	Praf.g_00240	Praj.g_00147
OG0000038	Praf.g_02660, Praf.g_02662	Praj.g_02089
OG0000039	Praf.g_00406, Praf.g_02541	Praj.g_00679
OG0000041	Praf.g_00426	Praj.g_01813
OG0000042	Praf.g_00164, Praf.g_00920	Praj.g_02020
OG0000045	Praf.g_00322	Praj.g_01303, Praj.g_01049
OG0000046	Praf.g_02072	Praj.g_00363
OG0000047	Praf.g_01864	Praj.g_00370
OG0000047	Praf.g_01898	Praj.g_00408
OG0000048	Praf.g_02267	Praj.g_00308
OG0000050	Praf.g_01105	Praj.g_00099
OG0000051	Praf.g_01022	Praj.g_01339
OG0000052	Praf.g_02366	Praj.g_00095
OG0000053	Praf.g_01828	Praj.g_01651
OG0000054	Praf.g_00763	Praj.g_00594
OG0000055	Praf.g_01257	Praj.g_00733, Praj.g_01842
OG0000057	Praf.g_01125	Praj.g_01313, Praj.g_00691
OG0000058	Praf.g_02345	Praj.g_00839
OG0000059	Praf.g_02172	Praj.g_01892
OG0000060	Praf.g_00592	Praj.g_01108
OG0000061	Praf.g_00854	Praj.g_01461
OG0000062	Praf.g_00501	Praj.g_01714
OG0000063	Praf.g_00041	Praj.g_01867
OG0000065	Praf.g_00244	Praj.g_00145
OG0000066	Praf.g_00672	Praj.g_00530
OG0000067	Praf.g_01530	Praj.g_00769
OG0000068	Praf.g_00585, Praf.g_00583	Praj.g_01575
OG0000070	Praf.g_01962	Praj.g_00444
OG0000071	Praf.g_00796	Praj.g_01528
OG0000072	Praf.g_02469	Praj.g_00211
OG0000073	Praf.g_00616	Praj.g_00491
OG0000075	Praf.g_02384	Praj.g_01987
OG0000076	Praf.g_00178	Praj.g_02012
OG0000078	Praf.g_00391	Praj.g_00280
OG0000079	Praf.g_02234, Praf.g_02218, Praf.g_02225	Praj.g_00291
OG0000081	Praf.g_01131	Praj.g_00522
OG0000082	Praf.g_00731	Praj.g_01827
OG0000084	Praf.g_01790	Praj.g_01628
OG0000085	Praf.g_00491	Praj.g_01762
OG0000086	Praf.g_00297	Praj.g_00126
OG0000087	Praf.g_02420	Praj.g_00179
OG0000088	Praf.g_02454, Praf.g_01239	Praj.g_00206
OG0000089	Praf.g_02015	Praj.g_00403
OG0000090	Praf.g_00660	Praj.g_00524
OG0000091	Praf.g_01700	Praj.g_00630
OG0000093	Praf.g_01503	Praj.g_00754
OG0000094	Praf.g_02685	Praj.g_00846
OG0000095	Praf.g_01274	Praj.g_01024
OG0000097	Praf.g_00905	Praj.g_01416
OG0000098	Praf.g_01886	Praj.g_01546
OG0000099	Praf.g_02342	Praj.g_00372
OG0000100	Praf.g_00370, Praf.g_01561	Praj.g_01709
OG0000101	Praf.g_02119	Praj.g_01952
OG0000102	Praf.g_00173	Praj.g_02017
OG0000103	Praf.g_02765	Praj.g_02135
OG0000104	Praf.g_02779	Praj.g_02145
OG0000105	Praf.g_02271	Praj.g_00310
OG0000106	Praf.g_00496	Praj.g_01156, Praj.g_01282
OG0000107	Praf.g_02201	Praj.g_01869
OG0000108	Praf.g_00595	Praj.g_00473
OG0000109	Praf.g_00611	Praj.g_00486
OG0000110	Praf.g_00718	Praj.g_00565
OG0000111	Praf.g_01126	Praj.g_00692
OG0000112	Praf.g_01400	Praj.g_00938
OG0000113	Praf.g_01556	Praj.g_00793, Praj.g_01176
OG0000114	Praf.g_01461	Praj.g_00887
OG0000115	Praf.g_01825	Praj.g_01725
OG0000116	Praf.g_00825	Praj.g_01471
OG0000117	Praf.g_00919	Praj.g_01355
OG0000118	Praf.g_00779	Praj.g_01540
OG0000119	Praf.g_01108, Praf.g_01143	Praj.g_01568
OG0000120	Praf.g_02343	Praj.g_00664
OG0000121	Praf.g_01796	Praj.g_01634
OG0000122	Praf.g_00976	Praj.g_01673
OG0000123	Praf.g_02108	Praj.g_01959
OG0000124	Praf.g_00153	Praj.g_02031
OG0000125	Praf.g_02664	Praj.g_02091
OG0000126	Praf.g_02777	Praj.g_02144
OG0000128	Praf.g_00012	Praj.g_00011
OG0000129	Praf.g_02652	Praj.g_00048
OG0000130	Praf.g_00321	Praj.g_00107
OG0000131	Praf.g_02432	Praj.g_00185
OG0000132	Praf.g_02452	Praj.g_00204
OG0000133	Praf.g_02336	Praj.g_00357
OG0000134	Praf.g_02012	Praj.g_00405
OG0000135	Praf.g_02705, Praf.g_02715	Praj.g_01279
OG0000136	Praf.g_01984	Praj.g_00435
OG0000137	Praf.g_01907	Praj.g_00467
OG0000138	Praf.g_00612	Praj.g_00487
OG0000139	Praf.g_00666	Praj.g_00528
OG0000140	Praf.g_00670	Praj.g_00529
OG0000141	Praf.g_00764	Praj.g_00595
OG0000142	Praf.g_01692	Praj.g_00623
OG0000143	Praf.g_01696	Praj.g_00627
OG0000144	Praf.g_01721	Praj.g_00640
OG0000145	Praf.g_00617	Praj.g_01054
OG0000146	Praf.g_01401	Praj.g_00937
OG0000147	Praf.g_01402	Praj.g_00936
OG0000148	Praf.g_01548	Praj.g_00787
OG0000149	Praf.g_01604	Praj.g_00819
OG0000150	Praf.g_01625	Praj.g_00828
OG0000151	Praf.g_01478	Praj.g_00898
OG0000152	Praf.g_01392	Praj.g_01601, Praj.g_00946
OG0000153	Praf.g_01362	Praj.g_00965
OG0000154	Praf.g_01337	Praj.g_00995
OG0000155	Praf.g_00886	Praj.g_01440
OG0000156	Praf.g_00810	Praj.g_01517
OG0000157	Praf.g_00809	Praj.g_01518
OG0000158	Praf.g_02394	Praj.g_01995
OG0000160	Praf.g_01795	Praj.g_01633
OG0000161	Praf.g_01805	Praj.g_01639
OG0000162	Praf.g_01817	Praj.g_01645
OG0000163	Praf.g_00538	Praj.g_01681
OG0000164	Praf.g_00453	Praj.g_01790
OG0000165	Praf.g_00444	Praj.g_01798
OG0000166	Praf.g_02157	Praj.g_01915
OG0000167	Praf.g_02382, Praf.g_02378, Praf.g_02380	Praj.g_01985
OG0000168	Praf.g_02395	Praj.g_01996
OG0000169	Praf.g_00191	Praj.g_02006
OG0000170	Praf.g_00183	Praj.g_02008
OG0000171	Praf.g_00154	Praj.g_02030
OG0000172	Praf.g_00087	Praj.g_02061
OG0000173	Praf.g_00062	Praj.g_02076
OG0000174	Praf.g_02717	Praj.g_02107
OG0000175	Praf.g_02754	Praj.g_02125
OG0000176	Praf.g_00004	Praj.g_00004
OG0000177	Praf.g_00005	Praj.g_00005
OG0000178	Praf.g_00006	Praj.g_00006
OG0000179	Praf.g_00021	Praj.g_00016
OG0000180	Praf.g_00022	Praj.g_00017
OG0000181	Praf.g_00023	Praj.g_00018
OG0000182	Praf.g_00024	Praj.g_00019
OG0000183	Praf.g_00028	Praj.g_00023
OG0000184	Praf.g_02611	Praj.g_00050
OG0000185	Praf.g_00333, Praf.g_02602	Praj.g_00053
OG0000186	Praf.g_00328	Praj.g_00102
OG0000187	Praf.g_00326	Praj.g_00103
OG0000188	Praf.g_00303	Praj.g_00120
OG0000189	Praf.g_00257	Praj.g_00134
OG0000190	Praf.g_00255	Praj.g_00135
OG0000191	Praf.g_00218	Praj.g_00158
OG0000192	Praf.g_00212	Praj.g_00162
OG0000193	Praf.g_02433	Praj.g_00186
OG0000194	Praf.g_02436	Praj.g_00189
OG0000195	Praf.g_02438	Praj.g_00191
OG0000196	Praf.g_02449	Praj.g_00201
OG0000197	Praf.g_02450	Praj.g_00202
OG0000198	Praf.g_02451	Praj.g_00203
OG0000199	Praf.g_02468	Praj.g_00210
OG0000200	Praf.g_02492	Praj.g_00223
OG0000201	Praf.g_02511	Praj.g_00232
OG0000202	Praf.g_02512	Praj.g_00233
OG0000203	Praf.g_02513	Praj.g_00234
OG0000204	Praf.g_02514	Praj.g_00235
