Orthogroup	Syaq	Syai
OG0000001	Syaq.g_00118, Syaq.g_01435, Syaq.g_00115	Syai.g_01197, Syai.g_02594
OG0000001	Syaq.g_01434	Syai.g_02595
OG0000001	Syaq.g_02178, Syaq.g_02413	Syai.g_01729
OG0000004	Syaq.g_02603	Syai.g_01994
OG0000004	Syaq.g_02042	Syai.g_01062
OG0000004	Syaq.g_01567	Syai.g_00530
OG0000005	Syaq.g_01658	Syai.g_02393
OG0000005	Syaq.g_01692	Syai.g_02356
OG0000005	Syaq.g_00236	Syai.g_02068, Syai.g_01611
OG0000006	Syaq.g_00696, Syaq.g_01590	Syai.g_00317, Syai.g_00547
OG0000006	Syaq.g_02108	Syai.g_01126
OG0000007	Syaq.g_01793	Syai.g_00657
OG0000007	Syaq.g_01673	Syai.g_02378
OG0000008	Syaq.g_02162	Syai.g_01956
OG0000008	Syaq.g_02575	Syai.g_01955
OG0000009	Syaq.g_01489	Syai.g_02541
OG0000010	Syaq.g_00443	Syai.g_00864
OG0000011	Syaq.g_01038	Syai.g_01894, Syai.g_00582, Syai.g_01952
OG0000012	Syaq.g_02059	Syai.g_01068
OG0000013	Syaq.g_00569, Syaq.g_00572, Syaq.g_02023	Syai.g_00450, Syai.g_00436, Syai.g_00442
OG0000014	Syaq.g_00862	Syai.g_00220
OG0000015	Syaq.g_02255	Syai.g_01246, Syai.g_01245
OG0000016	Syaq.g_01136	Syai.g_00014
OG0000016	Syaq.g_00169	Syai.g_01785
OG0000017	Syaq.g_01999	Syai.g_00808
OG0000017	Syaq.g_01992	Syai.g_00801
OG0000018	Syaq.g_00401	Syai.g_00915
OG0000019	Syaq.g_00717	Syai.g_00304
OG0000022	Syaq.g_02126	Syai.g_01159
OG0000023	Syaq.g_02540	Syai.g_01027, Syai.g_01875, Syai.g_02821, Syai.g_01681, Syai.g_01022, Syai.g_02318
OG0000025	Syaq.g_02381	Syai.g_02044
OG0000026	Syaq.g_01114	Syai.g_00038
OG0000028	Syaq.g_00878	Syai.g_00205
OG0000030	Syaq.g_01047	Syai.g_00096
OG0000030	Syaq.g_01048	Syai.g_00095
OG0000031	Syaq.g_01009	Syai.g_00197
OG0000032	Syaq.g_00421	Syai.g_00895
OG0000033	Syaq.g_01399	Syai.g_02634
OG0000034	Syaq.g_00312, Syaq.g_01431	Syai.g_02192, Syai.g_02604
OG0000035	Syaq.g_00372	Syai.g_00955
OG0000037	Syaq.g_01483	Syai.g_02544, Syai.g_02815
OG0000038	Syaq.g_01260	Syai.g_02780
OG0000041	Syaq.g_02688	Syai.g_02016
OG0000042	Syaq.g_00200, Syaq.g_01044	Syai.g_00099
OG0000043	Syaq.g_01920	Syai.g_01599
OG0000045	Syaq.g_02047	Syai.g_02432
OG0000048	Syaq.g_00749	Syai.g_00272
OG0000052	Syaq.g_00969	Syai.g_00176
OG0000053	Syaq.g_00397	Syai.g_00930
OG0000054	Syaq.g_02005	Syai.g_01040
OG0000055	Syaq.g_02700	Syai.g_02029
OG0000057	Syaq.g_02605	Syai.g_01997
OG0000058	Syaq.g_00944	Syai.g_00195
OG0000059	Syaq.g_00657	Syai.g_00351
OG0000060	Syaq.g_01770	Syai.g_00635
OG0000060	Syaq.g_00201	Syai.g_01758
OG0000061	Syaq.g_00249	Syai.g_02144
OG0000062	Syaq.g_01690	Syai.g_02358
OG0000063	Syaq.g_01110	Syai.g_00042
OG0000064	Syaq.g_02138	Syai.g_02844
OG0000066	Syaq.g_01851	Syai.g_01709, Syai.g_00719
OG0000067	Syaq.g_02340	Syai.g_01321
OG0000068	Syaq.g_01763	Syai.g_00628
OG0000070	Syaq.g_00484	Syai.g_02196
OG0000071	Syaq.g_00297	Syai.g_02179
OG0000072	Syaq.g_01397	Syai.g_02636
OG0000073	Syaq.g_01795	Syai.g_00659
