Orthogroup	Syaq	Prbn
OG0000004	Syaq.g_02603	Prbn.g_01565
OG0000004	Syaq.g_02042, Syaq.g_01567	Prbn.g_00318
OG0000005	Syaq.g_01692	Prbn.g_00899
OG0000006	Syaq.g_02558, Syaq.g_00696, Syaq.g_01590	Prbn.g_00308
OG0000007	Syaq.g_01793	Prbn.g_00617
OG0000007	Syaq.g_01673	Prbn.g_01745
OG0000008	Syaq.g_02162	Prbn.g_01645
OG0000008	Syaq.g_02575	Prbn.g_01646
OG0000010	Syaq.g_00443	Prbn.g_01939, Prbn.g_01357, Prbn.g_00640
OG0000011	Syaq.g_01038	Prbn.g_00802
OG0000012	Syaq.g_02059	Prbn.g_00492
OG0000013	Syaq.g_00569, Syaq.g_00572, Syaq.g_02023	Prbn.g_00092
OG0000014	Syaq.g_00862	Prbn.g_00074
OG0000015	Syaq.g_02255	Prbn.g_01684, Prbn.g_01730
OG0000016	Syaq.g_00169	Prbn.g_01131
OG0000017	Syaq.g_01999	Prbn.g_00510
OG0000017	Syaq.g_01992	Prbn.g_00517
OG0000018	Syaq.g_00401	Prbn.g_01167, Prbn.g_01518
OG0000019	Syaq.g_00717	Prbn.g_00015, Prbn.g_01165
OG0000022	Syaq.g_02126	Prbn.g_00891
OG0000023	Syaq.g_02540	Prbn.g_01030
OG0000025	Syaq.g_02381	Prbn.g_01510
OG0000026	Syaq.g_01114	Prbn.g_00750
OG0000028	Syaq.g_00878	Prbn.g_01644
OG0000030	Syaq.g_01047, Syaq.g_01048	Prbn.g_00985
OG0000031	Syaq.g_01009	Prbn.g_00171
OG0000032	Syaq.g_00421	Prbn.g_00251
OG0000033	Syaq.g_01399	Prbn.g_01244
OG0000034	Syaq.g_00312, Syaq.g_01431	Prbn.g_01073
OG0000035	Syaq.g_00372	Prbn.g_00212
OG0000037	Syaq.g_01483	Prbn.g_01310
OG0000038	Syaq.g_01260, Syaq.g_01258	Prbn.g_00946
OG0000039	Syaq.g_01601, Syaq.g_01241	Prbn.g_01577
OG0000042	Syaq.g_00200, Syaq.g_01044	Prbn.g_00988
OG0000045	Syaq.g_02047	Prbn.g_01145
OG0000046	Syaq.g_00570, Syaq.g_00573	Prbn.g_00093
OG0000048	Syaq.g_00749	Prbn.g_01097, Prbn.g_00038
OG0000052	Syaq.g_00969	Prbn.g_00190
OG0000053	Syaq.g_00397	Prbn.g_01690, Prbn.g_00233
OG0000054	Syaq.g_02005	Prbn.g_00508
OG0000055	Syaq.g_02700	Prbn.g_01140
OG0000057	Syaq.g_02605	Prbn.g_01562
OG0000058	Syaq.g_00944	Prbn.g_00172
OG0000059	Syaq.g_00657	Prbn.g_01833
OG0000061	Syaq.g_00249	Prbn.g_01189
OG0000062	Syaq.g_01690	Prbn.g_00897
OG0000063	Syaq.g_01110	Prbn.g_00130
OG0000064	Syaq.g_02138	Prbn.g_00710
OG0000065	Syaq.g_01908, Syaq.g_01487	Prbn.g_01312
OG0000066	Syaq.g_01851	Prbn.g_00577, Prbn.g_01657
OG0000067	Syaq.g_02340	Prbn.g_01546
OG0000068	Syaq.g_01763	Prbn.g_01240
OG0000070	Syaq.g_00484	Prbn.g_00663
OG0000071	Syaq.g_00297	Prbn.g_01084
OG0000072	Syaq.g_01397	Prbn.g_00383
OG0000073	Syaq.g_01795	Prbn.g_00614
