Orthogroup	Syaq	Syao
OG0000001	Syaq.g_01436, Syaq.g_00118, Syaq.g_01435, Syaq.g_00115	Syao.g_00314
OG0000001	Syaq.g_01434	Syao.g_02557, Syao.g_02556, Syao.g_01317, Syao.g_02558
OG0000004	Syaq.g_02603	Syao.g_02374
OG0000004	Syaq.g_02042	Syao.g_01007
OG0000005	Syaq.g_01658	Syao.g_01680
OG0000005	Syaq.g_01692	Syao.g_01578
OG0000005	Syaq.g_00236	Syao.g_01210
OG0000006	Syaq.g_02558	Syao.g_01518
OG0000006	Syaq.g_02108	Syao.g_00919
OG0000007	Syaq.g_01793	Syao.g_00105
OG0000007	Syaq.g_01673	Syao.g_01554
OG0000008	Syaq.g_02575	Syao.g_01321
OG0000009	Syaq.g_01489	Syao.g_02598
OG0000010	Syaq.g_00443	Syao.g_02683
OG0000011	Syaq.g_01038	Syao.g_01282
OG0000012	Syaq.g_02059	Syao.g_01193
OG0000012	Syaq.g_00077	Syao.g_01335, Syao.g_01045, Syao.g_00201
OG0000013	Syaq.g_00569, Syaq.g_00572, Syaq.g_02023	Syao.g_01222, Syao.g_01844, Syao.g_01910
OG0000014	Syaq.g_00862	Syao.g_02027
OG0000014	Syaq.g_00907	Syao.g_01136
OG0000015	Syaq.g_00121, Syaq.g_01171	Syao.g_02339
OG0000015	Syaq.g_02255	Syao.g_00302
OG0000016	Syaq.g_01136	Syao.g_01955
OG0000017	Syaq.g_01999	Syao.g_01064
OG0000017	Syaq.g_01992	Syao.g_00997
OG0000018	Syaq.g_00401	Syao.g_00071
OG0000019	Syaq.g_00717	Syao.g_02108
OG0000022	Syaq.g_02126	Syao.g_01218
OG0000023	Syaq.g_02540	Syao.g_01266
OG0000025	Syaq.g_02381	Syao.g_00436, Syao.g_00437
OG0000026	Syaq.g_01114	Syao.g_02234
OG0000028	Syaq.g_00878	Syao.g_02012
OG0000030	Syaq.g_01047	Syao.g_02189
OG0000030	Syaq.g_01048	Syao.g_02188
OG0000031	Syaq.g_01009	Syao.g_02008, Syao.g_01083
OG0000032	Syaq.g_00421	Syao.g_00090
OG0000032	Syaq.g_00909	Syao.g_01135
OG0000033	Syaq.g_01399	Syao.g_02507
OG0000035	Syaq.g_00371, Syaq.g_00372	Syao.g_01486
OG0000037	Syaq.g_01483	Syao.g_00374
OG0000038	Syaq.g_01260	Syao.g_02440
OG0000038	Syaq.g_01258	Syao.g_02442
OG0000041	Syaq.g_02688	Syao.g_01637
OG0000042	Syaq.g_00200, Syaq.g_01044	Syao.g_00019, Syao.g_01941
OG0000045	Syaq.g_02047	Syao.g_01214, Syao.g_00148
OG0000046	Syaq.g_00570, Syaq.g_00573	Syao.g_01845
OG0000048	Syaq.g_00749	Syao.g_02077
OG0000052	Syaq.g_00969	Syao.g_01085, Syao.g_02520
OG0000053	Syaq.g_00397	Syao.g_00067
OG0000058	Syaq.g_00944	Syao.g_01080
OG0000059	Syaq.g_00657	Syao.g_01801, Syao.g_01959
OG0000060	Syaq.g_00201	Syao.g_00312
OG0000061	Syaq.g_00249	Syao.g_00123
OG0000062	Syaq.g_01690	Syao.g_01576
OG0000063	Syaq.g_01110	Syao.g_02230
