Orthogroup	Syaq	Syas
OG0000001	Syaq.g_01434	Syas.g_00966, Syas.g_00967, Syas.g_00093, Syas.g_02373
OG0000003	Syaq.g_01566	Syas.g_01418
OG0000003	Syaq.g_00887	Syas.g_00054
OG0000004	Syaq.g_02603	Syas.g_00176
OG0000004	Syaq.g_02042	Syas.g_00174, Syas.g_00311
OG0000004	Syaq.g_01567	Syas.g_00072
OG0000005	Syaq.g_01658	Syas.g_02665
OG0000005	Syaq.g_01692	Syas.g_02704
OG0000006	Syaq.g_02558	Syas.g_00942
OG0000006	Syaq.g_00696, Syaq.g_01590	Syas.g_01684, Syas.g_02565
OG0000007	Syaq.g_01793	Syas.g_01232
OG0000007	Syaq.g_01673	Syas.g_02681
OG0000008	Syaq.g_02162	Syas.g_00886
OG0000008	Syaq.g_02575	Syas.g_00887
OG0000009	Syaq.g_01489	Syas.g_01450
OG0000010	Syaq.g_00443	Syas.g_01334
OG0000012	Syaq.g_00077	Syas.g_00111, Syas.g_00827
OG0000013	Syaq.g_00569, Syaq.g_00572, Syaq.g_02023	Syas.g_00158, Syas.g_01552, Syas.g_01555, Syas.g_01557
OG0000014	Syaq.g_00862	Syas.g_01816
OG0000015	Syaq.g_00121, Syaq.g_01171	Syas.g_02007
OG0000016	Syaq.g_01136	Syas.g_02048
OG0000016	Syaq.g_00169	Syas.g_01086
OG0000017	Syaq.g_01999	Syas.g_00856
OG0000017	Syaq.g_01992	Syas.g_00849
OG0000018	Syaq.g_00401	Syas.g_01290
OG0000019	Syaq.g_00717	Syas.g_01696
OG0000022	Syaq.g_02126	Syas.g_02758
OG0000025	Syaq.g_02381	Syas.g_00231
OG0000026	Syaq.g_01114	Syas.g_02070
OG0000028	Syaq.g_00878	Syas.g_01793
OG0000030	Syaq.g_01047	Syas.g_01644
OG0000030	Syaq.g_01048	Syas.g_01645
OG0000031	Syaq.g_01009	Syas.g_01827
OG0000033	Syaq.g_01399	Syas.g_02328
OG0000034	Syaq.g_00312, Syaq.g_01431	Syas.g_02371, Syas.g_02838
OG0000035	Syaq.g_00371, Syaq.g_00372	Syas.g_02814, Syas.g_02818
OG0000037	Syaq.g_01483	Syas.g_01479, Syas.g_00147, Syas.g_01928
OG0000038	Syaq.g_01260	Syas.g_01885
OG0000038	Syaq.g_01258	Syas.g_01887
OG0000039	Syaq.g_01601	Syas.g_02795
OG0000041	Syaq.g_01612	Syas.g_02585
OG0000042	Syaq.g_00200, Syaq.g_01044	Syas.g_01121, Syas.g_02147
OG0000044	Syaq.g_02701, Syaq.g_00107	Syas.g_00894, Syas.g_02453
OG0000046	Syaq.g_00570, Syaq.g_00573	Syas.g_01553, Syas.g_01556, Syas.g_01558
OG0000048	Syaq.g_00749	Syas.g_01734
OG0000053	Syaq.g_00397	Syas.g_01287
OG0000054	Syaq.g_02005	Syas.g_00961
OG0000057	Syaq.g_02541	Syas.g_01055
OG0000058	Syaq.g_00944	Syas.g_01151
OG0000059	Syaq.g_00657	Syas.g_01639
OG0000060	Syaq.g_00201	Syas.g_00975
OG0000061	Syaq.g_00249	Syas.g_01184
OG0000062	Syaq.g_01690	Syas.g_02702
OG0000063	Syaq.g_01110	Syas.g_02074
OG0000064	Syaq.g_02138	Syas.g_02423
OG0000065	Syaq.g_01908, Syaq.g_01487	Syas.g_02420
OG0000066	Syaq.g_01851	Syas.g_00094
OG0000067	Syaq.g_02560	Syas.g_02346, Syas.g_00352
OG0000067	Syaq.g_02340	Syas.g_00596
OG0000068	Syaq.g_01763	Syas.g_00969, Syas.g_01261
OG0000070	Syaq.g_00484	Syas.g_00173
OG0000072	Syaq.g_01397	Syas.g_02326
OG0000073	Syaq.g_01795	Syas.g_01230
OG0000075	Syaq.g_00986	Syas.g_01921, Syas.g_02194
OG0000076	Syaq.g_01028	Syas.g_02156
OG0000078	Syaq.g_01585	Syas.g_02308
OG0000079	Syaq.g_00721	Syas.g_01699
OG0000081	Syaq.g_01893	Syas.g_00391
OG0000082	Syaq.g_01975	Syas.g_00837
OG0000085	Syaq.g_01683	Syas.g_02695
OG0000086	Syaq.g_01525	Syas.g_02470
OG0000087	Syaq.g_01438	Syas.g_02374
OG0000089	Syaq.g_00529	Syas.g_01512
OG0000090	Syaq.g_01838	Syas.g_00062
OG0000091	Syaq.g_02090	Syas.g_00907, Syas.g_00146
OG0000094	Syaq.g_00056	Syas.g_00208
OG0000094	Syaq.g_02554	Syas.g_01716
OG0000095	Syaq.g_02679	Syas.g_01021
OG0000098	Syaq.g_02221	Syas.g_00091
OG0000099	Syaq.g_00882	Syas.g_01826
OG0000100	Syaq.g_02371	Syas.g_00567
OG0000102	Syaq.g_01033	Syas.g_02152, Syas.g_01395
OG0000103	Syaq.g_01170	Syas.g_02009
OG0000104	Syaq.g_01154	Syas.g_02027, Syas.g_02026
OG0000105	Syaq.g_00754	Syas.g_01739
OG0000106	Syaq.g_01863	Syas.g_01451
OG0000107	Syaq.g_00694	Syas.g_01669
OG0000108	Syaq.g_01772	Syas.g_01253
OG0000109	Syaq.g_01788	Syas.g_01236
OG0000110	Syaq.g_01962	Syas.g_00818
OG0000111	Syaq.g_02606	Syas.g_01037
OG0000112	Syaq.g_02476	Syas.g_00452
OG0000114	Syaq.g_02269	Syas.g_00674
OG0000115	Syaq.g_00395	Syas.g_02548, Syas.g_01285
OG0000116	Syaq.g_00263	Syas.g_01198, Syas.g_00317
OG0000117	Syaq.g_00203	Syas.g_01122
OG0000118	Syaq.g_00325, Syaq.g_00316	Syas.g_02835
OG0000120	Syaq.g_00883	Syas.g_01828
OG0000121	Syaq.g_00375	Syas.g_02821
OG0000122	Syaq.g_02118	Syas.g_00393
OG0000123	Syaq.g_00599	Syas.g_01582
OG0000124	Syaq.g_01055	Syas.g_02137
OG0000125	Syaq.g_01256	Syas.g_01889
OG0000126	Syaq.g_01156	Syas.g_01992
OG0000128	Syaq.g_01138	Syas.g_02046
OG0000129	Syaq.g_01269	Syas.g_01880
OG0000130	Syaq.g_01559	Syas.g_02522
OG0000131	Syaq.g_01427, Syaq.g_01424	Syas.g_02367
OG0000132	Syaq.g_01036, Syaq.g_01404	Syas.g_02334
OG0000133	Syaq.g_02481	Syas.g_00457
OG0000134	Syaq.g_00526	Syas.g_01509
OG0000135	Syaq.g_01227	Syas.g_01938
OG0000136	Syaq.g_00496	Syas.g_02740
OG0000137	Syaq.g_00442	Syas.g_01333
OG0000138	Syaq.g_01789	Syas.g_01235
OG0000140	Syaq.g_01848	Syas.g_00090
OG0000141	Syaq.g_02010	Syas.g_00875
OG0000142	Syaq.g_02082	Syas.g_00746
OG0000143	Syaq.g_02086	Syas.g_00742
OG0000144	Syaq.g_02152	Syas.g_00718
OG0000145	Syaq.g_01796	Syas.g_00948
OG0000146	Syaq.g_02475	Syas.g_00451
OG0000147	Syaq.g_02474	Syas.g_00450
OG0000148	Syaq.g_02359	Syas.g_00577
OG0000149	Syaq.g_02395	Syas.g_00282
OG0000150	Syaq.g_02011	Syas.g_00874
OG0000151	Syaq.g_02283	Syas.g_00148, Syas.g_00659
OG0000152	Syaq.g_02485	Syas.g_00461
OG0000153	Syaq.g_02518	Syas.g_00543
OG0000154	Syaq.g_00066	Syas.g_00219
OG0000155	Syaq.g_00212	Syas.g_01131
OG0000156	Syaq.g_00281	Syas.g_01206
OG0000157	Syaq.g_00282	Syas.g_01207
OG0000158	Syaq.g_01003	Syas.g_02185
OG0000159	Syaq.g_00918, Syaq.g_00941	Syas.g_01155
OG0000160	Syaq.g_00374	Syas.g_02820
OG0000161	Syaq.g_00382	Syas.g_02826
OG0000162	Syaq.g_00389	Syas.g_02751
OG0000163	Syaq.g_01730	Syas.g_01488
OG0000164	Syaq.g_01642	Syas.g_02648
OG0000165	Syaq.g_01630	Syas.g_02609
OG0000166	Syaq.g_00647	Syas.g_01629
OG0000167	Syaq.g_00983	Syas.g_01449
OG0000168	Syaq.g_01004	Syas.g_02184
OG0000169	Syaq.g_01016	Syas.g_02170
OG0000170	Syaq.g_01023	Syas.g_02161
OG0000171	Syaq.g_01052	Syas.g_02139
OG0000172	Syaq.g_01074	Syas.g_02110
OG0000173	Syaq.g_01092	Syas.g_02092
OG0000174	Syaq.g_01224	Syas.g_01940
OG0000175	Syaq.g_01183	Syas.g_01994
OG0000176	Syaq.g_01146	Syas.g_02038
OG0000177	Syaq.g_01145	Syas.g_02039
OG0000178	Syaq.g_01144	Syas.g_02040
OG0000179	Syaq.g_01129	Syas.g_02054
OG0000180	Syaq.g_01128	Syas.g_02055
OG0000181	Syaq.g_01127	Syas.g_02056
OG0000182	Syaq.g_01126	Syas.g_02057
OG0000183	Syaq.g_01122	Syas.g_02061
OG0000184	Syaq.g_01277	Syas.g_01872
