Orthogroup	Syaq	Pran
OG0000004	Syaq.g_02603	Pran.g_01483
OG0000004	Syaq.g_02042, Syaq.g_01567	Pran.g_00200
OG0000005	Syaq.g_01658	Pran.g_00983
OG0000005	Syaq.g_01692	Pran.g_00657
OG0000006	Syaq.g_02558, Syaq.g_00696, Syaq.g_01590	Pran.g_01951
OG0000007	Syaq.g_01793	Pran.g_01681
OG0000007	Syaq.g_01673	Pran.g_00970
OG0000009	Syaq.g_01489	Pran.g_00328
OG0000010	Syaq.g_00443	Pran.g_00175, Pran.g_01704
OG0000011	Syaq.g_01038	Pran.g_00925, Pran.g_01384
OG0000012	Syaq.g_02059	Pran.g_01555
OG0000013	Syaq.g_00569, Syaq.g_00572, Syaq.g_02023	Pran.g_01867
OG0000014	Syaq.g_00862	Pran.g_01888
OG0000014	Syaq.g_00907, Syaq.g_00933	Pran.g_00755, Pran.g_00754
OG0000015	Syaq.g_02255	Pran.g_01394
OG0000017	Syaq.g_01992	Pran.g_01580
OG0000018	Syaq.g_00401	Pran.g_00078, Pran.g_01316
OG0000019	Syaq.g_00717	Pran.g_01943, Pran.g_01363
OG0000022	Syaq.g_02126	Pran.g_01401, Pran.g_00097
OG0000023	Syaq.g_02540	Pran.g_01834
OG0000025	Syaq.g_02381	Pran.g_01309, Pran.g_01863
OG0000026	Syaq.g_01114	Pran.g_00930, Pran.g_00393, Pran.g_00168
OG0000028	Syaq.g_00878	Pran.g_01874
OG0000030	Syaq.g_01047, Syaq.g_01048	Pran.g_01170
OG0000031	Syaq.g_01009	Pran.g_00753
OG0000033	Syaq.g_01399	Pran.g_00263
OG0000034	Syaq.g_00312, Syaq.g_01431	Pran.g_00866
OG0000035	Syaq.g_00372	Pran.g_00733
OG0000037	Syaq.g_01483	Pran.g_00324
OG0000038	Syaq.g_01260, Syaq.g_01258	Pran.g_01210
OG0000039	Syaq.g_01601, Syaq.g_01241	Pran.g_01492
OG0000042	Syaq.g_00200, Syaq.g_01044	Pran.g_01167
OG0000045	Syaq.g_02047	Pran.g_01823
OG0000048	Syaq.g_00749	Pran.g_01772, Pran.g_01820
OG0000052	Syaq.g_00969	Pran.g_00777
OG0000053	Syaq.g_00397	Pran.g_00713
OG0000054	Syaq.g_02005	Pran.g_01572
OG0000055	Syaq.g_02700	Pran.g_01362
OG0000057	Syaq.g_02605	Pran.g_01480
OG0000058	Syaq.g_00944	Pran.g_00807
OG0000059	Syaq.g_00657	Pran.g_01056
OG0000060	Syaq.g_00201	Pran.g_01399
OG0000061	Syaq.g_00249	Pran.g_00060
OG0000063	Syaq.g_01110	Pran.g_00391
OG0000065	Syaq.g_01908, Syaq.g_01487	Pran.g_00326
OG0000066	Syaq.g_01851	Pran.g_01639
OG0000067	Syaq.g_02340	Pran.g_01343
OG0000068	Syaq.g_01763	Pran.g_00841
OG0000070	Syaq.g_00484	Pran.g_01727
OG0000071	Syaq.g_00297	Pran.g_00938, Pran.g_00876
OG0000072	Syaq.g_01397	Pran.g_00261
OG0000073	Syaq.g_01795	Pran.g_01679
OG0000075	Syaq.g_00986	Pran.g_01137
OG0000076	Syaq.g_01028	Pran.g_01160
OG0000077	Syaq.g_01547	Pran.g_00354
OG0000078	Syaq.g_01585	Pran.g_00194
OG0000079	Syaq.g_00721	Pran.g_01940
OG0000081	Syaq.g_01893	Pran.g_01647
OG0000082	Syaq.g_01975	Pran.g_01593
OG0000084	Syaq.g_00367	Pran.g_00737
OG0000085	Syaq.g_01683	Pran.g_00963
OG0000086	Syaq.g_01525	Pran.g_00344
OG0000087	Syaq.g_01438	Pran.g_00295
OG0000088	Syaq.g_01402	Pran.g_00266
OG0000089	Syaq.g_00529	Pran.g_01839
OG0000090	Syaq.g_01838	Pran.g_01645
OG0000091	Syaq.g_02090	Pran.g_01536
OG0000094	Syaq.g_00056, Syaq.g_02554	Pran.g_00549
OG0000097	Syaq.g_00167	Pran.g_00019
OG0000098	Syaq.g_02221	Pran.g_00855
OG0000099	Syaq.g_00882	Pran.g_00806
OG0000100	Syaq.g_02371	Pran.g_00659
OG0000101	Syaq.g_00607	Pran.g_01105
OG0000102	Syaq.g_01033	Pran.g_01165
OG0000103	Syaq.g_01170	Pran.g_01244
OG0000104	Syaq.g_01154	Pran.g_01253
OG0000105	Syaq.g_00754	Pran.g_01920
OG0000106	Syaq.g_01863	Pran.g_01824
OG0000108	Syaq.g_01772	Pran.g_01698
OG0000109	Syaq.g_01788	Pran.g_01684
OG0000110	Syaq.g_01962	Pran.g_01603
OG0000111	Syaq.g_02606	Pran.g_01479
OG0000112	Syaq.g_02476	Pran.g_01378
OG0000114	Syaq.g_02269	Pran.g_00429
OG0000115	Syaq.g_00395	Pran.g_00123
OG0000116	Syaq.g_00263	Pran.g_00070
OG0000117	Syaq.g_00203	Pran.g_01466
OG0000118	Syaq.g_00325, Syaq.g_00316	Pran.g_00864
OG0000120	Syaq.g_00883	Pran.g_00752
OG0000121	Syaq.g_00375	Pran.g_00731
OG0000122	Syaq.g_02118	Pran.g_00693
OG0000123	Syaq.g_00599	Pran.g_01112
OG0000124	Syaq.g_01055	Pran.g_01176
OG0000125	Syaq.g_01256	Pran.g_01212
OG0000126	Syaq.g_01156	Pran.g_01252
OG0000128	Syaq.g_01138	Pran.g_01268
OG0000129	Syaq.g_01269	Pran.g_00381
OG0000130	Syaq.g_01559	Pran.g_00363
OG0000131	Syaq.g_01427, Syaq.g_01424	Pran.g_00288
OG0000132	Syaq.g_01404	Pran.g_00268
OG0000133	Syaq.g_02481	Pran.g_01872
OG0000134	Syaq.g_00526	Pran.g_01838
OG0000135	Syaq.g_01227	Pran.g_01812
OG0000136	Syaq.g_00496	Pran.g_01739
OG0000137	Syaq.g_00442	Pran.g_01703
OG0000138	Syaq.g_01789	Pran.g_01683
OG0000139	Syaq.g_01844	Pran.g_01641
OG0000140	Syaq.g_01848	Pran.g_01640
OG0000141	Syaq.g_02010	Pran.g_01571
OG0000142	Syaq.g_02082	Pran.g_01543
OG0000143	Syaq.g_02086	Pran.g_01539
OG0000144	Syaq.g_02152	Pran.g_01526
OG0000145	Syaq.g_01796	Pran.g_01400
OG0000146	Syaq.g_02475	Pran.g_01377
OG0000147	Syaq.g_02474	Pran.g_01376
OG0000148	Syaq.g_02359	Pran.g_01327
OG0000149	Syaq.g_02395	Pran.g_01297
OG0000150	Syaq.g_02011	Pran.g_01289
OG0000151	Syaq.g_02283	Pran.g_00439
OG0000152	Syaq.g_02485	Pran.g_00487
OG0000153	Syaq.g_02518	Pran.g_00506
OG0000154	Syaq.g_00066	Pran.g_00542
OG0000155	Syaq.g_00212	Pran.g_00040
OG0000156	Syaq.g_00281	Pran.g_00887
OG0000157	Syaq.g_00282	Pran.g_00886
OG0000158	Syaq.g_01003	Pran.g_00822
OG0000159	Syaq.g_00918, Syaq.g_00941	Pran.g_00808
OG0000160	Syaq.g_00374	Pran.g_00732
OG0000161	Syaq.g_00382	Pran.g_00726
OG0000162	Syaq.g_00389	Pran.g_00720
OG0000163	Syaq.g_01730	Pran.g_00686
OG0000164	Syaq.g_01642	Pran.g_00994
OG0000165	Syaq.g_01630	Pran.g_01001
OG0000166	Syaq.g_00647	Pran.g_01069, Pran.g_01068
OG0000167	Syaq.g_00983	Pran.g_01135
OG0000168	Syaq.g_01004	Pran.g_01144
OG0000169	Syaq.g_01016	Pran.g_01154
OG0000170	Syaq.g_01023	Pran.g_01156
OG0000171	Syaq.g_01052	Pran.g_01175
OG0000172	Syaq.g_01074	Pran.g_01184
OG0000173	Syaq.g_01092	Pran.g_01199
OG0000174	Syaq.g_01224	Pran.g_01226
OG0000175	Syaq.g_01183	Pran.g_01236
OG0000176	Syaq.g_01146	Pran.g_01261
OG0000177	Syaq.g_01145	Pran.g_01262
OG0000178	Syaq.g_01144	Pran.g_01263
OG0000179	Syaq.g_01129	Pran.g_00408
OG0000180	Syaq.g_01128	Pran.g_00407
