Orthogroup	Syaq	Syam
OG0000001	Syaq.g_00118, Syaq.g_01435, Syaq.g_00115	Syam.g_02177
OG0000001	Syaq.g_02178, Syaq.g_02413	Syam.g_00929
OG0000004	Syaq.g_02603	Syam.g_00787
OG0000004	Syaq.g_02042	Syam.g_01499
OG0000004	Syaq.g_01567	Syam.g_00501
OG0000005	Syaq.g_01658	Syam.g_02004
OG0000005	Syaq.g_01692	Syam.g_01970
OG0000005	Syaq.g_00236	Syam.g_00715, Syam.g_01029
OG0000006	Syaq.g_00696, Syaq.g_01590	Syam.g_00286, Syam.g_00518
OG0000006	Syaq.g_02108	Syam.g_01446
OG0000007	Syaq.g_01793	Syam.g_00602
OG0000007	Syaq.g_01673	Syam.g_01990
OG0000008	Syaq.g_02162	Syam.g_00810
OG0000008	Syaq.g_02575	Syam.g_00811
OG0000009	Syaq.g_01489	Syam.g_02119
OG0000010	Syaq.g_00443	Syam.g_01669
OG0000011	Syaq.g_01038	Syam.g_00814
OG0000012	Syaq.g_02059	Syam.g_01492
OG0000013	Syaq.g_00569, Syaq.g_00572, Syaq.g_02023	Syam.g_00421, Syam.g_00404, Syam.g_00409
OG0000014	Syaq.g_00862	Syam.g_00191
OG0000015	Syaq.g_02255	Syam.g_01218, Syam.g_01362
OG0000016	Syaq.g_01136	Syam.g_00014
OG0000016	Syaq.g_00169	Syam.g_00876
OG0000017	Syaq.g_01999	Syam.g_01708
OG0000017	Syaq.g_01992	Syam.g_01715
OG0000018	Syaq.g_00401	Syam.g_01640
OG0000019	Syaq.g_00717	Syam.g_00274
OG0000022	Syaq.g_02126	Syam.g_01418
OG0000023	Syaq.g_02540	Syam.g_01217, Syam.g_01553, Syam.g_01583, Syam.g_01075, Syam.g_01943
OG0000025	Syaq.g_02381	Syam.g_00740
OG0000026	Syaq.g_01114	Syam.g_00035
OG0000028	Syaq.g_00878	Syam.g_00176
OG0000030	Syaq.g_01047	Syam.g_00104
OG0000030	Syaq.g_01048	Syam.g_00103
OG0000031	Syaq.g_01009	Syam.g_00171, Syam.g_00086
OG0000032	Syaq.g_00421	Syam.g_01660
OG0000033	Syaq.g_01399	Syam.g_02217
OG0000034	Syaq.g_00312, Syaq.g_01431	Syam.g_02185, Syam.g_01843, Syam.g_02187
OG0000035	Syaq.g_00372	Syam.g_01612
OG0000037	Syaq.g_01483	Syam.g_02125
OG0000038	Syaq.g_01260	Syam.g_02317
OG0000041	Syaq.g_02688	Syam.g_00765
OG0000042	Syaq.g_00200, Syaq.g_01044	Syam.g_00107
OG0000043	Syaq.g_01920	Syam.g_01041
OG0000044	Syaq.g_00107	Syam.g_02052
OG0000045	Syaq.g_02047	Syam.g_02028
OG0000048	Syaq.g_00749	Syam.g_00243
