Orthogroup	Syaq	Prbk
OG0000001	Syaq.g_01434	Prbk.g_00561, Prbk.g_02701
OG0000003	Syaq.g_00887	Prbk.g_02222, Prbk.g_01375, Prbk.g_00214, Prbk.g_02704, Prbk.g_02705, Prbk.g_00332, Prbk.g_01523, Prbk.g_00695, Prbk.g_01676, Prbk.g_01675, Prbk.g_00349, Prbk.g_00999, Prbk.g_02681, Prbk.g_02121, Prbk.g_00049
OG0000004	Syaq.g_02603	Prbk.g_01760
OG0000004	Syaq.g_02042, Syaq.g_01567	Prbk.g_01134
OG0000005	Syaq.g_01692	Prbk.g_00933
OG0000006	Syaq.g_02558, Syaq.g_00696, Syaq.g_01590	Prbk.g_02695
OG0000007	Syaq.g_01673	Prbk.g_00907
OG0000008	Syaq.g_02162	Prbk.g_01819
OG0000008	Syaq.g_02575	Prbk.g_01820
OG0000009	Syaq.g_01489	Prbk.g_01932, Prbk.g_00013
OG0000010	Syaq.g_00443	Prbk.g_02112
OG0000011	Syaq.g_01038	Prbk.g_01851
OG0000012	Syaq.g_02059	Prbk.g_02610
OG0000013	Syaq.g_00569, Syaq.g_00572, Syaq.g_02023	Prbk.g_00853
OG0000014	Syaq.g_00862	Prbk.g_00454
OG0000015	Syaq.g_02255	Prbk.g_02558
OG0000017	Syaq.g_01999	Prbk.g_01150
OG0000017	Syaq.g_01992	Prbk.g_01142
OG0000018	Syaq.g_00401	Prbk.g_01227
OG0000019	Syaq.g_00717	Prbk.g_01644
OG0000022	Syaq.g_02126	Prbk.g_00212, Prbk.g_01667
OG0000023	Syaq.g_02540	Prbk.g_02448
OG0000025	Syaq.g_02381	Prbk.g_02531
OG0000026	Syaq.g_01114	Prbk.g_01617
OG0000028	Syaq.g_00878	Prbk.g_00469
OG0000030	Syaq.g_01047	Prbk.g_01532
OG0000030	Syaq.g_01048	Prbk.g_01533
OG0000031	Syaq.g_01009	Prbk.g_00539, Prbk.g_00534
OG0000032	Syaq.g_00421	Prbk.g_01209
OG0000033	Syaq.g_01399	Prbk.g_00776
OG0000034	Syaq.g_00312, Syaq.g_01431	Prbk.g_01171
OG0000035	Syaq.g_00371, Syaq.g_00372	Prbk.g_00259
OG0000037	Syaq.g_01483	Prbk.g_00007
OG0000038	Syaq.g_01260	Prbk.g_02164
OG0000038	Syaq.g_01258	Prbk.g_02166
OG0000039	Syaq.g_01601	Prbk.g_01385
OG0000039	Syaq.g_01241	Prbk.g_00642
OG0000042	Syaq.g_00200, Syaq.g_01044	Prbk.g_01495, Prbk.g_00140
OG0000044	Syaq.g_00107	Prbk.g_01462, Prbk.g_01351, Prbk.g_02675, Prbk.g_01732
OG0000045	Syaq.g_02047	Prbk.g_01321
OG0000046	Syaq.g_00570, Syaq.g_00573	Prbk.g_00854
OG0000048	Syaq.g_00749	Prbk.g_00405
OG0000052	Syaq.g_00969	Prbk.g_00499
OG0000053	Syaq.g_00397	Prbk.g_01230
OG0000054	Syaq.g_02005	Prbk.g_01153
OG0000057	Syaq.g_02605	Prbk.g_01765
OG0000059	Syaq.g_00657	Prbk.g_00992, Prbk.g_00533
OG0000060	Syaq.g_01770	Prbk.g_02058
OG0000061	Syaq.g_00249	Prbk.g_01019
OG0000062	Syaq.g_01690	Prbk.g_00931
OG0000063	Syaq.g_01110	Prbk.g_01613
OG0000065	Syaq.g_01908, Syaq.g_01487	Prbk.g_00011
OG0000066	Syaq.g_01851	Prbk.g_01094
OG0000067	Syaq.g_02340	Prbk.g_02468
OG0000068	Syaq.g_01763	Prbk.g_02052
OG0000070	Syaq.g_00484	Prbk.g_00310
OG0000071	Syaq.g_00297	Prbk.g_01183
OG0000072	Syaq.g_01397	Prbk.g_00778
OG0000073	Syaq.g_01795	Prbk.g_01862
OG0000075	Syaq.g_00986	Prbk.g_00514
OG0000076	Syaq.g_01028	Prbk.g_00237
OG0000077	Syaq.g_01547	Prbk.g_01308
OG0000078	Syaq.g_01585	Prbk.g_01515
OG0000079	Syaq.g_00721	Prbk.g_01000
OG0000081	Syaq.g_01893	Prbk.g_00733, Prbk.g_01772
OG0000082	Syaq.g_01975	Prbk.g_01122
OG0000084	Syaq.g_00367	Prbk.g_00255
