Orthogroup	Syaq	Syal
OG0000001	Syaq.g_00118, Syaq.g_01435, Syaq.g_00115	Syal.g_02215
OG0000001	Syaq.g_01434	Syal.g_00874, Syal.g_01184
OG0000003	Syaq.g_00887	Syal.g_01214, Syal.g_02153
OG0000004	Syaq.g_02603	Syal.g_01809
OG0000004	Syaq.g_02042	Syal.g_02718
OG0000004	Syaq.g_01567	Syal.g_00691
OG0000005	Syaq.g_01658	Syal.g_00606
OG0000005	Syaq.g_01692	Syal.g_00565
OG0000005	Syaq.g_00236	Syal.g_01664
OG0000006	Syaq.g_00696, Syaq.g_01590	Syal.g_00674
OG0000006	Syaq.g_02108	Syal.g_02611
OG0000007	Syaq.g_01793	Syal.g_02918
OG0000007	Syaq.g_01673	Syal.g_00587
OG0000008	Syaq.g_02162	Syal.g_02512
OG0000008	Syaq.g_02575	Syal.g_01783
OG0000009	Syaq.g_01489	Syal.g_00818
OG0000010	Syaq.g_00443	Syal.g_00464
OG0000011	Syaq.g_01038	Syal.g_00702
OG0000013	Syaq.g_00569, Syaq.g_00572, Syaq.g_02023	Syal.g_00322, Syal.g_00310, Syal.g_00315
OG0000014	Syaq.g_00862	Syal.g_01305
OG0000014	Syaq.g_00907	Syal.g_01393
OG0000015	Syaq.g_00121, Syaq.g_01171	Syal.g_02210, Syal.g_01183
OG0000016	Syaq.g_01136	Syal.g_00111
OG0000016	Syaq.g_00169	Syal.g_01734
OG0000017	Syaq.g_01999	Syal.g_02745
OG0000017	Syaq.g_01992	Syal.g_02752
OG0000018	Syaq.g_00401	Syal.g_00410
OG0000019	Syaq.g_00717	Syal.g_01209
OG0000022	Syaq.g_02126	Syal.g_02587
OG0000023	Syaq.g_02540	Syal.g_02485, Syal.g_02858, Syal.g_01894
OG0000025	Syaq.g_02381	Syal.g_02459
OG0000026	Syaq.g_01114	Syal.g_00132
OG0000028	Syaq.g_00878	Syal.g_01319
OG0000030	Syaq.g_01047	Syal.g_01511
OG0000030	Syaq.g_01048	Syal.g_01512
OG0000031	Syaq.g_01009	Syal.g_01404, Syal.g_01432
OG0000032	Syaq.g_00421	Syal.g_00428
OG0000033	Syaq.g_01399	Syal.g_00912
OG0000034	Syaq.g_00312, Syaq.g_01431	Syal.g_00881, Syal.g_01586
OG0000035	Syaq.g_00371	Syal.g_00020
OG0000035	Syaq.g_00372	Syal.g_00370
OG0000037	Syaq.g_01483	Syal.g_00824
OG0000038	Syaq.g_01260	Syal.g_01071
OG0000038	Syaq.g_01258	Syal.g_01073
OG0000039	Syaq.g_01241	Syal.g_01097
OG0000042	Syaq.g_00200, Syaq.g_01044	Syal.g_01705, Syal.g_01508
OG0000043	Syaq.g_01920	Syal.g_02547
OG0000044	Syaq.g_02701	Syal.g_01847
OG0000048	Syaq.g_00749	Syal.g_01250
OG0000052	Syaq.g_00969	Syal.g_01338
OG0000053	Syaq.g_00397	Syal.g_00406
OG0000054	Syaq.g_02005	Syal.g_02739
OG0000055	Syaq.g_02700	Syal.g_01845
OG0000057	Syaq.g_02605	Syal.g_01812
OG0000058	Syaq.g_00944	Syal.g_01326
OG0000059	Syaq.g_00657	Syal.g_00225, Syal.g_01332
OG0000060	Syaq.g_00456	Syal.g_00480
OG0000060	Syaq.g_01770	Syal.g_02895
