Orthogroup	Syaq	Prbj
OG0000001	Syaq.g_01434	Prbj.g_01549, Prbj.g_02662
OG0000003	Syaq.g_00887	Prbj.g_02017, Prbj.g_00170, Prbj.g_01574, Prbj.g_02693, Prbj.g_02694, Prbj.g_00096, Prbj.g_02605, Prbj.g_00226, Prbj.g_00059, Prbj.g_00058, Prbj.g_00079, Prbj.g_01354, Prbj.g_01356, Prbj.g_01916, Prbj.g_01831
OG0000004	Syaq.g_02603	Prbj.g_00754
OG0000004	Syaq.g_02042, Syaq.g_01567	Prbj.g_01777
OG0000005	Syaq.g_01692	Prbj.g_00883
OG0000006	Syaq.g_02558, Syaq.g_00696, Syaq.g_01590	Prbj.g_02699
OG0000007	Syaq.g_01793	Prbj.g_01610
OG0000007	Syaq.g_01673	Prbj.g_00857
OG0000008	Syaq.g_02162	Prbj.g_00929
OG0000008	Syaq.g_02575	Prbj.g_00928
OG0000009	Syaq.g_01489	Prbj.g_01300, Prbj.g_00618
OG0000010	Syaq.g_00443	Prbj.g_00129
OG0000011	Syaq.g_01038	Prbj.g_00897
OG0000012	Syaq.g_02059	Prbj.g_02552
OG0000013	Syaq.g_00569, Syaq.g_00572, Syaq.g_02023	Prbj.g_00359
OG0000014	Syaq.g_00862	Prbj.g_01442
OG0000015	Syaq.g_02255	Prbj.g_02502
OG0000017	Syaq.g_01999	Prbj.g_01761
OG0000017	Syaq.g_01992	Prbj.g_01769
OG0000018	Syaq.g_00401	Prbj.g_00641
OG0000019	Syaq.g_00717	Prbj.g_00025
OG0000022	Syaq.g_02126	Prbj.g_01572, Prbj.g_00050
OG0000023	Syaq.g_02540	Prbj.g_02392
OG0000025	Syaq.g_02381	Prbj.g_02475
OG0000026	Syaq.g_01114	Prbj.g_01204
OG0000028	Syaq.g_00878	Prbj.g_01457
OG0000030	Syaq.g_01047	Prbj.g_01288
OG0000030	Syaq.g_01048	Prbj.g_01287
OG0000031	Syaq.g_01009	Prbj.g_01527, Prbj.g_01522
OG0000032	Syaq.g_00421	Prbj.g_00659
OG0000033	Syaq.g_01399	Prbj.g_00518
OG0000034	Syaq.g_00312, Syaq.g_01431	Prbj.g_01740
OG0000035	Syaq.g_00371, Syaq.g_00372	Prbj.g_01056
OG0000037	Syaq.g_01483	Prbj.g_00624
OG0000038	Syaq.g_01260	Prbj.g_01959
OG0000038	Syaq.g_01258	Prbj.g_01961
OG0000039	Syaq.g_01601	Prbj.g_00429
OG0000039	Syaq.g_01241	Prbj.g_00278
OG0000042	Syaq.g_00200, Syaq.g_01044	Prbj.g_01808, Prbj.g_00001
OG0000044	Syaq.g_00107	Prbj.g_01330, Prbj.g_00194, Prbj.g_02695, Prbj.g_00726
OG0000045	Syaq.g_02047	Prbj.g_00563
OG0000046	Syaq.g_00570, Syaq.g_00573	Prbj.g_00358
OG0000048	Syaq.g_00749	Prbj.g_01393
OG0000052	Syaq.g_00969	Prbj.g_01487
OG0000053	Syaq.g_00397	Prbj.g_00638
OG0000054	Syaq.g_02005	Prbj.g_01758
OG0000057	Syaq.g_02605	Prbj.g_00758
OG0000059	Syaq.g_00657	Prbj.g_01029, Prbj.g_01521
OG0000060	Syaq.g_01770	Prbj.g_01633
OG0000061	Syaq.g_00249	Prbj.g_00971
OG0000062	Syaq.g_01690	Prbj.g_00881
OG0000063	Syaq.g_01110	Prbj.g_01208
OG0000065	Syaq.g_01908, Syaq.g_01487	Prbj.g_00620
OG0000066	Syaq.g_01851	Prbj.g_02141
OG0000067	Syaq.g_02340	Prbj.g_02412
OG0000068	Syaq.g_01763	Prbj.g_01639
OG0000070	Syaq.g_00484	Prbj.g_00118
OG0000071	Syaq.g_00297	Prbj.g_01728
OG0000072	Syaq.g_01397	Prbj.g_00516
OG0000073	Syaq.g_01795	Prbj.g_01608
OG0000075	Syaq.g_00986	Prbj.g_01502
OG0000076	Syaq.g_01028	Prbj.g_01598
OG0000077	Syaq.g_01547	Prbj.g_00576
OG0000078	Syaq.g_01585	Prbj.g_02614
OG0000079	Syaq.g_00721	Prbj.g_01353
OG0000081	Syaq.g_01893	Prbj.g_00799, Prbj.g_00765
OG0000082	Syaq.g_01975	Prbj.g_01789
OG0000084	Syaq.g_00367	Prbj.g_01052
OG0000085	Syaq.g_01683	Prbj.g_00869
OG0000086	Syaq.g_01525	Prbj.g_00589
OG0000087	Syaq.g_01438	Prbj.g_01547
OG0000088	Syaq.g_01402	Prbj.g_00912, Prbj.g_00521
OG0000089	Syaq.g_00529	Prbj.g_00064
OG0000090	Syaq.g_01838	Prbj.g_02127
OG0000091	Syaq.g_02090	Prbj.g_02581
OG0000093	Syaq.g_02323	Prbj.g_02388
OG0000094	Syaq.g_02554	Prbj.g_01985
OG0000095	Syaq.g_02679	Prbj.g_01838
OG0000097	Syaq.g_00167	Prbj.g_02152
OG0000098	Syaq.g_02221	Prbj.g_00669
OG0000099	Syaq.g_00882	Prbj.g_01464
OG0000100	Syaq.g_02371	Prbj.g_00185, Prbj.g_02442
OG0000101	Syaq.g_00607	Prbj.g_00981
OG0000102	Syaq.g_01033	Prbj.g_01819
OG0000103	Syaq.g_01170	Prbj.g_02055
OG0000104	Syaq.g_01154	Prbj.g_02069
OG0000105	Syaq.g_00754	Prbj.g_01397
OG0000106	Syaq.g_01863	Prbj.g_00875
OG0000107	Syaq.g_00694	Prbj.g_02659
OG0000108	Syaq.g_01772	Prbj.g_01630
OG0000109	Syaq.g_01788	Prbj.g_01614
OG0000110	Syaq.g_01962	Prbj.g_01801
OG0000111	Syaq.g_02606	Prbj.g_00759
OG0000112	Syaq.g_02476	Prbj.g_02276
OG0000114	Syaq.g_02269	Prbj.g_02340
OG0000115	Syaq.g_00395	Prbj.g_00634
OG0000116	Syaq.g_00263	Prbj.g_00956
OG0000117	Syaq.g_00203	Prbj.g_01915
OG0000118	Syaq.g_00325, Syaq.g_00316	Prbj.g_01742
OG0000120	Syaq.g_00883	Prbj.g_01465
OG0000121	Syaq.g_00375	Prbj.g_01064, Prbj.g_01058
OG0000122	Syaq.g_02118	Prbj.g_02627
OG0000123	Syaq.g_00599	Prbj.g_00406
OG0000124	Syaq.g_01055	Prbj.g_01281
OG0000125	Syaq.g_01256	Prbj.g_01963
OG0000126	Syaq.g_01156	Prbj.g_02067
OG0000128	Syaq.g_01138	Prbj.g_02085
OG0000129	Syaq.g_01269	Prbj.g_01951
OG0000130	Syaq.g_01559	Prbj.g_00564
OG0000131	Syaq.g_01427, Syaq.g_01424	Prbj.g_00543
OG0000132	Syaq.g_01404	Prbj.g_00523
OG0000133	Syaq.g_02481	Prbj.g_01460
OG0000134	Syaq.g_00526	Prbj.g_00067
OG0000135	Syaq.g_01227	Prbj.g_02004
OG0000136	Syaq.g_00496	Prbj.g_00105
OG0000137	Syaq.g_00442	Prbj.g_00128
OG0000138	Syaq.g_01789	Prbj.g_01613
OG0000139	Syaq.g_01844	Prbj.g_02133
OG0000140	Syaq.g_01848	Prbj.g_02139
OG0000141	Syaq.g_02010	Prbj.g_01757
OG0000142	Syaq.g_02082	Prbj.g_02573
OG0000143	Syaq.g_02086	Prbj.g_02577
OG0000144	Syaq.g_02152	Prbj.g_00793
OG0000145	Syaq.g_01796	Prbj.g_01607
OG0000146	Syaq.g_02475	Prbj.g_02277
OG0000147	Syaq.g_02474	Prbj.g_02278
OG0000148	Syaq.g_02359	Prbj.g_02431
OG0000149	Syaq.g_02395	Prbj.g_02488
OG0000150	Syaq.g_02011	Prbj.g_02511
OG0000151	Syaq.g_02283	Prbj.g_02361
OG0000152	Syaq.g_02485	Prbj.g_02268
OG0000153	Syaq.g_02518	Prbj.g_02241
OG0000154	Syaq.g_00066	Prbj.g_02213
OG0000155	Syaq.g_00212	Prbj.g_00312
OG0000156	Syaq.g_00281	Prbj.g_00163
OG0000157	Syaq.g_00282	Prbj.g_00162
OG0000158	Syaq.g_01003	Prbj.g_01514
OG0000160	Syaq.g_00374	Prbj.g_01057
OG0000161	Syaq.g_00382	Prbj.g_01071
OG0000162	Syaq.g_00389	Prbj.g_01077
OG0000163	Syaq.g_01730	Prbj.g_01688
OG0000164	Syaq.g_01642	Prbj.g_00476
OG0000165	Syaq.g_01630	Prbj.g_00467
OG0000166	Syaq.g_00647	Prbj.g_01019
OG0000167	Syaq.g_00983	Prbj.g_01500
OG0000168	Syaq.g_01004	Prbj.g_01515
OG0000169	Syaq.g_01016	Prbj.g_01581
OG0000170	Syaq.g_01023	Prbj.g_01593
OG0000171	Syaq.g_01052	Prbj.g_01282
OG0000172	Syaq.g_01074	Prbj.g_01248
OG0000173	Syaq.g_01092	Prbj.g_01227
OG0000174	Syaq.g_01224	Prbj.g_02006
OG0000175	Syaq.g_01183	Prbj.g_02044
OG0000176	Syaq.g_01146	Prbj.g_02077
OG0000177	Syaq.g_01145	Prbj.g_02078
OG0000178	Syaq.g_01144	Prbj.g_02079
OG0000179	Syaq.g_01129	Prbj.g_01188
OG0000180	Syaq.g_01128	Prbj.g_01189
OG0000181	Syaq.g_01127	Prbj.g_01190
OG0000182	Syaq.g_01126	Prbj.g_01191
OG0000183	Syaq.g_01122	Prbj.g_01195
OG0000184	Syaq.g_01277	Prbj.g_01943
OG0000185	Syaq.g_01290	Prbj.g_01921
OG0000186	Syaq.g_01563	Prbj.g_00558
