Orthogroup	Syaq	Prbm
OG0000004	Syaq.g_02603	Prbm.g_01483
OG0000004	Syaq.g_02042, Syaq.g_01567	Prbm.g_00291
OG0000005	Syaq.g_01692	Prbm.g_01790
OG0000006	Syaq.g_02558, Syaq.g_00696, Syaq.g_01590	Prbm.g_00302, Prbm.g_01236, Prbm.g_01588
OG0000007	Syaq.g_01793	Prbm.g_00522
OG0000007	Syaq.g_01673	Prbm.g_01841
OG0000008	Syaq.g_02162	Prbm.g_01907
OG0000008	Syaq.g_02575	Prbm.g_01908
OG0000010	Syaq.g_00443	Prbm.g_01066, Prbm.g_00499
OG0000011	Syaq.g_01038	Prbm.g_01202, Prbm.g_01174, Prbm.g_01134
OG0000013	Syaq.g_00569, Syaq.g_00572, Syaq.g_02023	Prbm.g_00382
OG0000014	Syaq.g_00862	Prbm.g_00362
OG0000015	Syaq.g_02255	Prbm.g_01427, Prbm.g_01149
OG0000016	Syaq.g_01136	Prbm.g_00013
OG0000016	Syaq.g_00169	Prbm.g_01944
OG0000017	Syaq.g_01992	Prbm.g_00635
OG0000018	Syaq.g_00401	Prbm.g_01571, Prbm.g_00843
OG0000019	Syaq.g_00717	Prbm.g_00792
OG0000022	Syaq.g_02126	Prbm.g_01204, Prbm.g_01324
OG0000023	Syaq.g_02540	Prbm.g_01444, Prbm.g_01297, Prbm.g_01284
OG0000025	Syaq.g_02381	Prbm.g_00849
OG0000026	Syaq.g_01114	Prbm.g_00031
OG0000028	Syaq.g_00878	Prbm.g_01656
OG0000030	Syaq.g_01047, Syaq.g_01048	Prbm.g_02105
OG0000031	Syaq.g_01009	Prbm.g_01627, Prbm.g_00392, Prbm.g_00391, Prbm.g_00393
OG0000032	Syaq.g_00421	Prbm.g_01747
OG0000033	Syaq.g_01399	Prbm.g_00228
OG0000034	Syaq.g_00312, Syaq.g_01431	Prbm.g_01620
OG0000035	Syaq.g_00372	Prbm.g_01710
OG0000037	Syaq.g_01483	Prbm.g_00166
OG0000038	Syaq.g_01260, Syaq.g_01258	Prbm.g_02174
OG0000039	Syaq.g_01601, Syaq.g_01241	Prbm.g_00723
OG0000042	Syaq.g_00200, Syaq.g_01044	Prbm.g_02102
OG0000043	Syaq.g_01920	Prbm.g_01173
OG0000045	Syaq.g_02047	Prbm.g_01088
OG0000046	Syaq.g_00570, Syaq.g_00573	Prbm.g_00383
OG0000048	Syaq.g_00749	Prbm.g_00329
OG0000053	Syaq.g_00397	Prbm.g_01729
OG0000054	Syaq.g_02005	Prbm.g_00637
OG0000055	Syaq.g_02700	Prbm.g_00778
OG0000057	Syaq.g_02605	Prbm.g_00735
OG0000058	Syaq.g_00944	Prbm.g_00881
OG0000059	Syaq.g_00657	Prbm.g_01973
OG0000060	Syaq.g_00201	Prbm.g_01422
OG0000061	Syaq.g_00249	Prbm.g_01549
OG0000063	Syaq.g_01110	Prbm.g_01947
OG0000065	Syaq.g_01908, Syaq.g_01487	Prbm.g_00164
OG0000066	Syaq.g_01851	Prbm.g_00572
OG0000067	Syaq.g_02340	Prbm.g_00814
OG0000068	Syaq.g_01763	Prbm.g_01660
OG0000070	Syaq.g_00484	Prbm.g_00460
OG0000071	Syaq.g_00297	Prbm.g_00468, Prbm.g_01611
OG0000072	Syaq.g_01397	Prbm.g_00230
OG0000073	Syaq.g_01795	Prbm.g_00533
OG0000075	Syaq.g_00986	Prbm.g_02069
