Orthogroup	Syaq	Prak
OG0000004	Syaq.g_02603	Prak.g_00826
OG0000004	Syaq.g_02042, Syaq.g_01567	Prak.g_00248
OG0000005	Syaq.g_01692	Prak.g_01474
OG0000006	Syaq.g_02558, Syaq.g_00696, Syaq.g_01590	Prak.g_00258
OG0000007	Syaq.g_01793	Prak.g_00458
OG0000007	Syaq.g_01673	Prak.g_01645
OG0000008	Syaq.g_02162	Prak.g_01544
OG0000008	Syaq.g_02575	Prak.g_01545, Prak.g_01546
OG0000010	Syaq.g_00443	Prak.g_00739, Prak.g_01034, Prak.g_00435
OG0000011	Syaq.g_01038	Prak.g_00660
OG0000012	Syaq.g_02059	Prak.g_00584
OG0000013	Syaq.g_00569, Syaq.g_00572, Syaq.g_02023	Prak.g_00343
OG0000014	Syaq.g_00862	Prak.g_00325
OG0000015	Syaq.g_02255	Prak.g_01584, Prak.g_01630
OG0000016	Syaq.g_01136	Prak.g_00013
OG0000016	Syaq.g_00169	Prak.g_01230
OG0000017	Syaq.g_01999	Prak.g_00566
OG0000017	Syaq.g_01992	Prak.g_00559
OG0000018	Syaq.g_00401	Prak.g_01194, Prak.g_00873
OG0000019	Syaq.g_00717	Prak.g_00266, Prak.g_01196
OG0000022	Syaq.g_02126	Prak.g_01482
OG0000023	Syaq.g_02540	Prak.g_00721
OG0000025	Syaq.g_02381	Prak.g_00881
OG0000026	Syaq.g_01114	Prak.g_00032
OG0000028	Syaq.g_00878	Prak.g_01543
OG0000030	Syaq.g_01047, Syaq.g_01048	Prak.g_01853
OG0000031	Syaq.g_01009	Prak.g_01350
OG0000032	Syaq.g_00421	Prak.g_01430
OG0000033	Syaq.g_01399	Prak.g_00181
OG0000034	Syaq.g_00312, Syaq.g_01431	Prak.g_01288
OG0000035	Syaq.g_00372	Prak.g_01391
OG0000037	Syaq.g_01483	Prak.g_00115
OG0000038	Syaq.g_01260, Syaq.g_01258	Prak.g_01893
OG0000039	Syaq.g_01601, Syaq.g_01241	Prak.g_00814
OG0000042	Syaq.g_00200, Syaq.g_01044	Prak.g_01850
OG0000045	Syaq.g_02047	Prak.g_01216
OG0000046	Syaq.g_00570, Syaq.g_00573	Prak.g_00344
OG0000048	Syaq.g_00749	Prak.g_01264, Prak.g_00289
OG0000052	Syaq.g_00969	Prak.g_01369
OG0000053	Syaq.g_00397	Prak.g_01590, Prak.g_01412
OG0000054	Syaq.g_02005	Prak.g_00568
OG0000055	Syaq.g_02700	Prak.g_01221
OG0000057	Syaq.g_02605	Prak.g_00829
OG0000058	Syaq.g_00944	Prak.g_01351
OG0000059	Syaq.g_00657	Prak.g_01732
OG0000061	Syaq.g_00249	Prak.g_01172
OG0000062	Syaq.g_01690	Prak.g_01476
OG0000063	Syaq.g_01110	Prak.g_01530
OG0000064	Syaq.g_02138	Prak.g_00072
OG0000065	Syaq.g_01908, Syaq.g_01487	Prak.g_00113
OG0000066	Syaq.g_01851	Prak.g_00498, Prak.g_01557
OG0000067	Syaq.g_02340	Prak.g_00845
OG0000068	Syaq.g_01763	Prak.g_01329
OG0000070	Syaq.g_00484	Prak.g_00412
OG0000071	Syaq.g_00297	Prak.g_01277
OG0000072	Syaq.g_01397	Prak.g_00183
OG0000073	Syaq.g_01795	Prak.g_00461
OG0000075	Syaq.g_00986	Prak.g_01816
OG0000076	Syaq.g_01028	Prak.g_01842
OG0000077	Syaq.g_01547	Prak.g_00083
OG0000078	Syaq.g_01585	Prak.g_00256
OG0000079	Syaq.g_00721	Prak.g_00269
OG0000081	Syaq.g_01893	Prak.g_00490
OG0000082	Syaq.g_01975	Prak.g_00546, Prak.g_01634
OG0000084	Syaq.g_00367	Prak.g_01388
OG0000085	Syaq.g_01683	Prak.g_01637, Prak.g_01516
OG0000086	Syaq.g_01525	Prak.g_00092
OG0000087	Syaq.g_01438	Prak.g_00147
OG0000088	Syaq.g_01402	Prak.g_00178
OG0000089	Syaq.g_00529	Prak.g_00379
OG0000090	Syaq.g_01838	Prak.g_00492
OG0000091	Syaq.g_02090	Prak.g_01100
OG0000094	Syaq.g_02554	Prak.g_01022
OG0000097	Syaq.g_00167	Prak.g_01126
OG0000098	Syaq.g_02221	Prak.g_01305
OG0000099	Syaq.g_00882	Prak.g_01352
OG0000100	Syaq.g_02371	Prak.g_01470
OG0000101	Syaq.g_00607	Prak.g_01780
OG0000102	Syaq.g_01033	Prak.g_01847
OG0000103	Syaq.g_01170	Prak.g_01932
OG0000104	Syaq.g_01154	Prak.g_01941
OG0000105	Syaq.g_00754	Prak.g_00292
OG0000106	Syaq.g_01863	Prak.g_00687
OG0000108	Syaq.g_01772	Prak.g_00441
