Orthogroup	Syaq	Praa
OG0000004	Syaq.g_02603	Praa.g_00695
OG0000004	Syaq.g_02042, Syaq.g_01567	Praa.g_00232
OG0000005	Syaq.g_01658	Praa.g_01648
OG0000005	Syaq.g_01692	Praa.g_01553
OG0000006	Syaq.g_02558, Syaq.g_00696, Syaq.g_01590	Praa.g_00241, Praa.g_01245
OG0000007	Syaq.g_01793	Praa.g_00497
OG0000007	Syaq.g_01673	Praa.g_01635
OG0000008	Syaq.g_02162	Praa.g_01241
OG0000009	Syaq.g_01489	Praa.g_00105
OG0000010	Syaq.g_00443	Praa.g_01047, Praa.g_00474
OG0000011	Syaq.g_01038	Praa.g_01288, Praa.g_00396, Praa.g_01626
OG0000012	Syaq.g_02059	Praa.g_00623
OG0000013	Syaq.g_00569, Syaq.g_00572, Syaq.g_02023	Praa.g_00327
OG0000014	Syaq.g_00862	Praa.g_00306
OG0000014	Syaq.g_00907, Syaq.g_00933	Praa.g_01409
OG0000015	Syaq.g_02255	Praa.g_00765
OG0000016	Syaq.g_01136	Praa.g_00013
OG0000017	Syaq.g_01992	Praa.g_00598
OG0000018	Syaq.g_00401	Praa.g_01141, Praa.g_00831
OG0000019	Syaq.g_00717	Praa.g_00249, Praa.g_00782
OG0000022	Syaq.g_02126	Praa.g_00763, Praa.g_01124
OG0000023	Syaq.g_02540	Praa.g_00359
OG0000025	Syaq.g_02381	Praa.g_00839, Praa.g_00331
OG0000026	Syaq.g_01114	Praa.g_00031, Praa.g_01054
OG0000028	Syaq.g_00878	Praa.g_00320, Praa.g_01248
OG0000030	Syaq.g_01047, Syaq.g_01048	Praa.g_01842
OG0000033	Syaq.g_01399	Praa.g_00169
OG0000034	Syaq.g_00312, Syaq.g_01431	Praa.g_01328
OG0000035	Syaq.g_00372	Praa.g_01476
OG0000037	Syaq.g_01483	Praa.g_00109
OG0000038	Syaq.g_01260, Syaq.g_01258	Praa.g_01883
OG0000039	Syaq.g_01601, Syaq.g_01241	Praa.g_00686
OG0000042	Syaq.g_00200, Syaq.g_01044	Praa.g_01839
OG0000043	Syaq.g_01920	Praa.g_01259
OG0000045	Syaq.g_02047	Praa.g_00370
OG0000048	Syaq.g_00749	Praa.g_00373
OG0000052	Syaq.g_00969	Praa.g_01447, Praa.g_01407
OG0000053	Syaq.g_00397	Praa.g_01496
OG0000054	Syaq.g_02005	Praa.g_00606
OG0000055	Syaq.g_02700	Praa.g_00783
OG0000057	Syaq.g_02605	Praa.g_00698
OG0000058	Syaq.g_00944	Praa.g_01425
OG0000059	Syaq.g_00657	Praa.g_01723
OG0000061	Syaq.g_00249	Praa.g_01415, Praa.g_01159
OG0000063	Syaq.g_01110	Praa.g_00033
OG0000065	Syaq.g_01908, Syaq.g_01487	Praa.g_00107
OG0000066	Syaq.g_01851	Praa.g_00539
OG0000067	Syaq.g_02340	Praa.g_00803
OG0000068	Syaq.g_01763	Praa.g_01366
OG0000070	Syaq.g_00484	Praa.g_00449
OG0000071	Syaq.g_00297	Praa.g_01318
OG0000072	Syaq.g_01397	Praa.g_00171
OG0000073	Syaq.g_01795	Praa.g_00499
OG0000075	Syaq.g_00986	Praa.g_01808
OG0000076	Syaq.g_01028	Praa.g_01832
OG0000077	Syaq.g_01547	Praa.g_00078
OG0000078	Syaq.g_01585	Praa.g_00239
OG0000079	Syaq.g_00721	Praa.g_00252
OG0000081	Syaq.g_01893	Praa.g_00531
OG0000082	Syaq.g_01975	Praa.g_00585
OG0000084	Syaq.g_00367	Praa.g_01472
OG0000085	Syaq.g_01683	Praa.g_01628
OG0000086	Syaq.g_01525	Praa.g_00088
OG0000087	Syaq.g_01438	Praa.g_00139
OG0000088	Syaq.g_01402	Praa.g_00166
OG0000089	Syaq.g_00529	Praa.g_00355
OG0000090	Syaq.g_01838	Praa.g_00533
OG0000091	Syaq.g_02090	Praa.g_00642
OG0000094	Syaq.g_00056, Syaq.g_02554	Praa.g_01020
OG0000097	Syaq.g_00167	Praa.g_01200
OG0000098	Syaq.g_02221	Praa.g_01348
OG0000099	Syaq.g_00882	Praa.g_01394
OG0000100	Syaq.g_02371	Praa.g_01551
OG0000101	Syaq.g_00607	Praa.g_01775
OG0000102	Syaq.g_01033	Praa.g_01837
OG0000103	Syaq.g_01170	Praa.g_01916
OG0000104	Syaq.g_01154	Praa.g_01924
OG0000105	Syaq.g_00754	Praa.g_00274
OG0000106	Syaq.g_01863	Praa.g_00369
OG0000108	Syaq.g_01772	Praa.g_00480
OG0000109	Syaq.g_01788	Praa.g_00494
OG0000110	Syaq.g_01962	Praa.g_00575
OG0000111	Syaq.g_02606	Praa.g_00699
OG0000112	Syaq.g_02476	Praa.g_00766
OG0000114	Syaq.g_02269	Praa.g_00907
OG0000115	Syaq.g_00395	Praa.g_01101
OG0000116	Syaq.g_00263	Praa.g_01150
OG0000117	Syaq.g_00203	Praa.g_01255
OG0000118	Syaq.g_00325, Syaq.g_00316	Praa.g_01330
OG0000120	Syaq.g_00883	Praa.g_01387
OG0000121	Syaq.g_00375	Praa.g_01478
OG0000122	Syaq.g_02118	Praa.g_01516
OG0000123	Syaq.g_00599	Praa.g_01782
OG0000124	Syaq.g_01055	Praa.g_01848
OG0000125	Syaq.g_01256	Praa.g_01885
OG0000126	Syaq.g_01156	Praa.g_01923
OG0000128	Syaq.g_01138	Praa.g_00011
OG0000129	Syaq.g_01269	Praa.g_00044
OG0000130	Syaq.g_01559	Praa.g_00069
OG0000131	Syaq.g_01427, Syaq.g_01424	Praa.g_00145
OG0000132	Syaq.g_01404	Praa.g_00164
OG0000133	Syaq.g_02481	Praa.g_00322
OG0000134	Syaq.g_00526	Praa.g_00356
OG0000135	Syaq.g_01227	Praa.g_00381
OG0000136	Syaq.g_00496	Praa.g_00440
OG0000137	Syaq.g_00442	Praa.g_01414, Praa.g_00475
OG0000138	Syaq.g_01789	Praa.g_00495
OG0000139	Syaq.g_01844	Praa.g_00537
OG0000140	Syaq.g_01848	Praa.g_00538
OG0000141	Syaq.g_02010	Praa.g_00607
OG0000142	Syaq.g_02082	Praa.g_00635
OG0000143	Syaq.g_02086	Praa.g_00639
OG0000144	Syaq.g_02152	Praa.g_00652
OG0000145	Syaq.g_01796	Praa.g_00764
OG0000146	Syaq.g_02475	Praa.g_00767
OG0000147	Syaq.g_02474	Praa.g_00768
OG0000148	Syaq.g_02359	Praa.g_00820
OG0000149	Syaq.g_02395	Praa.g_00851
OG0000150	Syaq.g_02011	Praa.g_00859
OG0000151	Syaq.g_02283	Praa.g_00917
OG0000152	Syaq.g_02485	Praa.g_00964
OG0000153	Syaq.g_02518	Praa.g_00983
OG0000154	Syaq.g_00066	Praa.g_01013
OG0000155	Syaq.g_00212	Praa.g_01179
OG0000156	Syaq.g_00281	Praa.g_01307
OG0000157	Syaq.g_00282	Praa.g_01308
OG0000158	Syaq.g_01003	Praa.g_01395
OG0000159	Syaq.g_00918, Syaq.g_00941	Praa.g_01396
OG0000160	Syaq.g_00374	Praa.g_01477
OG0000161	Syaq.g_00382	Praa.g_01483
OG0000162	Syaq.g_00389	Praa.g_01489
OG0000163	Syaq.g_01730	Praa.g_01523
OG0000164	Syaq.g_01642	Praa.g_01659
OG0000165	Syaq.g_01630	Praa.g_01667
OG0000166	Syaq.g_00647	Praa.g_01739
OG0000167	Syaq.g_00983	Praa.g_01806
OG0000168	Syaq.g_01004	Praa.g_01816
OG0000169	Syaq.g_01016	Praa.g_01826
OG0000170	Syaq.g_01023	Praa.g_01828
OG0000171	Syaq.g_01052	Praa.g_01847
OG0000172	Syaq.g_01074	Praa.g_01856
OG0000173	Syaq.g_01092	Praa.g_01871
OG0000174	Syaq.g_01224	Praa.g_01898
OG0000175	Syaq.g_01183	Praa.g_01908
OG0000176	Syaq.g_01146	Praa.g_00004
OG0000177	Syaq.g_01145	Praa.g_00005
OG0000178	Syaq.g_01144	Praa.g_00006
OG0000179	Syaq.g_01129	Praa.g_00016
OG0000180	Syaq.g_01128	Praa.g_00017
OG0000181	Syaq.g_01127	Praa.g_00018
OG0000182	Syaq.g_01126	Praa.g_00019
OG0000183	Syaq.g_01122	Praa.g_00023
OG0000184	Syaq.g_01277	Praa.g_00046
OG0000185	Syaq.g_01290	Praa.g_00049
OG0000186	Syaq.g_01563	Praa.g_00064
OG0000187	Syaq.g_01561	Praa.g_00065
OG0000188	Syaq.g_01539	Praa.g_00082
OG0000189	Syaq.g_01499	Praa.g_00096
OG0000190	Syaq.g_01497	Praa.g_00097
OG0000191	Syaq.g_01467	Praa.g_00117
OG0000192	Syaq.g_01462	Praa.g_00121
OG0000193	Syaq.g_01423	Praa.g_00146
OG0000194	Syaq.g_01420	Praa.g_00149
OG0000195	Syaq.g_01418	Praa.g_00151
OG0000196	Syaq.g_01407	Praa.g_00161
OG0000197	Syaq.g_01406	Praa.g_00162
OG0000198	Syaq.g_01405	Praa.g_00163
OG0000199	Syaq.g_01398	Praa.g_00170
OG0000200	Syaq.g_01382	Praa.g_00184
OG0000201	Syaq.g_01365	Praa.g_00192
OG0000202	Syaq.g_01364	Praa.g_00193
OG0000203	Syaq.g_01363	Praa.g_00194
OG0000204	Syaq.g_01362	Praa.g_00195
OG0000205	Syaq.g_01355	Praa.g_00202
OG0000206	Syaq.g_01345	Praa.g_00207
OG0000207	Syaq.g_01338	Praa.g_00209
OG0000208	Syaq.g_01337	Praa.g_00210
OG0000209	Syaq.g_01310	Praa.g_00219
OG0000210	Syaq.g_01309	Praa.g_00220
OG0000211	Syaq.g_01570	Praa.g_00233
OG0000212	Syaq.g_01586	Praa.g_00240
OG0000213	Syaq.g_00729	Praa.g_00257
OG0000214	Syaq.g_00745	Praa.g_00267
OG0000215	Syaq.g_00777	Praa.g_00292
OG0000216	Syaq.g_00781	Praa.g_00294
OG0000217	Syaq.g_00844	Praa.g_00297
OG0000218	Syaq.g_00846	Praa.g_00299
OG0000219	Syaq.g_00847	Praa.g_00300
OG0000220	Syaq.g_00848	Praa.g_00301
OG0000221	Syaq.g_00856	Praa.g_00302
OG0000222	Syaq.g_00868	Praa.g_00310
OG0000223	Syaq.g_00946	Praa.g_00323
OG0000224	Syaq.g_00950	Praa.g_00325
OG0000225	Syaq.g_00543	Praa.g_00345
OG0000226	Syaq.g_00536	Praa.g_00349
OG0000227	Syaq.g_00534	Praa.g_00351
OG0000228	Syaq.g_00531	Praa.g_00354
OG0000229	Syaq.g_00501	Praa.g_00436
OG0000230	Syaq.g_00499	Praa.g_00437
OG0000231	Syaq.g_00485	Praa.g_00448
OG0000232	Syaq.g_00472	Praa.g_00457
OG0000233	Syaq.g_00464	Praa.g_00463
OG0000234	Syaq.g_00440	Praa.g_00476
OG0000235	Syaq.g_01771	Praa.g_00479
OG0000236	Syaq.g_01787	Praa.g_00493
OG0000237	Syaq.g_01805	Praa.g_00506
