Orthogroup	Syan	Prbb
OG0000001	Syan.g_02267, Syan.g_02266, Syan.g_01149, Syan.g_02528	Prbb.g_01611
OG0000004	Syan.g_00183	Prbb.g_01450
OG0000004	Syan.g_00989	Prbb.g_00288
OG0000005	Syan.g_01423	Prbb.g_01393
OG0000005	Syan.g_01378	Prbb.g_01766
OG0000006	Syan.g_00791, Syan.g_00057, Syan.g_00936, Syan.g_01505, Syan.g_02101, Syan.g_02441	Prbb.g_00299, Prbb.g_01328, Prbb.g_01560
OG0000007	Syan.g_02743	Prbb.g_00501
OG0000007	Syan.g_01400	Prbb.g_01823
OG0000008	Syan.g_00640, Syan.g_02532	Prbb.g_01884
OG0000008	Syan.g_00641, Syan.g_02531	Prbb.g_01885
OG0000010	Syan.g_02847	Prbb.g_01072
OG0000012	Syan.g_01076, Syan.g_00452, Syan.g_02349, Syan.g_02485, Syan.g_00008, Syan.g_00942	Prbb.g_01111
OG0000013	Syan.g_02156, Syan.g_02159, Syan.g_00101	Prbb.g_00378
OG0000014	Syan.g_01987	Prbb.g_00357
OG0000015	Syan.g_01691, Syan.g_00248	Prbb.g_01158
OG0000016	Syan.g_01766	Prbb.g_00014
OG0000016	Syan.g_02598, Syan.g_00440	Prbb.g_01919
OG0000017	Syan.g_01006	Prbb.g_00605
OG0000018	Syan.g_02816	Prbb.g_01539
OG0000019	Syan.g_02088	Prbb.g_00761
OG0000021	Syan.g_01001	Prbb.g_01914, Prbb.g_00099
OG0000022	Syan.g_00089	Prbb.g_01258
OG0000023	Syan.g_00404	Prbb.g_01411, Prbb.g_01373
OG0000025	Syan.g_00374	Prbb.g_00052, Prbb.g_00818
OG0000026	Syan.g_01743	Prbb.g_00032
OG0000027	Syan.g_02678	Prbb.g_01375
OG0000028	Syan.g_01971	Prbb.g_01635
OG0000030	Syan.g_01884, Syan.g_01883	Prbb.g_02073
OG0000031	Syan.g_01967	Prbb.g_00387
OG0000032	Syan.g_02835	Prbb.g_01723
OG0000033	Syan.g_03036	Prbb.g_00226
OG0000034	Syan.g_01227, Syan.g_03003	Prbb.g_01596
OG0000035	Syan.g_01279, Syan.g_01276	Prbb.g_01686
OG0000037	Syan.g_00136, Syan.g_02978, Syan.g_00917	Prbb.g_00164
OG0000038	Syan.g_00064, Syan.g_01569, Syan.g_01571	Prbb.g_02129
OG0000039	Syan.g_02771, Syan.g_00535	Prbb.g_00692
OG0000041	Syan.g_00302, Syan.g_01465	Prbb.g_01868
OG0000042	Syan.g_00991, Syan.g_02643, Syan.g_01888	Prbb.g_02069
OG0000044	Syan.g_00431, Syan.g_00435, Syan.g_01065	Prbb.g_00079
OG0000045	Syan.g_00086	Prbb.g_01347, Prbb.g_01094
OG0000046	Syan.g_02157, Syan.g_02160	Prbb.g_00379
OG0000048	Syan.g_02036	Prbb.g_00325
OG0000052	Syan.g_01954, Syan.g_01953	Prbb.g_00112
OG0000053	Syan.g_02812	Prbb.g_01705
OG0000054	Syan.g_02503, Syan.g_00231, Syan.g_00506	Prbb.g_00607
