Orthogroup	Syan	Syaf
OG0000001	Syan.g_02266	Syaf.g_00845
OG0000001	Syan.g_01149	Syaf.g_01634
OG0000004	Syan.g_00183	Syaf.g_01455
OG0000004	Syan.g_00989	Syaf.g_02351
OG0000005	Syan.g_01423	Syaf.g_01017
OG0000005	Syan.g_01378	Syaf.g_01057
OG0000005	Syan.g_00449	Syaf.g_01352, Syaf.g_01732
OG0000006	Syan.g_00791	Syaf.g_02288
OG0000006	Syan.g_01505, Syan.g_02101, Syan.g_02441	Syaf.g_00179, Syaf.g_02778
OG0000007	Syan.g_02743	Syaf.g_02702
OG0000007	Syan.g_01400	Syaf.g_01033
OG0000008	Syan.g_00640, Syan.g_02532	Syaf.g_01479
OG0000008	Syan.g_00641, Syan.g_02531	Syaf.g_01480
OG0000009	Syan.g_02972	Syaf.g_00905
OG0000010	Syan.g_02847	Syaf.g_02499
OG0000012	Syan.g_01076, Syan.g_00452, Syan.g_02349, Syan.g_02485, Syan.g_00008, Syan.g_00942	Syaf.g_01353, Syaf.g_01833, Syaf.g_01462, Syaf.g_01693
OG0000014	Syan.g_01987	Syaf.g_00280
OG0000016	Syan.g_01766	Syaf.g_00484
OG0000016	Syan.g_02598	Syaf.g_01576
OG0000017	Syan.g_01013	Syaf.g_02554
OG0000018	Syan.g_02816	Syaf.g_02451
OG0000019	Syan.g_02088	Syaf.g_00193
OG0000021	Syan.g_01001	Syaf.g_02773
OG0000022	Syan.g_00089	Syaf.g_02256
OG0000023	Syan.g_00404	Syaf.g_01765, Syaf.g_01987, Syaf.g_01731, Syaf.g_01995
OG0000025	Syan.g_00374	Syaf.g_01385
OG0000026	Syan.g_01743	Syaf.g_00461
OG0000028	Syan.g_01971	Syaf.g_00297
OG0000030	Syan.g_01884	Syaf.g_00406
OG0000030	Syan.g_01883	Syaf.g_00407
OG0000031	Syan.g_01967	Syaf.g_00314
OG0000032	Syan.g_02835	Syaf.g_02471
OG0000033	Syan.g_03036	Syaf.g_00807
OG0000034	Syan.g_01227, Syan.g_03003	Syaf.g_01241, Syaf.g_00837
OG0000035	Syan.g_01279, Syan.g_01276	Syaf.g_02412
OG0000037	Syan.g_00136	Syaf.g_00899
OG0000038	Syan.g_01569	Syaf.g_00642
OG0000039	Syan.g_00535	Syaf.g_01395
OG0000040	Syan.g_01651	Syaf.g_00558
OG0000042	Syan.g_00991, Syan.g_02643, Syan.g_01888	Syaf.g_00403
OG0000044	Syan.g_01065	Syaf.g_01400
OG0000045	Syan.g_00151	Syaf.g_00979
OG0000046	Syan.g_02157, Syan.g_02160	Syaf.g_00062
OG0000048	Syan.g_02036	Syaf.g_00230
OG0000052	Syan.g_01954, Syan.g_01953	Syaf.g_00335
OG0000053	Syan.g_02812	Syaf.g_02447
OG0000057	Syan.g_00643, Syan.g_02514	Syaf.g_01665
OG0000058	Syan.g_01964	Syaf.g_00316
OG0000059	Syan.g_02255	Syaf.g_00143
OG0000060	Syan.g_02856	Syaf.g_02515, Syaf.g_02726, Syaf.g_01425
OG0000060	Syan.g_00277	Syaf.g_01603
OG0000061	Syan.g_02696	Syaf.g_01288
OG0000062	Syan.g_00098	Syaf.g_02167
OG0000062	Syan.g_01380	Syaf.g_01055
OG0000063	Syan.g_01739	Syaf.g_00457
OG0000066	Syan.g_01156	Syaf.g_02643
OG0000067	Syan.g_00690	Syaf.g_02049
OG0000068	Syan.g_00845, Syan.g_00257, Syan.g_02773	Syaf.g_02733
OG0000070	Syan.g_00289	Syaf.g_01237
OG0000071	Syan.g_01213	Syaf.g_01254
OG0000072	Syan.g_03038	Syaf.g_00805
OG0000073	Syan.g_02741	Syaf.g_02700
OG0000075	Syan.g_00981, Syan.g_01937	Syaf.g_00353
OG0000076	Syan.g_01896	Syaf.g_00388
OG0000078	Syan.g_01509, Syan.g_01510, Syan.g_02437	Syaf.g_02782
OG0000079	Syan.g_02079, Syan.g_02067, Syan.g_02085	Syaf.g_00197
OG0000082	Syan.g_00952	Syaf.g_02576
OG0000084	Syan.g_01283	Syaf.g_02409
OG0000085	Syan.g_01387	Syaf.g_01048
OG0000086	Syan.g_02946, Syan.g_02515, Syan.g_00114	Syaf.g_00932
OG0000087	Syan.g_02268	Syaf.g_00848
OG0000088	Syan.g_03031	Syaf.g_00811
OG0000089	Syan.g_02316	Syaf.g_02807
OG0000090	Syan.g_01166	Syaf.g_02654
OG0000091	Syan.g_00235, Syan.g_00808	Syaf.g_02302
OG0000093	Syan.g_02934	Syaf.g_01775
OG0000093	Syan.g_00708	Syaf.g_02065
OG0000094	Syan.g_00353	Syaf.g_01940
OG0000095	Syan.g_00290	Syaf.g_01442
OG0000097	Syan.g_00160, Syan.g_00733	Syaf.g_01574
OG0000098	Syan.g_00043	Syaf.g_01637
OG0000099	Syan.g_01968	Syaf.g_00312
OG0000100	Syan.g_00658	Syaf.g_02017
OG0000102	Syan.g_01891	Syaf.g_00393
OG0000104	Syan.g_01792	Syaf.g_00502
OG0000105	Syan.g_02031	Syaf.g_00235
OG0000106	Syan.g_00076	Syaf.g_01745
OG0000107	Syan.g_02106	Syaf.g_00758
OG0000108	Syan.g_02764	Syaf.g_02721
OG0000110	Syan.g_00171, Syan.g_00882	Syaf.g_02589
OG0000112	Syan.g_00556, Syan.g_00252	Syaf.g_01852
OG0000113	Syan.g_00664	Syaf.g_02022
OG0000114	Syan.g_00741	Syaf.g_02103
OG0000115	Syan.g_02810	Syaf.g_02445
