Orthogroup	Syan	Prbj
OG0000001	Syan.g_02266	Prbj.g_01549, Prbj.g_02662
OG0000001	Syan.g_02528	Prbj.g_02690
OG0000004	Syan.g_00183	Prbj.g_00754
OG0000004	Syan.g_00989	Prbj.g_01777
OG0000005	Syan.g_01378	Prbj.g_00883
OG0000006	Syan.g_00791, Syan.g_00057, Syan.g_00936, Syan.g_01505, Syan.g_02101, Syan.g_02441	Prbj.g_02699
OG0000007	Syan.g_02743	Prbj.g_01610
OG0000007	Syan.g_01400	Prbj.g_00857
OG0000008	Syan.g_00640, Syan.g_02532	Prbj.g_00929
OG0000008	Syan.g_00641, Syan.g_02531	Prbj.g_00928
OG0000009	Syan.g_02972	Prbj.g_01300, Prbj.g_00618
OG0000010	Syan.g_02847	Prbj.g_00129
OG0000013	Syan.g_02156, Syan.g_02159, Syan.g_00101	Prbj.g_00359
OG0000014	Syan.g_01987	Prbj.g_01442
OG0000015	Syan.g_01691, Syan.g_00248	Prbj.g_02502
OG0000017	Syan.g_01013	Prbj.g_01761
OG0000018	Syan.g_02816	Prbj.g_00641
OG0000019	Syan.g_02088	Prbj.g_01349
OG0000021	Syan.g_01001	Prbj.g_01121, Prbj.g_01774
OG0000022	Syan.g_00089	Prbj.g_00050
OG0000023	Syan.g_00404	Prbj.g_02392
OG0000025	Syan.g_00374	Prbj.g_02475
OG0000026	Syan.g_01743	Prbj.g_01204
OG0000028	Syan.g_01971	Prbj.g_01457
OG0000030	Syan.g_01884	Prbj.g_01288
OG0000030	Syan.g_01883	Prbj.g_01287
OG0000031	Syan.g_01967	Prbj.g_01522, Prbj.g_01527
OG0000032	Syan.g_02835	Prbj.g_00659
OG0000032	Syan.g_01819	Prbj.g_01468
OG0000033	Syan.g_03036	Prbj.g_00518
OG0000034	Syan.g_01227, Syan.g_03003	Prbj.g_01740
OG0000035	Syan.g_01279, Syan.g_01276	Prbj.g_01056
OG0000036	Syan.g_02789	Prbj.g_01099
OG0000037	Syan.g_00136, Syan.g_02978, Syan.g_00917	Prbj.g_00624
OG0000038	Syan.g_01569	Prbj.g_01959
OG0000038	Syan.g_01571	Prbj.g_01961
OG0000039	Syan.g_00535	Prbj.g_00429, Prbj.g_00278
OG0000041	Syan.g_00302, Syan.g_01465	Prbj.g_00450
OG0000042	Syan.g_00991, Syan.g_02643, Syan.g_01888	Prbj.g_01808, Prbj.g_00001
OG0000044	Syan.g_00431, Syan.g_00435	Prbj.g_01330, Prbj.g_00194, Prbj.g_02695, Prbj.g_00726
OG0000045	Syan.g_00086	Prbj.g_00563
OG0000046	Syan.g_02157, Syan.g_02160	Prbj.g_00358
OG0000048	Syan.g_02036	Prbj.g_01393
OG0000052	Syan.g_01954, Syan.g_01953	Prbj.g_01487
OG0000053	Syan.g_02812	Prbj.g_00638
OG0000054	Syan.g_02503, Syan.g_00231, Syan.g_00506	Prbj.g_01758
OG0000057	Syan.g_00643, Syan.g_02514, Syan.g_00186	Prbj.g_00758
OG0000058	Syan.g_01964	Prbj.g_01467
OG0000059	Syan.g_02255	Prbj.g_01029
OG0000060	Syan.g_02856	Prbj.g_01633
OG0000060	Syan.g_02250	Prbj.g_01132
OG0000061	Syan.g_02696	Prbj.g_00971
OG0000062	Syan.g_01380	Prbj.g_00881
OG0000063	Syan.g_01739	Prbj.g_01208
OG0000065	Syan.g_02974	Prbj.g_00620
OG0000066	Syan.g_01156	Prbj.g_02141
OG0000068	Syan.g_00845, Syan.g_00257, Syan.g_02773	Prbj.g_01639
OG0000070	Syan.g_00289	Prbj.g_00118
OG0000071	Syan.g_01213	Prbj.g_01728
OG0000072	Syan.g_03038, Syan.g_02999	Prbj.g_00516
OG0000073	Syan.g_02741	Prbj.g_01608
OG0000075	Syan.g_00981, Syan.g_01937	Prbj.g_01502
OG0000076	Syan.g_01896	Prbj.g_01598
OG0000077	Syan.g_02919	Prbj.g_01900
OG0000078	Syan.g_01509, Syan.g_01510, Syan.g_02437	Prbj.g_02614
OG0000079	Syan.g_02079, Syan.g_02067, Syan.g_02085	Prbj.g_01353
OG0000082	Syan.g_00952	Prbj.g_01789
OG0000084	Syan.g_01283	Prbj.g_01052
OG0000085	Syan.g_01387	Prbj.g_00869
OG0000086	Syan.g_02946, Syan.g_02515, Syan.g_00114	Prbj.g_00589
OG0000087	Syan.g_02268	Prbj.g_01547
OG0000088	Syan.g_03031	Prbj.g_00912
OG0000089	Syan.g_02316	Prbj.g_00064
OG0000090	Syan.g_01166	Prbj.g_02127
OG0000091	Syan.g_00235, Syan.g_00808	Prbj.g_02581
OG0000093	Syan.g_00708	Prbj.g_02388
OG0000094	Syan.g_00353, Syan.g_00065	Prbj.g_01985
OG0000095	Syan.g_00290	Prbj.g_01838
OG0000098	Syan.g_00043	Prbj.g_00669
OG0000099	Syan.g_01968	Prbj.g_01464
OG0000100	Syan.g_00658	Prbj.g_00185, Prbj.g_02442
OG0000101	Syan.g_02199	Prbj.g_00415
OG0000102	Syan.g_01891	Prbj.g_01819
OG0000103	Syan.g_01692	Prbj.g_02055
OG0000104	Syan.g_01792	Prbj.g_02069
OG0000105	Syan.g_02031	Prbj.g_01397
OG0000106	Syan.g_00076	Prbj.g_00875
OG0000107	Syan.g_02106	Prbj.g_02659
OG0000108	Syan.g_02764	Prbj.g_01630
OG0000109	Syan.g_02748	Prbj.g_01614
OG0000110	Syan.g_00171, Syan.g_00882	Prbj.g_01801
OG0000111	Syan.g_00187	Prbj.g_00759
OG0000112	Syan.g_00556, Syan.g_00252	Prbj.g_02276
OG0000113	Syan.g_00664	Prbj.g_02437
OG0000114	Syan.g_00741	Prbj.g_02340
OG0000115	Syan.g_02810	Prbj.g_00634
OG0000116	Syan.g_02710, Syan.g_00460	Prbj.g_00956
OG0000117	Syan.g_02644	Prbj.g_01915
OG0000118	Syan.g_01241, Syan.g_01237	Prbj.g_01742
OG0000119	Syan.g_02672	Prbj.g_00740, Prbj.g_00778
OG0000120	Syan.g_01966	Prbj.g_01465
OG0000121	Syan.g_01273	Prbj.g_01064, Prbj.g_01058
OG0000123	Syan.g_02190	Prbj.g_00406
OG0000124	Syan.g_01873	Prbj.g_01281
OG0000125	Syan.g_01573	Prbj.g_01963
OG0000126	Syan.g_01705	Prbj.g_02067
OG0000127	Syan.g_01071	Prbj.g_00210
OG0000128	Syan.g_01768	Prbj.g_02085
OG0000129	Syan.g_01563	Prbj.g_01951
OG0000130	Syan.g_02906, Syan.g_02907	Prbj.g_00564
OG0000131	Syan.g_03008	Prbj.g_00543
OG0000132	Syan.g_03029	Prbj.g_00523
OG0000133	Syan.g_00561	Prbj.g_01460
OG0000134	Syan.g_02319	Prbj.g_00067
OG0000135	Syan.g_01616	Prbj.g_02004
OG0000136	Syan.g_01342	Prbj.g_00105
OG0000137	Syan.g_02846	Prbj.g_00128
OG0000138	Syan.g_02747	Prbj.g_01613
OG0000139	Syan.g_01160	Prbj.g_02133
OG0000140	Syan.g_00042	Prbj.g_02139
OG0000141	Syan.g_01032	Prbj.g_01757
OG0000142	Syan.g_00816	Prbj.g_02573
OG0000143	Syan.g_00812	Prbj.g_02577
OG0000144	Syan.g_00782	Prbj.g_00793
OG0000145	Syan.g_02740	Prbj.g_01607
OG0000146	Syan.g_00555, Syan.g_00253	Prbj.g_02277
OG0000147	Syan.g_00254, Syan.g_00554	Prbj.g_02278
OG0000148	Syan.g_00670	Prbj.g_02431
OG0000149	Syan.g_00393	Prbj.g_02488
OG0000150	Syan.g_01031	Prbj.g_02511
OG0000151	Syan.g_00731	Prbj.g_02361
OG0000152	Syan.g_00565	Prbj.g_02268
OG0000153	Syan.g_00601	Prbj.g_02241
OG0000154	Syan.g_00363	Prbj.g_02213
OG0000155	Syan.g_02654	Prbj.g_00312
OG0000156	Syan.g_02717	Prbj.g_00163
OG0000157	Syan.g_02718	Prbj.g_00162
OG0000158	Syan.g_01078, Syan.g_01926	Prbj.g_01514
OG0000160	Syan.g_01274	Prbj.g_01057
OG0000161	Syan.g_01268	Prbj.g_01071
OG0000162	Syan.g_01059, Syan.g_01254, Syan.g_01330	Prbj.g_01077
OG0000163	Syan.g_02405	Prbj.g_01688
OG0000164	Syan.g_01440	Prbj.g_00476
OG0000165	Syan.g_01448	Prbj.g_00467
OG0000166	Syan.g_02239	Prbj.g_01019
OG0000167	Syan.g_01941	Prbj.g_01500
OG0000168	Syan.g_01924, Syan.g_01121, Syan.g_01925	Prbj.g_01515
OG0000169	Syan.g_01912	Prbj.g_01581
OG0000170	Syan.g_01901	Prbj.g_01593
OG0000171	Syan.g_01875	Prbj.g_01282
OG0000172	Syan.g_01810	Prbj.g_01248
OG0000173	Syan.g_01720	Prbj.g_01227
OG0000174	Syan.g_01619	Prbj.g_02006
OG0000175	Syan.g_01678, Syan.g_00258	Prbj.g_02044
OG0000176	Syan.g_01801	Prbj.g_02077
OG0000177	Syan.g_01775	Prbj.g_02078
OG0000178	Syan.g_01774	Prbj.g_02079
OG0000179	Syan.g_01759	Prbj.g_01188
OG0000180	Syan.g_01758	Prbj.g_01189
OG0000181	Syan.g_01757	Prbj.g_01190
OG0000182	Syan.g_01756	Prbj.g_01191
OG0000183	Syan.g_01752	Prbj.g_01195
OG0000184	Syan.g_01549	Prbj.g_01943
OG0000185	Syan.g_01540	Prbj.g_01921
OG0000186	Syan.g_02902	Prbj.g_00558
OG0000187	Syan.g_02904	Prbj.g_00560
OG0000188	Syan.g_02926	Prbj.g_00581
OG0000189	Syan.g_02966	Prbj.g_00607
OG0000190	Syan.g_00971	Prbj.g_00609
OG0000191	Syan.g_02300	Prbj.g_01557
OG0000192	Syan.g_02294	Prbj.g_01566
OG0000193	Syan.g_03009	Prbj.g_00542
OG0000194	Syan.g_03012	Prbj.g_00539
OG0000195	Syan.g_03014	Prbj.g_00537
OG0000196	Syan.g_03026	Prbj.g_00526
OG0000197	Syan.g_03027	Prbj.g_00525
OG0000198	Syan.g_03028	Prbj.g_00524
OG0000199	Syan.g_03037	Prbj.g_00517
