Orthogroup	Syan	Prbl
OG0000001	Syan.g_02266	Prbl.g_00808, Prbl.g_02598
OG0000001	Syan.g_02528	Prbl.g_02578
OG0000004	Syan.g_00183	Prbl.g_00021
OG0000004	Syan.g_00989	Prbl.g_01771
OG0000005	Syan.g_01378	Prbl.g_00419
OG0000006	Syan.g_00791, Syan.g_00057, Syan.g_00936, Syan.g_01505, Syan.g_02101, Syan.g_02441	Prbl.g_02601
OG0000007	Syan.g_02743	Prbl.g_00531
OG0000007	Syan.g_01400	Prbl.g_00394
OG0000008	Syan.g_00640, Syan.g_02532	Prbl.g_01855
OG0000008	Syan.g_00641, Syan.g_02531	Prbl.g_01854
OG0000009	Syan.g_02972	Prbl.g_00155, Prbl.g_00554
OG0000010	Syan.g_02847	Prbl.g_01341
OG0000013	Syan.g_02156, Syan.g_02159, Syan.g_00101	Prbl.g_01183
OG0000014	Syan.g_01987	Prbl.g_01416
OG0000015	Syan.g_01691, Syan.g_00248	Prbl.g_01566
OG0000017	Syan.g_01013	Prbl.g_01755
OG0000018	Syan.g_02816	Prbl.g_00694
OG0000019	Syan.g_02088	Prbl.g_01509
OG0000021	Syan.g_01001	Prbl.g_01531, Prbl.g_01768
OG0000022	Syan.g_00089	Prbl.g_01072
OG0000023	Syan.g_00404	Prbl.g_02355
OG0000025	Syan.g_00374	Prbl.g_01539
OG0000026	Syan.g_01743	Prbl.g_01977
OG0000028	Syan.g_01971	Prbl.g_00900
OG0000030	Syan.g_01884	Prbl.g_02061
OG0000030	Syan.g_01883	Prbl.g_02060
OG0000031	Syan.g_01967	Prbl.g_00835, Prbl.g_00830
OG0000032	Syan.g_02835	Prbl.g_00712
OG0000032	Syan.g_01819	Prbl.g_00889
OG0000033	Syan.g_03036	Prbl.g_00278
OG0000034	Syan.g_01227, Syan.g_03003	Prbl.g_01734
OG0000035	Syan.g_01279, Syan.g_01276	Prbl.g_00242
OG0000036	Syan.g_02789	Prbl.g_00735
OG0000037	Syan.g_00136, Syan.g_02978, Syan.g_00917	Prbl.g_00548
OG0000038	Syan.g_01569	Prbl.g_02235
OG0000038	Syan.g_01571	Prbl.g_02233
OG0000039	Syan.g_00535	Prbl.g_00318, Prbl.g_01272
OG0000041	Syan.g_00302, Syan.g_01465	Prbl.g_00339
OG0000042	Syan.g_00991, Syan.g_02643, Syan.g_01888	Prbl.g_01236, Prbl.g_01121
OG0000044	Syan.g_00431, Syan.g_00435	Prbl.g_01937, Prbl.g_01006, Prbl.g_02631, Prbl.g_02612
OG0000045	Syan.g_00086	Prbl.g_00609
OG0000046	Syan.g_02157, Syan.g_02160	Prbl.g_01184
OG0000048	Syan.g_02036	Prbl.g_01465
OG0000052	Syan.g_01954, Syan.g_01953	Prbl.g_00870
OG0000053	Syan.g_02812	Prbl.g_00691
OG0000054	Syan.g_02503, Syan.g_00231, Syan.g_00506	Prbl.g_01752
OG0000057	Syan.g_00643, Syan.g_02514, Syan.g_00186	Prbl.g_00025
OG0000058	Syan.g_01964	Prbl.g_00890
OG0000059	Syan.g_02255	Prbl.g_00952
OG0000060	Syan.g_02856	Prbl.g_00508
OG0000060	Syan.g_02250	Prbl.g_00063
OG0000061	Syan.g_02696	Prbl.g_02084
OG0000062	Syan.g_01380	Prbl.g_00417
OG0000063	Syan.g_01739	Prbl.g_01981
OG0000065	Syan.g_02974	Prbl.g_00552
OG0000066	Syan.g_01156	Prbl.g_00752
OG0000068	Syan.g_00845, Syan.g_00257, Syan.g_02773	Prbl.g_00502
OG0000070	Syan.g_00289	Prbl.g_00634
OG0000071	Syan.g_01213	Prbl.g_01722
OG0000072	Syan.g_03038, Syan.g_02999	Prbl.g_00276
OG0000073	Syan.g_02741	Prbl.g_00533
OG0000075	Syan.g_00981, Syan.g_01937	Prbl.g_00855
OG0000076	Syan.g_01896	Prbl.g_01285
OG0000077	Syan.g_02919	Prbl.g_00631
OG0000078	Syan.g_01509, Syan.g_01510, Syan.g_02437	Prbl.g_00193
OG0000079	Syan.g_02079, Syan.g_02067, Syan.g_02085	Prbl.g_01505
OG0000082	Syan.g_00952	Prbl.g_01783
OG0000084	Syan.g_01283	Prbl.g_00246
OG0000085	Syan.g_01387	Prbl.g_00405
OG0000086	Syan.g_02946, Syan.g_02515, Syan.g_00114	Prbl.g_00583
OG0000087	Syan.g_02268	Prbl.g_00810
OG0000088	Syan.g_03031	Prbl.g_01838
OG0000089	Syan.g_02316	Prbl.g_02674
OG0000090	Syan.g_01166	Prbl.g_00766
