Orthogroup	Syan	Syaq
OG0000001	Syan.g_02266	Syaq.g_01434
OG0000001	Syan.g_01149	Syaq.g_02413
OG0000003	Syan.g_00157	Syaq.g_01566
OG0000003	Syan.g_00032	Syaq.g_00887
OG0000004	Syan.g_00183	Syaq.g_02603
OG0000004	Syan.g_00989	Syaq.g_02042
OG0000005	Syan.g_01423	Syaq.g_01658
OG0000005	Syan.g_01378	Syaq.g_01692
OG0000005	Syan.g_00449	Syaq.g_00236
OG0000006	Syan.g_00791	Syaq.g_02108
OG0000006	Syan.g_00057, Syan.g_00936	Syaq.g_02558
OG0000006	Syan.g_01505, Syan.g_02101, Syan.g_02441	Syaq.g_00696, Syaq.g_01590
OG0000007	Syan.g_02743	Syaq.g_01793
OG0000007	Syan.g_01400	Syaq.g_01673
OG0000008	Syan.g_00640, Syan.g_02532	Syaq.g_02162
OG0000008	Syan.g_00641, Syan.g_02531	Syaq.g_02575
OG0000009	Syan.g_02972	Syaq.g_01489
OG0000010	Syan.g_02847	Syaq.g_00443
OG0000012	Syan.g_01076, Syan.g_00452, Syan.g_02349, Syan.g_02485, Syan.g_00008, Syan.g_00942	Syaq.g_00077
OG0000013	Syan.g_02156, Syan.g_02159, Syan.g_00101	Syaq.g_00569, Syaq.g_00572, Syaq.g_02023
OG0000014	Syan.g_01987	Syaq.g_00862
OG0000015	Syan.g_01691	Syaq.g_00121, Syaq.g_01171
OG0000016	Syan.g_01766	Syaq.g_01136
OG0000016	Syan.g_02598	Syaq.g_00169
OG0000017	Syan.g_01013	Syaq.g_01999
OG0000018	Syan.g_02816	Syaq.g_00401
OG0000019	Syan.g_02088	Syaq.g_00717
OG0000022	Syan.g_00089	Syaq.g_02126
OG0000023	Syan.g_00404	Syaq.g_02540
OG0000025	Syan.g_00374	Syaq.g_02381
OG0000026	Syan.g_01743	Syaq.g_01114
OG0000028	Syan.g_01971	Syaq.g_00878
OG0000030	Syan.g_01884	Syaq.g_01047
OG0000030	Syan.g_01883	Syaq.g_01048
OG0000031	Syan.g_01967	Syaq.g_01009
OG0000032	Syan.g_02835	Syaq.g_00421
OG0000032	Syan.g_01088, Syan.g_01091, Syan.g_01101	Syaq.g_00909
OG0000033	Syan.g_03036	Syaq.g_01399
OG0000034	Syan.g_01227, Syan.g_03003	Syaq.g_00312, Syaq.g_01431
OG0000035	Syan.g_01279, Syan.g_01276	Syaq.g_00371
OG0000037	Syan.g_00136, Syan.g_02978, Syan.g_00917	Syaq.g_01483
OG0000038	Syan.g_01569	Syaq.g_01260
OG0000038	Syan.g_01571	Syaq.g_01258
OG0000039	Syan.g_00535	Syaq.g_01601, Syaq.g_01241
OG0000042	Syan.g_00991, Syan.g_02643, Syan.g_01888	Syaq.g_00200, Syaq.g_01044
OG0000044	Syan.g_00431, Syan.g_00435	Syaq.g_00107
OG0000044	Syan.g_01065	Syaq.g_02701
OG0000045	Syan.g_00151, Syan.g_00086	Syaq.g_02047
OG0000046	Syan.g_02157, Syan.g_02160	Syaq.g_00570, Syaq.g_00573
OG0000048	Syan.g_02036	Syaq.g_00749
OG0000052	Syan.g_01954, Syan.g_01953	Syaq.g_00969
OG0000053	Syan.g_02812	Syaq.g_00397
OG0000054	Syan.g_02503, Syan.g_00231, Syan.g_00506	Syaq.g_02005
OG0000057	Syan.g_00643, Syan.g_02514	Syaq.g_02541
OG0000058	Syan.g_01964	Syaq.g_00944
OG0000059	Syan.g_02255	Syaq.g_00657
OG0000060	Syan.g_02856	Syaq.g_00456, Syaq.g_01770
OG0000060	Syan.g_00277	Syaq.g_00201
OG0000061	Syan.g_02696	Syaq.g_00249
OG0000062	Syan.g_01380	Syaq.g_01690
OG0000063	Syan.g_01739	Syaq.g_01110
OG0000064	Syan.g_02518	Syaq.g_02138
OG0000065	Syan.g_02974	Syaq.g_01487
OG0000066	Syan.g_01156	Syaq.g_01851
OG0000068	Syan.g_00845, Syan.g_00257, Syan.g_02773	Syaq.g_01763
OG0000070	Syan.g_00289	Syaq.g_00484
OG0000071	Syan.g_01213	Syaq.g_00297
OG0000072	Syan.g_03038	Syaq.g_01397
OG0000073	Syan.g_02741	Syaq.g_01795
OG0000075	Syan.g_00981, Syan.g_01937	Syaq.g_00986
OG0000076	Syan.g_01896	Syaq.g_01028
OG0000077	Syan.g_02919, Syan.g_02579	Syaq.g_01547
OG0000078	Syan.g_01509, Syan.g_01510, Syan.g_02437	Syaq.g_01585
OG0000079	Syan.g_02079, Syan.g_02067, Syan.g_02085	Syaq.g_00721
OG0000082	Syan.g_00952	Syaq.g_01975
OG0000084	Syan.g_01283	Syaq.g_00367
OG0000085	Syan.g_01387	Syaq.g_01683
OG0000086	Syan.g_02946, Syan.g_02515, Syan.g_00114	Syaq.g_01525
OG0000087	Syan.g_02268	Syaq.g_01438
OG0000088	Syan.g_03031	Syaq.g_01402
OG0000089	Syan.g_02316	Syaq.g_00529
OG0000090	Syan.g_01166	Syaq.g_01838
OG0000091	Syan.g_00235, Syan.g_00808	Syaq.g_02090
OG0000093	Syan.g_00708	Syaq.g_02323
OG0000094	Syan.g_00353	Syaq.g_00056
OG0000094	Syan.g_00065	Syaq.g_02554
OG0000095	Syan.g_00290	Syaq.g_02679
OG0000098	Syan.g_00043	Syaq.g_02221, Syaq.g_01849
OG0000099	Syan.g_01968	Syaq.g_00882
OG0000100	Syan.g_00658	Syaq.g_02371
OG0000102	Syan.g_01891	Syaq.g_01033
OG0000103	Syan.g_01692	Syaq.g_01170
OG0000104	Syan.g_01792	Syaq.g_01154
OG0000105	Syan.g_02031	Syaq.g_00754
OG0000106	Syan.g_00076	Syaq.g_01863
OG0000107	Syan.g_02106	Syaq.g_00694
OG0000108	Syan.g_02764	Syaq.g_01772
OG0000109	Syan.g_02748	Syaq.g_01788
OG0000110	Syan.g_00171, Syan.g_00882	Syaq.g_01962
OG0000111	Syan.g_00187	Syaq.g_02606
OG0000112	Syan.g_00556, Syan.g_00252	Syaq.g_02476
OG0000114	Syan.g_00741	Syaq.g_02269
OG0000115	Syan.g_02810	Syaq.g_00395
OG0000116	Syan.g_02710, Syan.g_00460	Syaq.g_00263
OG0000117	Syan.g_02644	Syaq.g_00203
OG0000118	Syan.g_01241	Syaq.g_00325
OG0000118	Syan.g_01237	Syaq.g_00316
OG0000120	Syan.g_01966	Syaq.g_00883
OG0000121	Syan.g_01273	Syaq.g_00375
OG0000123	Syan.g_02190	Syaq.g_00599
OG0000124	Syan.g_01873	Syaq.g_01055
OG0000125	Syan.g_01573	Syaq.g_01256
OG0000126	Syan.g_01705	Syaq.g_01156
OG0000128	Syan.g_01768	Syaq.g_01138
OG0000129	Syan.g_01563	Syaq.g_01269
OG0000130	Syan.g_02906, Syan.g_02907	Syaq.g_01559
OG0000131	Syan.g_03008	Syaq.g_01427, Syaq.g_01424
OG0000132	Syan.g_03029	Syaq.g_01404
OG0000133	Syan.g_00561	Syaq.g_02481
OG0000134	Syan.g_02319	Syaq.g_00526
OG0000135	Syan.g_01616	Syaq.g_01227
OG0000136	Syan.g_01342	Syaq.g_00496
OG0000137	Syan.g_02846	Syaq.g_00442
OG0000138	Syan.g_02747	Syaq.g_01789
OG0000139	Syan.g_01160	Syaq.g_01844
OG0000140	Syan.g_00042	Syaq.g_01848
OG0000141	Syan.g_01032	Syaq.g_02010
OG0000142	Syan.g_00816	Syaq.g_02082
OG0000143	Syan.g_00812	Syaq.g_02086
OG0000144	Syan.g_00782	Syaq.g_02152
OG0000145	Syan.g_02740	Syaq.g_01796
OG0000146	Syan.g_00555, Syan.g_00253	Syaq.g_02475
OG0000147	Syan.g_00254, Syan.g_00554	Syaq.g_02474
OG0000148	Syan.g_00670	Syaq.g_02359
OG0000149	Syan.g_00393	Syaq.g_02395
OG0000150	Syan.g_01031	Syaq.g_02011
OG0000151	Syan.g_00731	Syaq.g_02283
OG0000152	Syan.g_00565	Syaq.g_02485
OG0000153	Syan.g_00601	Syaq.g_02518
OG0000154	Syan.g_00363	Syaq.g_00066
OG0000155	Syan.g_02654	Syaq.g_00212
OG0000156	Syan.g_02717	Syaq.g_00281
OG0000157	Syan.g_02718	Syaq.g_00282
OG0000158	Syan.g_01078, Syan.g_01926	Syaq.g_01003
OG0000159	Syan.g_01120	Syaq.g_00918, Syaq.g_00941
OG0000160	Syan.g_01274	Syaq.g_00374
OG0000161	Syan.g_01268	Syaq.g_00382
OG0000162	Syan.g_01059, Syan.g_01254, Syan.g_01330	Syaq.g_00389
OG0000163	Syan.g_02405	Syaq.g_02373, Syaq.g_01730
OG0000164	Syan.g_01440	Syaq.g_01642
OG0000165	Syan.g_01448	Syaq.g_01630
OG0000166	Syan.g_02239	Syaq.g_00647
OG0000167	Syan.g_01941	Syaq.g_00983
OG0000168	Syan.g_01924, Syan.g_01121, Syan.g_01925	Syaq.g_01004
OG0000169	Syan.g_01912	Syaq.g_01016
OG0000170	Syan.g_01901	Syaq.g_01023
OG0000171	Syan.g_01875	Syaq.g_01052
OG0000172	Syan.g_01810	Syaq.g_01074
OG0000173	Syan.g_01720	Syaq.g_01092
OG0000174	Syan.g_01619	Syaq.g_01224
OG0000175	Syan.g_01678, Syan.g_00258	Syaq.g_01183
OG0000176	Syan.g_01801	Syaq.g_01146
OG0000177	Syan.g_01775	Syaq.g_01145
OG0000178	Syan.g_01774	Syaq.g_01144
OG0000179	Syan.g_01759	Syaq.g_01129
OG0000180	Syan.g_01758	Syaq.g_01128
OG0000181	Syan.g_01757	Syaq.g_01127
OG0000182	Syan.g_01756	Syaq.g_01126
OG0000183	Syan.g_01752	Syaq.g_01122
OG0000184	Syan.g_01549	Syaq.g_01277
OG0000185	Syan.g_01540	Syaq.g_01290
OG0000186	Syan.g_02902	Syaq.g_01563
OG0000187	Syan.g_02904	Syaq.g_01561
OG0000188	Syan.g_02926	Syaq.g_01539
OG0000189	Syan.g_02966	Syaq.g_00122
OG0000190	Syan.g_00971	Syaq.g_01497
OG0000191	Syan.g_02300	Syaq.g_01467
OG0000192	Syan.g_02294	Syaq.g_01462
OG0000193	Syan.g_03009	Syaq.g_01423
OG0000194	Syan.g_03012	Syaq.g_01420
OG0000195	Syan.g_03014	Syaq.g_01418
OG0000196	Syan.g_03026	Syaq.g_01407
OG0000197	Syan.g_03027	Syaq.g_01406
OG0000198	Syan.g_03028	Syaq.g_01405
OG0000199	Syan.g_03037	Syaq.g_01398
OG0000200	Syan.g_03055	Syaq.g_01382
OG0000201	Syan.g_03074	Syaq.g_01365
OG0000202	Syan.g_03075	Syaq.g_01364
OG0000203	Syan.g_03076	Syaq.g_01363
OG0000204	Syan.g_03077	Syaq.g_01362
OG0000205	Syan.g_03087	Syaq.g_01355
OG0000206	Syan.g_03095	Syaq.g_01345
OG0000207	Syan.g_03100	Syaq.g_01338
OG0000208	Syan.g_03101	Syaq.g_01337
OG0000209	Syan.g_01521	Syaq.g_01310
OG0000210	Syan.g_01522	Syaq.g_01309
OG0000211	Syan.g_02416	Syaq.g_01570
OG0000212	Syan.g_01508, Syan.g_02438	Syaq.g_01586
OG0000213	Syan.g_02059	Syaq.g_00729
OG0000214	Syan.g_02040	Syaq.g_00745
OG0000215	Syan.g_02010	Syaq.g_00777
OG0000216	Syan.g_02006	Syaq.g_00781
OG0000217	Syan.g_02001	Syaq.g_00844
OG0000218	Syan.g_01999	Syaq.g_00846
OG0000219	Syan.g_01998	Syaq.g_00847
OG0000220	Syan.g_01997	Syaq.g_00848
OG0000221	Syan.g_01994	Syaq.g_00856
OG0000222	Syan.g_01981	Syaq.g_00868
OG0000223	Syan.g_00228	Syaq.g_00946
OG0000224	Syan.g_01959	Syaq.g_00950
OG0000225	Syan.g_02997	Syaq.g_00543
OG0000226	Syan.g_02990	Syaq.g_00536
OG0000227	Syan.g_02988	Syaq.g_00534
OG0000228	Syan.g_02315	Syaq.g_00531
OG0000229	Syan.g_02396	Syaq.g_00501
OG0000230	Syan.g_02398	Syaq.g_00499
OG0000231	Syan.g_01333	Syaq.g_00485
OG0000232	Syan.g_02801	Syaq.g_00472
OG0000233	Syan.g_02876	Syaq.g_00464
OG0000234	Syan.g_02844	Syaq.g_00440
OG0000235	Syan.g_02765	Syaq.g_01771
OG0000236	Syan.g_02749	Syaq.g_01787
OG0000237	Syan.g_02731	Syaq.g_01805
OG0000238	Syan.g_02726	Syaq.g_01810
OG0000239	Syan.g_01187	Syaq.g_01826
OG0000240	Syan.g_01186	Syaq.g_01827
OG0000241	Syan.g_00822	Syaq.g_02074
OG0000242	Syan.g_01168	Syaq.g_01836
OG0000243	Syan.g_00840	Syaq.g_01922
OG0000244	Syan.g_00848	Syaq.g_01928
OG0000245	Syan.g_00850	Syaq.g_01930
OG0000246	Syan.g_00854	Syaq.g_01934
OG0000247	Syan.g_00866	Syaq.g_01945
OG0000248	Syan.g_00869	Syaq.g_01948
OG0000249	Syan.g_00871	Syaq.g_01950
OG0000250	Syan.g_00878	Syaq.g_01958
OG0000251	Syan.g_00961	Syaq.g_01984
OG0000252	Syan.g_00966	Syaq.g_01987
OG0000253	Syan.g_01000	Syaq.g_01989
OG0000254	Syan.g_01026	Syaq.g_02016
OG0000255	Syan.g_00978	Syaq.g_02041
OG0000256	Syan.g_00001, Syan.g_01135	Syaq.g_02068
OG0000257	Syan.g_00827	Syaq.g_02073
OG0000258	Syan.g_00803	Syaq.g_02095
OG0000259	Syan.g_00772	Syaq.g_02239
OG0000260	Syan.g_00769	Syaq.g_02242
OG0000261	Syan.g_00765	Syaq.g_02245
OG0000262	Syan.g_00760	Syaq.g_02250
OG0000263	Syan.g_02618	Syaq.g_00185
OG0000264	Syan.g_00540	Syaq.g_02582
OG0000266	Syan.g_00330	Syaq.g_00037
OG0000267	Syan.g_00470	Syaq.g_02430
OG0000268	Syan.g_00471	Syaq.g_02431
OG0000269	Syan.g_00695	Syaq.g_02335
OG0000270	Syan.g_00692	Syaq.g_02338
OG0000271	Syan.g_00684	Syaq.g_02346
OG0000272	Syan.g_00683	Syaq.g_02347
OG0000273	Syan.g_00654	Syaq.g_02376
OG0000274	Syan.g_00653	Syaq.g_02377
OG0000275	Syan.g_00373	Syaq.g_02380
OG0000276	Syan.g_00380	Syaq.g_02387
OG0000277	Syan.g_00381	Syaq.g_02388
OG0000278	Syan.g_00384	Syaq.g_02391
OG0000279	Syan.g_00398	Syaq.g_02401
OG0000280	Syan.g_00518	Syaq.g_02410
OG0000282	Syan.g_00739	Syaq.g_02271
OG0000283	Syan.g_00491	Syaq.g_02445
OG0000284	Syan.g_00497	Syaq.g_02450
OG0000285	Syan.g_00533	Syaq.g_02466
OG0000286	Syan.g_00564	Syaq.g_02484
OG0000287	Syan.g_00593	Syaq.g_02511
OG0000288	Syan.g_00364	Syaq.g_00067
OG0000289	Syan.g_00350	Syaq.g_00053
OG0000290	Syan.g_00293	Syaq.g_02682
OG0000291	Syan.g_00291	Syaq.g_02680
OG0000292	Syan.g_01703	Syaq.g_01157
OG0000293	Syan.g_02709	Syaq.g_00262
OG0000294	Syan.g_02708	Syaq.g_00261
OG0000295	Syan.g_02662	Syaq.g_00220
OG0000296	Syan.g_02660	Syaq.g_00218
OG0000297	Syan.g_02646	Syaq.g_00205
OG0000298	Syan.g_02645	Syaq.g_00204
OG0000299	Syan.g_02601	Syaq.g_00171
OG0000300	Syan.g_02593, Syan.g_02594	Syaq.g_00164
OG0000301	Syan.g_02592	Syaq.g_00163
OG0000302	Syan.g_02591	Syaq.g_00162
OG0000303	Syan.g_02582	Syaq.g_00152
OG0000304	Syan.g_02556	Syaq.g_00146
OG0000305	Syan.g_00195	Syaq.g_02677
OG0000306	Syan.g_00087	Syaq.g_01861
OG0000307	Syan.g_02782	Syaq.g_01754
OG0000308	Syan.g_02784	Syaq.g_01752
OG0000309	Syan.g_02883	Syaq.g_01747
OG0000310	Syan.g_01304	Syaq.g_00347
OG0000311	Syan.g_01299	Syaq.g_00352
OG0000312	Syan.g_01290	Syaq.g_00359
OG0000313	Syan.g_01271	Syaq.g_00379
OG0000314	Syan.g_02823	Syaq.g_00408
OG0000315	Syan.g_02833	Syaq.g_00418
OG0000316	Syan.g_01354	Syaq.g_01716
OG0000317	Syan.g_01396	Syaq.g_01675
OG0000318	Syan.g_01401	Syaq.g_01672
OG0000319	Syan.g_01425	Syaq.g_01657
OG0000320	Syan.g_01427	Syaq.g_01655
OG0000321	Syan.g_01428	Syaq.g_01654
OG0000322	Syan.g_01429	Syaq.g_01653
OG0000323	Syan.g_01442	Syaq.g_01638
OG0000324	Syan.g_01472	Syaq.g_01605
OG0000325	Syan.g_02107	Syaq.g_00693
OG0000326	Syan.g_02114	Syaq.g_00686
OG0000327	Syan.g_02244	Syaq.g_00652
OG0000328	Syan.g_02243	Syaq.g_00651
OG0000329	Syan.g_02225	Syaq.g_00633
OG0000330	Syan.g_02224	Syaq.g_00632
OG0000331	Syan.g_02223	Syaq.g_00631
OG0000332	Syan.g_02208	Syaq.g_00616
OG0000333	Syan.g_02205	Syaq.g_00613
OG0000334	Syan.g_00247, Syan.g_02194	Syaq.g_00603
OG0000335	Syan.g_02189	Syaq.g_00598
OG0000336	Syan.g_02185	Syaq.g_00594
OG0000337	Syan.g_01949	Syaq.g_00975
OG0000338	Syan.g_01943	Syaq.g_00981
OG0000339	Syan.g_01935, Syan.g_00264	Syaq.g_00988
OG0000340	Syan.g_01923	Syaq.g_01005
OG0000341	Syan.g_01921	Syaq.g_01007
OG0000342	Syan.g_01920	Syaq.g_01008
OG0000343	Syan.g_01918	Syaq.g_01010
OG0000344	Syan.g_01914	Syaq.g_01014
OG0000345	Syan.g_01900	Syaq.g_01024
OG0000346	Syan.g_01895	Syaq.g_01029
OG0000347	Syan.g_01867	Syaq.g_01057
OG0000348	Syan.g_01803	Syaq.g_01070
OG0000349	Syan.g_01727	Syaq.g_01099
OG0000350	Syan.g_02121	Syaq.g_00679
OG0000351	Syan.g_01682	Syaq.g_01179
OG0000352	Syan.g_01683	Syaq.g_01178
OG0000353	Syan.g_01795	Syaq.g_01151
OG0000354	Syan.g_02720	Syaq.g_01816
OG0000354	Syan.g_01761	Syaq.g_01131
OG0000355	Syan.g_01797	Syaq.g_01149
OG0000356	Syan.g_01798	Syaq.g_01148
OG0000357	Syan.g_01800	Syaq.g_01147
OG0000358	Syan.g_01773	Syaq.g_01143
OG0000359	Syan.g_01771	Syaq.g_01141
OG0000360	Syan.g_01770	Syaq.g_01140
OG0000361	Syan.g_01769	Syaq.g_01139
OG0000362	Syan.g_01767	Syaq.g_01137
OG0000363	Syan.g_01765	Syaq.g_01135
OG0000364	Syan.g_01398	Syaq.g_01134
OG0000365	Syan.g_01755	Syaq.g_01125
OG0000366	Syan.g_01754	Syaq.g_01124
OG0000367	Syan.g_01753	Syaq.g_01123
