Orthogroup	Prah	Syam
OG0000001	Prah.g_01159	Syam.g_02177
OG0000002	Prah.g_00562, Prah.g_01226	Syam.g_00931
OG0000004	Prah.g_01022	Syam.g_00787
OG0000004	Prah.g_01413	Syam.g_01499, Syam.g_00501
OG0000005	Prah.g_01652	Syam.g_01970
OG0000006	Prah.g_00475, Prah.g_01767	Syam.g_01446, Syam.g_00286, Syam.g_00518
OG0000007	Prah.g_01546	Syam.g_00602
OG0000007	Prah.g_01676	Syam.g_01990
OG0000008	Prah.g_00970	Syam.g_00810
OG0000008	Prah.g_00969	Syam.g_00811
OG0000009	Prah.g_00432, Prah.g_01895	Syam.g_02119
OG0000010	Prah.g_00311	Syam.g_01669
OG0000012	Prah.g_00524	Syam.g_01492
OG0000013	Prah.g_01956	Syam.g_00409, Syam.g_00421, Syam.g_00404
OG0000014	Prah.g_02171	Syam.g_00191
OG0000015	Prah.g_01155, Prah.g_00576	Syam.g_01218, Syam.g_01362
OG0000016	Prah.g_00015	Syam.g_00014
OG0000016	Prah.g_01270	Syam.g_00876
OG0000017	Prah.g_01397	Syam.g_01708
OG0000018	Prah.g_00378	Syam.g_01640
OG0000019	Prah.g_02086	Syam.g_00274
OG0000021	Prah.g_01108, Prah.g_01112, Prah.g_01117, Prah.g_01410	Syam.g_00523
OG0000022	Prah.g_01209	Syam.g_01418
OG0000023	Prah.g_00688	Syam.g_01217, Syam.g_01553, Syam.g_01583, Syam.g_01075, Syam.g_01943
OG0000024	Prah.g_01043	Syam.g_00815
OG0000025	Prah.g_00604	Syam.g_00740
OG0000026	Prah.g_00038	Syam.g_00035
OG0000028	Prah.g_02184	Syam.g_00176
OG0000029	Prah.g_01972	Syam.g_01390, Syam.g_01055
OG0000030	Prah.g_00132	Syam.g_00104
OG0000030	Prah.g_00131	Syam.g_00103
OG0000031	Prah.g_02248	Syam.g_00171
OG0000031	Prah.g_00091	Syam.g_00086
OG0000032	Prah.g_00358	Syam.g_01660
OG0000032	Prah.g_02196	Syam.g_00079
OG0000033	Prah.g_02307	Syam.g_02217
OG0000034	Prah.g_01376	Syam.g_02185, Syam.g_01843, Syam.g_02187
OG0000035	Prah.g_00408	Syam.g_01612
OG0000037	Prah.g_01901	Syam.g_02125
OG0000038	Prah.g_02494	Syam.g_02317
OG0000041	Prah.g_01737	Syam.g_01899, Syam.g_00765
OG0000042	Prah.g_00135, Prah.g_01256	Syam.g_00107
OG0000044	Prah.g_00994, Prah.g_00343	Syam.g_02052
OG0000046	Prah.g_01955	Syam.g_00410, Syam.g_00420, Syam.g_00403
OG0000047	Prah.g_00353, Prah.g_00321, Prah.g_00322	Syam.g_00434
OG0000048	Prah.g_02122	Syam.g_00243
OG0000052	Prah.g_02219	Syam.g_00161
OG0000053	Prah.g_00381	Syam.g_01636
OG0000054	Prah.g_01394	Syam.g_01515
OG0000055	Prah.g_00942	Syam.g_00754
OG0000057	Prah.g_01027	Syam.g_00784
OG0000058	Prah.g_02195	Syam.g_00169
OG0000059	Prah.g_02043	Syam.g_00320
OG0000060	Prah.g_01156	Syam.g_00902
OG0000061	Prah.g_01322	Syam.g_01795
OG0000062	Prah.g_01654	Syam.g_01972
OG0000063	Prah.g_00042	Syam.g_00039
OG0000066	Prah.g_01485	Syam.g_00552, Syam.g_00662
OG0000067	Prah.g_00667, Prah.g_01826	Syam.g_01290
OG0000068	Prah.g_01576	Syam.g_00575
OG0000070	Prah.g_00252	Syam.g_01847
OG0000071	Prah.g_01364	Syam.g_01830
OG0000072	Prah.g_02309	Syam.g_02219
OG0000073	Prah.g_01544	Syam.g_00604
OG0000075	Prah.g_02232	Syam.g_00148
OG0000076	Prah.g_00150	Syam.g_00115
OG0000078	Prah.g_01773	Syam.g_00514
OG0000082	Prah.g_01427	Syam.g_01730
OG0000084	Prah.g_00412	Syam.g_00441
OG0000085	Prah.g_01666	Syam.g_01979
OG0000086	Prah.g_01866	Syam.g_02092
OG0000087	Prah.g_02268	Syam.g_02175
OG0000088	Prah.g_02304, Prah.g_00957	Syam.g_02213
OG0000089	Prah.g_00205	Syam.g_00489
OG0000090	Prah.g_01501	Syam.g_00651
OG0000091	Prah.g_00493	Syam.g_01460
OG0000093	Prah.g_00692	Syam.g_01305
OG0000094	Prah.g_02518	Syam.g_01198
OG0000095	Prah.g_00915	Syam.g_00774
OG0000097	Prah.g_01272	Syam.g_00874
OG0000098	Prah.g_00327	Syam.g_00944
OG0000099	Prah.g_02191	Syam.g_00173
OG0000100	Prah.g_01791, Prah.g_00636	Syam.g_01259
OG0000101	Prah.g_01995	Syam.g_00371
OG0000102	Prah.g_00144	Syam.g_00110
OG0000103	Prah.g_02586	Syam.g_02428
OG0000104	Prah.g_02600	Syam.g_02442
OG0000105	Prah.g_02126	Syam.g_00238
OG0000106	Prah.g_01660	Syam.g_01039
OG0000107	Prah.g_02072	Syam.g_00288
OG0000108	Prah.g_01566	Syam.g_00583
OG0000109	Prah.g_01550	Syam.g_00598
OG0000110	Prah.g_01439	Syam.g_01743
OG0000111	Prah.g_01028	Syam.g_00783
OG0000112	Prah.g_00788	Syam.g_01115
OG0000113	Prah.g_00641	Syam.g_01264
OG0000114	Prah.g_00733	Syam.g_01349
OG0000115	Prah.g_00383	Syam.g_01634
OG0000116	Prah.g_01337	Syam.g_01807
OG0000117	Prah.g_01257	Syam.g_00904
