Orthogroup	Prah	Syag
OG0000001	Prah.g_01159	Syag.g_01942
OG0000001	Prah.g_02270	Syag.g_01943
OG0000003	Prah.g_02448	Syag.g_01565
OG0000003	Prah.g_02447, Prah.g_00270, Prah.g_01119, Prah.g_02431, Prah.g_01063, Prah.g_00269, Prah.g_00926, Prah.g_00927, Prah.g_02435, Prah.g_00281, Prah.g_01075, Prah.g_00275, Prah.g_02449, Prah.g_02433, Prah.g_00169, Prah.g_00935, Prah.g_02436, Prah.g_00271, Prah.g_00273, Prah.g_00930, Prah.g_02446, Prah.g_00226, Prah.g_00272, Prah.g_02434, Prah.g_02451, Prah.g_02432, Prah.g_01064	Syag.g_01261, Syag.g_00931, Syag.g_01260
OG0000003	Prah.g_00936, Prah.g_01869, Prah.g_01005, Prah.g_01056	Syag.g_02658
OG0000004	Prah.g_01022	Syag.g_00988
OG0000004	Prah.g_01413	Syag.g_00370, Syag.g_01790
OG0000005	Prah.g_01652	Syag.g_01667
OG0000006	Prah.g_00475, Prah.g_01767	Syag.g_00435, Syag.g_01772, Syag.g_02678, Syag.g_02687
OG0000007	Prah.g_01546	Syag.g_01507
OG0000007	Prah.g_01676	Syag.g_01687
OG0000008	Prah.g_00970	Syag.g_00496
OG0000008	Prah.g_00969	Syag.g_01017
OG0000009	Prah.g_00432, Prah.g_01895	Syag.g_01883
OG0000010	Prah.g_00311	Syag.g_01355
OG0000012	Prah.g_00524	Syag.g_00377
OG0000013	Prah.g_01956	Syag.g_02811, Syag.g_02820, Syag.g_02806
OG0000014	Prah.g_02171	Syag.g_02559
OG0000015	Prah.g_01155, Prah.g_00576	Syag.g_02252, Syag.g_00596
OG0000016	Prah.g_00015	Syag.g_02286
OG0000016	Prah.g_01270	Syag.g_01066
OG0000017	Prah.g_01397	Syag.g_00344
OG0000018	Prah.g_00378	Syag.g_01387
OG0000019	Prah.g_02086	Syag.g_02663
OG0000020	Prah.g_01100	Syag.g_00085
OG0000021	Prah.g_01108, Prah.g_01112, Prah.g_01117, Prah.g_01410	Syag.g_00229
OG0000022	Prah.g_01209	Syag.g_00458
OG0000023	Prah.g_00688	Syag.g_00261, Syag.g_00234
OG0000024	Prah.g_01043	Syag.g_00455
OG0000025	Prah.g_00604	Syag.g_00718
OG0000026	Prah.g_00038	Syag.g_02309
OG0000028	Prah.g_02184	Syag.g_02540
OG0000029	Prah.g_01972	Syag.g_00195
OG0000030	Prah.g_00132	Syag.g_02375
OG0000030	Prah.g_00131	Syag.g_02374
OG0000031	Prah.g_02248	Syag.g_02510
OG0000032	Prah.g_00358	Syag.g_01366
OG0000032	Prah.g_02196	Syag.g_02480
OG0000033	Prah.g_02307	Syag.g_01978, Syag.g_02481
OG0000034	Prah.g_01376	Syag.g_01225, Syag.g_01947
OG0000035	Prah.g_00408	Syag.g_01421
OG0000037	Prah.g_01901	Syag.g_00173
OG0000038	Prah.g_02494	Syag.g_02130
OG0000038	Prah.g_02496	Syag.g_02132
OG0000039	Prah.g_01758	Syag.g_01325
OG0000039	Prah.g_02382	Syag.g_02155
OG0000041	Prah.g_01737	Syag.g_00962
OG0000042	Prah.g_00135, Prah.g_01256	Syag.g_01094, Syag.g_02378
OG0000043	Prah.g_01190	Syag.g_00564
OG0000045	Prah.g_01837	Syag.g_00225
OG0000046	Prah.g_01955	Syag.g_02812, Syag.g_02819, Syag.g_02805
OG0000047	Prah.g_00353, Prah.g_00321, Prah.g_00322	Syag.g_00768
OG0000048	Prah.g_02122	Syag.g_02611
OG0000051	Prah.g_00717	Syag.g_00214
OG0000052	Prah.g_02219	Syag.g_02451
OG0000053	Prah.g_00381	Syag.g_01391
OG0000054	Prah.g_01394	Syag.g_00350
OG0000055	Prah.g_00942	Syag.g_01799, Syag.g_00946
OG0000057	Prah.g_01027	Syag.g_00985
OG0000058	Prah.g_02195	Syag.g_02477
OG0000059	Prah.g_02043	Syag.g_02721
OG0000060	Prah.g_01569	Syag.g_01530
OG0000060	Prah.g_01156	Syag.g_01095
OG0000061	Prah.g_01322	Syag.g_01141
OG0000062	Prah.g_01654	Syag.g_01669
OG0000063	Prah.g_00042	Syag.g_02313
OG0000065	Prah.g_01897	Syag.g_01885
OG0000066	Prah.g_01485	Syag.g_01443
OG0000067	Prah.g_00667	Syag.g_00667
OG0000068	Prah.g_01576	Syag.g_01537
OG0000070	Prah.g_00252	Syag.g_00049
OG0000071	Prah.g_01364	Syag.g_01192
OG0000072	Prah.g_02309	Syag.g_01980, Syag.g_02859
OG0000073	Prah.g_01544	Syag.g_01505
OG0000075	Prah.g_02232	Syag.g_02434
OG0000076	Prah.g_00150	Syag.g_02393
OG0000078	Prah.g_01773	Syag.g_01778
OG0000079	Prah.g_02090	Syag.g_02659
OG0000079	Prah.g_01868	Syag.g_02652
OG0000082	Prah.g_01427	Syag.g_00318
OG0000084	Prah.g_00412	Syag.g_00212, Syag.g_01425
OG0000085	Prah.g_01666	Syag.g_01676
OG0000086	Prah.g_01866	Syag.g_01853
OG0000087	Prah.g_02268	Syag.g_01939
OG0000088	Prah.g_02304, Prah.g_00957	Syag.g_01974
OG0000089	Prah.g_00205	Syag.g_00005
OG0000090	Prah.g_01501	Syag.g_01454
OG0000091	Prah.g_00493	Syag.g_00418
OG0000093	Prah.g_00692	Syag.g_00649
OG0000094	Prah.g_02518	Syag.g_00881
OG0000095	Prah.g_00915	Syag.g_00974
OG0000097	Prah.g_01272	Syag.g_01065
OG0000098	Prah.g_00327	Syag.g_00578, Syag.g_01445
OG0000099	Prah.g_02191	Syag.g_02536
OG0000100	Prah.g_01791, Prah.g_00636	Syag.g_00704
OG0000101	Prah.g_01995	Syag.g_02773
OG0000102	Prah.g_00144	Syag.g_02387
OG0000103	Prah.g_02586	Syag.g_02253
OG0000104	Prah.g_02600	Syag.g_02268
OG0000105	Prah.g_02126	Syag.g_02606
OG0000106	Prah.g_01660	Syag.g_00462
OG0000107	Prah.g_02072	Syag.g_02689
OG0000108	Prah.g_01566	Syag.g_01528
OG0000109	Prah.g_01550	Syag.g_01512
OG0000110	Prah.g_01439	Syag.g_00303
OG0000111	Prah.g_01028	Syag.g_00984
OG0000112	Prah.g_00788	Syag.g_00801
OG0000113	Prah.g_00641	Syag.g_00699
OG0000114	Prah.g_00733	Syag.g_00609
OG0000115	Prah.g_00383	Syag.g_01397
