Orthogroup	Prah	Prag
OG0000000	Prah.g_01346, Prah.g_01347	Prag.g_01647, Prag.g_00719, Prag.g_01335
OG0000000	Prah.g_01348	Prag.g_00721, Prag.g_01648, Prag.g_01608, Prag.g_01230, Prag.g_01348
OG0000000	Prah.g_01154, Prah.g_01152	Prag.g_01626
OG0000001	Prah.g_00324, Prah.g_01343, Prah.g_01159, Prah.g_02270, Prah.g_00896	Prag.g_01374
OG0000002	Prah.g_00562	Prag.g_01382
OG0000002	Prah.g_01226	Prag.g_00656
OG0000004	Prah.g_01022	Prag.g_00673
OG0000004	Prah.g_01413	Prag.g_00225
OG0000005	Prah.g_01652	Prag.g_01566
OG0000006	Prah.g_00475, Prah.g_01767	Prag.g_00234, Prag.g_01231
OG0000007	Prah.g_01546	Prag.g_00476
OG0000007	Prah.g_01676	Prag.g_01669
OG0000008	Prah.g_00970	Prag.g_01655
OG0000008	Prah.g_00969	Prag.g_01656
OG0000009	Prah.g_00432, Prah.g_01895	Prag.g_00098
OG0000010	Prah.g_00311	Prag.g_01043
OG0000011	Prah.g_01084	Prag.g_01326
OG0000012	Prah.g_00524	Prag.g_00601
OG0000013	Prah.g_01956	Prag.g_00318
OG0000014	Prah.g_02171	Prag.g_00297
OG0000015	Prah.g_01155, Prah.g_00576	Prag.g_00765
OG0000016	Prah.g_00015	Prag.g_00013
OG0000017	Prah.g_01405, Prah.g_01397	Prag.g_00576
OG0000018	Prah.g_00378	Prag.g_01134
OG0000019	Prah.g_02086	Prag.g_00242, Prag.g_00786
OG0000020	Prah.g_01100	Prag.g_01637
OG0000021	Prah.g_01108, Prah.g_01112, Prah.g_01117, Prah.g_01410	Prag.g_01633, Prag.g_00359
OG0000022	Prah.g_01209	Prag.g_01116
OG0000022	Prah.g_00170	Prag.g_00757
OG0000023	Prah.g_00688	Prag.g_00354
OG0000024	Prah.g_01043	Prag.g_00740, Prag.g_00653
OG0000025	Prah.g_00604	Prag.g_00322, Prag.g_00839
OG0000026	Prah.g_00038	Prag.g_00031, Prag.g_01050
OG0000028	Prah.g_02184	Prag.g_00311
OG0000029	Prah.g_01972	Prag.g_00748
OG0000030	Prah.g_00132, Prah.g_00131	Prag.g_01871
OG0000031	Prah.g_00091	Prag.g_01446
OG0000032	Prah.g_02196	Prag.g_01416
OG0000034	Prah.g_01376	Prag.g_01365
OG0000035	Prah.g_00408	Prag.g_01490, Prag.g_01488
OG0000037	Prah.g_01901	Prag.g_00102
OG0000038	Prah.g_02494, Prah.g_02496	Prag.g_01911
OG0000039	Prah.g_01758, Prah.g_02382	Prag.g_00664
