Orthogroup	Prah	Syai
OG0000001	Prah.g_01159	Syai.g_01197, Syai.g_02594
OG0000001	Prah.g_02270	Syai.g_02595
OG0000002	Prah.g_00562, Prah.g_01226	Syai.g_01728
OG0000004	Prah.g_01022	Syai.g_01994
OG0000004	Prah.g_01413	Syai.g_01062, Syai.g_00530
OG0000005	Prah.g_01652	Syai.g_02356
OG0000006	Prah.g_00475, Prah.g_01767	Syai.g_01126, Syai.g_00317, Syai.g_00547
OG0000007	Prah.g_01546	Syai.g_00657
OG0000007	Prah.g_01676	Syai.g_02378
OG0000008	Prah.g_00970	Syai.g_01956
OG0000008	Prah.g_00969	Syai.g_01955
OG0000009	Prah.g_00432, Prah.g_01895	Syai.g_02541
OG0000010	Prah.g_00311	Syai.g_00864
OG0000011	Prah.g_01084	Syai.g_01894, Syai.g_00582
OG0000012	Prah.g_00524	Syai.g_01068
OG0000013	Prah.g_01956	Syai.g_00442, Syai.g_00450, Syai.g_00436
OG0000014	Prah.g_02171	Syai.g_00220
OG0000015	Prah.g_01155, Prah.g_00576	Syai.g_01246, Syai.g_01245
OG0000016	Prah.g_00015	Syai.g_00014
OG0000016	Prah.g_01270	Syai.g_01785
OG0000017	Prah.g_01397	Syai.g_00808
OG0000018	Prah.g_00378	Syai.g_00915
OG0000019	Prah.g_02086	Syai.g_00304
OG0000020	Prah.g_01100	Syai.g_00476
OG0000021	Prah.g_01108, Prah.g_01112, Prah.g_01117, Prah.g_01410	Syai.g_00556
OG0000022	Prah.g_01209	Syai.g_01159
OG0000023	Prah.g_00688	Syai.g_01027, Syai.g_01875, Syai.g_02821, Syai.g_01681, Syai.g_01022, Syai.g_02318
OG0000024	Prah.g_01043	Syai.g_01951
OG0000025	Prah.g_00604	Syai.g_02044
OG0000026	Prah.g_00038	Syai.g_00038
OG0000028	Prah.g_02184	Syai.g_00205
OG0000029	Prah.g_01972	Syai.g_01035, Syai.g_01584
OG0000030	Prah.g_00132	Syai.g_00096
OG0000030	Prah.g_00131	Syai.g_00095
OG0000031	Prah.g_02248	Syai.g_00197
OG0000032	Prah.g_00358	Syai.g_00895
OG0000033	Prah.g_02307	Syai.g_02634
OG0000034	Prah.g_01376	Syai.g_02192, Syai.g_02604
OG0000035	Prah.g_00408	Syai.g_00955
OG0000037	Prah.g_01901	Syai.g_02544, Syai.g_02815
OG0000038	Prah.g_02494	Syai.g_02780
OG0000041	Prah.g_01737	Syai.g_02265, Syai.g_02016
OG0000042	Prah.g_00135, Prah.g_01256	Syai.g_00099
OG0000046	Prah.g_01955	Syai.g_00443, Syai.g_00449, Syai.g_00435
OG0000047	Prah.g_00353, Prah.g_00321, Prah.g_00322	Syai.g_00462
OG0000048	Prah.g_02122	Syai.g_00272
