Orthogroup	Prah	Praf
OG0000000	Prah.g_01346	Praf.g_00815
OG0000000	Prah.g_01347	Praf.g_00814
OG0000000	Prah.g_01348	Praf.g_00813
OG0000000	Prah.g_01154	Praf.g_01039
OG0000000	Prah.g_01152	Praf.g_01042
OG0000001	Prah.g_00324	Praf.g_01895
OG0000001	Prah.g_01343	Praf.g_00818, Praf.g_01896
OG0000001	Prah.g_01159	Praf.g_01031
OG0000001	Prah.g_02270	Praf.g_02422
OG0000001	Prah.g_00896	Praf.g_01293
OG0000002	Prah.g_00562	Praf.g_01631
OG0000002	Prah.g_01226	Praf.g_00948
OG0000003	Prah.g_01119	Praf.g_02530
OG0000003	Prah.g_02431	Praf.g_01260
OG0000003	Prah.g_00269	Praf.g_02464, Praf.g_01101
OG0000003	Prah.g_00169	Praf.g_00199
OG0000003	Prah.g_02436	Praf.g_00383, Praf.g_01762
OG0000003	Prah.g_00271	Praf.g_02595
OG0000003	Prah.g_02446	Praf.g_01088, Praf.g_01104
OG0000003	Prah.g_00226	Praf.g_01995
OG0000003	Prah.g_00272, Prah.g_02434	Praf.g_00381, Praf.g_00343
OG0000003	Prah.g_02451, Prah.g_02432	Praf.g_00382
OG0000003	Prah.g_01064	Praf.g_00473
OG0000003	Prah.g_01005, Prah.g_01056	Praf.g_01103
OG0000004	Prah.g_01022	Praf.g_01121
OG0000004	Prah.g_01413	Praf.g_00743
OG0000005	Prah.g_01652	Praf.g_00503
OG0000006	Prah.g_00475, Prah.g_01767	Praf.g_00396, Praf.g_01719
OG0000007	Prah.g_01546	Praf.g_00614
OG0000007	Prah.g_01676	Praf.g_00480
OG0000008	Prah.g_00970	Praf.g_01223
OG0000008	Prah.g_00969	Praf.g_01224
OG0000009	Prah.g_00432	Praf.g_01768
OG0000009	Prah.g_01895	Praf.g_00246
OG0000010	Prah.g_00311	Praf.g_01908
OG0000011	Prah.g_01084	Praf.g_01188, Praf.g_01190
OG0000012	Prah.g_00524	Praf.g_01668
OG0000013	Prah.g_01956	Praf.g_02073
OG0000014	Prah.g_02171	Praf.g_02319
OG0000015	Prah.g_01155	Praf.g_01033
OG0000015	Prah.g_00576	Praf.g_01618
OG0000016	Prah.g_00015	Praf.g_00014
OG0000016	Prah.g_01270	Praf.g_00906
OG0000017	Prah.g_01397	Praf.g_00760
OG0000018	Prah.g_00378	Praf.g_01832
OG0000019	Prah.g_02086	Praf.g_02214
OG0000020	Prah.g_01100	Praf.g_01095
OG0000021	Prah.g_01108, Prah.g_01112, Prah.g_01117	Praf.g_00946, Praf.g_01089
OG0000021	Prah.g_01410	Praf.g_00746
OG0000022	Prah.g_01209	Praf.g_00965
OG0000022	Prah.g_00170	Praf.g_00201
OG0000024	Prah.g_01043	Praf.g_01139
OG0000025	Prah.g_00604	Praf.g_01591
OG0000026	Prah.g_00038	Praf.g_00037
OG0000028	Prah.g_02184	Praf.g_02333
OG0000029	Prah.g_01972	Praf.g_02091
OG0000030	Prah.g_00132	Praf.g_00160
OG0000030	Prah.g_00131	Praf.g_00159
OG0000031	Prah.g_02248	Praf.g_02400
OG0000031	Prah.g_00091	Praf.g_00101
OG0000032	Prah.g_00358	Praf.g_01851
OG0000032	Prah.g_02196	Praf.g_02346
OG0000033	Prah.g_02307	Praf.g_02457
OG0000034	Prah.g_01376	Praf.g_00783
OG0000035	Prah.g_00408	Praf.g_01794
OG0000036	Prah.g_01478	Praf.g_02488, Praf.g_02527, Praf.g_02460, Praf.g_02459, Praf.g_02116
OG0000036	Prah.g_00393	Praf.g_02481
OG0000036	Prah.g_01061, Prah.g_01606	Praf.g_02529
OG0000037	Prah.g_01901	Praf.g_00240
OG0000038	Prah.g_02494	Praf.g_02660
OG0000038	Prah.g_02496	Praf.g_02662
OG0000039	Prah.g_01758	Praf.g_00406
OG0000039	Prah.g_02382	Praf.g_02541
OG0000041	Prah.g_01737	Praf.g_00426
OG0000042	Prah.g_00135	Praf.g_00164
OG0000042	Prah.g_01256	Praf.g_00920
OG0000044	Prah.g_00994, Prah.g_00343	Praf.g_00356
OG0000045	Prah.g_01837	Praf.g_00322
OG0000046	Prah.g_01955	Praf.g_02072
OG0000047	Prah.g_00353	Praf.g_01864
OG0000047	Prah.g_00321, Prah.g_00322	Praf.g_01898
OG0000048	Prah.g_02122	Praf.g_02267
OG0000050	Prah.g_01120	Praf.g_01105
OG0000051	Prah.g_01166	Praf.g_01022
OG0000051	Prah.g_00717	Praf.g_01479
OG0000052	Prah.g_02219	Praf.g_02366
OG0000053	Prah.g_00381	Praf.g_01828
OG0000054	Prah.g_01394	Praf.g_00763
OG0000055	Prah.g_00942	Praf.g_01257
OG0000056	Prah.g_00543	Praf.g_01648
OG0000056	Prah.g_01082	Praf.g_01880, Praf.g_02641, Praf.g_01879, Praf.g_01191
OG0000056	Prah.g_00342	Praf.g_02639, Praf.g_02620
OG0000056	Prah.g_01968	Praf.g_02084
OG0000056	Prah.g_00341	Praf.g_01881
OG0000057	Prah.g_01027	Praf.g_01125
OG0000058	Prah.g_02195	Praf.g_02345
OG0000059	Prah.g_02043	Praf.g_02172
OG0000060	Prah.g_01569	Praf.g_00592
OG0000061	Prah.g_00104	Praf.g_01859
OG0000061	Prah.g_01322	Praf.g_00854
OG0000062	Prah.g_01654	Praf.g_00501
OG0000063	Prah.g_00042	Praf.g_00041
OG0000065	Prah.g_01897	Praf.g_00244
OG0000066	Prah.g_01485	Praf.g_00672
OG0000067	Prah.g_00667	Praf.g_01530
OG0000068	Prah.g_01576	Praf.g_00585, Praf.g_00583
OG0000070	Prah.g_00252	Praf.g_01962
OG0000071	Prah.g_01364	Praf.g_00796
OG0000072	Prah.g_02309	Praf.g_02469
OG0000073	Prah.g_01544	Praf.g_00616
OG0000075	Prah.g_02232	Praf.g_02384
OG0000076	Prah.g_00150	Praf.g_00178
OG0000077	Prah.g_01850	Praf.g_00309
OG0000078	Prah.g_01773	Praf.g_00391
OG0000079	Prah.g_02090	Praf.g_02218
OG0000081	Prah.g_01035	Praf.g_01131
OG0000082	Prah.g_01427	Praf.g_00731
OG0000084	Prah.g_00412	Praf.g_01790
OG0000085	Prah.g_01666	Praf.g_00491
OG0000086	Prah.g_01866	Praf.g_00297
OG0000087	Prah.g_02268	Praf.g_02420
OG0000088	Prah.g_02304	Praf.g_02454
OG0000088	Prah.g_00957	Praf.g_01239
OG0000089	Prah.g_00205	Praf.g_02015
OG0000090	Prah.g_01501	Praf.g_00660
OG0000091	Prah.g_00493	Praf.g_01700
OG0000093	Prah.g_00692	Praf.g_01503
OG0000094	Prah.g_02518	Praf.g_02685
OG0000095	Prah.g_00915	Praf.g_01274
OG0000097	Prah.g_01272	Praf.g_00905
OG0000098	Prah.g_00327	Praf.g_01886
OG0000099	Prah.g_02191	Praf.g_02342
OG0000100	Prah.g_01791	Praf.g_00370
OG0000100	Prah.g_00636	Praf.g_01561
OG0000101	Prah.g_01995	Praf.g_02119
OG0000102	Prah.g_00144	Praf.g_00173
OG0000103	Prah.g_02586	Praf.g_02765
OG0000104	Prah.g_02600	Praf.g_02779
OG0000105	Prah.g_02126	Praf.g_02271
OG0000106	Prah.g_01660	Praf.g_00496
OG0000107	Prah.g_02072	Praf.g_02201
OG0000108	Prah.g_01566	Praf.g_00595
OG0000109	Prah.g_01550	Praf.g_00611
OG0000110	Prah.g_01439	Praf.g_00718
OG0000111	Prah.g_01028	Praf.g_01126
OG0000112	Prah.g_00788	Praf.g_01400
OG0000113	Prah.g_00641	Praf.g_01556
OG0000114	Prah.g_00733	Praf.g_01461
OG0000115	Prah.g_00383	Praf.g_01825
OG0000116	Prah.g_01337	Praf.g_00825
OG0000117	Prah.g_01257	Praf.g_00919
OG0000118	Prah.g_01378	Praf.g_00779
OG0000119	Prah.g_01007	Praf.g_01108
OG0000119	Prah.g_01048	Praf.g_01143
OG0000120	Prah.g_02192	Praf.g_02343
OG0000121	Prah.g_00406	Praf.g_01796
OG0000122	Prah.g_01203	Praf.g_00976
OG0000123	Prah.g_01987	Praf.g_02108
OG0000124	Prah.g_00125	Praf.g_00153
OG0000125	Prah.g_02498	Praf.g_02664
OG0000126	Prah.g_02598	Praf.g_02777
OG0000127	Prah.g_01085	Praf.g_01187, Praf.g_00342
OG0000128	Prah.g_00013	Praf.g_00012
OG0000129	Prah.g_02486	Praf.g_02652
OG0000130	Prah.g_01838	Praf.g_00321
OG0000131	Prah.g_02282	Praf.g_02432
OG0000132	Prah.g_02302	Praf.g_02452
OG0000133	Prah.g_02187	Praf.g_02336
OG0000134	Prah.g_00208	Praf.g_02012
OG0000135	Prah.g_02538	Praf.g_02705, Praf.g_02715
OG0000136	Prah.g_00235	Praf.g_01984
OG0000137	Prah.g_00312	Praf.g_01907
OG0000138	Prah.g_01549	Praf.g_00612
OG0000139	Prah.g_01495	Praf.g_00666
OG0000140	Prah.g_01489	Praf.g_00670
OG0000141	Prah.g_01393	Praf.g_00764
OG0000142	Prah.g_00501	Praf.g_01692
OG0000143	Prah.g_00497	Praf.g_01696
OG0000144	Prah.g_00473	Praf.g_01721
OG0000145	Prah.g_01543	Praf.g_00617
OG0000146	Prah.g_00787	Praf.g_01401
OG0000147	Prah.g_00786	Praf.g_01402
OG0000148	Prah.g_00649	Praf.g_01548
OG0000149	Prah.g_00591	Praf.g_01604
OG0000150	Prah.g_00568	Praf.g_01625
OG0000151	Prah.g_00718	Praf.g_01478
OG0000152	Prah.g_00796	Praf.g_01392
OG0000153	Prah.g_00826	Praf.g_01362
OG0000154	Prah.g_00852	Praf.g_01337
OG0000155	Prah.g_01291	Praf.g_00886
OG0000156	Prah.g_01349	Praf.g_00810
OG0000157	Prah.g_01350	Praf.g_00809
OG0000158	Prah.g_02242	Praf.g_02394
OG0000160	Prah.g_00407	Praf.g_01795
OG0000161	Prah.g_00399	Praf.g_01805
OG0000162	Prah.g_00391	Praf.g_01817
OG0000163	Prah.g_01619	Praf.g_00538
OG0000164	Prah.g_01705	Praf.g_00453
OG0000165	Prah.g_01716	Praf.g_00444
OG0000166	Prah.g_02033	Praf.g_02157
OG0000167	Prah.g_02230	Praf.g_02382, Praf.g_02378, Praf.g_02380
OG0000168	Prah.g_02243	Praf.g_02395
OG0000169	Prah.g_00163	Praf.g_00191
OG0000170	Prah.g_00155	Praf.g_00183
OG0000171	Prah.g_00126	Praf.g_00154
OG0000172	Prah.g_00084	Praf.g_00087
OG0000173	Prah.g_00061	Praf.g_00062
OG0000174	Prah.g_02541	Praf.g_02717
OG0000175	Prah.g_02575	Praf.g_02754
OG0000176	Prah.g_00005	Praf.g_00004
OG0000177	Prah.g_00006	Praf.g_00005
OG0000178	Prah.g_00007	Praf.g_00006
OG0000179	Prah.g_00022	Praf.g_00021
OG0000180	Prah.g_00023	Praf.g_00022
OG0000181	Prah.g_00024	Praf.g_00023
OG0000182	Prah.g_00025	Praf.g_00024
OG0000183	Prah.g_00029	Praf.g_00028
OG0000184	Prah.g_02478	Praf.g_02611
OG0000185	Prah.g_02458	Praf.g_00333, Praf.g_02602
OG0000186	Prah.g_01830	Praf.g_00328
OG0000187	Prah.g_01833	Praf.g_00326
OG0000188	Prah.g_01860	Praf.g_00303
OG0000189	Prah.g_01884	Praf.g_00257
OG0000190	Prah.g_01886	Praf.g_00255
OG0000191	Prah.g_00188	Praf.g_00218
OG0000192	Prah.g_00176, Prah.g_00180	Praf.g_00212
OG0000193	Prah.g_02283	Praf.g_02433
OG0000194	Prah.g_02286	Praf.g_02436
OG0000195	Prah.g_02288	Praf.g_02438
OG0000196	Prah.g_02299	Praf.g_02449
OG0000197	Prah.g_02300	Praf.g_02450
OG0000198	Prah.g_02301	Praf.g_02451
OG0000199	Prah.g_02308	Praf.g_02468
OG0000200	Prah.g_02324	Praf.g_02492
OG0000201	Prah.g_02352	Praf.g_02511
OG0000202	Prah.g_02353	Praf.g_02512
OG0000203	Prah.g_02354	Praf.g_02513
OG0000204	Prah.g_02355	Praf.g_02514
OG0000205	Prah.g_02362	Praf.g_02521
OG0000206	Prah.g_02371	Praf.g_02532
OG0000207	Prah.g_02420	Praf.g_02582
OG0000208	Prah.g_02419	Praf.g_02581
OG0000209	Prah.g_02400	Praf.g_02557
OG0000210	Prah.g_02399	Praf.g_02556
OG0000211	Prah.g_01782	Praf.g_00378
OG0000212	Prah.g_01772	Praf.g_00392
OG0000213	Prah.g_02101	Praf.g_02245
