Orthogroup	Prah	Syal
OG0000000	Prah.g_01346, Prah.g_01347	Syal.g_01111, Syal.g_01832
OG0000001	Prah.g_01159	Syal.g_02215
OG0000001	Prah.g_02270	Syal.g_00874, Syal.g_01184
OG0000004	Prah.g_01022	Syal.g_01809
OG0000004	Prah.g_01413	Syal.g_02718, Syal.g_00691
OG0000005	Prah.g_01652	Syal.g_00565
OG0000006	Prah.g_00475, Prah.g_01767	Syal.g_02611, Syal.g_00674
OG0000007	Prah.g_01546	Syal.g_02918
OG0000007	Prah.g_01676	Syal.g_00587
OG0000008	Prah.g_00970	Syal.g_02512
OG0000008	Prah.g_00969	Syal.g_01783
OG0000009	Prah.g_00432, Prah.g_01895	Syal.g_00818
OG0000010	Prah.g_00311	Syal.g_00464
OG0000013	Prah.g_01956	Syal.g_00315, Syal.g_00322, Syal.g_00310
OG0000014	Prah.g_02171	Syal.g_01305
OG0000015	Prah.g_01155, Prah.g_00576	Syal.g_02210, Syal.g_01183
OG0000016	Prah.g_00015	Syal.g_00111
OG0000016	Prah.g_01270	Syal.g_01734
OG0000017	Prah.g_01397	Syal.g_02745
OG0000018	Prah.g_00378	Syal.g_00410
OG0000019	Prah.g_02086	Syal.g_01209
OG0000022	Prah.g_01209	Syal.g_02587
OG0000023	Prah.g_00688	Syal.g_02485, Syal.g_02858, Syal.g_01894
OG0000024	Prah.g_01043	Syal.g_02597
OG0000025	Prah.g_00604	Syal.g_02459
OG0000026	Prah.g_00038	Syal.g_00132
OG0000028	Prah.g_02184	Syal.g_01319
OG0000029	Prah.g_01972	Syal.g_03014
OG0000030	Prah.g_00132	Syal.g_01511
OG0000030	Prah.g_00131	Syal.g_01512
OG0000031	Prah.g_02248	Syal.g_01404, Syal.g_01432
OG0000032	Prah.g_00358	Syal.g_00428
OG0000032	Prah.g_02196	Syal.g_00183
OG0000033	Prah.g_02307	Syal.g_00912
OG0000034	Prah.g_01376	Syal.g_00881, Syal.g_01586
OG0000035	Prah.g_00408	Syal.g_00020
OG0000037	Prah.g_01901	Syal.g_00601, Syal.g_00824
OG0000038	Prah.g_02494	Syal.g_01071
OG0000038	Prah.g_02496	Syal.g_01073
OG0000039	Prah.g_02382	Syal.g_01097
OG0000041	Prah.g_01737	Syal.g_00649
OG0000042	Prah.g_00135, Prah.g_01256	Syal.g_01705, Syal.g_01508
OG0000043	Prah.g_01190	Syal.g_01110
OG0000045	Prah.g_01837	Syal.g_01563
OG0000046	Prah.g_01955	Syal.g_00316, Syal.g_00321, Syal.g_00309
OG0000047	Prah.g_00353, Prah.g_00321, Prah.g_00322	Syal.g_01568
OG0000048	Prah.g_02122	Syal.g_01250
OG0000050	Prah.g_01120	Syal.g_01549
OG0000051	Prah.g_00717	Syal.g_03018
OG0000052	Prah.g_02219	Syal.g_01338
OG0000053	Prah.g_00381	Syal.g_00406
OG0000054	Prah.g_01394	Syal.g_02739, Syal.g_02098
OG0000055	Prah.g_00942	Syal.g_01845
OG0000056	Prah.g_00341	Syal.g_02054
OG0000057	Prah.g_01027	Syal.g_01812
OG0000058	Prah.g_02195	Syal.g_01326
OG0000059	Prah.g_02043	Syal.g_00225
OG0000060	Prah.g_01569	Syal.g_02895
OG0000060	Prah.g_01156	Syal.g_02214
OG0000061	Prah.g_01322	Syal.g_01653
OG0000062	Prah.g_01654	Syal.g_00567
OG0000063	Prah.g_00042	Syal.g_00136
OG0000065	Prah.g_01897	Syal.g_00820
OG0000066	Prah.g_01485	Syal.g_02828
OG0000067	Prah.g_00667	Syal.g_02414
OG0000068	Prah.g_01576	Syal.g_02888
OG0000070	Prah.g_00252	Syal.g_00509
OG0000071	Prah.g_01364	Syal.g_02099, Syal.g_01601
OG0000072	Prah.g_02309	Syal.g_00914
OG0000073	Prah.g_01544	Syal.g_02920
OG0000075	Prah.g_02232	Syal.g_01350
OG0000076	Prah.g_00150	Syal.g_01459
OG0000078	Prah.g_01773	Syal.g_00680
OG0000079	Prah.g_02090, Prah.g_01868	Syal.g_01213
OG0000081	Prah.g_01035	Syal.g_02555
OG0000082	Prah.g_01427	Syal.g_02769
OG0000084	Prah.g_00412	Syal.g_01896, Syal.g_00023
OG0000085	Prah.g_01666	Syal.g_00575
OG0000086	Prah.g_01866	Syal.g_00784
OG0000087	Prah.g_02268	Syal.g_00871
OG0000088	Prah.g_02304, Prah.g_00957	Syal.g_00908
OG0000089	Prah.g_00205	Syal.g_00555
OG0000090	Prah.g_01501	Syal.g_02838
OG0000091	Prah.g_00493	Syal.g_02628
OG0000093	Prah.g_00692	Syal.g_02233
OG0000094	Prah.g_02518	Syal.g_01907
OG0000095	Prah.g_00915	Syal.g_01823
OG0000097	Prah.g_01272	Syal.g_01735
OG0000098	Prah.g_00327	Syal.g_02196
OG0000099	Prah.g_02191	Syal.g_01323
OG0000100	Prah.g_01791, Prah.g_00636	Syal.g_02448
OG0000101	Prah.g_01995	Syal.g_00275
OG0000102	Prah.g_00144	Syal.g_01488
OG0000103	Prah.g_02586	Syal.g_00077, Syal.g_01897
OG0000104	Prah.g_02600	Syal.g_00092
OG0000105	Prah.g_02126	Syal.g_01255
OG0000106	Prah.g_01660	Syal.g_02577
OG0000107	Prah.g_02072	Syal.g_00194
OG0000108	Prah.g_01566	Syal.g_02897
OG0000109	Prah.g_01550	Syal.g_02913
OG0000110	Prah.g_01439	Syal.g_02782
OG0000111	Prah.g_01028	Syal.g_01813
OG0000112	Prah.g_00788	Syal.g_02000
OG0000113	Prah.g_00641	Syal.g_02443
OG0000114	Prah.g_00733	Syal.g_02286
OG0000115	Prah.g_00383	Syal.g_00404
OG0000116	Prah.g_01337	Syal.g_01630
OG0000117	Prah.g_01257	Syal.g_01704
OG0000118	Prah.g_01378	Syal.g_01583
OG0000119	Prah.g_01007, Prah.g_01048	Syal.g_02056
OG0000120	Prah.g_02192	Syal.g_01324
OG0000121	Prah.g_00406	Syal.g_00374
OG0000122	Prah.g_01203	Syal.g_02602
OG0000123	Prah.g_01987	Syal.g_00283
OG0000124	Prah.g_00125	Syal.g_01519
OG0000125	Prah.g_02498	Syal.g_01075
OG0000126	Prah.g_02598	Syal.g_00090
OG0000128	Prah.g_00013	Syal.g_00109
OG0000129	Prah.g_02486	Syal.g_01062
OG0000130	Prah.g_01838	Syal.g_00751
OG0000131	Prah.g_02282	Syal.g_00886
OG0000132	Prah.g_02302	Syal.g_00906
OG0000133	Prah.g_02187	Syal.g_01995
OG0000134	Prah.g_00208	Syal.g_00552
OG0000135	Prah.g_02538	Syal.g_01119
OG0000136	Prah.g_00235	Syal.g_00520
OG0000137	Prah.g_00312	Syal.g_00463
OG0000138	Prah.g_01549	Syal.g_02914
OG0000139	Prah.g_01495	Syal.g_02832
OG0000140	Prah.g_01489	Syal.g_02830
OG0000141	Prah.g_01393	Syal.g_02738
OG0000142	Prah.g_00501	Syal.g_02636
OG0000143	Prah.g_00497	Syal.g_02632
OG0000144	Prah.g_00473	Syal.g_02515
OG0000145	Prah.g_01543	Syal.g_02921
OG0000146	Prah.g_00787	Syal.g_02001
OG0000147	Prah.g_00786	Syal.g_02002
OG0000148	Prah.g_00649	Syal.g_02437
OG0000149	Prah.g_00591	Syal.g_02475
OG0000150	Prah.g_00568	Syal.g_02737
OG0000151	Prah.g_00718	Syal.g_02263
OG0000152	Prah.g_00796	Syal.g_01991
OG0000153	Prah.g_00826	Syal.g_01958
OG0000154	Prah.g_00852	Syal.g_01918
OG0000155	Prah.g_01291	Syal.g_01695
OG0000156	Prah.g_01349	Syal.g_01620
OG0000157	Prah.g_01350	Syal.g_01619
OG0000158	Prah.g_02242	Syal.g_01431
OG0000160	Prah.g_00407	Syal.g_00372
OG0000161	Prah.g_00399	Syal.g_00384
OG0000162	Prah.g_00391	Syal.g_00396
OG0000163	Prah.g_01619	Syal.g_02971
OG0000164	Prah.g_01705	Syal.g_00623
OG0000165	Prah.g_01716	Syal.g_00632
OG0000166	Prah.g_02033	Syal.g_00236
OG0000167	Prah.g_02230	Syal.g_01347
OG0000168	Prah.g_02243	Syal.g_01433
OG0000169	Prah.g_00163	Syal.g_01447
OG0000170	Prah.g_00155	Syal.g_01454
OG0000171	Prah.g_00126	Syal.g_01518
OG0000172	Prah.g_00084	Syal.g_00174, Syal.g_00173
OG0000173	Prah.g_00061	Syal.g_00155
OG0000174	Prah.g_02541	Syal.g_01121
OG0000175	Prah.g_02575	Syal.g_01172
OG0000176	Prah.g_00005	Syal.g_00101
OG0000177	Prah.g_00006	Syal.g_00102
OG0000178	Prah.g_00007	Syal.g_00103
OG0000179	Prah.g_00022	Syal.g_00118
OG0000180	Prah.g_00023	Syal.g_00119
OG0000181	Prah.g_00024	Syal.g_00120
OG0000182	Prah.g_00025	Syal.g_00121
OG0000183	Prah.g_00029	Syal.g_00125
OG0000184	Prah.g_02478	Syal.g_02678
OG0000185	Prah.g_02458	Syal.g_01025
OG0000186	Prah.g_01830	Syal.g_02684, Syal.g_00747
OG0000187	Prah.g_01833	Syal.g_02685, Syal.g_00748
OG0000188	Prah.g_01860	Syal.g_00771
OG0000189	Prah.g_01884	Syal.g_00807
OG0000190	Prah.g_01886	Syal.g_01364
OG0000191	Prah.g_00188	Syal.g_00841
OG0000192	Prah.g_00176, Prah.g_00180	Syal.g_00847
OG0000193	Prah.g_02283	Syal.g_00887
OG0000194	Prah.g_02286	Syal.g_00890
OG0000195	Prah.g_02288	Syal.g_00892
OG0000196	Prah.g_02299	Syal.g_00903
OG0000197	Prah.g_02300	Syal.g_00904
OG0000198	Prah.g_02301	Syal.g_00905
OG0000199	Prah.g_02308	Syal.g_00913
OG0000200	Prah.g_02324	Syal.g_00932
OG0000201	Prah.g_02352	Syal.g_00949
OG0000202	Prah.g_02353	Syal.g_00950
OG0000203	Prah.g_02354	Syal.g_00951
OG0000204	Prah.g_02355	Syal.g_00952
OG0000205	Prah.g_02362	Syal.g_00959
OG0000206	Prah.g_02371	Syal.g_00971
OG0000207	Prah.g_02420	Syal.g_00974
OG0000208	Prah.g_02419	Syal.g_00975
OG0000209	Prah.g_02400	Syal.g_01000
OG0000210	Prah.g_02399	Syal.g_01001
OG0000211	Prah.g_01782	Syal.g_00688
OG0000212	Prah.g_01772	Syal.g_00679
OG0000213	Prah.g_02101	Syal.g_01229
OG0000214	Prah.g_02118	Syal.g_01246
OG0000215	Prah.g_02148	Syal.g_01277
OG0000217	Prah.g_02155	Syal.g_01285
OG0000218	Prah.g_02157	Syal.g_01287
OG0000219	Prah.g_02158	Syal.g_01288
OG0000220	Prah.g_02159	Syal.g_01289
OG0000221	Prah.g_02166	Syal.g_01297
OG0000222	Prah.g_02174	Syal.g_01309
OG0000223	Prah.g_02197	Syal.g_01327
OG0000224	Prah.g_02207	Syal.g_01329
OG0000225	Prah.g_01921	Syal.g_00363
OG0000226	Prah.g_01917	Syal.g_00367
OG0000227	Prah.g_01915	Syal.g_00369
OG0000228	Prah.g_00204	Syal.g_00556
OG0000229	Prah.g_00230	Syal.g_00525
OG0000230	Prah.g_00232	Syal.g_00523
OG0000231	Prah.g_00251	Syal.g_00510
OG0000232	Prah.g_00261	Syal.g_00495
OG0000233	Prah.g_00294	Syal.g_00487
OG0000234	Prah.g_00313, Prah.g_00314	Syal.g_00461
OG0000235	Prah.g_01567	Syal.g_02896
OG0000236	Prah.g_01551	Syal.g_02912
OG0000237	Prah.g_01534	Syal.g_02930
OG0000238	Prah.g_01529	Syal.g_02935
OG0000239	Prah.g_01513	Syal.g_02951
OG0000240	Prah.g_01512	Syal.g_02952
OG0000241	Prah.g_01094	Syal.g_02696
OG0000242	Prah.g_00108, Prah.g_01503	Syal.g_02840
OG0000243	Prah.g_01476	Syal.g_02822
OG0000244	Prah.g_01472	Syal.g_02815
OG0000245	Prah.g_01469	Syal.g_02813
OG0000246	Prah.g_01465	Syal.g_02809
OG0000247	Prah.g_01454	Syal.g_02797
OG0000248	Prah.g_01451	Syal.g_02794
OG0000249	Prah.g_01449	Syal.g_02792
OG0000250	Prah.g_01443	Syal.g_02786
OG0000251	Prah.g_01417	Syal.g_02760
OG0000252	Prah.g_01414	Syal.g_02757
OG0000253	Prah.g_01408	Syal.g_02755
OG0000254	Prah.g_01389	Syal.g_02732
OG0000255	Prah.g_00530	Syal.g_02719
OG0000256	Prah.g_00516	Syal.g_02705
OG0000257	Prah.g_00509	Syal.g_02697
OG0000258	Prah.g_00486	Syal.g_02623
OG0000259	Prah.g_00457	Syal.g_02182
OG0000260	Prah.g_00454	Syal.g_02188
OG0000261	Prah.g_00451	Syal.g_02199
OG0000262	Prah.g_00445	Syal.g_02204
OG0000263	Prah.g_02413	Syal.g_01720
OG0000264	Prah.g_00974	Syal.g_01788
OG0000265	Prah.g_00887	Syal.g_02534
OG0000266	Prah.g_00876	Syal.g_02421
OG0000267	Prah.g_00751	Syal.g_02043
OG0000268	Prah.g_00752	Syal.g_02042
OG0000269	Prah.g_00672	Syal.g_02409
OG0000270	Prah.g_00669	Syal.g_02412
OG0000271	Prah.g_00661	Syal.g_01871
OG0000272	Prah.g_00660	Syal.g_01872
OG0000274	Prah.g_00608	Syal.g_02455
OG0000275	Prah.g_00605	Syal.g_02458
OG0000276	Prah.g_00599	Syal.g_02467
OG0000277	Prah.g_00598	Syal.g_02468
OG0000278	Prah.g_00595	Syal.g_02471
OG0000279	Prah.g_00587	Syal.g_02479
OG0000280	Prah.g_00581	Syal.g_02493
OG0000281	Prah.g_00566	Syal.g_02190
OG0000282	Prah.g_00731	Syal.g_02284
OG0000283	Prah.g_00761	Syal.g_02028, Syal.g_02131
OG0000284	Prah.g_00767	Syal.g_02023
OG0000285	Prah.g_01178	Syal.g_02012
OG0000286	Prah.g_00795	Syal.g_01992
OG0000287	Prah.g_01131	Syal.g_01965
OG0000288	Prah.g_00851	Syal.g_01919
OG0000289	Prah.g_00864	Syal.g_01904
OG0000290	Prah.g_00912	Syal.g_01826
OG0000291	Prah.g_00914	Syal.g_01824
OG0000292	Prah.g_02597	Syal.g_00089
OG0000293	Prah.g_01336	Syal.g_01631
OG0000294	Prah.g_01335	Syal.g_01632
OG0000295	Prah.g_01298	Syal.g_01687
OG0000296	Prah.g_01296	Syal.g_01689
OG0000297	Prah.g_01259	Syal.g_01702
OG0000298	Prah.g_01258	Syal.g_01703
OG0000299	Prah.g_01268	Syal.g_01732
OG0000300	Prah.g_01275	Syal.g_01738
OG0000301	Prah.g_01276	Syal.g_01739
OG0000302	Prah.g_01279	Syal.g_01740
OG0000303	Prah.g_01289	Syal.g_01763
OG0000304	Prah.g_01237, Prah.g_01238	Syal.g_01756
OG0000305	Prah.g_00918	Syal.g_01821
OG0000306	Prah.g_00560	Syal.g_02579
OG0000307	Prah.g_01584	Syal.g_02880
OG0000308	Prah.g_01586	Syal.g_02878
OG0000309	Prah.g_01590	Syal.g_02873
OG0000310	Prah.g_00428	Syal.g_01537
OG0000311	Prah.g_00424	Syal.g_00061
OG0000312	Prah.g_00420	Syal.g_00031
OG0000313	Prah.g_00402	Syal.g_00381
OG0000314	Prah.g_00371	Syal.g_00416
OG0000315	Prah.g_00361	Syal.g_00426
OG0000316	Prah.g_01631	Syal.g_02987
OG0000317	Prah.g_01672	Syal.g_00583
OG0000318	Prah.g_01677	Syal.g_00588
OG0000319	Prah.g_01694	Syal.g_00608
OG0000320	Prah.g_01696	Syal.g_00610
OG0000321	Prah.g_01697	Syal.g_00611
OG0000322	Prah.g_01698	Syal.g_00612
OG0000323	Prah.g_01710	Syal.g_00626
OG0000324	Prah.g_01744	Syal.g_00656
OG0000325	Prah.g_02071	Syal.g_00195
OG0000326	Prah.g_02064	Syal.g_00202
OG0000327	Prah.g_02038	Syal.g_00230
OG0000328	Prah.g_02037	Syal.g_00231
OG0000329	Prah.g_02020	Syal.g_00249
OG0000330	Prah.g_02019	Syal.g_00250
OG0000331	Prah.g_02018	Syal.g_00251
OG0000332	Prah.g_02003	Syal.g_00266
OG0000333	Prah.g_02001	Syal.g_00269
OG0000334	Prah.g_01991	Syal.g_00279
OG0000335	Prah.g_01986	Syal.g_00284
OG0000336	Prah.g_01982	Syal.g_00288
OG0000337	Prah.g_02224	Syal.g_01343
OG0000338	Prah.g_02227	Syal.g_01345
OG0000339	Prah.g_02234	Syal.g_01351
OG0000340	Prah.g_02244	Syal.g_01434
OG0000341	Prah.g_02246	Syal.g_01436
OG0000342	Prah.g_02247	Syal.g_01437
OG0000343	Prah.g_00168	Syal.g_01441
OG0000344	Prah.g_00165	Syal.g_01445
OG0000345	Prah.g_00154	Syal.g_01455
OG0000346	Prah.g_00149	Syal.g_01460
OG0000347	Prah.g_00089	Syal.g_01525
OG0000348	Prah.g_00078	Syal.g_00170
OG0000349	Prah.g_00053	Syal.g_00148
OG0000350	Prah.g_02533	Syal.g_00209
OG0000351	Prah.g_02578	Syal.g_01175
OG0000352	Prah.g_02579	Syal.g_01176
OG0000353	Prah.g_02603	Syal.g_00095
OG0000354	Prah.g_01523	Syal.g_02941
OG0000354	Prah.g_00020	Syal.g_00116
OG0000355	Prah.g_00002	Syal.g_00098
OG0000356	Prah.g_00003	Syal.g_00099
OG0000357	Prah.g_00004	Syal.g_00100
OG0000358	Prah.g_00008	Syal.g_00104
OG0000359	Prah.g_00010	Syal.g_00106
OG0000360	Prah.g_00011	Syal.g_00107
OG0000361	Prah.g_00012	Syal.g_00108
OG0000362	Prah.g_00014	Syal.g_00110
OG0000363	Prah.g_00016	Syal.g_00112
OG0000364	Prah.g_00017	Syal.g_00113
OG0000365	Prah.g_00026	Syal.g_00122
OG0000366	Prah.g_00027	Syal.g_00123
OG0000367	Prah.g_00028	Syal.g_00124
OG0000368	Prah.g_00030	Syal.g_00126
OG0000369	Prah.g_00031	Syal.g_00127
OG0000370	Prah.g_00032	Syal.g_00128
OG0000371	Prah.g_00041	Syal.g_00135
OG0000372	Prah.g_00046	Syal.g_00141
OG0000373	Prah.g_00047	Syal.g_00142
OG0000374	Prah.g_00048	Syal.g_00143
OG0000375	Prah.g_00049	Syal.g_00144
OG0000376	Prah.g_00051	Syal.g_00146
OG0000377	Prah.g_02485	Syal.g_01061
OG0000378	Prah.g_02471	Syal.g_01027
OG0000379	Prah.g_02457	Syal.g_02681, Syal.g_01024
OG0000380	Prah.g_01834	Syal.g_00749
OG0000381	Prah.g_01839	Syal.g_00752
OG0000382	Prah.g_01859	Syal.g_00770
OG0000383	Prah.g_01861	Syal.g_00775
OG0000384	Prah.g_01862	Syal.g_00776
OG0000385	Prah.g_01863	Syal.g_00777
OG0000386	Prah.g_01864	Syal.g_00778
OG0000387	Prah.g_01888	Syal.g_00811
OG0000388	Prah.g_01892	Syal.g_00815
OG0000389	Prah.g_01896	Syal.g_00819
OG0000390	Prah.g_00194	Syal.g_00835
OG0000391	Prah.g_00189	Syal.g_00840
OG0000392	Prah.g_00183	Syal.g_00846
OG0000393	Prah.g_00175	Syal.g_00849
OG0000394	Prah.g_00174	Syal.g_00850
OG0000395	Prah.g_00173	Syal.g_00851
OG0000396	Prah.g_02252	Syal.g_00854
OG0000397	Prah.g_02254	Syal.g_00857
OG0000398	Prah.g_02259	Syal.g_00862
OG0000399	Prah.g_02260	Syal.g_00863
OG0000400	Prah.g_02261	Syal.g_00864
OG0000401	Prah.g_02262	Syal.g_00865
OG0000402	Prah.g_02264	Syal.g_00867
OG0000403	Prah.g_02265	Syal.g_00868
OG0000405	Prah.g_02280	Syal.g_00883
OG0000406	Prah.g_02284	Syal.g_00888
OG0000407	Prah.g_02285	Syal.g_00889
OG0000408	Prah.g_02287	Syal.g_00891
OG0000409	Prah.g_02289	Syal.g_00893
OG0000410	Prah.g_02290	Syal.g_00894
OG0000411	Prah.g_02291	Syal.g_00895
OG0000412	Prah.g_02292	Syal.g_00896
