Orthogroup	Prah	Syad
OG0000001	Prah.g_01159	Syad.g_02864
OG0000001	Prah.g_02270	Syad.g_02865
OG0000002	Prah.g_00562, Prah.g_01226	Syad.g_00619
OG0000003	Prah.g_02447, Prah.g_00270, Prah.g_01119, Prah.g_02431, Prah.g_01063, Prah.g_00269, Prah.g_00926, Prah.g_00927, Prah.g_02435, Prah.g_00281, Prah.g_01075, Prah.g_00275, Prah.g_02449, Prah.g_02433, Prah.g_00169, Prah.g_00935, Prah.g_02436, Prah.g_00271, Prah.g_00273, Prah.g_00930, Prah.g_02446, Prah.g_00226, Prah.g_00272, Prah.g_02434, Prah.g_02451, Prah.g_02432, Prah.g_01064	Syad.g_01998, Syad.g_02748, Syad.g_02240, Syad.g_01927, Syad.g_01929, Syad.g_02601, Syad.g_01996
OG0000003	Prah.g_01005, Prah.g_01056	Syad.g_01327, Syad.g_01331
OG0000004	Prah.g_01022	Syad.g_01304
OG0000004	Prah.g_01413	Syad.g_02184, Syad.g_00810
OG0000005	Prah.g_01652	Syad.g_02596
OG0000006	Prah.g_00475, Prah.g_01767	Syad.g_02130, Syad.g_00588, Syad.g_00829
OG0000007	Prah.g_01546	Syad.g_00923
OG0000007	Prah.g_01676	Syad.g_02623
OG0000008	Prah.g_00969	Syad.g_01371
OG0000009	Prah.g_00432, Prah.g_01895	Syad.g_02799
OG0000010	Prah.g_00311	Syad.g_02354
OG0000011	Prah.g_01084	Syad.g_02006
OG0000012	Prah.g_00524	Syad.g_02176
OG0000013	Prah.g_01956	Syad.g_00729, Syad.g_00737, Syad.g_00724
OG0000014	Prah.g_02171	Syad.g_00480
OG0000014	Prah.g_00101	Syad.g_00260
OG0000015	Prah.g_01155, Prah.g_00576	Syad.g_00142, Syad.g_01600, Syad.g_01601
OG0000016	Prah.g_00015	Syad.g_00176
OG0000016	Prah.g_01270	Syad.g_01460
OG0000017	Prah.g_01397	Syad.g_01091
OG0000018	Prah.g_00378	Syad.g_02306
OG0000019	Prah.g_02086	Syad.g_00569
OG0000020	Prah.g_01100	Syad.g_00845
OG0000021	Prah.g_01108, Prah.g_01112, Prah.g_01117, Prah.g_01410	Syad.g_01835, Syad.g_00874
OG0000022	Prah.g_01209	Syad.g_02090
OG0000023	Prah.g_00688	Syad.g_01701, Syad.g_02337, Syad.g_01583
OG0000024	Prah.g_01043	Syad.g_01374
OG0000025	Prah.g_00604	Syad.g_01241
OG0000026	Prah.g_00038	Syad.g_00198
OG0000028	Prah.g_02184	Syad.g_00463
OG0000029	Prah.g_01972	Syad.g_02099
OG0000030	Prah.g_00132	Syad.g_00328
OG0000030	Prah.g_00131	Syad.g_00327
OG0000031	Prah.g_02248	Syad.g_00458
OG0000032	Prah.g_00358	Syad.g_02326
OG0000033	Prah.g_02307	Syad.g_02903, Syad.g_00289
OG0000034	Prah.g_01376	Syad.g_02420, Syad.g_02872
OG0000035	Prah.g_00408	Syad.g_02275
OG0000037	Prah.g_01901	Syad.g_02805
OG0000038	Prah.g_02494	Syad.g_03038
OG0000039	Prah.g_02382	Syad.g_01111
OG0000041	Prah.g_01737	Syad.g_02498, Syad.g_01281
OG0000042	Prah.g_00135, Prah.g_01256	Syad.g_00333
OG0000044	Prah.g_00994, Prah.g_00343	Syad.g_02214
OG0000045	Prah.g_01837	Syad.g_00964
OG0000046	Prah.g_01955	Syad.g_00730, Syad.g_00736, Syad.g_00723
OG0000047	Prah.g_00353, Prah.g_00321, Prah.g_00322	Syad.g_00754
OG0000048	Prah.g_02122	Syad.g_00534
OG0000050	Prah.g_01120	Syad.g_02478
OG0000051	Prah.g_00717	Syad.g_01967
OG0000052	Prah.g_02219	Syad.g_00434
OG0000053	Prah.g_00381	Syad.g_02302
OG0000054	Prah.g_01394	Syad.g_02209
OG0000055	Prah.g_00942	Syad.g_01255
OG0000057	Prah.g_01027	Syad.g_01301
OG0000058	Prah.g_02195	Syad.g_00452
OG0000059	Prah.g_02043	Syad.g_00642
OG0000060	Prah.g_01569	Syad.g_00899
OG0000060	Prah.g_01156	Syad.g_01508
OG0000061	Prah.g_01322	Syad.g_01152
OG0000062	Prah.g_01654	Syad.g_02598
OG0000063	Prah.g_00042	Syad.g_00202
OG0000066	Prah.g_01485	Syad.g_00992
OG0000067	Prah.g_00667, Prah.g_01826	Syad.g_01889
OG0000068	Prah.g_01576	Syad.g_00891
OG0000070	Prah.g_00252	Syad.g_02424
OG0000071	Prah.g_01364	Syad.g_02405
OG0000072	Prah.g_02309	Syad.g_02905
OG0000073	Prah.g_01544	Syad.g_00926
OG0000075	Prah.g_02232	Syad.g_00416
OG0000076	Prah.g_00150	Syad.g_00348
OG0000078	Prah.g_01773	Syad.g_00824
OG0000082	Prah.g_01427	Syad.g_01063
OG0000084	Prah.g_00412	Syad.g_02272
OG0000085	Prah.g_01666	Syad.g_02612
OG0000086	Prah.g_01866	Syad.g_02770
OG0000087	Prah.g_02268	Syad.g_02860
OG0000088	Prah.g_02304, Prah.g_00957	Syad.g_02899
OG0000089	Prah.g_00205	Syad.g_00785, Syad.g_02829
OG0000090	Prah.g_01501	Syad.g_00977
OG0000091	Prah.g_00493	Syad.g_02144
OG0000093	Prah.g_00692	Syad.g_01905
OG0000094	Prah.g_02518	Syad.g_01676
OG0000095	Prah.g_00915	Syad.g_01290
OG0000097	Prah.g_01272	Syad.g_01458
OG0000098	Prah.g_00327	Syad.g_00625
OG0000099	Prah.g_02191	Syad.g_00460
OG0000100	Prah.g_01791, Prah.g_00636	Syad.g_01846
OG0000101	Prah.g_01995	Syad.g_00694
OG0000102	Prah.g_00144	Syad.g_00343
OG0000103	Prah.g_02586	Syad.g_00143
OG0000104	Prah.g_02600	Syad.g_00158
OG0000105	Prah.g_02126	Syad.g_00530
OG0000106	Prah.g_01660	Syad.g_01993
OG0000107	Prah.g_02072	Syad.g_00590
OG0000108	Prah.g_01566	Syad.g_00904
OG0000109	Prah.g_01550	Syad.g_00919
OG0000110	Prah.g_01439	Syad.g_01048
OG0000111	Prah.g_01028	Syad.g_01300
OG0000112	Prah.g_00788	Syad.g_01766
OG0000113	Prah.g_00641	Syad.g_01851
OG0000114	Prah.g_00733	Syad.g_01617
OG0000115	Prah.g_00383	Syad.g_02300
OG0000116	Prah.g_01337	Syad.g_01123
OG0000117	Prah.g_01257	Syad.g_01510
OG0000118	Prah.g_01378	Syad.g_01104
OG0000119	Prah.g_01007, Prah.g_01048	Syad.g_01168
OG0000120	Prah.g_02192	Syad.g_00459
OG0000121	Prah.g_00406	Syad.g_02280
OG0000122	Prah.g_01203	Syad.g_02122
OG0000123	Prah.g_01987	Syad.g_00701
OG0000124	Prah.g_00125	Syad.g_00320
OG0000125	Prah.g_02498	Syad.g_03040
OG0000126	Prah.g_02598	Syad.g_00156
OG0000128	Prah.g_00013	Syad.g_00174
OG0000129	Prah.g_02486	Syad.g_03028
OG0000130	Prah.g_01838	Syad.g_02728
OG0000131	Prah.g_02282	Syad.g_02876
OG0000132	Prah.g_02302	Syad.g_02897
OG0000133	Prah.g_02187	Syad.g_01761
OG0000134	Prah.g_00208	Syad.g_00788
OG0000135	Prah.g_02538	Syad.g_00063
OG0000136	Prah.g_00235	Syad.g_02445
OG0000137	Prah.g_00312	Syad.g_02353
OG0000138	Prah.g_01549	Syad.g_00920
OG0000139	Prah.g_01495	Syad.g_00983
OG0000140	Prah.g_01489	Syad.g_00987
OG0000141	Prah.g_01393	Syad.g_02208
OG0000142	Prah.g_00501	Syad.g_02152
OG0000143	Prah.g_00497	Syad.g_02148
OG0000144	Prah.g_00473	Syad.g_02024
OG0000145	Prah.g_01543	Syad.g_00927
OG0000146	Prah.g_00787	Syad.g_01767
OG0000147	Prah.g_00786	Syad.g_01768
OG0000148	Prah.g_00649	Syad.g_01861
OG0000149	Prah.g_00591	Syad.g_01221
OG0000150	Prah.g_00568	Syad.g_02207, Syad.g_00989
OG0000151	Prah.g_00718	Syad.g_01956
OG0000152	Prah.g_00796	Syad.g_01757
OG0000153	Prah.g_00826	Syad.g_01713
OG0000154	Prah.g_00852	Syad.g_01686
OG0000155	Prah.g_01291	Syad.g_01189
OG0000156	Prah.g_01349	Syad.g_01116
OG0000157	Prah.g_01350	Syad.g_01115
OG0000158	Prah.g_02242	Syad.g_00374
OG0000160	Prah.g_00407	Syad.g_02279
OG0000161	Prah.g_00399	Syad.g_02287
OG0000162	Prah.g_00391	Syad.g_02293
OG0000163	Prah.g_01619	Syad.g_02542
OG0000164	Prah.g_01705	Syad.g_02659
OG0000165	Prah.g_01716	Syad.g_02476
OG0000166	Prah.g_02033	Syad.g_00654
OG0000167	Prah.g_02230	Syad.g_00419
OG0000168	Prah.g_02243	Syad.g_00371
OG0000169	Prah.g_00163	Syad.g_00360
OG0000170	Prah.g_00155	Syad.g_00353
OG0000171	Prah.g_00126	Syad.g_00321
OG0000172	Prah.g_00084	Syad.g_00244
OG0000173	Prah.g_00061	Syad.g_00220
OG0000174	Prah.g_02541	Syad.g_00065
OG0000175	Prah.g_02575	Syad.g_00129
OG0000176	Prah.g_00005	Syad.g_00166
OG0000177	Prah.g_00006	Syad.g_00167
OG0000178	Prah.g_00007	Syad.g_00168
OG0000179	Prah.g_00022	Syad.g_00183
OG0000180	Prah.g_00023	Syad.g_00184
OG0000181	Prah.g_00024	Syad.g_00185
OG0000182	Prah.g_00025	Syad.g_00186
OG0000183	Prah.g_00029	Syad.g_00190
OG0000184	Prah.g_02478	Syad.g_03018
OG0000185	Prah.g_02458	Syad.g_03006
OG0000186	Prah.g_01830	Syad.g_02722
OG0000187	Prah.g_01833	Syad.g_02724
OG0000188	Prah.g_01860	Syad.g_02759
OG0000189	Prah.g_01884	Syad.g_02788
OG0000190	Prah.g_01886	Syad.g_02790
OG0000191	Prah.g_00188	Syad.g_02824
OG0000192	Prah.g_00176, Prah.g_00180	Syad.g_02834
OG0000193	Prah.g_02283	Syad.g_02877
OG0000194	Prah.g_02286	Syad.g_02880
OG0000195	Prah.g_02288	Syad.g_02884
OG0000196	Prah.g_02299	Syad.g_02894
