Orthogroup	Prah	Syar
OG0000001	Prah.g_01159	Syar.g_00069
OG0000001	Prah.g_02270	Syar.g_00070
OG0000001	Prah.g_00896	Syar.g_02229
OG0000003	Prah.g_02448	Syar.g_00836
OG0000004	Prah.g_01022	Syar.g_02051
OG0000004	Prah.g_01413	Syar.g_02225, Syar.g_00842
OG0000005	Prah.g_01652	Syar.g_02909
OG0000006	Prah.g_00475, Prah.g_01767	Syar.g_02439, Syar.g_00151, Syar.g_02056, Syar.g_03013
OG0000007	Prah.g_01546	Syar.g_01491
OG0000007	Prah.g_01676	Syar.g_02929
OG0000008	Prah.g_00970	Syar.g_02097
OG0000008	Prah.g_00969	Syar.g_02098
OG0000009	Prah.g_00432, Prah.g_01895	Syar.g_03116
OG0000010	Prah.g_00311	Syar.g_01272
OG0000013	Prah.g_01956	Syar.g_03281, Syar.g_02032, Syar.g_01103, Syar.g_01106, Syar.g_03167
OG0000014	Prah.g_02171	Syar.g_00825
OG0000015	Prah.g_01155, Prah.g_00576	Syar.g_00451, Syar.g_00180
OG0000016	Prah.g_00015, Prah.g_01270	Syar.g_02859
OG0000017	Prah.g_01397	Syar.g_02180
OG0000018	Prah.g_00378	Syar.g_01409
OG0000019	Prah.g_02086	Syar.g_00163
OG0000022	Prah.g_01209	Syar.g_00835
OG0000025	Prah.g_00604	Syar.g_01811
OG0000026	Prah.g_00038	Syar.g_00505
OG0000028	Prah.g_02184	Syar.g_00718
OG0000031	Prah.g_02248	Syar.g_00714
OG0000032	Prah.g_00358	Syar.g_01390
OG0000032	Prah.g_02196	Syar.g_00543
OG0000033	Prah.g_02307	Syar.g_00105
OG0000034	Prah.g_01376	Syar.g_00074, Syar.g_02790
OG0000035	Prah.g_00408	Syar.g_02809
OG0000037	Prah.g_01901	Syar.g_02154, Syar.g_02562, Syar.g_01310, Syar.g_02856
OG0000038	Prah.g_02494	Syar.g_00334
OG0000038	Prah.g_02496	Syar.g_00336
OG0000039	Prah.g_01758	Syar.g_02827
OG0000039	Prah.g_02382	Syar.g_02151
OG0000041	Prah.g_01737	Syar.g_01370, Syar.g_02014
