Orthogroup	Prak	Syan
OG0000001	Prak.g_01302	Syan.g_02267, Syan.g_02266, Syan.g_01149, Syan.g_02528
OG0000004	Prak.g_00826	Syan.g_00183
OG0000004	Prak.g_00248	Syan.g_00989
OG0000005	Prak.g_01474	Syan.g_01378
OG0000006	Prak.g_00258	Syan.g_00791, Syan.g_00057, Syan.g_00936, Syan.g_01505, Syan.g_02101, Syan.g_02441
OG0000007	Prak.g_00458	Syan.g_02743
OG0000007	Prak.g_01645	Syan.g_01400
OG0000008	Prak.g_01544	Syan.g_00640, Syan.g_02532
OG0000008	Prak.g_01545, Prak.g_01546	Syan.g_00641, Syan.g_02531
OG0000009	Prak.g_01486	Syan.g_02972
OG0000010	Prak.g_00739, Prak.g_01034	Syan.g_02847
OG0000012	Prak.g_01506	Syan.g_01076, Syan.g_00452, Syan.g_02349, Syan.g_02485, Syan.g_00008, Syan.g_00942
OG0000013	Prak.g_00343	Syan.g_02156, Syan.g_02159, Syan.g_00101
OG0000014	Prak.g_00325	Syan.g_01987
OG0000015	Prak.g_01584, Prak.g_01630	Syan.g_01691, Syan.g_00248
OG0000016	Prak.g_00013	Syan.g_01766
OG0000016	Prak.g_01230	Syan.g_02598, Syan.g_00440
OG0000017	Prak.g_00566	Syan.g_01013
OG0000018	Prak.g_01194	Syan.g_02816
OG0000019	Prak.g_00266, Prak.g_01196	Syan.g_02088
OG0000021	Prak.g_01499, Prak.g_00831	Syan.g_01001
OG0000023	Prak.g_00721	Syan.g_00404
OG0000025	Prak.g_00881	Syan.g_00374
OG0000026	Prak.g_00032	Syan.g_01743
OG0000027	Prak.g_01521, Prak.g_01564	Syan.g_02678
OG0000028	Prak.g_01543	Syan.g_01971
OG0000030	Prak.g_01853	Syan.g_01884, Syan.g_01883
OG0000031	Prak.g_01350	Syan.g_01967
OG0000032	Prak.g_01430	Syan.g_02835
OG0000033	Prak.g_01357	Syan.g_03036
OG0000034	Prak.g_01288	Syan.g_01227, Syan.g_03003
OG0000035	Prak.g_01391	Syan.g_01279, Syan.g_01276
OG0000037	Prak.g_00115	Syan.g_00136, Syan.g_02978, Syan.g_00917
OG0000038	Prak.g_01893	Syan.g_00064, Syan.g_01569, Syan.g_01571
OG0000039	Prak.g_00814	Syan.g_02771, Syan.g_00535
OG0000041	Prak.g_01692	Syan.g_00302, Syan.g_01465
OG0000042	Prak.g_01850	Syan.g_00991, Syan.g_02643, Syan.g_01888
OG0000045	Prak.g_01216	Syan.g_00086
OG0000046	Prak.g_00344	Syan.g_02157, Syan.g_02160
OG0000048	Prak.g_01264	Syan.g_02036
OG0000052	Prak.g_00058	Syan.g_01954, Syan.g_01953
OG0000053	Prak.g_01412, Prak.g_01590	Syan.g_02812
OG0000054	Prak.g_00568	Syan.g_02503, Syan.g_00231, Syan.g_00506
OG0000055	Prak.g_01619	Syan.g_00312
OG0000057	Prak.g_00829	Syan.g_00643, Syan.g_02514, Syan.g_00186
OG0000058	Prak.g_01351	Syan.g_01964, Syan.g_01128, Syan.g_01124
OG0000059	Prak.g_01732	Syan.g_02255
OG0000061	Prak.g_01172	Syan.g_02696
OG0000062	Prak.g_01476	Syan.g_01380
OG0000063	Prak.g_01530	Syan.g_01739
OG0000064	Prak.g_00072	Syan.g_02519, Syan.g_00785, Syan.g_02518
OG0000065	Prak.g_00113	Syan.g_02974
OG0000066	Prak.g_00498, Prak.g_01557	Syan.g_01156
OG0000067	Prak.g_00845	Syan.g_00690
OG0000068	Prak.g_01329	Syan.g_00845, Syan.g_00257, Syan.g_02773
OG0000069	Prak.g_00416	Syan.g_00459, Syan.g_00278
