Orthogroup	Prak	Praj
OG0000000	Prak.g_01210	Praj.g_01099, Praj.g_01737, Praj.g_00415, Praj.g_01204, Praj.g_01274, Praj.g_01311
OG0000000	Prak.g_01562	Praj.g_00418, Praj.g_01077, Praj.g_01357, Praj.g_01730, Praj.g_01272, Praj.g_01309, Praj.g_01078, Praj.g_00417, Praj.g_01202
OG0000000	Prak.g_01209	Praj.g_01307
OG0000000	Prak.g_01563	Praj.g_01307
OG0000000	Prak.g_01209	Praj.g_01359
OG0000000	Prak.g_01563	Praj.g_01359
OG0000000	Prak.g_01209	Praj.g_01732
OG0000000	Prak.g_01563	Praj.g_01732
OG0000000	Prak.g_01578	Praj.g_01100
OG0000001	Prak.g_01302	Praj.g_01549
OG0000001	Prak.g_00755	Praj.g_00463, Praj.g_01861
OG0000002	Prak.g_00908	Praj.g_00832
OG0000002	Prak.g_01202	Praj.g_01489
OG0000002	Prak.g_01323, Prak.g_01200	Praj.g_01488
OG0000002	Prak.g_01207	Praj.g_01493, Praj.g_01487
OG0000002	Prak.g_01494	Praj.g_01492
OG0000002	Prak.g_00805	Praj.g_00670
OG0000004	Prak.g_00826	Praj.g_01396
OG0000004	Prak.g_00248	Praj.g_00271
OG0000005	Prak.g_01474	Praj.g_01712
OG0000006	Prak.g_00258	Praj.g_00282, Praj.g_01281, Praj.g_01505
OG0000007	Prak.g_00458	Praj.g_00489
OG0000007	Prak.g_01645	Praj.g_01768
OG0000008	Prak.g_01544	Praj.g_01829
OG0000008	Prak.g_01545, Prak.g_01546	Praj.g_01830
OG0000010	Prak.g_00435	Praj.g_00466
OG0000010	Prak.g_00739, Prak.g_01034	Praj.g_01026
OG0000011	Prak.g_00660	Praj.g_01323
OG0000012	Prak.g_01506	Praj.g_01066
OG0000013	Prak.g_00343	Praj.g_00362
OG0000014	Prak.g_00325	Praj.g_00341
OG0000015	Prak.g_01584, Prak.g_01630	Praj.g_01113
OG0000016	Prak.g_00013	Praj.g_00013
OG0000016	Prak.g_01230	Praj.g_01865
OG0000018	Prak.g_00873	Praj.g_00798
OG0000018	Prak.g_01194	Praj.g_01482
OG0000019	Prak.g_01196	Praj.g_00747
OG0000020	Prak.g_01527	Praj.g_01139
OG0000021	Prak.g_01499	Praj.g_01859
OG0000021	Prak.g_00831	Praj.g_00084
OG0000022	Prak.g_01482	Praj.g_01189
OG0000023	Prak.g_00721	Praj.g_01365, Praj.g_01329
OG0000024	Prak.g_01038	Praj.g_01134
OG0000024	Prak.g_00802	Praj.g_00666
OG0000025	Prak.g_00881	Praj.g_00805
OG0000026	Prak.g_00032	Praj.g_00031
OG0000027	Prak.g_01521, Prak.g_01564	Praj.g_01331
OG0000028	Prak.g_01543	Praj.g_01571
OG0000029	Prak.g_01534, Prak.g_01576	Praj.g_01745
OG0000030	Prak.g_01853	Praj.g_02024
OG0000031	Prak.g_01350	Praj.g_00371
OG0000032	Prak.g_01430	Praj.g_01669
OG0000033	Prak.g_00181, Prak.g_01357	Praj.g_00209
OG0000034	Prak.g_01288	Praj.g_01538
OG0000035	Prak.g_01391	Praj.g_01632
OG0000037	Prak.g_00115	Praj.g_00147
OG0000038	Prak.g_01893	Praj.g_02089
OG0000039	Prak.g_00814	Praj.g_00679
OG0000041	Prak.g_01692	Praj.g_01813
OG0000042	Prak.g_01850	Praj.g_02020
OG0000043	Prak.g_01193	Praj.g_01157, Praj.g_00864
OG0000045	Prak.g_01216	Praj.g_01049
OG0000046	Prak.g_00344	Praj.g_00363
OG0000047	Prak.g_00385	Praj.g_00408
OG0000048	Prak.g_01264	Praj.g_00308
OG0000051	Prak.g_00667	Praj.g_01339
OG0000052	Prak.g_00058	Praj.g_00095
OG0000053	Prak.g_01412, Prak.g_01590	Praj.g_01651
OG0000054	Prak.g_00568	Praj.g_00594
OG0000055	Prak.g_01619	Praj.g_01842
OG0000057	Prak.g_00829	Praj.g_01313, Praj.g_00691
OG0000058	Prak.g_01351	Praj.g_00839
OG0000059	Prak.g_01732	Praj.g_01892
OG0000061	Prak.g_01172	Praj.g_01461
OG0000062	Prak.g_01476	Praj.g_01714
OG0000063	Prak.g_01530	Praj.g_01867
OG0000065	Prak.g_00113	Praj.g_00145
OG0000066	Prak.g_00498, Prak.g_01557	Praj.g_00530
OG0000067	Prak.g_00845	Praj.g_00769
OG0000068	Prak.g_01329	Praj.g_01575
OG0000069	Prak.g_00416	Praj.g_01675
OG0000070	Prak.g_00412	Praj.g_00444
OG0000071	Prak.g_01277	Praj.g_01528
OG0000072	Prak.g_00183	Praj.g_00211
OG0000073	Prak.g_00461	Praj.g_00491
OG0000074	Prak.g_00750	Praj.g_00870
OG0000074	Prak.g_00713	Praj.g_01060
OG0000075	Prak.g_01816	Praj.g_01987
OG0000076	Prak.g_01842	Praj.g_02012
OG0000077	Prak.g_00083	Praj.g_00116
OG0000078	Prak.g_00256	Praj.g_00280
OG0000079	Prak.g_00269	Praj.g_00291
OG0000081	Prak.g_00490	Praj.g_00522
OG0000082	Prak.g_01634	Praj.g_01827
OG0000084	Prak.g_01388	Praj.g_01628
OG0000085	Prak.g_01516, Prak.g_01637	Praj.g_01762
