Orthogroup	Prak	Praw
OG0000000	Prak.g_01562	Praw.g_01780, Praw.g_00494, Praw.g_00455, Praw.g_00893, Praw.g_00974
OG0000001	Prak.g_01302	Praw.g_01000
OG0000002	Prak.g_00908, Prak.g_00913	Praw.g_01009
OG0000002	Prak.g_01202, Prak.g_01323, Prak.g_01200, Prak.g_01207, Prak.g_01494, Prak.g_00805	Praw.g_01844
OG0000004	Prak.g_00826	Praw.g_01827
OG0000004	Prak.g_00248	Praw.g_01203
OG0000005	Prak.g_01474	Praw.g_00413
OG0000006	Prak.g_00258	Praw.g_01950
OG0000007	Prak.g_00458	Praw.g_00651
OG0000007	Prak.g_01645	Praw.g_00515
OG0000008	Prak.g_01544	Praw.g_00501
OG0000008	Prak.g_01545, Prak.g_01546	Praw.g_00502
OG0000010	Prak.g_00435	Praw.g_00673
OG0000010	Prak.g_00739, Prak.g_01034	Praw.g_01460
OG0000012	Prak.g_00584, Prak.g_01506	Praw.g_00159
OG0000013	Prak.g_00343	Praw.g_00807
OG0000014	Prak.g_00325	Praw.g_00828
OG0000015	Prak.g_01584, Prak.g_01630	Praw.g_01738
OG0000016	Prak.g_01230	Praw.g_01415, Praw.g_00484
OG0000017	Prak.g_00559, Prak.g_00566	Praw.g_01944
OG0000018	Prak.g_00873	Praw.g_01670
OG0000018	Prak.g_01194	Praw.g_00215
OG0000019	Prak.g_00266	Praw.g_00884
OG0000019	Prak.g_01196	Praw.g_01717
OG0000020	Prak.g_01527	Praw.g_00483
OG0000021	Prak.g_01499, Prak.g_00831	Praw.g_00479, Praw.g_00767
OG0000022	Prak.g_01482	Praw.g_01746
OG0000023	Prak.g_00721	Praw.g_00772
OG0000024	Prak.g_01038	Praw.g_01763
OG0000024	Prak.g_00802	Praw.g_01847
OG0000025	Prak.g_00881	Praw.g_00803, Praw.g_01664
OG0000026	Prak.g_00032	Praw.g_01397, Praw.g_01453
OG0000027	Prak.g_01521, Prak.g_01564	Praw.g_00677, Praw.g_00492, Praw.g_00962
OG0000028	Prak.g_01543	Praw.g_00334
OG0000029	Prak.g_01534, Prak.g_01576	Praw.g_01755
OG0000030	Prak.g_01853	Praw.g_00029
OG0000031	Prak.g_01350	Praw.g_01073
OG0000034	Prak.g_01288	Praw.g_00991
OG0000035	Prak.g_01391	Praw.g_01081, Praw.g_01083
OG0000037	Prak.g_00115	Praw.g_01326
OG0000038	Prak.g_01893	Praw.g_01182
OG0000039	Prak.g_00814	Praw.g_01836
OG0000041	Prak.g_01692	Praw.g_00562
OG0000042	Prak.g_01850	Praw.g_00032
OG0000043	Prak.g_01193	Praw.g_01627
OG0000048	Prak.g_01264, Prak.g_00289	Praw.g_00504, Praw.g_00758
OG0000052	Prak.g_01369	Praw.g_01071
OG0000053	Prak.g_01412, Prak.g_01590	Praw.g_00357
OG0000054	Prak.g_00568	Praw.g_00142
OG0000055	Prak.g_01221, Prak.g_01619	Praw.g_01716
OG0000057	Prak.g_00829	Praw.g_01824
OG0000058	Prak.g_01351	Praw.g_01055
OG0000059	Prak.g_01732	Praw.g_01894
OG0000061	Prak.g_01172	Praw.g_00234
OG0000062	Prak.g_01476	Praw.g_00415
OG0000065	Prak.g_00113	Praw.g_01328
OG0000066	Prak.g_00498, Prak.g_01557	Praw.g_00609
OG0000067	Prak.g_00845	Praw.g_01697
OG0000068	Prak.g_01329	Praw.g_01016
OG0000069	Prak.g_00416	Praw.g_00448
OG0000070	Prak.g_00412	Praw.g_00697
OG0000071	Prak.g_01277	Praw.g_00981
OG0000072	Prak.g_00183	Praw.g_01264
OG0000073	Prak.g_00461	Praw.g_00649
OG0000074	Prak.g_00809, Prak.g_00750, Prak.g_00713	Praw.g_01840
OG0000075	Prak.g_01816	Praw.g_00064
OG0000076	Prak.g_01842	Praw.g_00039
OG0000077	Prak.g_00083	Praw.g_01356
OG0000078	Prak.g_00256	Praw.g_01196
OG0000081	Prak.g_00490	Praw.g_00617
OG0000082	Prak.g_00546, Prak.g_01634	Praw.g_01932
OG0000084	Prak.g_01388	Praw.g_01087
OG0000085	Prak.g_01516, Prak.g_01637	Praw.g_00508
OG0000086	Prak.g_00092	Praw.g_01346
OG0000087	Prak.g_00147	Praw.g_01296
OG0000088	Prak.g_00178	Praw.g_01269
OG0000089	Prak.g_00379	Praw.g_00776
OG0000090	Prak.g_00492	Praw.g_00615
OG0000091	Prak.g_01100	Praw.g_01880
OG0000092	Prak.g_00775	Praw.g_01592
OG0000093	Prak.g_01071	Praw.g_01571
OG0000094	Prak.g_01022	Praw.g_01486
OG0000095	Prak.g_00920	Praw.g_01467
OG0000096	Prak.g_00702	Praw.g_00482, Praw.g_00184, Praw.g_00945
OG0000097	Prak.g_01126	Praw.g_00275
OG0000098	Prak.g_01305	Praw.g_00997
OG0000099	Prak.g_01352	Praw.g_01051
OG0000100	Prak.g_01470	Praw.g_00411
OG0000101	Prak.g_01780	Praw.g_00096
OG0000102	Prak.g_01847	Praw.g_00034
OG0000103	Prak.g_01932	Praw.g_01148
OG0000104	Prak.g_01941	Praw.g_01140
OG0000105	Prak.g_00292	Praw.g_00860
OG0000106	Prak.g_00687	Praw.g_00762
OG0000107	Prak.g_01709	Praw.g_00748
OG0000108	Prak.g_00441	Praw.g_00667
OG0000109	Prak.g_00455	Praw.g_00654
OG0000110	Prak.g_00535	Praw.g_01922
OG0000111	Prak.g_00830	Praw.g_01823
OG0000112	Prak.g_00608	Praw.g_01732
OG0000113	Prak.g_00868	Praw.g_01675
OG0000114	Prak.g_00770	Praw.g_01597
OG0000115	Prak.g_01241	Praw.g_00178
OG0000116	Prak.g_01183	Praw.g_00224
OG0000117	Prak.g_01145	Praw.g_00926
OG0000118	Prak.g_01290	Praw.g_00993
OG0000119	Prak.g_01226, Prak.g_01488	Praw.g_01012
OG0000120	Prak.g_01349	Praw.g_01050
OG0000121	Prak.g_01393	Praw.g_01078
OG0000122	Prak.g_01248, Prak.g_01434	Praw.g_00377
OG0000123	Prak.g_01787	Praw.g_00089
OG0000124	Prak.g_01859	Praw.g_00023
OG0000125	Prak.g_01895	Praw.g_01180
OG0000126	Prak.g_01940	Praw.g_01141
