Orthogroup	Prak	Syaf
OG0000001	Prak.g_01302	Syaf.g_01640, Syaf.g_00846, Syaf.g_00845, Syaf.g_01634
OG0000004	Prak.g_00826	Syaf.g_01455
OG0000004	Prak.g_00248	Syaf.g_02351, Syaf.g_02794
OG0000005	Prak.g_01474	Syaf.g_01057
OG0000006	Prak.g_00258	Syaf.g_02288, Syaf.g_00179, Syaf.g_02778
OG0000007	Prak.g_00458	Syaf.g_02702
OG0000007	Prak.g_01645	Syaf.g_01033
OG0000008	Prak.g_01544	Syaf.g_01479
OG0000008	Prak.g_01545, Prak.g_01546	Syaf.g_01480
OG0000010	Prak.g_00739, Prak.g_01034	Syaf.g_02499
OG0000013	Prak.g_00343	Syaf.g_00056, Syaf.g_00044, Syaf.g_00061
OG0000014	Prak.g_00325	Syaf.g_00280
OG0000015	Prak.g_01584, Prak.g_01630	Syaf.g_02120, Syaf.g_02121
OG0000016	Prak.g_00013	Syaf.g_00484
OG0000016	Prak.g_01230	Syaf.g_01576, Syaf.g_01713
OG0000017	Prak.g_00559	Syaf.g_02561
OG0000017	Prak.g_00566	Syaf.g_02554
OG0000018	Prak.g_01194	Syaf.g_02451
OG0000019	Prak.g_00266, Prak.g_01196	Syaf.g_00193
OG0000020	Prak.g_01498, Prak.g_01527	Syaf.g_02187
OG0000021	Prak.g_01499, Prak.g_00831	Syaf.g_02773
OG0000023	Prak.g_00721	Syaf.g_01765, Syaf.g_01987, Syaf.g_01731, Syaf.g_01995
OG0000024	Prak.g_01038, Prak.g_00802	Syaf.g_01484
OG0000025	Prak.g_00881	Syaf.g_01385
OG0000026	Prak.g_00032	Syaf.g_00461
OG0000027	Prak.g_01521, Prak.g_01564	Syaf.g_02284, Syaf.g_01688
OG0000028	Prak.g_01543	Syaf.g_00297
OG0000029	Prak.g_01534, Prak.g_01576, Prak.g_01735	Syaf.g_01761
OG0000030	Prak.g_01853	Syaf.g_00406, Syaf.g_00407
OG0000031	Prak.g_01350	Syaf.g_00314, Syaf.g_01143
OG0000032	Prak.g_01430	Syaf.g_02471
OG0000033	Prak.g_01357	Syaf.g_00807
OG0000034	Prak.g_01288	Syaf.g_01241, Syaf.g_00837
OG0000035	Prak.g_01391	Syaf.g_02412
OG0000037	Prak.g_00115	Syaf.g_00899
OG0000038	Prak.g_01893	Syaf.g_00642
OG0000039	Prak.g_00814	Syaf.g_01395
OG0000041	Prak.g_01692	Syaf.g_01171, Syaf.g_01414
OG0000042	Prak.g_01850	Syaf.g_00403
OG0000043	Prak.g_01193	Syaf.g_01747
OG0000046	Prak.g_00344	Syaf.g_00055, Syaf.g_00045, Syaf.g_00062
OG0000047	Prak.g_00385	Syaf.g_00030
OG0000048	Prak.g_01264	Syaf.g_00230
OG0000051	Prak.g_00667	Syaf.g_00972
OG0000052	Prak.g_00058	Syaf.g_00335
OG0000053	Prak.g_01412, Prak.g_01590	Syaf.g_02447
OG0000054	Prak.g_00568	Syaf.g_02376
OG0000057	Prak.g_00829	Syaf.g_01665, Syaf.g_01452
OG0000058	Prak.g_01351	Syaf.g_00316
OG0000059	Prak.g_01732	Syaf.g_00143
OG0000061	Prak.g_01172	Syaf.g_01288
OG0000062	Prak.g_01476	Syaf.g_01055
OG0000063	Prak.g_01530	Syaf.g_00457
OG0000064	Prak.g_00072	Syaf.g_01063, Syaf.g_02253, Syaf.g_01667
OG0000065	Prak.g_00113	Syaf.g_00903
OG0000066	Prak.g_00498, Prak.g_01557	Syaf.g_02643
OG0000067	Prak.g_00845	Syaf.g_02049
OG0000068	Prak.g_01329	Syaf.g_02733
OG0000070	Prak.g_00412	Syaf.g_01237
OG0000071	Prak.g_01277	Syaf.g_01254
OG0000072	Prak.g_00183	Syaf.g_00805
OG0000073	Prak.g_00461	Syaf.g_02700
OG0000075	Prak.g_01816	Syaf.g_00353
OG0000076	Prak.g_01842	Syaf.g_00388
OG0000077	Prak.g_00083	Syaf.g_00951
OG0000078	Prak.g_00256	Syaf.g_02782
OG0000079	Prak.g_00269	Syaf.g_00197
OG0000081	Prak.g_00490	Syaf.g_02776
OG0000082	Prak.g_00546, Prak.g_01634	Syaf.g_02576
OG0000084	Prak.g_01388	Syaf.g_02409
OG0000085	Prak.g_01516, Prak.g_01637	Syaf.g_01048
OG0000086	Prak.g_00092	Syaf.g_00932
OG0000087	Prak.g_00147	Syaf.g_00848
OG0000088	Prak.g_00178	Syaf.g_00811
OG0000089	Prak.g_00379	Syaf.g_02807
OG0000090	Prak.g_00492	Syaf.g_02654
OG0000091	Prak.g_01100	Syaf.g_02302
OG0000093	Prak.g_01071	Syaf.g_02065
OG0000094	Prak.g_01022	Syaf.g_01940
OG0000095	Prak.g_00920	Syaf.g_01442
