Orthogroup	Prbm	Prab
OG0000000	Prbm.g_00712, Prbm.g_01578, Prbm.g_01577, Prbm.g_01582, Prbm.g_01576, Prbm.g_01581	Prab.g_00683
OG0000002	Prbm.g_00496, Prbm.g_01940	Prab.g_00788, Prab.g_01279, Prab.g_01281
OG0000003	Prbm.g_01140, Prbm.g_00433, Prbm.g_01231, Prbm.g_01384, Prbm.g_01313, Prbm.g_01814	Prab.g_01308
OG0000004	Prbm.g_01436, Prbm.g_01988, Prbm.g_00081	Prab.g_00921, Prab.g_00747, Prab.g_01307
OG0000005	Prbm.g_01406, Prbm.g_00435, Prbm.g_01116, Prbm.g_01808, Prbm.g_01407, Prbm.g_01117, Prbm.g_01229, Prbm.g_01382, Prbm.g_00436	Prab.g_00760
OG0000006	Prbm.g_00522	Prab.g_00501
OG0000006	Prbm.g_01841	Prab.g_01669
OG0000008	Prbm.g_00463	Prab.g_00372
OG0000009	Prbm.g_00792	Prab.g_00820
OG0000010	Prbm.g_01359	Prab.g_01596, Prab.g_01165
OG0000011	Prbm.g_00390	Prab.g_00318
OG0000012	Prbm.g_00635	Prab.g_00602
OG0000013	Prbm.g_01427, Prbm.g_01149	Prab.g_00789
OG0000015	Prbm.g_01415, Prbm.g_01164	Prab.g_00370
OG0000016	Prbm.g_01653	Prab.g_01356
OG0000017	Prbm.g_01729	Prab.g_01486
OG0000018	Prbm.g_00302, Prbm.g_01236, Prbm.g_01588	Prab.g_00231
OG0000020	Prbm.g_00329	Prab.g_00411, Prab.g_00363
OG0000021	Prbm.g_01091, Prbm.g_01262, Prbm.g_01017, Prbm.g_01016	Prab.g_00822
OG0000022	Prbm.g_01115, Prbm.g_01408, Prbm.g_00437, Prbm.g_01228, Prbm.g_01312, Prbm.g_01381	Prab.g_00915, Prab.g_01617
OG0000023	Prbm.g_01400, Prbm.g_01235	Prab.g_01584
OG0000024	Prbm.g_00362, Prbm.g_02126	Prab.g_00294
OG0000025	Prbm.g_00118, Prbm.g_01485	Prab.g_01635, Prab.g_00394
OG0000026	Prbm.g_01947	Prab.g_00033
OG0000027	Prbm.g_01124, Prbm.g_01110, Prbm.g_01445, Prbm.g_01461	Prab.g_00719
OG0000028	Prbm.g_01710	Prab.g_01466
OG0000029	Prbm.g_00772, Prbm.g_01414, Prbm.g_01387, Prbm.g_01753	Prab.g_01585
OG0000030	Prbm.g_00528	Prab.g_01280
OG0000031	Prbm.g_01276	Prab.g_01643
OG0000032	Prbm.g_01627, Prbm.g_00392, Prbm.g_00391, Prbm.g_00393	Prab.g_01446
OG0000033	Prbm.g_00013	Prab.g_00013
OG0000033	Prbm.g_01944	Prab.g_01579
OG0000035	Prbm.g_01482	Prab.g_01082
OG0000036	Prbm.g_01900	Prab.g_00589
OG0000037	Prbm.g_01106	Prab.g_00627
OG0000038	Prbm.g_01204	Prab.g_00782
OG0000039	Prbm.g_00225	Prab.g_00157
OG0000040	Prbm.g_01444, Prbm.g_01297, Prbm.g_01284	Prab.g_00348
OG0000041	Prbm.g_01351	Prab.g_00405
