Orthogroup	Prbm	Prak
OG0000000	Prbm.g_00874	Prak.g_00908
OG0000000	Prbm.g_00712	Prak.g_00805
OG0000000	Prbm.g_01578	Prak.g_01202
OG0000000	Prbm.g_01577	Prak.g_01323, Prak.g_01200
OG0000000	Prbm.g_01582, Prbm.g_01576	Prak.g_01207
OG0000000	Prbm.g_01581	Prak.g_01494
OG0000001	Prbm.g_01141	Prak.g_01578
OG0000001	Prbm.g_01119	Prak.g_01209
OG0000001	Prbm.g_01404	Prak.g_01209
OG0000001	Prbm.g_01810	Prak.g_01209
OG0000001	Prbm.g_01119	Prak.g_01563
OG0000001	Prbm.g_01404	Prak.g_01563
OG0000001	Prbm.g_01810	Prak.g_01563
OG0000002	Prbm.g_01633	Prak.g_01302
OG0000002	Prbm.g_00496, Prbm.g_01940	Prak.g_00755
OG0000003	Prbm.g_01140, Prbm.g_00433, Prbm.g_01231, Prbm.g_01384, Prbm.g_01313, Prbm.g_01814	Prak.g_01210
OG0000004	Prbm.g_01436, Prbm.g_01988, Prbm.g_00081	Prak.g_01251
OG0000005	Prbm.g_01406, Prbm.g_00435, Prbm.g_01116, Prbm.g_01808, Prbm.g_01407, Prbm.g_01117, Prbm.g_01229, Prbm.g_01382, Prbm.g_00436	Prak.g_01562
OG0000006	Prbm.g_00522	Prak.g_00458
OG0000006	Prbm.g_01841	Prak.g_01645
OG0000007	Prbm.g_01907	Prak.g_01544
OG0000007	Prbm.g_01908	Prak.g_01545, Prak.g_01546
OG0000009	Prbm.g_00792	Prak.g_01196
OG0000010	Prbm.g_01359	Prak.g_00702
OG0000011	Prbm.g_00428	Prak.g_00385
OG0000012	Prbm.g_00635	Prak.g_00566
OG0000013	Prbm.g_01427, Prbm.g_01149	Prak.g_01584, Prak.g_01630
OG0000015	Prbm.g_01415	Prak.g_01573, Prak.g_01606
OG0000016	Prbm.g_01653	Prak.g_01226, Prak.g_01488
OG0000017	Prbm.g_01729	Prak.g_01412, Prak.g_01590
OG0000018	Prbm.g_00302, Prbm.g_01236, Prbm.g_01588	Prak.g_00258
OG0000020	Prbm.g_00329	Prak.g_01264, Prak.g_00289
OG0000021	Prbm.g_01091	Prak.g_01627
