Orthogroup	Prba	Syaf
OG0000001	Prba.g_00211	Syaf.g_01640, Syaf.g_00846, Syaf.g_00845, Syaf.g_01634
OG0000004	Prba.g_01622	Syaf.g_01455
OG0000004	Prba.g_00451	Syaf.g_02351, Syaf.g_02794
OG0000005	Prba.g_00607	Syaf.g_01017
OG0000005	Prba.g_00312	Syaf.g_01057
OG0000006	Prba.g_00460	Syaf.g_02288, Syaf.g_00179, Syaf.g_02778
OG0000007	Prba.g_00964	Syaf.g_02702
OG0000007	Prba.g_00226	Syaf.g_01033
OG0000008	Prba.g_01131	Syaf.g_01479
OG0000009	Prba.g_01893	Syaf.g_00905
OG0000010	Prba.g_01256	Syaf.g_02499
OG0000011	Prba.g_00900, Prba.g_01165	Syaf.g_01532
OG0000011	Prba.g_01132	Syaf.g_01483
OG0000012	Prba.g_01694	Syaf.g_01353, Syaf.g_01833, Syaf.g_01462, Syaf.g_01693
OG0000013	Prba.g_00543	Syaf.g_00056, Syaf.g_00044, Syaf.g_00061
OG0000014	Prba.g_00522	Syaf.g_00280
OG0000015	Prba.g_01538	Syaf.g_02120, Syaf.g_02121
OG0000016	Prba.g_01806	Syaf.g_00484
OG0000017	Prba.g_01719	Syaf.g_02561, Syaf.g_02554
OG0000018	Prba.g_00083	Syaf.g_02451
OG0000019	Prba.g_00468, Prba.g_01519	Syaf.g_00193
OG0000020	Prba.g_00737	Syaf.g_02187
OG0000021	Prba.g_00245, Prba.g_00858	Syaf.g_01726, Syaf.g_02773
OG0000022	Prba.g_00101	Syaf.g_02256
OG0000023	Prba.g_00854	Syaf.g_01765, Syaf.g_01987, Syaf.g_01731, Syaf.g_01995
OG0000024	Prba.g_01558, Prba.g_01642	Syaf.g_01484
OG0000025	Prba.g_00547, Prba.g_01464	Syaf.g_01385
OG0000026	Prba.g_01824, Prba.g_01249	Syaf.g_00461
OG0000027	Prba.g_00991, Prba.g_01175	Syaf.g_02284, Syaf.g_01688
OG0000028	Prba.g_01126, Prba.g_00536	Syaf.g_00297
OG0000029	Prba.g_01551, Prba.g_00869	Syaf.g_01761
OG0000030	Prba.g_00778	Syaf.g_00406, Syaf.g_00407
OG0000031	Prba.g_00173	Syaf.g_00314, Syaf.g_01143
OG0000034	Prba.g_01202	Syaf.g_01241, Syaf.g_00837
OG0000035	Prba.g_00713	Syaf.g_02412
OG0000037	Prba.g_01897	Syaf.g_00899
OG0000038	Prba.g_00819	Syaf.g_00642
OG0000039	Prba.g_01631	Syaf.g_01395
OG0000040	Prba.g_00084	Syaf.g_00558
OG0000042	Prba.g_00775	Syaf.g_00403
OG0000044	Prba.g_00002	Syaf.g_01358, Syaf.g_01992, Syaf.g_01400
OG0000045	Prba.g_00865	Syaf.g_00979
OG0000047	Prba.g_00546, Prba.g_00913	Syaf.g_00030
OG0000048	Prba.g_00868	Syaf.g_00230
OG0000050	Prba.g_00899	Syaf.g_01770
OG0000053	Prba.g_00693	Syaf.g_02447
OG0000054	Prba.g_01711	Syaf.g_02376
OG0000055	Prba.g_01518	Syaf.g_01402
OG0000057	Prba.g_01619	Syaf.g_01665, Syaf.g_01452
OG0000058	Prba.g_00153	Syaf.g_00316
OG0000059	Prba.g_00381	Syaf.g_00143
OG0000061	Prba.g_00064	Syaf.g_01288
OG0000062	Prba.g_00310	Syaf.g_01055
OG0000063	Prba.g_01826	Syaf.g_00457
OG0000065	Prba.g_01895	Syaf.g_00903
OG0000066	Prba.g_00922	Syaf.g_02643
OG0000067	Prba.g_01499	Syaf.g_02049
OG0000068	Prba.g_00196	Syaf.g_02733
OG0000070	Prba.g_01011	Syaf.g_01237
OG0000071	Prba.g_01192	Syaf.g_01254
OG0000072	Prba.g_00627	Syaf.g_00805
OG0000073	Prba.g_00962	Syaf.g_02700
OG0000075	Prba.g_01071	Syaf.g_00353
OG0000076	Prba.g_00768	Syaf.g_00388
OG0000077	Prba.g_01866	Syaf.g_00951
OG0000078	Prba.g_00458	Syaf.g_02782
OG0000079	Prba.g_00471	Syaf.g_00197
OG0000081	Prba.g_00930	Syaf.g_02776
OG0000082	Prba.g_01731	Syaf.g_02576
OG0000084	Prba.g_00717	Syaf.g_02409
OG0000085	Prba.g_00233	Syaf.g_01048
OG0000086	Prba.g_01876	Syaf.g_00932
OG0000087	Prba.g_01927	Syaf.g_00848
OG0000088	Prba.g_00622	Syaf.g_00811
OG0000089	Prba.g_00850	Syaf.g_02807
OG0000090	Prba.g_00928	Syaf.g_02654
OG0000091	Prba.g_01675	Syaf.g_02302
OG0000093	Prba.g_01369	Syaf.g_02065
OG0000094	Prba.g_01283	Syaf.g_01940
OG0000095	Prba.g_01264	Syaf.g_01442
OG0000097	Prba.g_00022	Syaf.g_01574
OG0000098	Prba.g_00214	Syaf.g_01637
OG0000099	Prba.g_00155	Syaf.g_00312
OG0000100	Prba.g_00314	Syaf.g_02017
OG0000101	Prba.g_00429	Syaf.g_00093
OG0000102	Prba.g_00773	Syaf.g_00393
OG0000103	Prba.g_01781	Syaf.g_00520
OG0000104	Prba.g_01789	Syaf.g_00502
OG0000105	Prba.g_00491	Syaf.g_00235
OG0000106	Prba.g_00864	Syaf.g_01745
OG0000107	Prba.g_00880	Syaf.g_00177, Syaf.g_00758
OG0000108	Prba.g_00981	Syaf.g_02721
OG0000109	Prba.g_00967	Syaf.g_02706
OG0000110	Prba.g_01741	Syaf.g_02589
OG0000111	Prba.g_01618	Syaf.g_01451
OG0000112	Prba.g_01534	Syaf.g_01852
OG0000113	Prba.g_01477	Syaf.g_02022
OG0000114	Prba.g_01395	Syaf.g_02103
OG0000115	Prba.g_00743	Syaf.g_02445
OG0000116	Prba.g_00074	Syaf.g_01276
OG0000117	Prba.g_01135	Syaf.g_01605
OG0000118	Prba.g_01204	Syaf.g_02544
OG0000120	Prba.g_00175	Syaf.g_00313
OG0000121	Prba.g_00711	Syaf.g_02419
OG0000123	Prba.g_00436	Syaf.g_00086
OG0000124	Prba.g_00784	Syaf.g_00414
OG0000125	Prba.g_01089, Prba.g_00821	Syaf.g_00640
OG0000126	Prba.g_01788	Syaf.g_00504
OG0000127	Prba.g_01118	Syaf.g_01541, Syaf.g_01151
OG0000128	Prba.g_01804	Syaf.g_00486
OG0000129	Prba.g_01838	Syaf.g_00651
OG0000130	Prba.g_01857	Syaf.g_00963
OG0000131	Prba.g_01933	Syaf.g_00833
OG0000132	Prba.g_01952	Syaf.g_00813
OG0000133	Prba.g_00538	Syaf.g_01857
OG0000134	Prba.g_00851	Syaf.g_02804
OG0000135	Prba.g_00877	Syaf.g_00605
OG0000136	Prba.g_01020	Syaf.g_01224
OG0000137	Prba.g_00986	Syaf.g_02498
OG0000138	Prba.g_00966	Syaf.g_02705
OG0000139	Prba.g_00924	Syaf.g_02648
OG0000140	Prba.g_00923	Syaf.g_02646
OG0000141	Prba.g_01710	Syaf.g_02375
OG0000142	Prba.g_01682	Syaf.g_02310
OG0000143	Prba.g_01678	Syaf.g_02306
OG0000144	Prba.g_01665	Syaf.g_01735
OG0000145	Prba.g_01541	Syaf.g_02699
OG0000146	Prba.g_01533	Syaf.g_01851
OG0000147	Prba.g_01532	Syaf.g_01850
OG0000148	Prba.g_01483	Syaf.g_02028
OG0000149	Prba.g_01452	Syaf.g_01371
OG0000150	Prba.g_01444	Syaf.g_02645
OG0000151	Prba.g_01385	Syaf.g_02091
OG0000152	Prba.g_01337	Syaf.g_01861
OG0000153	Prba.g_01318	Syaf.g_01904
OG0000154	Prba.g_01290	Syaf.g_01930
OG0000155	Prba.g_00043	Syaf.g_01324
OG0000156	Prba.g_01181	Syaf.g_01270
OG0000157	Prba.g_01182	Syaf.g_01269
OG0000158	Prba.g_00154	Syaf.g_00364
OG0000160	Prba.g_00712	Syaf.g_02418
OG0000161	Prba.g_00706	Syaf.g_02424
OG0000162	Prba.g_00700	Syaf.g_02431
OG0000163	Prba.g_00341	Syaf.g_01105
OG0000164	Prba.g_00596	Syaf.g_00999
OG0000165	Prba.g_00589	Syaf.g_01197
OG0000166	Prba.g_00393	Syaf.g_00133
OG0000167	Prba.g_01069	Syaf.g_00350
OG0000168	Prba.g_01079	Syaf.g_00365
OG0000169	Prba.g_00761	Syaf.g_00376
OG0000170	Prba.g_00763	Syaf.g_00383
OG0000171	Prba.g_00783	Syaf.g_00413
OG0000172	Prba.g_00792	Syaf.g_00419
OG0000173	Prba.g_00807	Syaf.g_00438
OG0000174	Prba.g_00835	Syaf.g_00603
OG0000175	Prba.g_00845	Syaf.g_00531
OG0000176	Prba.g_01797	Syaf.g_00494
OG0000177	Prba.g_01798	Syaf.g_00493
OG0000178	Prba.g_01799	Syaf.g_00492
OG0000179	Prba.g_01809	Syaf.g_00477
OG0000180	Prba.g_01810	Syaf.g_00476
OG0000181	Prba.g_01811	Syaf.g_00475
OG0000182	Prba.g_01812	Syaf.g_00474
OG0000183	Prba.g_01816	Syaf.g_00470
OG0000184	Prba.g_01840	Syaf.g_00664
OG0000185	Prba.g_01843	Syaf.g_00684
OG0000186	Prba.g_01852	Syaf.g_00968
OG0000187	Prba.g_01853	Syaf.g_00966
OG0000188	Prba.g_01870	Syaf.g_00944
OG0000189	Prba.g_01884	Syaf.g_00916
OG0000190	Prba.g_01885	Syaf.g_00914
OG0000191	Prba.g_01905	Syaf.g_00877
OG0000192	Prba.g_01909	Syaf.g_00871
OG0000193	Prba.g_01934	Syaf.g_00832
OG0000194	Prba.g_01937	Syaf.g_00829
