Orthogroup	Prba	Prag
OG0000000	Prba.g_01174	Prag.g_01647, Prag.g_00719, Prag.g_01335
OG0000000	Prba.g_00269	Prag.g_01608
OG0000000	Prba.g_00003	Prag.g_01213
OG0000000	Prba.g_00270	Prag.g_01213
OG0000000	Prba.g_00003	Prag.g_01607
OG0000000	Prba.g_00270	Prag.g_01607
OG0000000	Prba.g_00003	Prag.g_01650
OG0000000	Prba.g_00270	Prag.g_01650
OG0000000	Prba.g_01172	Prag.g_01333
OG0000000	Prba.g_00268	Prag.g_01649, Prag.g_01610
OG0000001	Prba.g_00211	Prag.g_01374
OG0000001	Prba.g_01080	Prag.g_01216, Prag.g_01215
OG0000002	Prba.g_00203	Prag.g_01382
OG0000002	Prba.g_01639	Prag.g_00656
OG0000004	Prba.g_01622	Prag.g_00673
OG0000004	Prba.g_00451	Prag.g_00225
OG0000005	Prba.g_00607	Prag.g_01682
OG0000005	Prba.g_00312	Prag.g_01566
OG0000006	Prba.g_00460	Prag.g_00234, Prag.g_01231
OG0000007	Prba.g_00964	Prag.g_00476
OG0000007	Prba.g_00226	Prag.g_01669
OG0000008	Prba.g_01131	Prag.g_01655
OG0000008	Prba.g_01645	Prag.g_00650
OG0000009	Prba.g_00276	Prag.g_01600
OG0000009	Prba.g_01893	Prag.g_00098
OG0000010	Prba.g_00987	Prag.g_00453
OG0000010	Prba.g_01256	Prag.g_01043
OG0000011	Prba.g_01165	Prag.g_01326
OG0000012	Prba.g_01694	Prag.g_00601
OG0000013	Prba.g_00543	Prag.g_00318
OG0000014	Prba.g_00522	Prag.g_00297
OG0000015	Prba.g_01538	Prag.g_00765
OG0000016	Prba.g_01806	Prag.g_00013
OG0000017	Prba.g_01719	Prag.g_00576
OG0000018	Prba.g_01472	Prag.g_00833
OG0000018	Prba.g_00083	Prag.g_01134
OG0000019	Prba.g_00468	Prag.g_00242
OG0000019	Prba.g_01519	Prag.g_00786
OG0000020	Prba.g_00737	Prag.g_01100
OG0000021	Prba.g_00245	Prag.g_01633
OG0000021	Prba.g_00858	Prag.g_00359
OG0000022	Prba.g_00101	Prag.g_01116
OG0000022	Prba.g_01543	Prag.g_00757
OG0000023	Prba.g_00854	Prag.g_00354
OG0000024	Prba.g_01558	Prag.g_00740
OG0000024	Prba.g_01642	Prag.g_00653
OG0000025	Prba.g_00547	Prag.g_00322
OG0000025	Prba.g_01464	Prag.g_00839
OG0000026	Prba.g_01824	Prag.g_00031
OG0000026	Prba.g_01249	Prag.g_01050
