Orthogroup	Prak	Other
OG0000033	Prak.g_01357	Syaa.g_00485
OG0000033	Prak.g_01357	Praf.g_02707, Praf.g_00098, Praf.g_00117
OG0000033	Prak.g_01357	Syah.g_00211
OG0000033	Prak.g_01357	Syag.g_02481
OG0000033	Prak.g_01357	Syad.g_00289
OG0000099	Prak.g_01352	Syai.g_00151
OG0000120	Prak.g_01349	Pras.g_00330
OG0000138	Prak.g_00456	Syaj.g_02631
OG0000148	Prak.g_00862	Syab.g_01683
OG0000148	Prak.g_00862	Syaj.g_01002
OG0000217	Prak.g_00316	Prar.g_01154
OG0000323	Prak.g_01672	Syas.g_00159
OG0000390	Prak.g_00121	Prad.g_00011
OG0000771	Prak.g_01487	Prau.g_01496
