Orthogroup	Pral	Other
OG0000092	Pral.g_01244	Prbc.g_01110, Prbc.g_00263
OG0000099	Pral.g_01201	Syai.g_00151
OG0000117	Pral.g_01881	Prad.g_01214
OG0000117	Pral.g_01881	Pras.g_00150
OG0000117	Pral.g_01881	Prau.g_01318
OG0000117	Pral.g_01881	Prax.g_01959
OG0000117	Pral.g_01881	Prbi.g_01330
OG0000117	Pral.g_01881	Prae.g_01263
OG0000117	Pral.g_01881	Prbd.g_01895
OG0000117	Pral.g_01881	Praa.g_01255
OG0000117	Pral.g_01881	Prai.g_01273
OG0000117	Pral.g_01881	Prac.g_01955
OG0000117	Pral.g_01881	Praq.g_00084
OG0000117	Pral.g_01881	Prar.g_01003
OG0000117	Pral.g_01881	Pray.g_01927
OG0000117	Pral.g_01881	Praz.g_01237
OG0000117	Pral.g_01881	Prba.g_01135
OG0000117	Pral.g_01881	Prab.g_00717
OG0000117	Pral.g_01881	Pran.g_01466
OG0000117	Pral.g_01881	Praj.g_01355
OG0000117	Pral.g_01881	Prbb.g_01399
OG0000117	Pral.g_01881	Prbc.g_00102
OG0000138	Pral.g_00595	Syaj.g_02631
OG0000217	Pral.g_00741	Prar.g_01154
OG0000323	Pral.g_00134	Syas.g_00159
OG0001505	Pral.g_00638	Prav.g_01548
OG0002097	Pral.g_01194	Praf.g_00092
OG0002445	Pral.g_01242	Prbi.g_01879
