Orthogroup	Syae	Other
OG0000011	Syae.g_00871	Syab.g_01083
OG0000011	Syae.g_00871	Prbb.g_01137, Prbb.g_01138
OG0000011	Syae.g_00871	Prbc.g_00616
OG0000011	Syae.g_00871	Prbm.g_01134
OG0000013	Syae.g_02155	Syar.g_03167
OG0000033	Syae.g_01453	Praf.g_02707, Praf.g_00098, Praf.g_00117
OG0000039	Syae.g_02495	Syan.g_02771
OG0000087	Syae.g_01414	Syar.g_03192
OG0000090	Syae.g_02374	Syar.g_03271
OG0000092	Syae.g_00884	Prbc.g_01110, Prbc.g_00263
OG0000099	Syae.g_01913, Syae.g_01226	Prau.g_01491
OG0000112	Syae.g_00351	Syar.g_03195
OG0000140	Syae.g_02383	Syar.g_03246
OG0000153	Syae.g_00394	Syar.g_03283
OG0000194	Syae.g_01432	Syar.g_03236
OG0000203	Syae.g_01489	Syar.g_00020
OG0000210	Syae.g_01529	Syar.g_03260
OG0000229	Syae.g_00994	Syar.g_03273
OG0000233	Syae.g_02504	Syar.g_03183
OG0000236	Syae.g_02323	Syar.g_03311
OG0000239	Syae.g_02360	Syar.g_03277
OG0000251	Syae.g_02455	Syar.g_03207
OG0000253	Syae.g_02459	Syar.g_03229
OG0000264	Syae.g_00761	Syar.g_03267
OG0000274	Syae.g_00826	Syar.g_00009
OG0000278	Syae.g_00843	Syar.g_03174
OG0000282	Syae.g_00573	Syar.g_03255
OG0000325	Syae.g_02033	Syar.g_03291
OG0000367	Syae.g_01739	Syar.g_03262
OG0000388	Syae.g_01358	Syar.g_03148
OG0000486	Syae.g_01956	Syar.g_00024
OG0000559	Syae.g_02404	Syal.g_02305
OG0001008	Syae.g_00993	Syar.g_03274
OG0001135	Syae.g_00636	Prac.g_01959
OG0001269	Syae.g_00225	Syal.g_02116
OG0001349	Syae.g_01228	Syar.g_02764
OG0001349	Syae.g_01228	Syap.g_01264, Syap.g_00851
OG0001349	Syae.g_01228	Syan.g_01131
OG0001349	Syae.g_01228	Syao.g_01074
OG0001349	Syae.g_01228	Syab.g_00150
OG0001349	Syae.g_01228	Syal.g_01426
OG0001376	Syae.g_01589	Syar.g_03203
OG0001377	Syae.g_01588	Syar.g_03202
OG0001470	Syae.g_01006	Syat.g_02257
OG0001478	Syae.g_02512	Syas.g_01345
OG0001488	Syae.g_00898	Syar.g_03222
OG0001515	Syae.g_00762	Syar.g_03266
OG0001592	Syae.g_01557	Syar.g_03309
OG0001623	Syae.g_02179	Syao.g_01889
OG0001635	Syae.g_01811	Syao.g_02182
OG0001635	Syae.g_01811	Prah.g_01421
OG0001671	Syae.g_01521	Syan.g_03115
OG0001671	Syae.g_01521	Syar.g_03173
OG0001672	Syae.g_01318	Prah.g_01852
OG0001728	Syae.g_01619	Syad.g_02990
OG0001787	Syae.g_02373	Syar.g_03272
OG0001880	Syae.g_00364	Syar.g_03302
OG0001882	Syae.g_00338	Syar.g_03147
OG0001892	Syae.g_00881	Syar.g_03139
OG0002024	Syae.g_01655	Syar.g_00004
OG0002213	Syae.g_01559	Syar.g_03307
OG0002651	Syae.g_01209	Prag.g_01410
OG0002651	Syae.g_01209	Praw.g_01037
OG0002651	Syae.g_01209	Pray.g_01783
OG0002651	Syae.g_01209	Praz.g_01093
OG0002651	Syae.g_01209	Prba.g_00150
OG0002651	Syae.g_01209	Prao.g_01211
OG0002651	Syae.g_01209	Prbb.g_00862
