Orthogroup	Syag	Other
OG0000013	Syag.g_02806	Syar.g_03167
OG0000033	Syag.g_01978	Praf.g_02707, Praf.g_00098, Praf.g_00117
OG0000033	Syag.g_02481	Prak.g_01357
OG0000033	Syag.g_02481	Prap.g_00087
OG0000033	Syag.g_02481	Prbe.g_00345
OG0000033	Syag.g_02481	Prbf.g_00123
OG0000033	Syag.g_02481	Prbg.g_00557
OG0000033	Syag.g_02481	Prbn.g_00178
OG0000033	Syag.g_02481	Praa.g_01437
OG0000033	Syag.g_02481	Prab.g_01400
OG0000033	Syag.g_02481	Pran.g_00800
OG0000033	Syag.g_02481	Syad.g_00289
OG0000033	Syag.g_02481	Syad.g_00289
OG0000033	Syag.g_02481	Syaa.g_00485
OG0000033	Syag.g_02481	Prae.g_01396
OG0000033	Syag.g_02481	Syaa.g_00485
OG0000033	Syag.g_02481	Prat.g_01265
OG0000033	Syag.g_02481	Prau.g_01465
OG0000033	Syag.g_02481	Syah.g_00211
OG0000033	Syag.g_02481	Syah.g_00211
OG0000033	Syag.g_02481	Praf.g_00117
OG0000033	Syag.g_02481	Praf.g_00117
OG0000039	Syag.g_02155	Syan.g_02771
OG0000070	Syag.g_00049	Syar.g_03150
OG0000092	Syag.g_00242	Prbc.g_01110, Prbc.g_00263
OG0000099	Syag.g_02536	Prau.g_01491
OG0000112	Syag.g_00801	Syar.g_03195
OG0000194	Syag.g_01955	Syar.g_03236
OG0000233	Syag.g_01330	Syar.g_03183
OG0000253	Syag.g_00333	Syar.g_03229
OG0000264	Syag.g_01011	Syar.g_03267
OG0000274	Syag.g_00714	Syar.g_00009
OG0001135	Syag.g_00147	Prac.g_01959
OG0001376	Syag.g_02153	Syar.g_03203
OG0001377	Syag.g_02152	Syar.g_03202
OG0001470	Syag.g_02420	Syat.g_02257
OG0001478	Syag.g_01337	Syas.g_01345
OG0001623	Syag.g_02828	Syao.g_01889
OG0001635	Syag.g_02369	Prah.g_01421
OG0001653	Syag.g_01462	Syao.g_01290, Syao.g_02667
OG0001653	Syag.g_01462	Syan.g_00521, Syan.g_02960, Syan.g_02959
OG0001653	Syag.g_01462	Syam.g_02438
OG0001653	Syag.g_01462	Syaf.g_00507
OG0001653	Syag.g_01462	Syai.g_02924
OG0001671	Syag.g_02063	Syan.g_03115
OG0001671	Syag.g_02063	Syar.g_03173
OG0001675	Syag.g_01692	Syar.g_02486
OG0001675	Syag.g_01692	Syat.g_00525
OG0001675	Syag.g_01692	Syap.g_02698
OG0001675	Syag.g_01692	Syas.g_00558
OG0001675	Syag.g_01692	Syan.g_00632
OG0001675	Syag.g_01692	Syao.g_00802, Syao.g_01175
OG0001880	Syag.g_00815	Syar.g_03302
OG0002139	Syag.g_01040	Syaj.g_00408
OG0002400	Syag.g_01602	Syam.g_01527
OG0002407	Syag.g_01590	Syad.g_00082
OG0002407	Syag.g_01590	Syaj.g_02186
OG0002407	Syag.g_01590	Syaa.g_01567
OG0002407	Syag.g_01590	Syab.g_00996
OG0002407	Syag.g_01590	Syal.g_01680
OG0002407	Syag.g_01590	Syah.g_01354
OG0002407	Syag.g_01590	Syak.g_00165
OG0002407	Syag.g_01590	Syaf.g_01668
OG0002407	Syag.g_01590	Syam.g_00979
OG0002407	Syag.g_01590	Syai.g_01666, Syai.g_01667
