Orthogroup	Prbe	Other
OG0000033	Prbe.g_00345	Syaa.g_00485
OG0000033	Prbe.g_00345	Praf.g_02707, Praf.g_00098, Praf.g_00117
OG0000033	Prbe.g_00345	Syah.g_00211
OG0000033	Prbe.g_00345	Syag.g_02481
OG0000033	Prbe.g_00345	Syad.g_00289
OG0000099	Prbe.g_00350	Syai.g_00151
OG0000120	Prbe.g_00353	Pras.g_00330
OG0000138	Prbe.g_00638	Syaj.g_02631
OG0000148	Prbe.g_01239	Syab.g_01683
OG0000148	Prbe.g_01239	Syaj.g_01002
OG0000217	Prbe.g_01852	Prar.g_01154
OG0000323	Prbe.g_00958	Syas.g_00159
OG0000390	Prbe.g_01657	Prad.g_00011
OG0000771	Prbe.g_00215	Prau.g_01496
