Orthogroup	Prab	Other
OG0000001	Prab.g_01279, Prab.g_01281	Prbd.g_01930
OG0000001	Prab.g_01279, Prab.g_01281	Pras.g_00118, Pras.g_00120
OG0000001	Prab.g_01279, Prab.g_01281	Prau.g_01267, Prau.g_01269
OG0000001	Prab.g_01279, Prab.g_01281	Praa.g_01220, Praa.g_01222
OG0000033	Prab.g_01400	Syaa.g_00485
OG0000033	Prab.g_01400	Praf.g_02707, Praf.g_00098, Praf.g_00117
OG0000033	Prab.g_01400	Syah.g_00211
OG0000033	Prab.g_01400	Syag.g_02481
OG0000033	Prab.g_01400	Syad.g_00289
OG0000099	Prab.g_01394	Syai.g_00151
OG0000117	Prab.g_00717	Pral.g_01881
OG0000120	Prab.g_01447	Pras.g_00330
OG0001264	Prab.g_01280	Praa.g_01221
OG0002033	Prab.g_01344	Prar.g_01072
OG0002486	Prab.g_01435	Prau.g_01824
