Orthogroup	Syah	Other
OG0000013	Syah.g_00817	Syar.g_03167
OG0000033	Syah.g_00078	Praf.g_02707, Praf.g_00098, Praf.g_00117
OG0000033	Syah.g_00211	Prak.g_01357
OG0000033	Syah.g_00211	Prap.g_00087
OG0000033	Syah.g_00211	Prbe.g_00345
OG0000033	Syah.g_00211	Prbf.g_00123
OG0000033	Syah.g_00211	Prbg.g_00557
OG0000033	Syah.g_00211	Prbn.g_00178
OG0000033	Syah.g_00211	Praa.g_01437
OG0000033	Syah.g_00211	Prab.g_01400
OG0000033	Syah.g_00211	Pran.g_00800
OG0000033	Syah.g_00211	Syad.g_00289
OG0000033	Syah.g_00211	Syad.g_00289
OG0000033	Syah.g_00211	Syaa.g_00485
OG0000033	Syah.g_00211	Prae.g_01396
OG0000033	Syah.g_00211	Syaa.g_00485
OG0000033	Syah.g_00211	Prat.g_01265
OG0000033	Syah.g_00211	Prau.g_01465
OG0000033	Syah.g_00211	Syag.g_02481
OG0000033	Syah.g_00211	Praf.g_00117
OG0000033	Syah.g_00211	Syag.g_02481
OG0000033	Syah.g_00211	Praf.g_00117
OG0000070	Syah.g_02217	Syar.g_03150
OG0000087	Syah.g_00038	Syar.g_03192
OG0000090	Syah.g_01064	Syar.g_03271
OG0000099	Syah.g_00144	Prau.g_01491
OG0000112	Syah.g_01613	Syar.g_03195
OG0000139	Syah.g_01070	Syar.g_03245
OG0000140	Syah.g_01071	Syar.g_03246
OG0000145	Syah.g_01019	Syar.g_03205
OG0000153	Syah.g_01656	Syar.g_03283
OG0000194	Syah.g_00056	Syar.g_03236
OG0000202	Syah.g_00600	Syar.g_00021
OG0000203	Syah.g_00599	Syar.g_00020
OG0000210	Syah.g_00543	Syar.g_03260
OG0000229	Syah.g_02236	Syar.g_03273
OG0000230	Syah.g_02234	Syar.g_03275
OG0000233	Syah.g_01210	Syar.g_03183
OG0000236	Syah.g_01011	Syar.g_03311
OG0000239	Syah.g_01048	Syar.g_03277
OG0000240	Syah.g_01049	Syar.g_03278
OG0000251	Syah.g_01145	Syar.g_03207
OG0000253	Syah.g_01149	Syar.g_03229
OG0000258	Syah.g_01926	Syar.g_00010
OG0000264	Syah.g_02000	Syar.g_03267
OG0000274	Syah.g_02076	Syar.g_00009
OG0000278	Syah.g_02092	Syar.g_03174
OG0000282	Syah.g_01531	Syar.g_03255
OG0000289	Syah.g_01695	Syar.g_03305
OG0000295	Syah.g_02131	Syar.g_03208
OG0000303	Syah.g_01387	Syar.g_03136
OG0000306	Syah.g_02116	Syar.g_03140
OG0000325	Syah.g_00689	Syar.g_03291
OG0000330	Syah.g_00761	Syar.g_03190
OG0000367	Syah.g_00349	Syar.g_03262
OG0000388	Syah.g_02533	Syar.g_03148
OG0000486	Syah.g_00099	Syar.g_00024
OG0000559	Syah.g_01093	Syal.g_02305
OG0000823	Syah.g_01262	Syar.g_00017
OG0000995	Syah.g_00452	Syar.g_03212
OG0001008	Syah.g_02235	Syar.g_03274
OG0001135	Syah.g_01439	Prac.g_01959
OG0001376	Syah.g_00483	Syar.g_03203
OG0001377	Syah.g_00484	Syar.g_03202
OG0001470	Syah.g_02242	Syat.g_02257
OG0001488	Syah.g_02136	Syar.g_03222
OG0001515	Syah.g_02001	Syar.g_03266
OG0001544	Syah.g_00477	Syar.g_00001
OG0001592	Syah.g_00521	Syar.g_03309
OG0001623	Syah.g_00842	Syao.g_01889
OG0001635	Syah.g_00270	Prah.g_01421
OG0001635	Syah.g_00270	Syao.g_02182
OG0001671	Syah.g_00550	Syan.g_03115
OG0001671	Syah.g_00550	Syar.g_03173
OG0001672	Syah.g_02497, Syah.g_02496	Prah.g_01854, Prah.g_01852
OG0001752	Syah.g_02289	Syar.g_03214
OG0001787	Syah.g_01063	Syar.g_03272
OG0001790	Syah.g_02171	Syar.g_03295
OG0001812	Syah.g_00520	Syar.g_03308
OG0001880	Syah.g_01626	Syar.g_03302
OG0001882	Syah.g_01601	Syar.g_03147
OG0001892	Syah.g_02115	Syar.g_03139
OG0001998	Syah.g_00502	Syak.g_02034
OG0002024	Syah.g_00426	Syar.g_00004
OG0002192	Syah.g_02132	Syar.g_03209
OG0002213	Syah.g_00519	Syar.g_03307
OG0002400	Syah.g_01364	Syam.g_01527
OG0002407	Syah.g_01354	Syag.g_01590
