Orthogroup	Syaf	Other
OG0000013	Syaf.g_00061	Syar.g_03167
OG0000033	Syaf.g_00807	Praf.g_02707, Praf.g_00098, Praf.g_00117
OG0000070	Syaf.g_01237	Syar.g_03150
OG0000087	Syaf.g_00848	Syar.g_03192
OG0000090	Syaf.g_02654	Syar.g_03271
OG0000099	Syaf.g_00312	Prau.g_01491
OG0000112	Syaf.g_01852	Syar.g_03195
OG0000139	Syaf.g_02648	Syar.g_03245
OG0000145	Syaf.g_02699	Syar.g_03205
OG0000153	Syaf.g_01904	Syar.g_03283
OG0000194	Syaf.g_00829	Syar.g_03236
OG0000202	Syaf.g_00770	Syar.g_00021
OG0000203	Syaf.g_00769	Syar.g_00020
OG0000210	Syaf.g_00713	Syar.g_03260
OG0000229	Syaf.g_01214	Syar.g_03273
OG0000233	Syaf.g_02528	Syar.g_03183
OG0000236	Syaf.g_02707	Syar.g_03311
OG0000239	Syaf.g_02669	Syar.g_03277
OG0000240	Syaf.g_02668	Syar.g_03278
OG0000251	Syaf.g_02568	Syar.g_03207
OG0000253	Syaf.g_02564	Syar.g_03229
OG0000258	Syaf.g_02301	Syar.g_00010
OG0000264	Syaf.g_01473	Syar.g_03267
OG0000274	Syaf.g_01391	Syar.g_00009
OG0000282	Syaf.g_02101	Syar.g_03255
OG0000295	Syaf.g_01316	Syar.g_03208
OG0000303	Syaf.g_01559	Syar.g_03136
OG0000306	Syaf.g_01332	Syar.g_03140
OG0000325	Syaf.g_00176	Syar.g_03291
OG0000330	Syaf.g_00118	Syar.g_03190
OG0000367	Syaf.g_00471	Syar.g_03262
OG0000388	Syaf.g_00908	Syar.g_03148
OG0000486	Syaf.g_00257	Syar.g_00024
OG0000559	Syaf.g_02622	Syal.g_02305
OG0000823	Syaf.g_02453	Syar.g_00017
OG0000995	Syaf.g_00592	Syar.g_03212
OG0001008	Syaf.g_01215	Syar.g_03274
OG0001135	Syaf.g_01618	Prac.g_01959
OG0001269	Syaf.g_01653	Syal.g_02116
OG0001283	Syaf.g_02414	Syan.g_01687
OG0001283	Syaf.g_02414	Syao.g_02335
OG0001283	Syaf.g_02414	Syar.g_00447
OG0001283	Syaf.g_02414	Syat.g_02403
OG0001376	Syaf.g_00626	Syar.g_03203
OG0001377	Syaf.g_00627	Syar.g_03202
OG0001399	Syaf.g_00697	Prar.g_01071
OG0001399	Syaf.g_00697	Prbi.g_01884
OG0001412	Syaf.g_02482	Syaa.g_01020
OG0001412	Syaf.g_02482	Syat.g_00584
OG0001413	Syaf.g_02344	Syar.g_02062
OG0001413	Syaf.g_02344	Syan.g_00029
OG0001413	Syaf.g_02344	Syat.g_02775
OG0001413	Syaf.g_02344	Syab.g_01904
OG0001413	Syaf.g_02344	Syaq.g_02051
OG0001470	Syaf.g_01206	Syat.g_02257
OG0001478	Syaf.g_02516	Syas.g_01345
OG0001488	Syaf.g_01311	Syar.g_03222
OG0001515	Syaf.g_01472	Syar.g_03266
OG0001623	Syaf.g_00035	Syao.g_01889
OG0001635	Syaf.g_00412	Syao.g_02182
OG0001635	Syaf.g_00412	Prah.g_01421
OG0001653	Syaf.g_00507	Syag.g_01462
OG0001671	Syaf.g_00721	Syan.g_03115
OG0001671	Syaf.g_00721	Syar.g_03173
OG0001672	Syaf.g_00949	Prah.g_01854, Prah.g_01852
OG0001752	Syaf.g_01153	Syar.g_03214
OG0001754	Syaf.g_00677	Syap.g_01949, Syap.g_01948
OG0001754	Syaf.g_00677	Syas.g_02545, Syas.g_02244
OG0001754	Syaf.g_00677	Syat.g_02790
OG0001754	Syaf.g_00677	Syar.g_00973
OG0001790	Syaf.g_01279	Syar.g_03295
OG0001809	Syaf.g_00967	Syaq.g_01562
OG0001812	Syaf.g_00660	Syar.g_03308
OG0001880	Syaf.g_01866	Syar.g_03302
OG0001882	Syaf.g_01840	Syar.g_03147
OG0002024	Syaf.g_00556	Syar.g_00004
OG0002213	Syaf.g_00658	Syar.g_03307
OG0002407	Syaf.g_01668	Syag.g_01590
