Orthogroup	Syan	Other
OG0000033	Syan.g_03036	Praf.g_02707, Praf.g_00098, Praf.g_00117
OG0000039	Syan.g_02771	Syar.g_02151
OG0000039	Syan.g_02771	Syag.g_02155
OG0000039	Syan.g_02771	Syae.g_02495
OG0000039	Syan.g_02771	Syad.g_01111
OG0000039	Syan.g_02771	Syaj.g_00275
OG0000039	Syan.g_02771	Syac.g_02378
OG0000039	Syan.g_02771	Syab.g_02791
OG0000039	Syan.g_02771	Syal.g_01097
OG0000039	Syan.g_02771	Syak.g_01918
OG0000039	Syan.g_02771	Syaq.g_01241
OG0000039	Syan.g_02771	Prah.g_02382
OG0000039	Syan.g_02771	Praf.g_02541
OG0000039	Syan.g_02771	Prbj.g_00278
OG0000039	Syan.g_02771	Prbk.g_00642
OG0000039	Syan.g_02771	Prbl.g_01272
OG0000077	Syan.g_02579	Prbj.g_01900
OG0000077	Syan.g_02579	Prbk.g_00307
OG0000077	Syan.g_02579	Prbl.g_00631
OG0000077	Syan.g_02579	Syal.g_00506
OG0000092	Syan.g_02502	Prbc.g_01110, Prbc.g_00263
OG0000099	Syan.g_01968	Prau.g_01491
OG0000110	Syan.g_00171	Syai.g_00878
OG0000183	Syan.g_01752	Prat.g_01314
OG0000291	Syan.g_00291	Syak.g_00734
OG0000314	Syan.g_02823	Syad.g_02231
OG0001135	Syan.g_02542, Syan.g_01150	Prac.g_01959
OG0001283	Syan.g_01687	Syaf.g_02414
OG0001349	Syan.g_01131	Syae.g_01228
OG0001399	Syan.g_02175	Prbi.g_00155, Prbi.g_00722
OG0001413	Syan.g_00029	Syaf.g_02344
OG0001635	Syan.g_01876	Prah.g_01421
OG0001653	Syan.g_00521, Syan.g_02960, Syan.g_02959	Syag.g_01462
OG0001671	Syan.g_03115	Syar.g_03173
OG0001671	Syan.g_03115	Syah.g_00550
OG0001671	Syan.g_03115	Syaf.g_00721
OG0001671	Syan.g_03115	Syae.g_01521
OG0001671	Syan.g_03115	Syaj.g_02062
OG0001671	Syan.g_03115	Syad.g_02974
OG0001671	Syan.g_03115	Syaa.g_02552
OG0001671	Syan.g_03115	Syag.g_02063
OG0001671	Syan.g_03115	Syal.g_00993
OG0001671	Syan.g_03115	Syar.g_03173
OG0001671	Syan.g_03115	Syak.g_02002
OG0001671	Syan.g_03115	Syaq.g_01316
OG0001672	Syan.g_02921	Prah.g_01854, Prah.g_01852
OG0001675	Syan.g_00632	Syag.g_01692
OG0001728	Syan.g_01799	Syad.g_02990
OG0001771	Syan.g_01176	Syai.g_01134
OG0001799	Syan.g_00797	Syal.g_02336
OG0001809	Syan.g_02903	Syaq.g_01562
OG0002097	Syan.g_01105	Praf.g_00092
OG0002243	Syan.g_03098	Syaq.g_01339
OG0002431	Syan.g_01278	Praf.g_00276
